Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,2,1,0,RUS,1.0,STEPANIUK K,0 - 1,120,RUS,2:00,Saved,0
5m shot,2.0,2,1,0,RUS,1.0,DI FULVIO F,0 - 1,93,ITA,1:33,Missed,0
Extra player shot,10.0,2,1,1,RUS,1.0,KHOLOD D,1 - 1,51,RUS,0:51,Goal,1
Centre shot,11.0,2,1,1,RUS,1.0,AICARDI M,1 - 1,34,ITA,0:34,Post,0
Action shot,8.0,2,1,1,RUS,1.0,NAGAEV I,1 - 1,15,RUS,0:15,Saved,0
Action shot,10.0,2,1,1,RUS,1.0,LUONGO S,1 - 1,3,ITA,0:03,Saved,0
Action shot,11.0,2,1,1,RUS,2.0,AICARDI M,1 - 1,456,ITA,7:36,Saved,0
Centre shot,11.0,2,1,1,RUS,2.0,AICARDI M,1 - 1,432,ITA,7:12,Saved,0
Extra player shot,5.0,2,2,1,RUS,2.0,GIORGETTI A,1 - 2,379,ITA,6:19,Goal,1
5m shot,9.0,2,2,1,RUS,2.0,STEPANIUK K,1 - 2,349,RUS,5:49,Blocked,0
5m shot,9.0,2,3,1,RUS,2.0,GITTO N,1 - 3,323,ITA,5:23,Goal,1
5m shot,4.0,2,3,1,RUS,2.0,BYCHKOV I,1 - 3,301,RUS,5:01,Missed,0
Action shot,2.0,2,3,1,RUS,2.0,DI FULVIO F,1 - 3,274,ITA,4:34,Saved,0
5m shot,4.0,2,4,1,RUS,2.0,FIGLIOLI P,1 - 4,195,ITA,3:15,Goal,1
5m shot,4.0,2,4,1,RUS,2.0,BYCHKOV I,1 - 4,166,RUS,2:46,Saved,0
Action shot,7.0,2,4,1,RUS,2.0,TIMAKOV V,1 - 4,146,RUS,2:26,Missed,0
Centre shot,11.0,2,5,1,RUS,2.0,AICARDI M,1 - 5,106,ITA,1:46,Goal,1
Extra player shot,7.0,2,6,1,RUS,2.0,GIACOPPO M,1 - 6,66,ITA,1:06,Goal,1
Extra player shot,4.0,2,6,1,RUS,2.0,BYCHKOV I,1 - 6,0,RUS,0:00,Saved,0
Action shot,5.0,2,6,1,RUS,3.0,GIORGETTI A,1 - 6,383,ITA,6:23,Post,0
Penalty shot,6.0,2,6,1,RUS,3.0,FONDELLI A,1 - 6,356,ITA,5:56,Post,0
Action shot,10.0,2,6,2,RUS,3.0,KHOLOD D,2 - 6,313,RUS,5:13,Goal,1
Extra player shot,11.0,2,6,3,RUS,3.0,LISUNOV S,3 - 6,265,RUS,4:25,Goal,1
Action shot,11.0,2,6,3,RUS,3.0,AICARDI M,3 - 6,251,ITA,4:11,Missed,0
5m shot,10.0,2,7,3,RUS,3.0,LUONGO S,3 - 7,232,ITA,3:52,Goal,1
5m shot,3.0,2,7,3,RUS,3.0,VELOTTO A,3 - 7,194,ITA,3:14,Saved,0
Action shot,10.0,2,7,4,RUS,3.0,KHOLOD D,4 - 7,163,RUS,2:43,Goal,1
Action shot,4.0,2,7,4,RUS,3.0,FIGLIOLI P,4 - 7,107,ITA,1:47,Blocked,0
5m shot,9.0,2,7,4,RUS,3.0,STEPANIUK K,4 - 7,74,RUS,1:14,Blocked,0
5m shot,10.0,2,7,4,RUS,3.0,LUONGO S,4 - 7,0,ITA,0:00,Blocked,0
Extra player shot,10.0,2,7,4,RUS,4.0,LUONGO S,4 - 7,435,ITA,7:15,Saved,0
5m shot,6.0,2,7,4,RUS,4.0,ASHAEV A,4 - 7,405,RUS,6:45,Missed,0
Extra player shot,2.0,2,7,4,RUS,4.0,BUGAYCHUK A,4 - 7,343,RUS,5:43,Saved,0
Action shot,9.0,2,7,4,RUS,4.0,GITTO N,4 - 7,314,ITA,5:14,Saved,0
5m shot,2.0,2,7,4,RUS,4.0,BUGAYCHUK A,4 - 7,255,RUS,4:15,Missed,0
Action shot,2.0,2,7,4,RUS,4.0,DI FULVIO F,4 - 7,241,ITA,4:01,Saved,0
Action shot,7.0,2,7,5,RUS,4.0,TIMAKOV V,5 - 7,172,RUS,2:52,Goal,1
Extra player shot,5.0,2,8,5,RUS,4.0,GIORGETTI A,5 - 8,136,ITA,2:16,Goal,1
Extra player shot,8.0,2,8,5,RUS,4.0,NAGAEV I,5 - 8,100,RUS,1:40,Post,0
Extra player shot,11.0,2,8,5,RUS,4.0,LISUNOV S,5 - 8,92,RUS,1:32,Saved,0
Penalty shot,8.0,2,8,6,RUS,4.0,NAGAEV I,6 - 8,62,RUS,1:02,Goal,1
Centre shot,2.0,2,8,6,RUS,4.0,DI FULVIO F,6 - 8,32,ITA,0:32,Post,0
Extra player shot,3.0,2,9,6,RUS,4.0,VELOTTO A,6 - 9,15,ITA,0:15,Goal,1
Action shot,4.0,3,0,0,USA,1.0,KIMBELL J,0 - 0,440,USA,7:20,Saved,0
Action shot,2.0,3,1,0,USA,1.0,DI FULVIO F,0 - 1,411,ITA,6:51,Goal,1
Extra player shot,8.0,3,1,0,USA,1.0,AZEVEDO T,0 - 1,366,USA,6:06,Saved,0
Extra player shot,2.0,3,1,1,USA,1.0,VAVIC N,1 - 1,364,USA,6:04,Goal,1
Extra player shot,5.0,3,2,1,USA,1.0,GIORGETTI A,1 - 2,325,ITA,5:25,Goal,1
5m shot,9.0,3,2,1,USA,1.0,BOWEN A,1 - 2,296,USA,4:56,Saved,0
Penalty shot,5.0,3,3,1,USA,1.0,GIORGETTI A,1 - 3,277,ITA,4:37,Goal,1
