Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,GRE,1.0,FLEGKAS K,0 - 0,480,GRE,8:00
Starting goalkeeper,1.0,1,0,0,GRE,1.0,TEMPESTI S,0 - 0,480,ITA,8:00
Sprint won possession,4.0,1,0,0,GRE,1.0,FIGLIOLI P,0 - 0,480,ITA,8:00
5m shot - Saved,2.0,1,0,0,GRE,1.0,DI FULVIO F,0 - 0,455,ITA,7:35
Action shot - Goal,11.0,1,1,0,GRE,1.0,AICARDI M,0 - 1,438,ITA,7:18
Turnover foul,12.0,1,1,0,GRE,1.0,VLACHOPOULOS A,0 - 1,408,GRE,6:48
Steal,4.0,1,1,0,GRE,1.0,FIGLIOLI P,0 - 1,408,ITA,6:48
Turnover foul,4.0,1,1,0,GRE,1.0,FIGLIOLI P,0 - 1,381,ITA,6:21
Steal,12.0,1,1,0,GRE,1.0,VLACHOPOULOS A,0 - 1,381,GRE,6:21
Centre shot - Goal,10.0,1,1,1,GRE,1.0,KOLOMVOS C,1 - 1,366,GRE,6:06
Turnover foul,5.0,1,1,1,GRE,1.0,GIORGETTI A,1 - 1,334,ITA,5:34
Steal,7.0,1,1,1,GRE,1.0,AFROUDAKIS C,1 - 1,334,GRE,5:34
Turnover foul,7.0,1,1,1,GRE,1.0,AFROUDAKIS C,1 - 1,302,GRE,5:02
20 sec. exclusion in centre,8.0,1,1,1,GRE,1.0,DELAKAS E,1 - 1,279,GRE,4:39
Extra player shot - Missed,5.0,1,1,1,GRE,1.0,GIORGETTI A,1 - 1,274,ITA,4:34
20 sec. exclusion in centre,9.0,1,1,1,GRE,1.0,GITTO N,1 - 1,239,ITA,3:59
Extra player shot - Goal,12.0,1,1,2,GRE,1.0,VLACHOPOULOS A,2 - 1,221,GRE,3:41
Action shot - Post,2.0,1,1,2,GRE,1.0,DI FULVIO F,2 - 1,193,ITA,3:13
5m shot - Goal,7.0,1,1,3,GRE,1.0,AFROUDAKIS C,3 - 1,163,GRE,2:43
20 sec. exclusion in centre,3.0,1,1,3,GRE,1.0,DERVISIS G,3 - 1,138,GRE,2:18
Extra player shot - Goal,10.0,1,2,3,GRE,1.0,LUONGO S,3 - 2,118,ITA,1:58
Action shot - Saved,6.0,1,2,3,GRE,1.0,PONTIKEAS K,3 - 2,84,GRE,1:24
20 sec. exclusion in centre,6.0,1,2,3,GRE,1.0,PONTIKEAS K,3 - 2,68,GRE,1:08
Extra player shot - Goal,5.0,1,3,3,GRE,1.0,GIORGETTI A,3 - 3,55,ITA,0:55
