Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Action shot,12.0,3,4,ESP,2.0,GUTIERREZ SANTIAGO,2,4 - 2,55,ESP,0:55,Saved,0
Action shot,2.0,3,4,ESP,2.0,MUNARRIZ EGANA A,2,4 - 2,3,ESP,0:03,Saved,0
5m shot,2.0,3,4,ESP,3.0,MUNARRIZ EGANA A,2,4 - 2,451,ESP,7:31,Saved,0
Extra player shot,9.0,3,4,ESP,3.0,TAHULL COMPTE R,2,4 - 2,394,ESP,6:34,Saved,0
Extra player shot,8.0,3,5,ESP,3.0,ESPANOL LIFANTE A,2,5 - 2,387,ESP,6:27,Goal,1
Extra player shot,5.0,3,5,ESP,3.0,BROWN C,2,5 - 2,350,RSA,5:50,Blocked,0
Action shot,11.0,3,5,ESP,3.0,MOLYNEUX N,2,5 - 2,306,RSA,5:06,Saved,0
Action shot,5.0,3,5,ESP,3.0,BUSTOS SANCHEZ A,2,5 - 2,279,ESP,4:39,Missed,0
Action shot,8.0,3,6,ESP,3.0,ESPANOL LIFANTE A,2,6 - 2,235,ESP,3:55,Goal,1
Action shot,10.0,3,7,ESP,3.0,FERNANDEZ MIRANDA,2,7 - 2,202,ESP,3:22,Goal,1
Action shot,2.0,3,7,ESP,3.0,le ROUX E,2,7 - 2,181,RSA,3:01,Saved,0
Counter attack,3.0,3,8,ESP,3.0,GRANADOS ORTEGA A,2,8 - 2,164,ESP,2:44,Goal,1
Extra player shot,2.0,3,8,ESP,3.0,le ROUX E,2,8 - 2,115,RSA,1:55,Blocked,0
Action shot,8.0,3,8,ESP,3.0,RODDA N,3,8 - 3,114,RSA,1:54,Goal,1
Action shot,12.0,3,8,ESP,3.0,GUTIERREZ SANTIAGO,3,8 - 3,88,ESP,1:28,Saved,0
Centre shot,12.0,3,9,ESP,3.0,GUTIERREZ SANTIAGO,3,9 - 3,53,ESP,0:53,Goal,1
Extra player shot,9.0,3,10,ESP,3.0,TAHULL COMPTE R,3,10 - 3,1,ESP,0:01,Goal,1
5m shot,11.0,3,11,ESP,4.0,MALLARACH GUELL B,3,11 - 3,454,ESP,7:34,Goal,1
Counter attack,11.0,3,12,ESP,4.0,MALLARACH GUELL B,3,12 - 3,416,ESP,6:56,Goal,1
