Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Goal,9,5.0,5,5,FRA,3.0,NIU G,9 - 5,119,CHN,1:59
Turnover foul,9,2.0,5,5,FRA,3.0,MILLOT E,9 - 5,102,FRA,1:42
Steal,9,13.0,5,5,FRA,3.0,SHEN Y,9 - 5,102,CHN,1:42
Turnover foul,9,5.0,5,5,FRA,3.0,NIU G,9 - 5,82,CHN,1:22
Steal,9,5.0,5,5,FRA,3.0,GUILLET L,9 - 5,82,FRA,1:22
Action shot - Saved,9,2.0,5,5,FRA,3.0,MILLOT E,9 - 5,61,FRA,1:01
Counter attack - Goal,10,12.0,5,5,FRA,3.0,ZHANG J,10 - 5,46,CHN,0:46
Turnover foul,10,2.0,5,5,FRA,3.0,MILLOT E,10 - 5,15,FRA,0:15
Steal,10,13.0,5,5,FRA,3.0,SHEN Y,10 - 5,15,CHN,0:15
5m shot - Post,10,6.0,5,5,FRA,3.0,GUO N,10 - 5,1,CHN,0:01
Starting goalkeeper,10,13.0,5,5,FRA,4.0,SHEN Y,10 - 5,480,CHN,8:00
Starting goalkeeper,10,1.0,5,5,FRA,4.0,COUNIL L,10 - 5,480,FRA,8:00
Sprint won possession,10,12.0,5,5,FRA,4.0,DAULE A,10 - 5,480,FRA,8:00
5m shot - Missed,10,2.0,5,5,FRA,4.0,BI Y,10 - 5,435,CHN,7:15
5m shot - Saved,10,9.0,5,5,FRA,4.0,SACRE A,10 - 5,406,FRA,6:46
20 sec. exclusion in centre,10,11.0,5,5,FRA,4.0,BARBIEUX M,10 - 5,382,FRA,6:22
Action shot - Goal,11,10.0,5,5,FRA,4.0,ZHANG D,11 - 5,359,CHN,5:59
Action shot - Saved,11,5.0,5,5,FRA,4.0,GUILLET L,11 - 5,330,FRA,5:30
Action shot - Post,11,9.0,5,5,FRA,4.0,ZHAO Z,11 - 5,321,CHN,5:21
5m shot - Missed,11,7.0,5,5,FRA,4.0,VALVERDE C,11 - 5,299,FRA,4:59
Turnover foul,11,12.0,5,5,FRA,4.0,ZHANG J,11 - 5,287,CHN,4:47
Steal,11,1.0,5,5,FRA,4.0,COUNIL L,11 - 5,287,FRA,4:47
Action shot - Saved,11,5.0,5,5,FRA,4.0,GUILLET L,11 - 5,268,FRA,4:28
Turnover foul,11,7.0,5,5,FRA,4.0,VALVERDE C,11 - 5,227,FRA,3:47
Steal,11,10.0,5,5,FRA,4.0,ZHANG D,11 - 5,227,CHN,3:47
20 sec. exclusion in centre,11,8.0,5,5,FRA,4.0,BATTU A,11 - 5,205,FRA,3:25
Action shot - Goal,12,5.0,5,5,FRA,4.0,NIU G,12 - 5,182,CHN,3:02
5m shot - Saved,12,10.0,5,5,FRA,4.0,DESCHAMPT Y,12 - 5,162,FRA,2:42
20 sec. exclusion in centre,12,10.0,5,5,FRA,4.0,DESCHAMPT Y,12 - 5,137,FRA,2:17
Extra player shot - Goal,13,7.0,5,5,FRA,4.0,NONG S,13 - 5,117,CHN,1:57
5m shot - Saved,13,5.0,5,5,FRA,4.0,GUILLET L,13 - 5,88,FRA,1:28
Turnover foul,13,11.0,5,5,FRA,4.0,CHEN X,13 - 5,63,CHN,1:03
Action shot - Saved,13,9.0,5,5,FRA,4.0,SACRE A,13 - 5,30,FRA,0:30
20 sec. exclusion in centre,13,11.0,5,5,FRA,4.0,CHEN X,13 - 5,19,CHN,0:19
Starting goalkeeper,0,1.0,6,0,NED,1.0,AARTS L,0 - 0,480,NED,8:00
Starting goalkeeper,0,1.0,6,0,NED,1.0,PENG L,0 - 0,480,CHN,8:00
Sprint won possession,0,5.0,6,0,NED,1.0,NIU G,0 - 0,480,CHN,8:00
20 sec. exclusion in field,0,5.0,6,0,NED,1.0,GENEE A,0 - 0,468,NED,7:48
Action shot - Missed,0,8.0,6,0,NED,1.0,ZHANG C,0 - 0,443,CHN,7:23
Action shot - Post,0,5.0,6,0,NED,1.0,GENEE A,0 - 0,430,NED,7:10
5m shot - Goal,1,5.0,6,0,NED,1.0,NIU G,0 - 1,407,CHN,6:47
5m shot - Saved,1,3.0,6,0,NED,1.0,GENEE D,0 - 1,386,NED,6:26
20 sec. exclusion in field,1,5.0,6,0,NED,1.0,NIU G,0 - 1,361,CHN,6:01
Extra player shot - Saved,1,5.0,6,0,NED,1.0,GENEE A,0 - 1,350,NED,5:50
Turnover foul,1,8.0,6,0,NED,1.0,ZHANG C,0 - 1,327,CHN,5:27
Steal,1,3.0,6,0,NED,1.0,GENEE D,0 - 1,327,NED,5:27
20 sec. exclusion in field,1,9.0,6,0,NED,1.0,ZHAO Z,0 - 1,324,CHN,5:24
Turnover foul,1,3.0,6,0,NED,1.0,GENEE D,0 - 1,300,NED,5:00
Action shot - Saved,1,12.0,6,0,NED,1.0,ZHANG J,0 - 1,288,CHN,4:48
Action shot - Saved,1,8.0,6,0,NED,1.0,SEVENICH V,0 - 1,270,NED,4:30
20 sec. exclusion in field,1,2.0,6,0,NED,1.0,SMIT Y,0 - 1,265,NED,4:25
Time-Out,1,,6,0,NED,1.0,,0 - 1,265,CHN,4:25
Action shot - Blocked,1,8.0,6,0,NED,1.0,ZHANG C,0 - 1,238,CHN,3:58
Action shot - Missed,1,8.0,6,0,NED,1.0,SEVENICH V,0 - 1,209,NED,3:29
5m shot - Post,1,9.0,6,0,NED,1.0,ZHAO Z,0 - 1,187,CHN,3:07
Time-Out,1,,6,0,NED,1.0,,0 - 1,184,NED,3:04
5m shot - Post,1,11.0,6,0,NED,1.0,KLAASSEN L,0 - 1,169,NED,2:49
5m shot - Goal,1,11.0,6,1,NED,1.0,KLAASSEN L,1 - 1,155,NED,2:35
20 sec. exclusion in field,1,9.0,6,1,NED,1.0,MEGENS M,1 - 1,146,NED,2:26
Extra player shot - Goal,2,8.0,6,1,NED,1.0,ZHANG C,1 - 2,136,CHN,2:16
5m shot - Post,2,11.0,6,1,NED,1.0,KLAASSEN L,1 - 2,117,NED,1:57
Action shot - Missed,2,8.0,6,1,NED,1.0,ZHANG C,1 - 2,87,CHN,1:27
20 sec. exclusion in centre,2,7.0,6,1,NED,1.0,NONG S,1 - 2,64,CHN,1:04
Extra player shot - Saved,2,2.0,6,1,NED,1.0,SMIT Y,1 - 2,52,NED,0:52
Turnover foul,2,2.0,6,1,NED,1.0,BI Y,1 - 2,28,CHN,0:28
Steal,2,7.0,6,1,NED,1.0,NIJHUIS M,1 - 2,28,NED,0:28
Action shot - Goal,2,11.0,6,2,NED,1.0,KLAASSEN L,2 - 2,5,NED,0:05
5m shot - Blocked,2,11.0,6,2,NED,1.0,CHEN X,2 - 2,1,CHN,0:01
Starting goalkeeper,2,1.0,6,2,NED,2.0,AARTS L,2 - 2,480,NED,8:00
Starting goalkeeper,2,1.0,6,2,NED,2.0,PENG L,2 - 2,480,CHN,8:00
Sprint won possession,2,5.0,6,2,NED,2.0,NIU G,2 - 2,480,CHN,8:00
Penalty foul,2,3.0,6,2,NED,2.0,GENEE D,2 - 2,459,NED,7:39
Penalty shot - Goal,3,9.0,6,2,NED,2.0,ZHAO Z,2 - 3,459,CHN,7:39
Action shot - Goal,3,7.0,6,3,NED,2.0,NIJHUIS M,3 - 3,445,NED,7:25
Turnover foul,3,9.0,6,3,NED,2.0,ZHAO Z,3 - 3,424,CHN,7:04
Steal,3,9.0,6,3,NED,2.0,MEGENS M,3 - 3,424,NED,7:04
Turnover foul,3,8.0,6,3,NED,2.0,SEVENICH V,3 - 3,398,NED,6:38
Steal,3,1.0,6,3,NED,2.0,PENG L,3 - 3,398,CHN,6:38
Turnover foul,3,5.0,6,3,NED,2.0,NIU G,3 - 3,374,CHN,6:14
Steal,3,7.0,6,3,NED,2.0,NIJHUIS M,3 - 3,374,NED,6:14
5m shot - Goal,3,7.0,6,4,NED,2.0,NIJHUIS M,4 - 3,356,NED,5:56
Action shot - Saved,3,10.0,6,4,NED,2.0,ZHANG D,4 - 3,330,CHN,5:30
Counter attack - Missed,3,6.0,6,4,NED,2.0,STOMPHORST N,4 - 3,314,NED,5:14
5m shot - Goal,3,9.0,6,5,NED,2.0,MEGENS M,5 - 3,262,NED,4:22
Action shot - Saved,3,10.0,6,5,NED,2.0,ZHANG D,5 - 3,244,CHN,4:04
20 sec. exclusion in field,3,12.0,6,5,NED,2.0,ZHANG J,5 - 3,241,CHN,4:01
Centre shot - Goal,3,12.0,6,6,NED,2.0,JOUSTRA K,6 - 3,215,NED,3:35
Time-Out,3,,6,6,NED,2.0,,6 - 3,215,CHN,3:35
5m shot - Missed,3,9.0,6,6,NED,2.0,MEGENS M,6 - 3,164,NED,2:44
Turnover foul,3,12.0,6,6,NED,2.0,ZHANG J,6 - 3,151,CHN,2:31
Steal,3,5.0,6,6,NED,2.0,GENEE A,6 - 3,151,NED,2:31
5m shot - Missed,3,11.0,6,6,NED,2.0,KLAASSEN L,6 - 3,122,NED,2:02
Action shot - Saved,3,5.0,6,6,NED,2.0,NIU G,6 - 3,94,CHN,1:34
Time-Out,3,,6,6,NED,2.0,,6 - 3,90,NED,1:30
Turnover foul,3,2.0,6,6,NED,2.0,SMIT Y,6 - 3,81,NED,1:21
