Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,11.0,0,1,0,GRE,1.0,GOUNAS A,0 - 0,451,GRE,7:31,Saved,0
5m shot,3.0,1,1,0,GRE,1.0,GRANADOS ORTEGA A,1 - 0,421,ESP,7:01,Goal,1
Extra player shot,12.0,1,1,0,GRE,1.0,VLACHOPOULOS A,1 - 0,385,GRE,6:25,Blocked,0
Extra player shot,12.0,1,1,1,GRE,1.0,VLACHOPOULOS A,1 - 1,381,GRE,6:21,Goal,1
Action shot,5.0,1,1,2,GRE,1.0,FOUNTOULIS I,1 - 2,339,GRE,5:39,Goal,1
5m shot,6.0,1,1,2,GRE,1.0,MINGUELL ALFEREZ M,1 - 2,311,ESP,5:11,Saved,0
Extra player shot,11.0,1,1,2,GRE,1.0,MALLARACH GUELL B,1 - 2,284,ESP,4:44,Post,0
Extra player shot,5.0,1,1,3,GRE,1.0,FOUNTOULIS I,1 - 3,253,GRE,4:13,Goal,1
5m shot,11.0,1,1,3,GRE,1.0,MALLARACH GUELL B,1 - 3,222,ESP,3:42,Blocked,0
5m shot,11.0,1,1,3,GRE,1.0,MALLARACH GUELL B,1 - 3,139,ESP,2:19,Saved,0
Action shot,2.0,1,1,3,GRE,1.0,GENIDOUNIAS K,1 - 3,114,GRE,1:54,Missed,0
5m shot,11.0,1,1,3,GRE,1.0,GOUNAS A,1 - 3,68,GRE,1:08,Post,0
Action shot,8.0,1,1,3,GRE,1.0,ESPANOL LIFANTE A,1 - 3,28,ESP,0:28,Saved,0
5m shot,5.0,1,1,3,GRE,1.0,FOUNTOULIS I,1 - 3,5,GRE,0:05,Saved,0
5m shot,8.0,1,1,3,GRE,1.0,ESPANOL LIFANTE A,1 - 3,1,ESP,0:01,Missed,0
5m shot,2.0,1,1,3,GRE,2.0,MUNARRIZ EGANA A,1 - 3,435,ESP,7:15,Saved,0
Centre shot,10.0,1,1,3,GRE,2.0,KOLOMVOS C,1 - 3,408,GRE,6:48,Saved,0
5m shot,3.0,1,1,3,GRE,2.0,GRANADOS ORTEGA A,1 - 3,380,ESP,6:20,Blocked,0
Action shot,3.0,1,1,4,GRE,2.0,DELAKAS E,1 - 4,353,GRE,5:53,Goal,1
Centre shot,4.0,2,1,4,GRE,2.0,del TORO M,2 - 4,312,ESP,5:12,Goal,1
5m shot,11.0,2,1,4,GRE,2.0,GOUNAS A,2 - 4,285,GRE,4:45,Saved,0
Action shot,6.0,2,1,5,GRE,2.0,KAPOTSIS M,2 - 5,223,GRE,3:43,Goal,1
5m shot,2.0,2,1,5,GRE,2.0,GENIDOUNIAS K,2 - 5,176,GRE,2:56,Saved,0
Action shot,6.0,2,1,5,GRE,2.0,MINGUELL ALFEREZ M,2 - 5,150,ESP,2:30,Saved,0
Extra player shot,7.0,2,1,5,GRE,2.0,BARROSO MACARRO A,2 - 5,78,ESP,1:18,Saved,0
Extra player shot,5.0,2,1,5,GRE,2.0,FOUNTOULIS I,2 - 5,35,GRE,0:35,Post,0
Action shot,11.0,3,1,5,GRE,2.0,MALLARACH GUELL B,3 - 5,8,ESP,0:08,Goal,1
5m shot,12.0,3,1,5,GRE,2.0,VLACHOPOULOS A,3 - 5,1,GRE,0:01,Missed,0
5m shot,10.0,3,1,5,GRE,3.0,FERNANDEZ MIRANDA,3 - 5,451,ESP,7:31,Post,0
Action shot,8.0,3,1,5,GRE,3.0,ESPANOL LIFANTE A,3 - 5,365,ESP,6:05,Saved,0
5m shot,5.0,3,1,5,GRE,3.0,FOUNTOULIS I,3 - 5,306,GRE,5:06,Saved,0
Centre shot,9.0,3,1,5,GRE,3.0,TAHULL COMPTE R,3 - 5,277,ESP,4:37,Saved,0
Action shot,12.0,3,1,5,GRE,3.0,VLACHOPOULOS A,3 - 5,253,GRE,4:13,Saved,0
5m shot,5.0,3,1,5,GRE,3.0,FOUNTOULIS I,3 - 5,233,GRE,3:53,Saved,0
Extra player shot,12.0,3,1,6,GRE,3.0,VLACHOPOULOS A,3 - 6,197,GRE,3:17,Goal,1
Action shot,7.0,4,1,6,GRE,3.0,BARROSO MACARRO A,4 - 6,173,ESP,2:53,Goal,1
5m shot,5.0,4,1,6,GRE,3.0,FOUNTOULIS I,4 - 6,143,GRE,2:23,Saved,0
5m shot,3.0,4,1,6,GRE,3.0,DELAKAS E,4 - 6,96,GRE,1:36,Missed,0
Extra player shot,7.0,4,1,6,GRE,3.0,BARROSO MACARRO A,4 - 6,53,ESP,0:53,Post,0
5m shot,2.0,4,1,6,GRE,3.0,MUNARRIZ EGANA A,4 - 6,30,ESP,0:30,Blocked,0
Action shot,5.0,4,1,6,GRE,3.0,FOUNTOULIS I,4 - 6,4,GRE,0:04,Saved,0
5m shot,4.0,4,1,6,GRE,4.0,DERVISIS G,4 - 6,453,GRE,7:33,Saved,0
Extra player shot,11.0,4,1,7,GRE,4.0,GOUNAS A,4 - 7,386,GRE,6:26,Goal,1
Action shot,2.0,4,1,7,GRE,4.0,MUNARRIZ EGANA A,4 - 7,355,ESP,5:55,Saved,0
Action shot,11.0,5,1,7,GRE,4.0,MALLARACH GUELL B,5 - 7,346,ESP,5:46,Goal,1
5m shot,2.0,5,1,7,GRE,4.0,GENIDOUNIAS K,5 - 7,315,GRE,5:15,Saved,0
Action shot,11.0,5,1,7,GRE,4.0,MALLARACH GUELL B,5 - 7,277,ESP,4:37,Saved,0
Action shot,12.0,6,1,7,GRE,4.0,GUTIERREZ SANTIAGO,6 - 7,273,ESP,4:33,Goal,1
Action shot,12.0,6,1,7,GRE,4.0,VLACHOPOULOS A,6 - 7,231,GRE,3:51,Saved,0
Centre shot,9.0,7,1,7,GRE,4.0,TAHULL COMPTE R,7 - 7,207,ESP,3:27,Goal,1
Extra player shot,5.0,7,1,7,GRE,4.0,FOUNTOULIS I,7 - 7,154,GRE,2:34,Saved,0
5m shot,2.0,7,1,7,GRE,4.0,MUNARRIZ EGANA A,7 - 7,134,ESP,2:14,Saved,0
Extra player shot,4.0,7,1,8,GRE,4.0,DERVISIS G,7 - 8,80,GRE,1:20,Goal,1
Action shot,2.0,7,1,8,GRE,4.0,MUNARRIZ EGANA A,7 - 8,28,ESP,0:28,Saved,0
5m shot,11.0,0,2,0,SRB,1.0,MALLARACH GUELL B,0 - 0,451,ESP,7:31,Blocked,0
5m shot,6.0,0,2,0,SRB,1.0,MINGUELL ALFEREZ M,0 - 0,335,ESP,5:35,Saved,0
Extra player shot,5.0,1,2,0,SRB,1.0,BUSTOS SANCHEZ A,1 - 0,176,ESP,2:56,Goal,1
Action shot,11.0,1,2,1,SRB,1.0,PRLAINOVIC A,1 - 1,148,SRB,2:28,Goal,1
Extra player shot,11.0,1,2,2,SRB,1.0,PRLAINOVIC A,1 - 2,106,SRB,1:46,Goal,1
Centre shot,9.0,1,2,2,SRB,1.0,TAHULL COMPTE R,1 - 2,97,ESP,1:37,Saved,0
Penalty shot,10.0,1,2,3,SRB,1.0,FILIPOVIC F,1 - 3,69,SRB,1:09,Goal,1
Centre shot,6.0,1,2,3,SRB,1.0,MINGUELL ALFEREZ M,1 - 3,13,ESP,0:13,Blocked,0
Centre shot,6.0,1,2,3,SRB,1.0,MINGUELL ALFEREZ M,1 - 3,3,ESP,0:03,Blocked,0
Extra player shot,7.0,1,2,4,SRB,2.0,UBOVIC N,1 - 4,439,SRB,7:19,Goal,1
Centre shot,2.0,1,2,5,SRB,2.0,MANDIC D,1 - 5,329,SRB,5:29,Goal,1
5m shot,11.0,1,2,5,SRB,2.0,PRLAINOVIC A,1 - 5,273,SRB,4:33,Saved,0
5m shot,6.0,1,2,5,SRB,2.0,MINGUELL ALFEREZ M,1 - 5,244,ESP,4:04,Saved,0
5m shot,10.0,1,2,5,SRB,2.0,FILIPOVIC F,1 - 5,215,SRB,3:35,Blocked,0
Extra player shot,2.0,1,2,5,SRB,2.0,MUNARRIZ EGANA A,1 - 5,171,ESP,2:51,Blocked,0
5m shot,4.0,1,2,5,SRB,2.0,RANDELOVIC S,1 - 5,141,SRB,2:21,Saved,0
5m shot,11.0,1,2,5,SRB,2.0,MALLARACH GUELL B,1 - 5,115,ESP,1:55,Saved,0
5m shot,10.0,1,2,5,SRB,2.0,FILIPOVIC F,1 - 5,73,SRB,1:13,Saved,0
Action shot,5.0,1,2,5,SRB,2.0,BUSTOS SANCHEZ A,1 - 5,44,ESP,0:44,Blocked,0
Counter attack,7.0,1,2,5,SRB,4.0,UBOVIC N,1 - 5,64,SRB,1:04,Saved,0
5m shot,7.0,1,2,5,SRB,4.0,BARROSO MACARRO A,1 - 5,38,ESP,0:38,Saved,0
Action shot,5.0,1,2,5,SRB,2.0,BUSTOS SANCHEZ A,1 - 5,1,ESP,0:01,Blocked,0
Action shot,8.0,2,2,5,SRB,3.0,ESPANOL LIFANTE A,2 - 5,432,ESP,7:12,Goal,1
Extra player shot,8.0,2,2,6,SRB,3.0,ALEKSIC M,2 - 6,403,SRB,6:43,Goal,1
Extra player shot,11.0,3,2,6,SRB,3.0,MALLARACH GUELL B,3 - 6,374,ESP,6:14,Goal,1
Extra player shot,10.0,3,2,7,SRB,3.0,FILIPOVIC F,3 - 7,337,SRB,5:37,Goal,1
5m shot,9.0,3,2,7,SRB,3.0,JAKSIC N,3 - 7,291,SRB,4:51,Post,0
5m shot,9.0,3,2,7,SRB,3.0,JAKSIC N,3 - 7,239,SRB,3:59,Missed,0
5m shot,11.0,3,2,7,SRB,3.0,MALLARACH GUELL B,3 - 7,216,ESP,3:36,Post,0
5m shot,10.0,3,2,7,SRB,3.0,FILIPOVIC F,3 - 7,200,SRB,3:20,Post,0
Action shot,12.0,3,2,8,SRB,3.0,MITORVIC S,3 - 8,161,SRB,2:41,Goal,1
Extra player shot,2.0,3,2,8,SRB,3.0,MUNARRIZ EGANA A,3 - 8,127,ESP,2:07,Saved,0
Action shot,6.0,3,2,8,SRB,3.0,MINGUELL ALFEREZ M,3 - 8,65,ESP,1:05,Blocked,0
5m shot,8.0,3,2,8,SRB,3.0,ALEKSIC M,3 - 8,40,SRB,0:40,Saved,0
5m shot,3.0,3,2,8,SRB,3.0,RASOVIC V,3 - 8,1,SRB,0:01,Post,0
