Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,12.0,9,3,3,RSA,3.0,GUTIERREZ SANTIAGO,9 - 3,53,ESP,0:53,Goal,1
Extra player shot,9.0,10,3,3,RSA,3.0,TAHULL COMPTE R,10 - 3,1,ESP,0:01,Goal,1
5m shot,11.0,11,3,3,RSA,4.0,MALLARACH GUELL B,11 - 3,454,ESP,7:34,Goal,1
Counter attack,11.0,12,3,3,RSA,4.0,MALLARACH GUELL B,12 - 3,416,ESP,6:56,Goal,1
5m shot,6.0,12,3,3,RSA,4.0,de CARVALHO J,12 - 3,394,RSA,6:34,Missed,0
Action shot,7.0,12,3,3,RSA,4.0,BARROSO MACARRO A,12 - 3,347,ESP,5:47,Saved,0
5m shot,2.0,12,3,3,RSA,4.0,le ROUX E,12 - 3,299,RSA,4:59,Missed,0
Action shot,6.0,12,3,3,RSA,4.0,MINGUELL ALFEREZ M,12 - 3,281,ESP,4:41,Saved,0
Extra player shot,12.0,13,3,3,RSA,4.0,GUTIERREZ SANTIAGO,13 - 3,229,ESP,3:49,Goal,1
5m shot,7.0,13,3,4,RSA,4.0,RABIE L,13 - 4,203,RSA,3:23,Goal,1
5m shot,12.0,14,3,4,RSA,4.0,GUTIERREZ SANTIAGO,14 - 4,177,ESP,2:57,Goal,1
Extra player shot,4.0,15,3,4,RSA,4.0,del TORO M,15 - 4,125,ESP,2:05,Goal,1
5m shot,5.0,15,3,4,RSA,4.0,BROWN C,15 - 4,49,RSA,0:49,Saved,0
5m shot,2.0,16,3,4,RSA,4.0,MUNARRIZ EGANA A,16 - 4,18,ESP,0:18,Goal,1
Extra player shot,7.0,0,4,0,RUS,1.0,MERKULOV D,0 - 0,433,RUS,7:13,Blocked,0
5m shot,8.0,0,4,0,RUS,1.0,NAGAEV I,0 - 0,384,RUS,6:24,Missed,0
Extra player shot,9.0,1,4,0,RUS,1.0,TAHULL COMPTE R,1 - 0,347,ESP,5:47,Goal,1
5m shot,7.0,1,4,1,RUS,1.0,MERKULOV D,1 - 1,321,RUS,5:21,Goal,1
Action shot,7.0,2,4,1,RUS,1.0,BARROSO MACARRO A,2 - 1,276,ESP,4:36,Goal,1
5m shot,11.0,2,4,1,RUS,1.0,MALLARACH GUELL B,2 - 1,227,ESP,3:47,Saved,0
