Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot,8.0,1,6,2,JPN,1.0,ESPANOL LIFANTE A,2 - 1,1,ESP,0:01
Starting goalkeeper,1.0,1,6,2,JPN,2.0,TANAMURA K,2 - 1,480,JPN,8:00
Starting goalkeeper,13.0,1,6,2,JPN,2.0,MOTOS MARTIN J,2 - 1,480,ESP,8:00
Sprint won possession,7.0,1,6,2,JPN,2.0,BARROSO MACARRO A,2 - 1,480,ESP,8:00
Action shot - Goal,8.0,2,6,2,JPN,2.0,ESPANOL LIFANTE A,2 - 2,452,ESP,7:32
Turnover foul,8.0,2,6,2,JPN,2.0,TAKATA M,2 - 2,436,JPN,7:16
Steal,13.0,2,6,2,JPN,2.0,MOTOS MARTIN J,2 - 2,436,ESP,7:16
Centre shot - Goal,12.0,3,6,2,JPN,2.0,GUTIERREZ SANTIAGO,2 - 3,417,ESP,6:57
5m shot - Blocked,7.0,3,6,2,JPN,2.0,SHIMIZU Y,2 - 3,388,JPN,6:28
Turnover foul,12.0,3,6,2,JPN,2.0,GUTIERREZ SANTIAGO,2 - 3,361,ESP,6:01
Counter attack - Goal,4.0,3,6,3,JPN,2.0,SHIGA M,3 - 3,356,JPN,5:56
Penalty foul,8.0,3,6,3,JPN,2.0,TAKATA M,3 - 3,333,JPN,5:33
Penalty shot - Goal,8.0,4,6,3,JPN,2.0,ESPANOL LIFANTE A,3 - 4,333,ESP,5:33
20 sec. exclusion in centre,5.0,4,6,3,JPN,2.0,BUSTOS SANCHEZ A,3 - 4,321,ESP,5:21
Extra player shot - Goal,4.0,4,6,4,JPN,2.0,SHIGA M,4 - 4,304,JPN,5:04
20 sec. exclusion in centre,6.0,4,6,4,JPN,2.0,IIDA A,4 - 4,288,JPN,4:48
Exclusion with substitution,6.0,4,6,4,JPN,2.0,IIDA A,4 - 4,288,JPN,4:48
Extra player shot - Goal,11.0,5,6,4,JPN,2.0,MALLARACH GUELL B,4 - 5,272,ESP,4:32
Turnover foul,9.0,5,6,4,JPN,2.0,ARAI A,4 - 5,246,JPN,4:06
Steal,2.0,5,6,4,JPN,2.0,MUNARRIZ EGANA A,4 - 5,246,ESP,4:06
Centre shot - Saved,9.0,5,6,4,JPN,2.0,TAHULL COMPTE R,4 - 5,229,ESP,3:49
20 sec. exclusion in field,10.0,5,6,4,JPN,2.0,FERNANDEZ MIRANDA,4 - 5,206,ESP,3:26
Turnover foul,11.0,5,6,4,JPN,2.0,OKAWA K,4 - 5,164,JPN,2:44
Turnover foul,8.0,5,6,4,JPN,2.0,ESPANOL LIFANTE A,4 - 5,155,ESP,2:35
5m shot - Post,9.0,5,6,4,JPN,2.0,ARAI A,4 - 5,147,JPN,2:27
Turnover foul,4.0,5,6,4,JPN,4.0,del TORO M,4 - 5,318,ESP,5:18
Centre shot - Saved,4.0,5,6,4,JPN,4.0,SHIGA M,4 - 5,311,JPN,5:11
5m shot - Saved,2.0,5,6,4,JPN,4.0,MUNARRIZ EGANA A,4 - 5,282,ESP,4:42
Action shot - Blocked,9.0,5,6,4,JPN,4.0,ARAI A,4 - 5,255,JPN,4:15
5m shot - Missed,8.0,5,6,4,JPN,4.0,ESPANOL LIFANTE A,4 - 5,232,ESP,3:52
Action shot - Goal,11.0,13,6,10,JPN,4.0,OKAWA K,10 - 13,217,JPN,3:37
5m shot - Missed,7.0,13,6,10,JPN,4.0,BARROSO MACARRO A,10 - 13,194,ESP,3:14
Turnover foul,8.0,13,6,10,JPN,4.0,TAKATA M,10 - 13,169,JPN,2:49
