Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Penalty shot,3.0,8,5,7,GRE,4.0,ESPAR LLAQUET A,7 - 8,427,ESP,7:07,Goal,1
5m shot,10.0,8,5,7,GRE,4.0,MANOLIOUDAKI T,7 - 8,402,GRE,6:42,Blocked,0
5m shot,6.0,8,5,8,GRE,4.0,AVRAMIDOU A,8 - 8,369,GRE,6:09,Goal,1
5m shot,9.0,8,5,8,GRE,4.0,FORCA ARIZA J,8 - 8,339,ESP,5:39,Post,0
5m shot,9.0,8,5,9,GRE,4.0,KOTSIA C,9 - 8,310,GRE,5:10,Goal,1
Extra player shot,12.0,9,5,9,GRE,4.0,LEITON ARRONES P,9 - 9,267,ESP,4:27,Goal,1
5m shot,11.0,9,5,9,GRE,4.0,PLEVRITOU E,9 - 9,217,GRE,3:37,Post,0
5m shot,11.0,9,5,9,GRE,4.0,PLEVRITOU E,9 - 9,168,GRE,2:48,Blocked,0
Action shot,4.0,9,5,9,GRE,4.0,ELEFTHERIADOU N,9 - 9,140,GRE,2:20,Saved,0
5m shot,4.0,9,5,9,GRE,4.0,ORTIZ MUNOZ B,9 - 9,114,ESP,1:54,Missed,0
Action shot,12.0,9,5,10,GRE,4.0,XENAKI E,10 - 9,91,GRE,1:31,Goal,1
5m shot,9.0,9,5,10,GRE,4.0,FORCA ARIZA J,10 - 9,65,ESP,1:05,Saved,0
Action shot,4.0,9,5,10,GRE,4.0,ELEFTHERIADOU N,10 - 9,36,GRE,0:36,Post,0
Extra player shot,9.0,10,5,10,GRE,4.0,FORCA ARIZA J,10 - 10,5,ESP,0:05,Goal,1
5m shot,4.0,0,6,0,CAN,1.0,ORTIZ MUNOZ B,0 - 0,453,ESP,7:33,Saved,0
Action shot,7.0,1,6,0,CAN,1.0,ESPAR LLAQUET C,0 - 1,395,ESP,6:35,Goal,1
Extra player shot,5.0,1,6,0,CAN,1.0,EGGENS M,0 - 1,364,CAN,6:04,Blocked,0
5m shot,4.0,1,6,0,CAN,1.0,ORTIZ MUNOZ B,0 - 1,340,ESP,5:40,Blocked,0
5m shot,10.0,1,6,0,CAN,1.0,ROBINSON C,0 - 1,313,CAN,5:13,Saved,0
Action shot,5.0,1,6,1,CAN,1.0,EGGENS M,1 - 1,298,CAN,4:58,Goal,1
Action shot,9.0,1,6,1,CAN,1.0,FORCA ARIZA J,1 - 1,269,ESP,4:29,Blocked,0
5m shot,11.0,2,6,1,CAN,1.0,GUAL ROVIROSA A,1 - 2,253,ESP,4:13,Goal,1
Action shot,4.0,3,6,1,CAN,1.0,ORTIZ MUNOZ B,1 - 3,209,ESP,3:29,Goal,1
5m shot,7.0,3,6,1,CAN,1.0,BEKHAZI J,1 - 3,191,CAN,3:11,Post,0
Action shot,3.0,3,6,1,CAN,1.0,ESPAR LLAQUET A,1 - 3,164,ESP,2:44,Missed,0
Extra player shot,11.0,3,6,2,CAN,1.0,McKEE K,2 - 3,122,CAN,2:02,Goal,1
Penalty shot,3.0,4,6,2,CAN,1.0,ESPAR LLAQUET A,2 - 4,97,ESP,1:37,Goal,1
Action shot,6.0,4,6,2,CAN,1.0,CHRISTMAS K,2 - 4,73,CAN,1:13,Saved,0
5m shot,4.0,4,6,2,CAN,1.0,ORTIZ MUNOZ B,2 - 4,49,ESP,0:49,Blocked,0
5m shot,5.0,4,6,2,CAN,1.0,EGGENS M,2 - 4,1,CAN,0:01,Saved,0
5m shot,4.0,4,6,2,CAN,2.0,ORTIZ MUNOZ B,2 - 4,457,ESP,7:37,Blocked,0
5m shot,7.0,4,6,2,CAN,2.0,BEKHAZI J,2 - 4,441,CAN,7:21,Missed,0
5m shot,11.0,4,6,2,CAN,2.0,GUAL ROVIROSA A,2 - 4,421,ESP,7:01,Post,0
Action shot,11.0,5,6,2,CAN,2.0,GUAL ROVIROSA A,2 - 5,395,ESP,6:35,Goal,1
Counter attack,4.0,5,6,2,CAN,2.0,ORTIZ MUNOZ B,2 - 5,350,ESP,5:50,Saved,0
Action shot,6.0,5,6,2,CAN,2.0,CHRISTMAS K,2 - 5,323,CAN,5:23,Saved,0
Action shot,8.0,5,6,2,CAN,2.0,PENA CARRASCO M,2 - 5,294,ESP,4:54,Saved,0
Centre shot,8.0,5,6,2,CAN,2.0,PENA CARRASCO M,2 - 5,239,ESP,3:59,Saved,0
Extra player shot,6.0,5,6,3,CAN,2.0,CHRISTMAS K,3 - 5,205,CAN,3:25,Goal,1
