Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,UZB,Result,Goal
Action shot,7.0,4,4,AUS,1.0,WEBSTER R,4 - 0,170,AUS,2:50,0,Post,0
5m shot,3.0,4,4,AUS,1.0,SARANCHA A,4 - 0,143,UZB,2:23,0,Missed,0
Penalty shot,7.0,4,5,AUS,1.0,WEBSTER R,5 - 0,122,AUS,2:02,0,Goal,1
Centre shot,4.0,4,6,AUS,1.0,LINCOLN-SMITH H,6 - 0,79,AUS,1:19,0,Goal,1
Centre shot,12.0,4,6,AUS,1.0,ZAGAME N,6 - 0,36,AUS,0:36,0,Saved,0
Action shot,3.0,4,7,AUS,2.0,BUCKLING H,7 - 0,365,AUS,6:05,0,Goal,1
Penalty shot,3.0,4,7,AUS,2.0,SARANCHA A,7 - 1,343,UZB,5:43,1,Goal,1
Action shot,9.0,4,8,AUS,2.0,ARANCINI Z,8 - 1,328,AUS,5:28,1,Goal,1
Action shot,4.0,4,8,AUS,2.0,DJUMALIEVA A,8 - 1,299,UZB,4:59,1,Saved,0
Action shot,11.0,4,8,AUS,2.0,GOFERS K,8 - 1,273,AUS,4:33,1,Saved,0
Action shot,11.0,4,8,AUS,2.0,GOFERS K,8 - 1,264,AUS,4:24,1,Saved,0
Action shot,3.0,4,9,AUS,2.0,BUCKLING H,9 - 1,257,AUS,4:17,1,Goal,1
Extra player shot,5.0,4,10,AUS,2.0,BISHOP I,10 - 1,202,AUS,3:22,1,Goal,1
5m shot,7.0,4,10,AUS,2.0,PLYUSOVA N,10 - 1,157,UZB,2:37,1,Post,0
Action shot,5.0,4,11,AUS,2.0,BISHOP I,11 - 1,95,AUS,1:35,1,Goal,1
Action shot,9.0,4,11,AUS,2.0,HALIKOVA R,11 - 1,55,UZB,0:55,1,Missed,0
Centre shot,11.0,4,11,AUS,2.0,GOFERS K,11 - 1,44,AUS,0:44,1,Saved,0
Action shot,10.0,4,11,AUS,2.0,SOUTHERN A,11 - 1,26,AUS,0:26,1,Blocked,0
Counter attack,10.0,4,24,AUS,4.0,SOUTHERN A,24 - 2,70,AUS,1:10,2,Goal,1
Action shot,9.0,4,25,AUS,4.0,ARANCINI Z,25 - 2,22,AUS,0:22,2,Goal,1
Penalty shot,3.0,4,12,AUS,3.0,BUCKLING H,12 - 1,458,AUS,7:38,1,Goal,1
Action shot,7.0,4,12,AUS,3.0,WEBSTER R,12 - 1,404,AUS,6:44,1,Blocked,0
Centre shot,3.0,4,12,AUS,3.0,SARANCHA A,12 - 2,337,UZB,5:37,2,Goal,1
Centre shot,7.0,4,12,AUS,3.0,WEBSTER R,12 - 2,319,AUS,5:19,2,Missed,0
5m shot,7.0,4,12,AUS,3.0,PLYUSOVA N,12 - 2,289,UZB,4:49,2,Blocked,0
Action shot,3.0,4,13,AUS,3.0,BUCKLING H,13 - 2,274,AUS,4:34,2,Goal,1
Action shot,6.0,4,14,AUS,3.0,KNOX B,14 - 2,224,AUS,3:44,2,Goal,1
Centre shot,4.0,4,15,AUS,3.0,LINCOLN-SMITH H,15 - 2,177,AUS,2:57,2,Goal,1
Action shot,8.0,4,15,AUS,3.0,McGHIE G,15 - 2,96,AUS,1:36,2,Post,0
Extra player shot,4.0,4,15,AUS,3.0,LINCOLN-SMITH H,15 - 2,63,AUS,1:03,2,Post,0
Action shot,6.0,4,16,AUS,3.0,KNOX B,16 - 2,11,AUS,0:11,2,Goal,1
Centre shot,2.0,4,17,AUS,4.0,APPEL J,17 - 2,465,AUS,7:45,2,Goal,1
Counter attack,11.0,4,17,AUS,4.0,GOFERS K,17 - 2,434,AUS,7:14,2,Saved,0
Action shot,10.0,4,18,AUS,4.0,SOUTHERN A,18 - 2,394,AUS,6:34,2,Goal,1
Extra player shot,11.0,4,19,AUS,4.0,GOFERS K,19 - 2,280,AUS,4:40,2,Goal,1
Centre shot,7.0,4,19,AUS,4.0,PLYUSOVA N,19 - 2,262,UZB,4:22,2,Saved,0
Action shot,3.0,4,20,AUS,4.0,BUCKLING H,20 - 2,246,AUS,4:06,2,Goal,1
Action shot,10.0,4,20,AUS,4.0,SOUTHERN A,20 - 2,206,AUS,3:26,2,Saved,0
Centre shot,5.0,4,21,AUS,4.0,BISHOP I,21 - 2,167,AUS,2:47,2,Goal,1
Action shot,9.0,4,21,AUS,4.0,ARANCINI Z,21 - 2,140,AUS,2:20,2,Saved,0
Centre shot,3.0,4,22,AUS,4.0,BUCKLING H,22 - 2,138,AUS,2:18,2,Goal,1
Action shot,10.0,4,23,AUS,4.0,SOUTHERN A,23 - 2,87,AUS,1:27,2,Goal,1
5m shot,7.0,4,23,AUS,4.0,PLYUSOVA N,23 - 2,1,UZB,0:01,2,Saved,0
