Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,7.0,1,6,8,ITA,4.0,di MARIO T,8 - 6,243,ITA,4:03,Missed,0
Action shot,9.0,1,6,8,ITA,4.0,JAKAYEVA A,8 - 6,210,KAZ,3:30,Blocked,0
Extra player shot,3.0,1,7,9,ITA,4.0,AKILBAYEVA A,9 - 7,23,KAZ,0:23,Goal,1
Action shot,12.0,1,7,9,ITA,4.0,FRASSINETTI T,9 - 7,11,ITA,0:11,Post,0
Action shot,9.0,1,7,9,ITA,4.0,JAKAYEVA A,9 - 7,2,KAZ,0:02,Missed,0
5m shot,8.0,2,0,0,BRA,1.0,CHIAPPINI I,0 - 0,452,BRA,7:32,Post,0
Extra player shot,7.0,2,1,0,BRA,1.0,ALEXANDROVA N,1 - 0,419,KAZ,6:59,Goal,1
Action shot,11.0,2,1,0,BRA,1.0,COUTINHO M,1 - 0,368,BRA,6:08,Saved,0
Action shot,10.0,2,1,0,BRA,1.0,GRITSENKO M,1 - 0,300,KAZ,5:00,Blocked,0
Action shot,3.0,2,1,1,BRA,1.0,ZABLITH M,1 - 1,284,BRA,4:44,Goal,1
Action shot,7.0,2,1,1,BRA,1.0,ALEXANDROVA N,1 - 1,266,KAZ,4:26,Post,0
5m shot,12.0,2,1,1,BRA,1.0,BAHIA V,1 - 1,236,BRA,3:56,Blocked,0
Extra player shot,3.0,2,1,2,BRA,1.0,ZABLITH M,1 - 2,203,BRA,3:23,Goal,1
Centre shot,9.0,2,1,2,BRA,1.0,JAKAYEVA A,1 - 2,173,KAZ,2:53,Saved,0
Centre shot,4.0,2,1,2,BRA,1.0,CANETTI M,1 - 2,111,BRA,1:51,Post,0
Extra player shot,10.0,2,1,2,BRA,1.0,GRITSENKO M,1 - 2,76,KAZ,1:16,Post,0
Penalty shot,10.0,2,2,2,BRA,1.0,GRITSENKO M,2 - 2,34,KAZ,0:34,Goal,1
Extra player shot,3.0,2,2,2,BRA,1.0,ZABLITH M,2 - 2,2,BRA,0:02,Saved,0
Extra player shot,9.0,2,3,2,BRA,2.0,JAKAYEVA A,3 - 2,442,KAZ,7:22,Goal,1
5m shot,12.0,2,3,2,BRA,2.0,BAHIA V,3 - 2,417,BRA,6:57,Saved,0
