Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Saved,3.0,1,3,5,ITA,2.0,GARIBOTTI A,5 - 3,146,ITA,2:26
5m shot - Post,10.0,1,3,5,ITA,2.0,GRITSENKO M,5 - 3,124,KAZ,2:04
Turnover foul,5.0,1,3,5,ITA,2.0,QUEIROLO E,5 - 3,110,ITA,1:50
Action shot - Saved,11.0,1,3,5,ITA,4.0,COTTI A,5 - 3,187,ITA,3:07
20 sec. exclusion in field,7.0,1,3,5,ITA,4.0,ALEXANDROVA N,5 - 3,141,KAZ,2:21
Exclusion with substitution,7.0,1,3,5,ITA,4.0,ALEXANDROVA N,5 - 3,141,KAZ,2:21
Extra player shot - Goal,8.0,1,6,9,ITA,4.0,BIANCONI R,9 - 6,123,ITA,2:03
Action shot - Post,9.0,1,6,9,ITA,4.0,JAKAYEVA A,9 - 6,110,KAZ,1:50
5m shot - Post,8.0,1,6,9,ITA,4.0,BIANCONI R,9 - 6,89,ITA,1:29
Action shot - Saved,3.0,1,6,9,ITA,4.0,AKILBAYEVA A,9 - 6,62,KAZ,1:02
Double exclusion,9.0,1,6,9,ITA,4.0,JAKAYEVA A,9 - 6,46,KAZ,0:46
Steal,1.0,1,6,9,ITA,2.0,ZHARKOVA A,9 - 6,110,KAZ,1:50
Turnover foul,9.0,1,6,9,ITA,2.0,JAKAYEVA A,9 - 6,100,KAZ,1:40
Centre shot - Saved,12.0,1,6,9,ITA,2.0,FRASSINETTI T,9 - 6,87,ITA,1:27
Turnover foul,7.0,1,6,9,ITA,2.0,ALEXANDROVA N,9 - 6,58,KAZ,0:58
Steal,2.0,1,6,9,ITA,2.0,POMERI F,9 - 6,58,ITA,0:58
Centre shot - Saved,12.0,1,6,9,ITA,2.0,FRASSINETTI T,9 - 6,39,ITA,0:39
20 sec. exclusion in centre,6.0,1,6,9,ITA,2.0,ZUBKOVA A,9 - 6,23,KAZ,0:23
Extra player shot - Saved,11.0,1,6,9,ITA,2.0,COTTI A,9 - 6,10,ITA,0:10
Extra player shot - Goal,11.0,1,3,6,ITA,2.0,COTTI A,6 - 3,8,ITA,0:08
Starting goalkeeper,1.0,1,3,6,ITA,3.0,GIGLI E,6 - 3,480,ITA,8:00
Starting goalkeeper,1.0,1,3,6,ITA,3.0,ZHARKOVA A,6 - 3,480,KAZ,8:00
Sprint won possession,6.0,1,3,6,ITA,3.0,AIELLO R,6 - 3,480,ITA,8:00
5m shot - Goal,9.0,1,3,7,ITA,3.0,EMMOLO G,7 - 3,457,ITA,7:37
Turnover foul,2.0,1,3,7,ITA,3.0,SHEPELINA N,7 - 3,431,KAZ,7:11
Centre shot - Blocked,10.0,1,3,7,ITA,3.0,PALMIERI V,7 - 3,413,ITA,6:53
5m shot - Missed,8.0,1,3,7,ITA,3.0,BIANCONI R,7 - 3,400,ITA,6:40
5m shot - Missed,7.0,1,3,7,ITA,3.0,ALEXANDROVA N,7 - 3,379,KAZ,6:19
5m shot - Blocked,4.0,1,3,7,ITA,3.0,RADICCHI F,7 - 3,355,ITA,5:55
5m shot - Post,10.0,1,3,7,ITA,3.0,GRITSENKO M,7 - 3,331,KAZ,5:31
Turnover foul,8.0,1,3,7,ITA,3.0,BIANCONI R,7 - 3,328,ITA,5:28
Action shot - Saved,2.0,1,3,7,ITA,3.0,SHEPELINA N,7 - 3,299,KAZ,4:59
Centre shot - Goal,10.0,1,3,8,ITA,3.0,PALMIERI V,8 - 3,283,ITA,4:43
5m shot - Post,3.0,1,3,8,ITA,3.0,AKILBAYEVA A,8 - 3,256,KAZ,4:16
5m shot - Saved,9.0,1,3,8,ITA,3.0,EMMOLO G,8 - 3,237,ITA,3:57
5m shot - Missed,4.0,1,3,8,ITA,3.0,TUROVA A,8 - 3,214,KAZ,3:34
Turnover foul,10.0,1,3,8,ITA,3.0,PALMIERI V,8 - 3,199,ITA,3:19
5m shot - Goal,4.0,1,4,8,ITA,3.0,TUROVA A,8 - 4,172,KAZ,2:52
5m shot - Missed,8.0,1,4,8,ITA,3.0,BIANCONI R,8 - 4,155,ITA,2:35
5m shot - Post,10.0,1,4,8,ITA,3.0,GRITSENKO M,8 - 4,128,KAZ,2:08
20 sec. exclusion in field,6.0,1,4,8,ITA,3.0,ZUBKOVA A,8 - 4,115,KAZ,1:55
Exclusion with substitution,6.0,1,4,8,ITA,3.0,ZUBKOVA A,8 - 4,115,KAZ,1:55
Time-Out,,1,4,8,ITA,3.0,,8 - 4,115,ITA,1:55
5m shot - Missed,2.0,1,4,8,ITA,3.0,POMERI F,8 - 4,80,ITA,1:20
20 sec. exclusion in field,12.0,1,4,8,ITA,3.0,FRASSINETTI T,8 - 4,66,ITA,1:06
Time-Out,,1,4,8,ITA,3.0,,8 - 4,66,KAZ,1:06
Extra player shot - Goal,3.0,1,5,8,ITA,3.0,AKILBAYEVA A,8 - 5,54,KAZ,0:54
Turnover foul,6.0,1,5,8,ITA,3.0,AIELLO R,8 - 5,41,ITA,0:41
5m shot - Saved,3.0,1,5,8,ITA,3.0,AKILBAYEVA A,8 - 5,25,KAZ,0:25
20 sec. exclusion in centre,2.0,1,5,8,ITA,3.0,POMERI F,8 - 5,10,ITA,0:10
Extra player shot - Goal,10.0,1,6,8,ITA,3.0,GRITSENKO M,8 - 6,1,KAZ,0:01
Starting goalkeeper,1.0,1,6,8,ITA,4.0,GIGLI E,8 - 6,480,ITA,8:00
Starting goalkeeper,1.0,1,6,8,ITA,4.0,ZHARKOVA A,8 - 6,480,KAZ,8:00
Sprint won possession,7.0,1,6,8,ITA,4.0,di MARIO T,8 - 6,480,ITA,8:00
Turnover foul,12.0,1,6,8,ITA,4.0,FRASSINETTI T,8 - 6,454,ITA,7:34
Steal,1.0,1,6,8,ITA,4.0,ZHARKOVA A,8 - 6,454,KAZ,7:34
Turnover foul,8.0,1,6,8,ITA,4.0,GLUSHKOVA Y,8 - 6,438,KAZ,7:18
Turnover foul,4.0,1,6,8,ITA,4.0,RADICCHI F,8 - 6,413,ITA,6:53
Steal,2.0,1,6,8,ITA,4.0,SHEPELINA N,8 - 6,413,KAZ,6:53
5m shot - Blocked,10.0,1,6,8,ITA,4.0,GRITSENKO M,8 - 6,389,KAZ,6:29
Action shot - Saved,7.0,1,6,8,ITA,4.0,di MARIO T,8 - 6,371,ITA,6:11
20 sec. exclusion in centre,4.0,1,6,8,ITA,4.0,RADICCHI F,8 - 6,346,ITA,5:46
Time-Out,,1,6,8,ITA,4.0,,8 - 6,346,KAZ,5:46
Extra player shot - Post,2.0,1,6,8,ITA,4.0,SHEPELINA N,8 - 6,327,KAZ,5:27
Turnover foul,12.0,1,6,8,ITA,4.0,FRASSINETTI T,8 - 6,308,ITA,5:08
20 sec. exclusion in field,4.0,1,6,8,ITA,4.0,RADICCHI F,8 - 6,288,ITA,4:48
