Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,0,12.0,1,0,USA,1.0,GARCIA GADEA J,0 - 0,405,CRO,6:45,Saved,0
Action shot,0,7.0,1,0,USA,1.0,VUKICEVIC A,0 - 0,347,CRO,5:47,Saved,0
5m shot,0,6.0,1,1,USA,1.0,CUPIDO L,1 - 0,320,USA,5:20,Goal,1
Extra player shot,1,7.0,1,1,USA,1.0,VUKICEVIC A,1 - 1,296,CRO,4:56,Goal,1
Extra player shot,1,8.0,1,1,USA,1.0,CARNIGLIA N,1 - 1,261,USA,4:21,Missed,0
Action shot,1,5.0,1,1,USA,1.0,JOKOVIC M,1 - 1,233,CRO,3:53,Missed,0
5m shot,1,2.0,1,1,USA,1.0,HOOPER J,1 - 1,217,USA,3:37,Missed,0
Centre shot,2,4.0,1,1,USA,1.0,LONCAR L,1 - 2,166,CRO,2:46,Goal,1
Action shot,2,12.0,1,1,USA,1.0,GARCIA GADEA J,1 - 2,97,CRO,1:37,Blocked,0
Action shot,3,7.0,1,1,USA,1.0,VUKICEVIC A,1 - 3,88,CRO,1:28,Goal,1
5m shot,3,5.0,1,1,USA,1.0,JOKOVIC M,1 - 3,34,CRO,0:34,Blocked,0
Centre shot,3,4.0,1,1,USA,1.0,OBERT A,1 - 3,9,USA,0:09,Saved,0
Centre shot,4,4.0,1,1,USA,2.0,LONCAR L,1 - 4,455,CRO,7:35,Goal,1
Action shot,4,3.0,1,1,USA,2.0,FATOVIC L,1 - 4,413,CRO,6:53,Blocked,0
5m shot,4,10.0,1,1,USA,2.0,RAMIREZ C,1 - 4,387,USA,6:27,Post,0
Action shot,4,7.0,1,1,USA,2.0,DUNSTAN T,1 - 4,324,USA,5:24,Saved,0
5m shot,4,6.0,1,1,USA,2.0,CUPIDO L,1 - 4,270,USA,4:30,Missed,0
Counter attack,5,3.0,1,1,USA,2.0,FATOVIC L,1 - 5,261,CRO,4:21,Goal,1
Action shot,5,5.0,1,1,USA,2.0,JOKOVIC M,1 - 5,224,CRO,3:44,Missed,0
5m shot,5,12.0,1,1,USA,2.0,IRVING M,1 - 5,200,USA,3:20,Blocked,0
Action shot,5,9.0,1,1,USA,2.0,SUKNO S,1 - 5,173,CRO,2:53,Blocked,0
Extra player shot,5,9.0,1,2,USA,2.0,BOWEN A,2 - 5,147,USA,2:27,Goal,1
Action shot,6,5.0,1,2,USA,2.0,JOKOVIC M,2 - 6,120,CRO,2:00,Goal,1
5m shot,6,7.0,1,2,USA,2.0,DUNSTAN T,2 - 6,92,USA,1:32,Blocked,0
Extra player shot,6,2.0,1,3,USA,2.0,HOOPER J,3 - 6,72,USA,1:12,Goal,1
Action shot,7,12.0,1,3,USA,2.0,GARCIA GADEA J,3 - 7,34,CRO,0:34,Goal,1
Action shot,11,4.0,1,6,USA,4.0,OBERT A,6 - 11,62,USA,1:02,Goal,1
Extra player shot,12,4.0,1,6,USA,4.0,LONCAR L,6 - 12,34,CRO,0:34,Goal,1
5m shot,12,12.0,1,6,USA,2.0,IRVING M,6 - 12,1,USA,0:01,Saved,0
Action shot,12,2.0,1,6,USA,3.0,HOOPER J,6 - 12,437,USA,7:17,Saved,0
Centre shot,8,4.0,1,3,USA,3.0,LONCAR L,3 - 8,405,CRO,6:45,Goal,1
5m shot,8,6.0,1,3,USA,3.0,CUPIDO L,3 - 8,387,USA,6:27,Saved,0
