Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,USA,1.0,BARON M,0 - 0,480,USA,8:00
Starting goalkeeper,0,1.0,1,0,USA,1.0,BIJAC M,0 - 0,480,CRO,8:00
Sprint won possession,0,5.0,1,0,USA,1.0,JOKOVIC M,0 - 0,480,CRO,8:00
Turnover foul,0,4.0,1,0,USA,1.0,OBERT A,0 - 0,425,USA,7:05
Steal,0,1.0,1,0,USA,1.0,BIJAC M,0 - 0,425,CRO,7:05
Action shot - Saved,0,12.0,1,0,USA,1.0,GARCIA GADEA J,0 - 0,405,CRO,6:45
Action shot - Saved,0,7.0,1,0,USA,1.0,VUKICEVIC A,0 - 0,347,CRO,5:47
5m shot - Goal,0,6.0,1,1,USA,1.0,CUPIDO L,1 - 0,320,USA,5:20
20 sec. exclusion in centre,0,10.0,1,1,USA,1.0,RAMIREZ C,1 - 0,298,USA,4:58
Extra player shot - Goal,1,7.0,1,1,USA,1.0,VUKICEVIC A,1 - 1,296,CRO,4:56
20 sec. exclusion in field,1,7.0,1,1,USA,1.0,VUKICEVIC A,1 - 1,277,CRO,4:37
Extra player shot - Missed,1,8.0,1,1,USA,1.0,CARNIGLIA N,1 - 1,261,USA,4:21
Action shot - Missed,1,5.0,1,1,USA,1.0,JOKOVIC M,1 - 1,233,CRO,3:53
5m shot - Missed,1,2.0,1,1,USA,1.0,HOOPER J,1 - 1,217,USA,3:37
Turnover foul,1,10.0,1,1,USA,1.0,KRAPIC I,1 - 1,205,CRO,3:25
Steal,1,12.0,1,1,USA,1.0,IRVING M,1 - 1,205,USA,3:25
Time-Out,1,,1,1,USA,1.0,,1 - 1,205,USA,3:25
Turnover foul,1,4.0,1,1,USA,1.0,OBERT A,1 - 1,181,USA,3:01
Steal,1,8.0,1,1,USA,1.0,BUSLJE A,1 - 1,181,CRO,3:01
Centre shot - Goal,2,4.0,1,1,USA,1.0,LONCAR L,1 - 2,166,CRO,2:46
20 sec. exclusion in centre,2,5.0,1,1,USA,1.0,HALLOCK B,1 - 2,118,USA,1:58
Time-Out,2,,1,1,USA,1.0,,1 - 2,118,CRO,1:58
Action shot - Blocked,2,12.0,1,1,USA,1.0,GARCIA GADEA J,1 - 2,97,CRO,1:37
Action shot - Goal,3,7.0,1,1,USA,1.0,VUKICEVIC A,1 - 3,88,CRO,1:28
Turnover foul,3,6.0,1,1,USA,1.0,CUPIDO L,1 - 3,59,USA,0:59
Steal,3,11.0,1,1,USA,1.0,SETKA A,1 - 3,59,CRO,0:59
5m shot - Blocked,3,5.0,1,1,USA,1.0,JOKOVIC M,1 - 3,34,CRO,0:34
Centre shot - Saved,3,4.0,1,1,USA,1.0,OBERT A,1 - 3,9,USA,0:09
Starting goalkeeper,3,1.0,1,1,USA,2.0,BARON M,1 - 3,480,USA,8:00
Starting goalkeeper,3,1.0,1,1,USA,2.0,BIJAC M,1 - 3,480,CRO,8:00
Sprint won possession,3,3.0,1,1,USA,2.0,FATOVIC L,1 - 3,480,CRO,8:00
Centre shot - Goal,4,4.0,1,1,USA,2.0,LONCAR L,1 - 4,455,CRO,7:35
Turnover foul,4,6.0,1,1,USA,2.0,CUPIDO L,1 - 4,439,USA,7:19
Steal,4,3.0,1,1,USA,2.0,FATOVIC L,1 - 4,439,CRO,7:19
Action shot - Blocked,4,3.0,1,1,USA,2.0,FATOVIC L,1 - 4,413,CRO,6:53
5m shot - Post,4,10.0,1,1,USA,2.0,RAMIREZ C,1 - 4,387,USA,6:27
Turnover foul,4,10.0,1,1,USA,2.0,KRAPIC I,1 - 4,365,CRO,6:05
Steal,4,10.0,1,1,USA,2.0,RAMIREZ C,1 - 4,365,USA,6:05
20 sec. exclusion in centre,4,2.0,1,1,USA,2.0,MACAN M,1 - 4,344,CRO,5:44
Action shot - Saved,4,7.0,1,1,USA,2.0,DUNSTAN T,1 - 4,324,USA,5:24
Turnover foul,4,7.0,1,1,USA,2.0,DUNSTAN T,1 - 4,296,USA,4:56
Turnover foul,4,6.0,1,1,USA,2.0,BULJUBASIC I,1 - 4,288,CRO,4:48
5m shot - Missed,4,6.0,1,1,USA,2.0,CUPIDO L,1 - 4,270,USA,4:30
Counter attack - Goal,5,3.0,1,1,USA,2.0,FATOVIC L,1 - 5,261,CRO,4:21
Time-Out,5,,1,1,USA,2.0,,1 - 5,260,USA,4:20
Turnover foul,5,3.0,1,1,USA,2.0,VAVIC M,1 - 5,244,USA,4:04
Steal,5,5.0,1,1,USA,2.0,JOKOVIC M,1 - 5,244,CRO,4:04
Action shot - Missed,5,5.0,1,1,USA,2.0,JOKOVIC M,1 - 5,224,CRO,3:44
5m shot - Blocked,5,12.0,1,1,USA,2.0,IRVING M,1 - 5,200,USA,3:20
Action shot - Blocked,5,9.0,1,1,USA,2.0,SUKNO S,1 - 5,173,CRO,2:53
20 sec. exclusion in centre,5,6.0,1,1,USA,2.0,BULJUBASIC I,1 - 5,157,CRO,2:37
Extra player shot - Goal,5,9.0,1,2,USA,2.0,BOWEN A,2 - 5,147,USA,2:27
Action shot - Goal,6,5.0,1,2,USA,2.0,JOKOVIC M,2 - 6,120,CRO,2:00
5m shot - Blocked,6,7.0,1,2,USA,2.0,DUNSTAN T,2 - 6,92,USA,1:32
20 sec. exclusion in field,6,12.0,1,2,USA,2.0,GARCIA GADEA J,2 - 6,80,CRO,1:20
Extra player shot - Goal,6,2.0,1,3,USA,2.0,HOOPER J,3 - 6,72,USA,1:12
20 sec. exclusion in centre,6,4.0,1,3,USA,2.0,OBERT A,3 - 6,56,USA,0:56
Time-Out,6,,1,3,USA,2.0,,3 - 6,56,CRO,0:56
Action shot - Goal,7,12.0,1,3,USA,2.0,GARCIA GADEA J,3 - 7,34,CRO,0:34
Turnover foul,7,9.0,1,3,USA,2.0,BOWEN A,3 - 7,20,USA,0:20
Steal,7,9.0,1,3,USA,2.0,SUKNO S,3 - 7,20,CRO,0:20
Action shot - Goal,11,4.0,1,6,USA,4.0,OBERT A,6 - 11,62,USA,1:02
20 sec. exclusion in centre,11,4.0,1,6,USA,4.0,OBERT A,6 - 11,39,USA,0:39
Extra player shot - Goal,12,4.0,1,6,USA,4.0,LONCAR L,6 - 12,34,CRO,0:34
20 sec. exclusion in centre,12,8.0,1,6,USA,4.0,BUSLJE A,6 - 12,24,CRO,0:24
5m shot - Saved,12,12.0,1,6,USA,2.0,IRVING M,6 - 12,1,USA,0:01
Starting goalkeeper,12,1.0,1,6,USA,3.0,BARON M,6 - 12,480,USA,8:00
Starting goalkeeper,12,1.0,1,6,USA,3.0,BIJAC M,6 - 12,480,CRO,8:00
Sprint won possession,12,2.0,1,6,USA,3.0,HOOPER J,6 - 12,480,USA,8:00
20 sec. exclusion in field,12,4.0,1,6,USA,3.0,LONCAR L,6 - 12,463,CRO,7:43
Action shot - Saved,12,2.0,1,6,USA,3.0,HOOPER J,6 - 12,437,USA,7:17
Centre shot - Goal,8,4.0,1,3,USA,3.0,LONCAR L,3 - 8,405,CRO,6:45
5m shot - Saved,8,6.0,1,3,USA,3.0,CUPIDO L,3 - 8,387,USA,6:27
20 sec. exclusion in centre,8,11.0,1,3,USA,3.0,ROELSE A,3 - 8,362,USA,6:02
Extra player shot - Goal,9,12.0,1,3,USA,3.0,GARCIA GADEA J,3 - 9,342,CRO,5:42
Turnover foul,9,3.0,1,3,USA,3.0,VAVIC M,3 - 9,325,USA,5:25
Steal,9,12.0,1,3,USA,3.0,GARCIA GADEA J,3 - 9,325,CRO,5:25
Turnover foul,9,8.0,1,3,USA,3.0,BUSLJE A,3 - 9,305,CRO,5:05
Turnover foul,9,10.0,1,3,USA,3.0,KRAPIC I,3 - 9,261,CRO,4:21
Steal,9,6.0,1,3,USA,3.0,CUPIDO L,3 - 9,261,USA,4:21
20 sec. exclusion in field,9,6.0,1,3,USA,3.0,BULJUBASIC I,3 - 9,242,CRO,4:02
Extra player shot - Goal,9,6.0,1,4,USA,3.0,CUPIDO L,4 - 9,241,USA,4:01
5m shot - Saved,9,8.0,1,4,USA,3.0,BUSLJE A,4 - 9,212,CRO,3:32
Turnover foul,9,7.0,1,4,USA,3.0,VUKICEVIC A,4 - 9,185,CRO,3:05
Steal,9,12.0,1,4,USA,3.0,IRVING M,4 - 9,185,USA,3:05
Turnover foul,9,3.0,1,4,USA,3.0,VAVIC M,4 - 9,170,USA,2:50
Steal,9,1.0,1,4,USA,3.0,BIJAC M,4 - 9,170,CRO,2:50
Time-Out,9,,1,4,USA,3.0,,4 - 9,170,CRO,2:50
20 sec. exclusion in centre,9,6.0,1,4,USA,3.0,CUPIDO L,4 - 9,158,USA,2:38
Yellow card,9,,1,4,USA,3.0,Team Official,4 - 9,158,CRO,2:38
Turnover foul,9,3.0,1,4,USA,3.0,FATOVIC L,4 - 9,146,CRO,2:26
Steal,9,9.0,1,4,USA,3.0,BOWEN A,4 - 9,146,USA,2:26
Time-Out,9,,1,4,USA,3.0,,4 - 9,145,USA,2:25
Turnover foul,9,9.0,1,4,USA,3.0,BOWEN A,4 - 9,128,USA,2:08
Action shot - Saved,9,11.0,1,4,USA,3.0,SETKA A,4 - 9,106,CRO,1:46
5m shot - Goal,10,12.0,1,4,USA,3.0,GARCIA GADEA J,4 - 10,80,CRO,1:20
Centre shot - Post,10,5.0,1,4,USA,3.0,HALLOCK B,4 - 10,62,USA,1:02
20 sec. exclusion in field,10,12.0,1,4,USA,3.0,IRVING M,4 - 10,48,USA,0:48
Action shot - Saved,10,5.0,1,4,USA,3.0,JOKOVIC M,4 - 10,29,CRO,0:29
5m shot - Post,10,7.0,1,4,USA,3.0,VUKICEVIC A,4 - 10,1,CRO,0:01
Starting goalkeeper,10,1.0,1,4,USA,4.0,BARON M,4 - 10,480,USA,8:00
Starting goalkeeper,10,1.0,1,4,USA,4.0,BIJAC M,4 - 10,480,CRO,8:00
Sprint won possession,10,11.0,1,4,USA,4.0,SETKA A,4 - 10,480,CRO,8:00
20 sec. exclusion in centre,10,10.0,1,4,USA,4.0,RAMIREZ C,4 - 10,458,USA,7:38
Action shot - Saved,10,5.0,1,4,USA,4.0,JOKOVIC M,4 - 10,435,CRO,7:15
Action shot - Saved,10,12.0,1,4,USA,4.0,IRVING M,4 - 10,406,USA,6:46
5m shot - Saved,10,2.0,1,4,USA,4.0,MACAN M,4 - 10,377,CRO,6:17
20 sec. exclusion in centre,10,3.0,1,4,USA,4.0,FATOVIC L,4 - 10,353,CRO,5:53
Extra player shot - Goal,10,9.0,1,5,USA,4.0,BOWEN A,5 - 10,340,USA,5:40
Centre shot - Saved,10,5.0,1,5,USA,4.0,JOKOVIC M,5 - 10,310,CRO,5:10
Turnover foul,10,4.0,1,5,USA,4.0,OBERT A,5 - 10,283,USA,4:43
Steal,10,2.0,1,5,USA,4.0,MACAN M,5 - 10,283,CRO,4:43
20 sec. exclusion in centre,10,11.0,1,5,USA,4.0,ROELSE A,5 - 10,262,USA,4:22
Extra player shot - Saved,10,9.0,1,5,USA,4.0,SUKNO S,5 - 10,243,CRO,4:03
Turnover foul,10,7.0,1,5,USA,4.0,VUKICEVIC A,5 - 10,215,CRO,3:35
Steal,10,7.0,1,5,USA,4.0,DUNSTAN T,5 - 10,215,USA,3:35
Turnover foul,10,4.0,1,5,USA,4.0,OBERT A,5 - 10,196,USA,3:16
Steal,10,9.0,1,5,USA,4.0,SUKNO S,5 - 10,196,CRO,3:16
5m shot - Saved,10,11.0,1,5,USA,4.0,SETKA A,5 - 10,166,CRO,2:46
