Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,1,11.0,1,0,HUN,1.0,ZHANG C,0 - 1,377,CHN,6:17,Goal,1
Penalty shot,1,10.0,1,1,HUN,1.0,VARGA D,1 - 1,363,HUN,6:03,Goal,1
5m shot,1,3.0,1,1,HUN,1.0,LIANG Z,1 - 1,337,CHN,5:37,Saved,0
5m shot,1,8.0,1,2,HUN,1.0,SZIVOS M,2 - 1,311,HUN,5:11,Goal,1
5m shot,1,7.0,1,2,HUN,1.0,LI B,2 - 1,285,CHN,4:45,Blocked,0
5m shot,1,3.0,1,2,HUN,1.0,LIANG Z,2 - 1,212,CHN,3:32,Saved,0
5m shot,1,8.0,1,3,HUN,1.0,SZIVOS M,3 - 1,185,HUN,3:05,Goal,1
Centre shot,1,11.0,1,3,HUN,1.0,BEDO K,3 - 1,79,HUN,1:19,Post,0
Extra player shot,1,5.0,1,3,HUN,1.0,GUO J,3 - 1,2,CHN,0:02,Saved,0
Extra player shot,1,5.0,1,3,HUN,2.0,GUO J,3 - 1,383,CHN,6:23,Blocked,0
5m shot,1,2.0,1,3,HUN,2.0,GOR-NAGY M,3 - 1,359,HUN,5:59,Saved,0
5m shot,2,3.0,1,3,HUN,2.0,LIANG Z,3 - 2,332,CHN,5:32,Goal,1
Extra player shot,2,3.0,1,3,HUN,2.0,MADARAS N,3 - 2,313,HUN,5:13,Saved,0
Centre shot,2,12.0,1,4,HUN,2.0,HARAI B,4 - 2,300,HUN,5:00,Goal,1
5m shot,2,8.0,1,5,HUN,2.0,SZIVOS M,5 - 2,261,HUN,4:21,Goal,1
5m shot,2,9.0,1,5,HUN,2.0,XIE J,5 - 2,246,CHN,4:06,Blocked,0
Extra player shot,2,10.0,1,6,HUN,2.0,VARGA D,6 - 2,220,HUN,3:40,Goal,1
Action shot,2,3.0,1,6,HUN,2.0,MADARAS N,6 - 2,176,HUN,2:56,Saved,0
Centre shot,2,11.0,1,6,HUN,2.0,BEDO K,6 - 2,162,HUN,2:42,Post,0
Centre shot,2,11.0,1,6,HUN,2.0,ZHANG C,6 - 2,132,CHN,2:12,Saved,0
Action shot,2,6.0,1,7,HUN,2.0,HOSNYANSZKY N,7 - 2,78,HUN,1:18,Goal,1
5m shot,2,6.0,1,7,HUN,2.0,PAN N,7 - 2,56,CHN,0:56,Saved,0
5m shot,2,6.0,1,7,HUN,4.0,PAN N,7 - 2,42,CHN,0:42,Post,0
5m shot,2,7.0,1,7,HUN,2.0,LI B,7 - 2,10,CHN,0:10,Blocked,0
Centre shot,2,12.0,1,7,HUN,2.0,HARAI B,7 - 2,2,HUN,0:02,Post,0
5m shot,2,7.0,1,7,HUN,3.0,LI B,7 - 2,385,CHN,6:25,Blocked,0
5m shot,2,6.0,1,8,HUN,3.0,HOSNYANSZKY N,8 - 2,362,HUN,6:02,Goal,1
Centre shot,2,12.0,1,8,HUN,3.0,HARAI B,8 - 2,315,HUN,5:15,Post,0
Extra player shot,3,4.0,1,8,HUN,3.0,JIANG B,8 - 3,280,CHN,4:40,Goal,1
5m shot,3,3.0,1,8,HUN,3.0,MADARAS N,8 - 3,251,HUN,4:11,Post,0
Action shot,3,3.0,1,8,HUN,3.0,LIANG Z,8 - 3,186,CHN,3:06,Saved,0
Extra player shot,3,11.0,1,9,HUN,3.0,BEDO K,9 - 3,156,HUN,2:36,Goal,1
5m shot,3,2.0,1,9,HUN,3.0,GOR-NAGY M,9 - 3,110,HUN,1:50,Saved,0
Centre shot,3,12.0,1,10,HUN,3.0,HARAI B,10 - 3,69,HUN,1:09,Goal,1
Centre shot,4,2.0,1,10,HUN,3.0,TAN F,10 - 4,48,CHN,0:48,Goal,1
5m shot,4,3.0,1,10,HUN,3.0,LIANG Z,10 - 4,9,CHN,0:09,Missed,0
5m shot,4,4.0,1,10,HUN,3.0,BATORI B,10 - 4,2,HUN,0:02,Post,0
5m shot,4,5.0,1,10,HUN,4.0,GUO J,10 - 4,428,CHN,7:08,Missed,0
Action shot,4,6.0,1,10,HUN,4.0,PAN N,10 - 4,387,CHN,6:27,Missed,0
Action shot,4,4.0,1,11,HUN,4.0,BATORI B,11 - 4,370,HUN,6:10,Goal,1
Counter attack,4,9.0,1,12,HUN,4.0,VARGA D,12 - 4,338,HUN,5:38,Goal,1
Action shot,5,6.0,1,12,HUN,4.0,PAN N,12 - 5,318,CHN,5:18,Goal,1
Action shot,5,3.0,1,12,HUN,4.0,LIANG Z,12 - 5,259,CHN,4:19,Post,0
Action shot,5,11.0,1,12,HUN,4.0,BEDO K,12 - 5,172,HUN,2:52,Saved,0
5m shot,5,6.0,1,12,HUN,4.0,HOSNYANSZKY N,12 - 5,148,HUN,2:28,Saved,0
5m shot,5,3.0,1,12,HUN,4.0,LIANG Z,12 - 5,128,CHN,2:08,Missed,0
5m shot,5,6.0,1,12,HUN,4.0,PAN N,12 - 5,85,CHN,1:25,Post,0
5m shot,5,8.0,1,12,HUN,4.0,SZIVOS M,12 - 5,65,HUN,1:05,Saved,0
Extra player shot,5,8.0,1,12,HUN,4.0,WANG Y,12 - 5,28,CHN,0:28,Saved,0
Action shot,5,5.0,1,13,HUN,4.0,VAMOS M,13 - 5,9,HUN,0:09,Goal,1
Extra player shot,0,11.0,2,0,AUS,1.0,HOWDEN R,0 - 0,436,AUS,7:16,Blocked,0
Action shot,0,8.0,2,0,AUS,1.0,YOUNGER A,0 - 0,421,AUS,7:01,Post,0
Centre shot,0,12.0,2,0,AUS,1.0,LIANG N,0 - 0,398,CHN,6:38,Saved,0
Action shot,0,2.0,2,1,AUS,1.0,CAMPBELL R,0 - 1,381,AUS,6:21,Goal,1
Extra player shot,0,3.0,2,1,AUS,1.0,LIANG Z,0 - 1,340,CHN,5:40,Missed,0
Action shot,0,8.0,2,1,AUS,1.0,WANG Y,0 - 1,281,CHN,4:41,Saved,0
Extra player shot,0,9.0,2,1,AUS,1.0,SWIFT J,0 - 1,238,AUS,3:58,Saved,0
Centre shot,0,8.0,2,1,AUS,1.0,YOUNGER A,0 - 1,227,AUS,3:47,Saved,0
5m shot,1,2.0,2,1,AUS,1.0,TAN F,1 - 1,206,CHN,3:26,Goal,1
Counter attack,1,7.0,2,2,AUS,1.0,ROACH A,1 - 2,131,AUS,2:11,Goal,1
Centre shot,1,3.0,2,2,AUS,1.0,MARTIN M,1 - 2,84,AUS,1:24,Saved,0
Centre shot,1,6.0,2,3,AUS,1.0,GILCHRIST J,1 - 3,72,AUS,1:12,Goal,1
Action shot,1,11.0,2,4,AUS,1.0,HOWDEN R,1 - 4,22,AUS,0:22,Goal,1
Extra player shot,1,7.0,2,4,AUS,1.0,LI B,1 - 4,1,CHN,0:01,Post,0
Penalty shot,2,7.0,2,4,AUS,2.0,LI B,2 - 4,447,CHN,7:27,Goal,1
5m shot,2,3.0,2,4,AUS,2.0,LIANG Z,2 - 4,407,CHN,6:47,Post,0
Centre shot,2,7.0,2,4,AUS,2.0,ROACH A,2 - 4,379,AUS,6:19,Saved,0
Action shot,2,11.0,2,5,AUS,2.0,HOWDEN R,2 - 5,336,AUS,5:36,Goal,1
Action shot,2,2.0,2,5,AUS,2.0,TAN F,2 - 5,310,CHN,5:10,Blocked,0
Centre shot,2,8.0,2,5,AUS,2.0,YOUNGER A,2 - 5,292,AUS,4:52,Saved,0
5m shot,2,2.0,2,5,AUS,2.0,TAN F,2 - 5,262,CHN,4:22,Saved,0
5m shot,2,3.0,2,5,AUS,2.0,LIANG Z,2 - 5,208,CHN,3:28,Saved,0
Centre shot,2,10.0,2,6,AUS,2.0,MARTIN T,2 - 6,75,AUS,1:15,Goal,1
Action shot,2,10.0,2,6,AUS,2.0,MARTIN T,2 - 6,41,AUS,0:41,Missed,0
Action shot,2,11.0,2,7,AUS,3.0,HOWDEN R,2 - 7,453,AUS,7:33,Goal,1
