Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,HUN,1.0,BOLONYAI F,0 - 0,480,HUN,8:00
Starting goalkeeper,0,1.0,1,0,HUN,1.0,YANG J,0 - 0,480,CHN,8:00
Sprint won possession,0,5.0,1,0,HUN,1.0,NIU G,0 - 0,480,CHN,8:00
20 sec. exclusion in centre,0,11.0,1,0,HUN,1.0,GARDA K,0 - 0,462,HUN,7:42
Extra player shot - Goal,1,11.0,1,0,HUN,1.0,WANG X,0 - 1,443,CHN,7:23
Turnover foul,1,8.0,1,0,HUN,1.0,KESZTHELYI R,0 - 1,420,HUN,7:00
20 sec. exclusion in centre,1,4.0,1,0,HUN,1.0,KISTELEKI D,0 - 1,407,HUN,6:47
Extra player shot - Goal,2,7.0,1,0,HUN,1.0,SONG D,0 - 2,394,CHN,6:34
Turnover foul,2,5.0,1,0,HUN,1.0,SZUCS G,0 - 2,378,HUN,6:18
Turnover foul,2,5.0,1,0,HUN,1.0,NIU G,0 - 2,347,CHN,5:47
Turnover foul,2,12.0,1,0,HUN,1.0,MENCZINGER K,0 - 2,321,HUN,5:21
Steal,2,11.0,1,0,HUN,1.0,WANG X,0 - 2,321,CHN,5:21
Turnover foul,2,6.0,1,0,HUN,1.0,SUN Y,0 - 2,300,CHN,5:00
Steal,2,8.0,1,0,HUN,1.0,KESZTHELYI R,0 - 2,300,HUN,5:00
20 sec. exclusion in field,2,8.0,1,0,HUN,1.0,ZHANG C,0 - 2,295,CHN,4:55
Action shot - Blocked,2,8.0,1,0,HUN,1.0,KESZTHELYI R,0 - 2,268,HUN,4:28
5m shot - Blocked,2,5.0,1,0,HUN,1.0,NIU G,0 - 2,238,CHN,3:58
Action shot - Missed,2,7.0,1,0,HUN,1.0,SONG D,0 - 2,218,CHN,3:38
Turnover foul,2,5.0,1,0,HUN,1.0,SZUCS G,0 - 2,195,HUN,3:15
Turnover foul,2,7.0,1,0,HUN,1.0,SONG D,0 - 2,181,CHN,3:01
Penalty foul,2,7.0,1,0,HUN,1.0,ILLES A,0 - 2,160,HUN,2:40
Penalty shot - Goal,3,9.0,1,0,HUN,1.0,ZHAO Z,0 - 3,160,CHN,2:40
Penalty foul,3,5.0,1,0,HUN,1.0,NIU G,0 - 3,141,CHN,2:21
Penalty shot - Goal,3,8.0,1,1,HUN,1.0,KESZTHELYI R,1 - 3,141,HUN,2:21
20 sec. exclusion in centre,3,7.0,1,1,HUN,1.0,ILLES A,1 - 3,130,HUN,2:10
Time-Out,3,,1,1,HUN,1.0,,1 - 3,125,CHN,2:05
Extra player shot - Goal,4,11.0,1,1,HUN,1.0,WANG X,1 - 4,113,CHN,1:53
Turnover foul,4,8.0,1,1,HUN,1.0,KESZTHELYI R,1 - 4,90,HUN,1:30
Steal,4,9.0,1,1,HUN,1.0,ZHAO Z,1 - 4,90,CHN,1:30
Action shot - Post,4,9.0,1,1,HUN,1.0,ZHAO Z,1 - 4,82,CHN,1:22
Penalty foul,4,5.0,1,1,HUN,1.0,SZUCS G,1 - 4,82,HUN,1:22
Penalty shot - Post,4,12.0,1,1,HUN,1.0,ZHANG J,1 - 4,78,CHN,1:18
Turnover foul,4,11.0,1,1,HUN,1.0,WANG X,1 - 4,42,CHN,0:42
Time-Out,4,,1,1,HUN,1.0,,1 - 4,36,HUN,0:36
5m shot - Post,4,8.0,1,1,HUN,1.0,KESZTHELYI R,1 - 4,13,HUN,0:13
Starting goalkeeper,4,1.0,1,1,HUN,2.0,BOLONYAI F,1 - 4,480,HUN,8:00
Starting goalkeeper,4,1.0,1,1,HUN,2.0,YANG J,1 - 4,480,CHN,8:00
Sprint won possession,4,8.0,1,1,HUN,2.0,KESZTHELYI R,1 - 4,480,HUN,8:00
5m shot - Post,4,4.0,1,1,HUN,2.0,KISTELEKI D,1 - 4,453,HUN,7:33
5m shot - Missed,4,5.0,1,1,HUN,2.0,SZUCS G,1 - 4,432,HUN,7:12
Turnover foul,4,3.0,1,1,HUN,2.0,ANTAL D,1 - 4,392,HUN,6:32
20 sec. exclusion in centre,4,8.0,1,1,HUN,2.0,KESZTHELYI R,1 - 4,368,HUN,6:08
Action shot - Saved,4,5.0,1,1,HUN,2.0,SZUCS G,1 - 4,336,HUN,5:36
5m shot - Goal,4,4.0,1,2,HUN,2.0,KISTELEKI D,2 - 4,327,HUN,5:27
Action shot - Missed,4,6.0,1,2,HUN,2.0,SUN Y,2 - 4,309,CHN,5:09
Action shot - Saved,4,11.0,1,2,HUN,2.0,GARDA K,2 - 4,288,HUN,4:48
Turnover foul,4,8.0,1,2,HUN,2.0,ZHANG C,2 - 4,284,CHN,4:44
Centre shot - Goal,4,9.0,1,3,HUN,2.0,TOTH I,3 - 4,271,HUN,4:31
5m shot - Blocked,4,5.0,1,3,HUN,2.0,NIU G,3 - 4,245,CHN,4:05
5m shot - Missed,4,6.0,1,3,HUN,2.0,TAKACS O,3 - 4,222,HUN,3:42
20 sec. exclusion in centre,4,2.0,1,3,HUN,2.0,CZIGANY D,3 - 4,211,HUN,3:31
Time-Out,4,,1,3,HUN,2.0,,3 - 4,211,CHN,3:31
Action shot - Saved,4,5.0,1,3,HUN,2.0,NIU G,3 - 4,188,CHN,3:08
Action shot - Goal,4,6.0,1,4,HUN,2.0,TAKACS O,4 - 4,160,HUN,2:40
Action shot - Blocked,4,5.0,1,4,HUN,2.0,NIU G,4 - 4,138,CHN,2:18
Turnover foul,4,4.0,1,4,HUN,2.0,KISTELEKI D,4 - 4,108,HUN,1:48
Action shot - Saved,4,5.0,1,4,HUN,2.0,NIU G,4 - 4,79,CHN,1:19
Turnover foul,4,10.0,1,4,HUN,2.0,BUJKA B,4 - 4,61,HUN,1:01
Time-Out,4,,1,4,HUN,2.0,,4 - 4,56,HUN,0:56
Turnover foul,4,5.0,1,4,HUN,2.0,SZUCS G,4 - 4,41,HUN,0:41
Action shot - Goal,5,12.0,1,4,HUN,2.0,ZHANG J,4 - 5,21,CHN,0:21
Turnover foul,5,4.0,1,4,HUN,2.0,KISTELEKI D,4 - 5,0,HUN,0:00
Penalty foul,5,11.0,1,4,HUN,2.0,WANG X,4 - 5,0,CHN,0:00
Penalty shot - Goal,5,3.0,1,5,HUN,2.0,ANTAL D,5 - 5,0,HUN,0:00
Starting goalkeeper,5,1.0,1,5,HUN,3.0,BOLONYAI F,5 - 5,480,HUN,8:00
Starting goalkeeper,5,1.0,1,5,HUN,3.0,YANG J,5 - 5,480,CHN,8:00
Sprint won possession,5,5.0,1,5,HUN,3.0,NIU G,5 - 5,480,CHN,8:00
20 sec. exclusion in centre,5,11.0,1,5,HUN,3.0,GARDA K,5 - 5,461,HUN,7:41
Extra player shot - Saved,5,5.0,1,5,HUN,3.0,NIU G,5 - 5,436,CHN,7:16
Action shot - Goal,5,5.0,1,6,HUN,3.0,SZUCS G,6 - 5,419,HUN,6:59
Turnover foul,5,9.0,1,6,HUN,3.0,ZHAO Z,6 - 5,405,CHN,6:45
Action shot - Post,5,5.0,1,6,HUN,3.0,SZUCS G,6 - 5,368,HUN,6:08
Turnover foul,5,5.0,1,6,HUN,3.0,SZUCS G,6 - 5,333,HUN,5:33
Action shot - Goal,6,9.0,1,6,HUN,3.0,ZHAO Z,6 - 6,314,CHN,5:14
Turnover foul,6,5.0,1,6,HUN,3.0,SZUCS G,6 - 6,292,HUN,4:52
20 sec. exclusion in centre,6,5.0,1,6,HUN,3.0,SZUCS G,6 - 6,285,HUN,4:45
Time-Out,6,,1,6,HUN,3.0,,6 - 6,285,CHN,4:45
5m shot - Saved,6,9.0,1,6,HUN,3.0,ZHAO Z,6 - 6,259,CHN,4:19
5m shot - Saved,6,8.0,1,6,HUN,3.0,ZHANG C,6 - 6,228,CHN,3:48
Action shot - Blocked,6,7.0,1,6,HUN,3.0,ILLES A,6 - 6,210,HUN,3:30
