Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Starting goalkeeper,13.0,1,0,RSA,1.0,NIXON L,0 - 0,480,RSA,8:00,0
Starting goalkeeper,1.0,1,0,RSA,1.0,STONE G,0 - 0,480,USA,8:00,0
Sprint won possession,6.0,1,0,RSA,1.0,HALLENDORFF A,0 - 0,480,RSA,8:00,0
Turnover foul,6.0,1,0,RSA,1.0,HALLENDORFF A,0 - 0,452,RSA,7:32,0
Counter attack - Goal,10.0,1,0,RSA,1.0,NEUSHUL J,0 - 1,448,USA,7:28,1
Turnover foul,12.0,1,0,RSA,1.0,WHITE K,0 - 1,419,RSA,6:59,1
Steal,3.0,1,0,RSA,1.0,SEIDEMANN M,0 - 1,419,USA,6:59,1
Centre shot - Goal,11.0,1,0,RSA,1.0,FISCHER M,0 - 2,399,USA,6:39,2
Turnover foul,2.0,1,0,RSA,1.0,PENNEY A,0 - 2,376,RSA,6:16,2
Steal,8.0,1,0,RSA,1.0,NEUSHUL K,0 - 2,376,USA,6:16,2
Action shot - Goal,11.0,1,0,RSA,1.0,FISCHER M,0 - 3,352,USA,5:52,3
Action shot - Missed,11.0,1,0,RSA,1.0,BARRETT N,0 - 3,331,RSA,5:31,3
Action shot - Post,12.0,1,0,RSA,1.0,WILLIAMS A,0 - 3,316,USA,5:16,3
Turnover foul,2.0,1,0,RSA,1.0,PENNEY A,0 - 3,289,RSA,4:49,3
Steal,10.0,1,0,RSA,1.0,NEUSHUL J,0 - 3,289,USA,4:49,3
Action shot - Goal,12.0,1,0,RSA,1.0,WILLIAMS A,0 - 4,273,USA,4:33,4
Turnover foul,9.0,1,0,RSA,1.0,SMIT Z,0 - 4,250,RSA,4:10,4
Steal,8.0,1,0,RSA,1.0,NEUSHUL K,0 - 4,250,USA,4:10,4
Action shot - Post,5.0,1,0,RSA,1.0,HAUSCHILD P,0 - 4,237,USA,3:57,4
Time-Out,,1,0,RSA,1.0,,0 - 4,237,RSA,3:57,4
20 sec. exclusion in field,7.0,1,0,RSA,1.0,RANEY J,0 - 4,213,USA,3:33,4
Turnover foul,12.0,1,0,RSA,1.0,WHITE K,0 - 4,185,RSA,3:05,4
Action shot - Post,4.0,1,0,RSA,1.0,FATTAL R,0 - 4,165,USA,2:45,4
Turnover foul,8.0,1,0,RSA,1.0,KEEVY A,0 - 4,140,RSA,2:20,4
Steal,8.0,1,0,RSA,1.0,NEUSHUL K,0 - 4,140,USA,2:20,4
