AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
1,Extra player shot,11.0,1,0,JPN,1.0,HOWDEN R,0 - 1,390,AUS,6:30,Goal,1
1,5m shot,9.0,1,0,JPN,1.0,TAKEI K,0 - 1,360,JPN,6:00,Saved,0
1,Action shot,2.0,1,0,JPN,1.0,ADACHI S,0 - 1,316,JPN,5:16,Saved,0
1,Action shot,8.0,1,0,JPN,1.0,YOUNGER A,0 - 1,288,AUS,4:48,Blocked,0
1,Action shot,7.0,1,0,JPN,1.0,SHIMIZU Y,0 - 1,276,JPN,4:36,Saved,0
2,Extra player shot,8.0,1,0,JPN,1.0,YOUNGER A,0 - 2,242,AUS,4:02,Goal,1
2,Extra player shot,8.0,1,0,JPN,1.0,KADONO Y,0 - 2,212,JPN,3:32,Post,0
2,5m shot,6.0,1,0,JPN,1.0,GILCHRIST J,0 - 2,144,AUS,2:24,Saved,0
2,5m shot,8.0,1,0,JPN,1.0,KADONO Y,0 - 2,117,JPN,1:57,Saved,0
2,5m shot,3.0,1,0,JPN,1.0,ARAI A,0 - 2,75,JPN,1:15,Saved,0
2,Action shot,5.0,1,0,JPN,1.0,POWER N,0 - 2,57,AUS,0:57,Saved,0
2,Action shot,10.0,1,0,JPN,1.0,EMERY M,0 - 2,21,AUS,0:21,Saved,0
2,Extra player shot,9.0,1,0,JPN,1.0,TAKEI K,0 - 2,0,JPN,0:00,Missed,0
2,Extra player shot,11.0,1,1,JPN,2.0,OKAWA K,1 - 2,423,JPN,7:03,Goal,1
3,Extra player shot,9.0,1,1,JPN,2.0,SWIFT J,1 - 3,389,AUS,6:29,Goal,1
3,5m shot,4.0,1,1,JPN,2.0,SHIGA M,1 - 3,362,JPN,6:02,Post,0
4,Extra player shot,2.0,1,1,JPN,2.0,CAMPBELL R,1 - 4,279,AUS,4:39,Goal,1
4,Extra player shot,2.0,1,2,JPN,2.0,ADACHI S,2 - 4,202,JPN,3:22,Goal,1
