Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Extra player shot,6.0,1,0,BRA,1.0,STEFFENS M,0 - 1,435,USA,7:15,1,Goal,1
Action shot,12.0,1,0,BRA,1.0,CRAIG K,0 - 2,390,USA,6:30,2,Goal,1
Action shot,7.0,1,0,BRA,1.0,OLIVEIRA A,0 - 2,357,BRA,5:57,2,Saved,0
Action shot,5.0,1,0,BRA,1.0,WILLIAMS A,0 - 2,342,USA,5:42,2,Saved,0
Action shot,4.0,1,0,BRA,1.0,FATTAL R,0 - 3,305,USA,5:05,3,Goal,1
Action shot,10.0,1,0,BRA,1.0,GILCHRIST K,0 - 3,270,USA,4:30,3,Saved,0
Penalty shot,11.0,1,0,BRA,1.0,FISCHER M,0 - 4,270,USA,4:30,4,Goal,1
5m shot,6.0,1,0,BRA,1.0,CHIAPPINI I,0 - 4,244,BRA,4:04,4,Missed,0
Action shot,8.0,1,0,BRA,1.0,NEUSHUL K,0 - 4,221,USA,3:41,4,Missed,0
Action shot,6.0,1,0,BRA,1.0,CHIAPPINI I,0 - 4,190,BRA,3:10,4,Missed,0
Action shot,11.0,1,0,BRA,1.0,FISCHER M,0 - 5,115,USA,1:55,5,Goal,1
Extra player shot,7.0,1,0,BRA,1.0,MATHEWSON C,0 - 6,65,USA,1:05,6,Goal,1
Extra player shot,7.0,1,0,BRA,1.0,MATHEWSON C,0 - 6,0,USA,0:00,6,Post,0
Action shot,8.0,1,0,BRA,2.0,NEUSHUL K,0 - 6,354,USA,5:54,6,Saved,0
5m shot,12.0,1,0,BRA,2.0,MANTELLATO G,0 - 6,329,BRA,5:29,6,Saved,0
Action shot,4.0,1,0,BRA,2.0,FATTAL R,0 - 7,313,USA,5:13,7,Goal,1
Action shot,4.0,1,0,BRA,2.0,DUARTE M,0 - 7,274,BRA,4:34,7,Saved,0
Action shot,2.0,1,0,BRA,2.0,MUSSELMAN M,0 - 8,213,USA,3:33,8,Goal,1
Action shot,9.0,1,0,BRA,2.0,DIAS M,0 - 8,179,BRA,2:59,8,Saved,0
Action shot,10.0,1,0,BRA,2.0,GILCHRIST K,0 - 9,148,USA,2:28,9,Goal,1
5m shot,9.0,1,0,BRA,2.0,DIAS M,0 - 9,122,BRA,2:02,9,Saved,0
Centre shot,9.0,1,0,BRA,2.0,GROSSMAN A,0 - 9,96,USA,1:36,9,Saved,0
5m shot,4.0,1,0,BRA,2.0,FATTAL R,0 - 9,48,USA,0:48,9,Post,0
5m shot,10.0,1,0,BRA,2.0,BAHIA V,0 - 9,19,BRA,0:19,9,Saved,0
Action shot,6.0,1,0,BRA,2.0,STEFFENS M,0 - 9,2,USA,0:02,9,Missed,0
5m shot,8.0,1,0,BRA,3.0,NEUSHUL K,0 - 10,451,USA,7:31,10,Goal,1
5m shot,6.0,1,0,BRA,3.0,CHIAPPINI I,0 - 10,422,BRA,7:02,10,Missed,0
Extra player shot,6.0,1,0,BRA,3.0,STEFFENS M,0 - 11,381,USA,6:21,11,Goal,1
Action shot,7.0,1,1,BRA,3.0,OLIVEIRA A,1 - 11,356,BRA,5:56,11,Goal,1
Action shot,12.0,1,1,BRA,3.0,MANTELLATO G,1 - 11,304,BRA,5:04,11,Saved,0
Extra player shot,2.0,1,1,BRA,3.0,MUSSELMAN M,1 - 11,225,USA,3:45,11,Post,0
5m shot,10.0,1,1,BRA,3.0,BAHIA V,1 - 11,194,BRA,3:14,11,Saved,0
Action shot,3.0,1,1,BRA,3.0,SEIDEMANN M,1 - 11,166,USA,2:46,11,Missed,0
5m shot,7.0,1,1,BRA,3.0,OLIVEIRA A,1 - 11,145,BRA,2:25,11,Saved,0
Action shot,11.0,1,1,BRA,3.0,FISCHER M,1 - 11,122,USA,2:02,11,Blocked,0
