Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Starting goalkeeper,1.0,1,0,BRA,1.0,OLIVEIRA T,0 - 0,480,BRA,8:00,0
Starting goalkeeper,13.0,1,0,BRA,1.0,JOHNSON A,0 - 0,480,USA,8:00,0
Sprint won possession,3.0,1,0,BRA,1.0,ZABLITH M,0 - 0,480,BRA,8:00,0
20 sec. exclusion in centre,6.0,1,0,BRA,1.0,CHIAPPINI I,0 - 0,450,BRA,7:30,0
Extra player shot - Goal,6.0,1,0,BRA,1.0,STEFFENS M,0 - 1,435,USA,7:15,1
Turnover foul,12.0,1,0,BRA,1.0,MANTELLATO G,0 - 1,402,BRA,6:42,1
Action shot - Goal,12.0,1,0,BRA,1.0,CRAIG K,0 - 2,390,USA,6:30,2
Action shot - Saved,7.0,1,0,BRA,1.0,OLIVEIRA A,0 - 2,357,BRA,5:57,2
Action shot - Saved,5.0,1,0,BRA,1.0,WILLIAMS A,0 - 2,342,USA,5:42,2
Turnover foul,5.0,1,0,BRA,1.0,BARRONCAS L,0 - 2,315,BRA,5:15,2
Steal,13.0,1,0,BRA,1.0,JOHNSON A,0 - 2,315,USA,5:15,2
Action shot - Goal,4.0,1,0,BRA,1.0,FATTAL R,0 - 3,305,USA,5:05,3
Turnover foul,7.0,1,0,BRA,1.0,OLIVEIRA A,0 - 3,288,BRA,4:48,3
Action shot - Saved,10.0,1,0,BRA,1.0,GILCHRIST K,0 - 3,270,USA,4:30,3
Penalty foul,7.0,1,0,BRA,1.0,OLIVEIRA A,0 - 3,270,BRA,4:30,3
Penalty shot - Goal,11.0,1,0,BRA,1.0,FISCHER M,0 - 4,270,USA,4:30,4
5m shot - Missed,6.0,1,0,BRA,1.0,CHIAPPINI I,0 - 4,244,BRA,4:04,4
Action shot - Missed,8.0,1,0,BRA,1.0,NEUSHUL K,0 - 4,221,USA,3:41,4
20 sec. exclusion in centre,3.0,1,0,BRA,1.0,SEIDEMANN M,0 - 4,206,USA,3:26,4
Action shot - Missed,6.0,1,0,BRA,1.0,CHIAPPINI I,0 - 4,190,BRA,3:10,4
Turnover foul,8.0,1,0,BRA,1.0,NEUSHUL K,0 - 4,148,USA,2:28,4
Steal,1.0,1,0,BRA,1.0,OLIVEIRA T,0 - 4,148,BRA,2:28,4
Action shot - Goal,11.0,1,0,BRA,1.0,FISCHER M,0 - 5,115,USA,1:55,5
20 sec. exclusion in centre,3.0,1,0,BRA,1.0,ZABLITH M,0 - 5,75,BRA,1:15,5
Extra player shot - Goal,7.0,1,0,BRA,1.0,MATHEWSON C,0 - 6,65,USA,1:05,6
Time-Out,,1,0,BRA,1.0,,0 - 6,57,BRA,0:57,6
Turnover foul,9.0,1,0,BRA,1.0,DIAS M,0 - 6,34,BRA,0:34,6
Time-Out,,1,0,BRA,1.0,,0 - 6,34,USA,0:34,6
20 sec. exclusion in centre,3.0,1,0,BRA,1.0,ZABLITH M,0 - 6,19,BRA,0:19,6
Extra player shot - Post,7.0,1,0,BRA,1.0,MATHEWSON C,0 - 6,0,USA,0:00,6
Starting goalkeeper,1.0,1,0,BRA,2.0,OLIVEIRA T,0 - 6,480,BRA,8:00,6
Starting goalkeeper,13.0,1,0,BRA,2.0,JOHNSON A,0 - 6,480,USA,8:00,6
Sprint won possession,8.0,1,0,BRA,2.0,NEUSHUL K,0 - 6,480,USA,8:00,6
Turnover foul,6.0,1,0,BRA,2.0,STEFFENS M,0 - 6,445,USA,7:25,6
Turnover foul,6.0,1,0,BRA,2.0,CHIAPPINI I,0 - 6,415,BRA,6:55,6
Steal,4.0,1,0,BRA,2.0,FATTAL R,0 - 6,415,USA,6:55,6
Turnover foul,5.0,1,0,BRA,2.0,WILLIAMS A,0 - 6,382,USA,6:22,6
Turnover foul,9.0,1,0,BRA,2.0,DIAS M,0 - 6,365,BRA,6:05,6
Action shot - Saved,8.0,1,0,BRA,2.0,NEUSHUL K,0 - 6,354,USA,5:54,6
5m shot - Saved,12.0,1,0,BRA,2.0,MANTELLATO G,0 - 6,329,BRA,5:29,6
Action shot - Goal,4.0,1,0,BRA,2.0,FATTAL R,0 - 7,313,USA,5:13,7
20 sec. exclusion in centre,2.0,1,0,BRA,2.0,MUSSELMAN M,0 - 7,298,USA,4:58,7
Action shot - Saved,4.0,1,0,BRA,2.0,DUARTE M,0 - 7,274,BRA,4:34,7
Turnover foul,10.0,1,0,BRA,2.0,GILCHRIST K,0 - 7,242,USA,4:02,7
Steal,10.0,1,0,BRA,2.0,BAHIA V,0 - 7,242,BRA,4:02,7
Turnover foul,8.0,1,0,BRA,2.0,CARVALHO L,0 - 7,226,BRA,3:46,7
Action shot - Goal,2.0,1,0,BRA,2.0,MUSSELMAN M,0 - 8,213,USA,3:33,8
20 sec. exclusion in centre,11.0,1,0,BRA,2.0,FISCHER M,0 - 8,198,USA,3:18,8
Action shot - Saved,9.0,1,0,BRA,2.0,DIAS M,0 - 8,179,BRA,2:59,8
Action shot - Goal,10.0,1,0,BRA,2.0,GILCHRIST K,0 - 9,148,USA,2:28,9
5m shot - Saved,9.0,1,0,BRA,2.0,DIAS M,0 - 9,122,BRA,2:02,9
Centre shot - Saved,9.0,1,0,BRA,2.0,GROSSMAN A,0 - 9,96,USA,1:36,9
Turnover foul,3.0,1,0,BRA,2.0,ZABLITH M,0 - 9,74,BRA,1:14,9
Steal,13.0,1,0,BRA,2.0,JOHNSON A,0 - 9,74,USA,1:14,9
5m shot - Post,4.0,1,0,BRA,2.0,FATTAL R,0 - 9,48,USA,0:48,9
Time-Out,,1,0,BRA,2.0,,0 - 9,34,BRA,0:34,9
5m shot - Saved,10.0,1,0,BRA,2.0,BAHIA V,0 - 9,19,BRA,0:19,9
Time-Out,,1,0,BRA,2.0,,0 - 9,16,USA,0:16,9
Action shot - Missed,6.0,1,0,BRA,2.0,STEFFENS M,0 - 9,2,USA,0:02,9
Starting goalkeeper,13.0,1,0,BRA,3.0,CHAMORRO V,0 - 9,480,BRA,8:00,9
Starting goalkeeper,13.0,1,0,BRA,3.0,JOHNSON A,0 - 9,480,USA,8:00,9
Sprint won possession,8.0,1,0,BRA,3.0,NEUSHUL K,0 - 9,480,USA,8:00,9
5m shot - Goal,8.0,1,0,BRA,3.0,NEUSHUL K,0 - 10,451,USA,7:31,10
5m shot - Missed,6.0,1,0,BRA,3.0,CHIAPPINI I,0 - 10,422,BRA,7:02,10
20 sec. exclusion in centre,10.0,1,0,BRA,3.0,BAHIA V,0 - 10,405,BRA,6:45,10
Extra player shot - Goal,6.0,1,0,BRA,3.0,STEFFENS M,0 - 11,381,USA,6:21,11
Action shot - Goal,7.0,1,1,BRA,3.0,OLIVEIRA A,1 - 11,356,BRA,5:56,11
Turnover foul,5.0,1,1,BRA,3.0,WILLIAMS A,1 - 11,332,USA,5:32,11
20 sec. exclusion in field,5.0,1,1,BRA,3.0,WILLIAMS A,1 - 11,326,USA,5:26,11
Time-Out,,1,1,BRA,3.0,,1 - 11,324,BRA,5:24,11
Action shot - Saved,12.0,1,1,BRA,3.0,MANTELLATO G,1 - 11,304,BRA,5:04,11
Turnover foul,6.0,1,1,BRA,3.0,STEFFENS M,1 - 11,280,USA,4:40,11
Turnover foul,9.0,1,1,BRA,3.0,DIAS M,1 - 11,261,BRA,4:21,11
Steal,6.0,1,1,BRA,3.0,STEFFENS M,1 - 11,261,USA,4:21,11
20 sec. exclusion in centre,9.0,1,1,BRA,3.0,DIAS M,1 - 11,244,BRA,4:04,11
Extra player shot - Post,2.0,1,1,BRA,3.0,MUSSELMAN M,1 - 11,225,USA,3:45,11
5m shot - Saved,10.0,1,1,BRA,3.0,BAHIA V,1 - 11,194,BRA,3:14,11
Action shot - Missed,3.0,1,1,BRA,3.0,SEIDEMANN M,1 - 11,166,USA,2:46,11
5m shot - Saved,7.0,1,1,BRA,3.0,OLIVEIRA A,1 - 11,145,BRA,2:25,11
Time-Out,,1,1,BRA,3.0,,1 - 11,145,USA,2:25,11
Action shot - Blocked,11.0,1,1,BRA,3.0,FISCHER M,1 - 11,122,USA,2:02,11
5m shot - Saved,9.0,1,1,BRA,3.0,DIAS M,1 - 11,94,BRA,1:34,11
Action shot - Saved,11.0,1,1,BRA,3.0,FISCHER M,1 - 11,80,USA,1:20,11
5m shot - Missed,4.0,1,1,BRA,3.0,FATTAL R,1 - 11,56,USA,0:56,11
5m shot - Saved,12.0,1,1,BRA,3.0,MANTELLATO G,1 - 11,25,BRA,0:25,11
5m shot - Post,2.0,1,1,BRA,3.0,MUSSELMAN M,1 - 11,3,USA,0:03,11
Starting goalkeeper,13.0,1,1,BRA,4.0,CHAMORRO V,1 - 11,480,BRA,8:00,11
Starting goalkeeper,13.0,1,1,BRA,4.0,JOHNSON A,1 - 11,480,USA,8:00,11
