Period,Time,Action,Score,Team,Player,Cap,Opponent,NZL,Seconds,Game,Opponent name
2.0,2:56,Action shot - Goal,7 - 3,NZL,BOWRY C,10.0,7,3,176,1,AUS
2.0,2:31,Centre shot - Saved,7 - 3,AUS,APPEL J,2.0,7,3,151,1,AUS
2.0,2:07,5m shot - Saved,7 - 3,NZL,MASON K,3.0,7,3,127,1,AUS
2.0,1:37,5m shot - Saved,7 - 3,AUS,KNOX B,6.0,7,3,97,1,AUS
2.0,1:07,5m shot - Saved,7 - 3,NZL,BOWRY C,10.0,7,3,67,1,AUS
2.0,0:37,5m shot - Saved,7 - 3,AUS,KNOX B,6.0,7,3,37,1,AUS
2.0,0:15,5m shot - Blocked,7 - 3,NZL,BOWRY C,10.0,7,3,15,1,AUS
2.0,0:07,5m shot - Missed,7 - 3,NZL,BOWRY C,10.0,7,3,7,1,AUS
3.0,8:00,Starting goalkeeper,7 - 3,AUS,WAKEFIELD K,13.0,7,3,480,1,AUS
3.0,8:00,Starting goalkeeper,7 - 3,NZL,MILLAR B,1.0,7,3,480,1,AUS
3.0,8:00,Sprint won possession,7 - 3,NZL,LANDRY S,7.0,7,3,480,1,AUS
3.0,7:39,5m shot - Saved,7 - 3,NZL,MASON K,3.0,7,3,459,1,AUS
3.0,7:21,5m shot - Goal,8 - 3,AUS,GOFERS K,11.0,8,3,441,1,AUS
3.0,6:54,5m shot - Saved,8 - 3,NZL,LEWIS D,8.0,8,3,414,1,AUS
3.0,6:35,Action shot - Saved,8 - 3,AUS,GOFERS K,11.0,8,3,395,1,AUS
3.0,6:19,20 sec. exclusion in centre,8 - 3,NZL,MASON K,3.0,8,3,379,1,AUS
3.0,6:08,Extra player shot - Saved,8 - 3,AUS,WEBSTER R,7.0,8,3,368,1,AUS
