Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Time-Out,,13,6,12,HUN,4.0,,13 - 12,176,HUN,2:56
Action shot - Post,10.0,13,6,12,HUN,4.0,BUJKA B,13 - 12,149,HUN,2:29
20 sec. exclusion in centre,2.0,13,6,12,HUN,4.0,ILLES A,13 - 12,128,HUN,2:08
Exclusion with substitution,2.0,13,6,12,HUN,4.0,ILLES A,13 - 12,128,HUN,2:08
Action shot - Saved,6.0,13,6,12,HUN,4.0,PAREJA J,13 - 12,103,ESP,1:43
20 sec. exclusion in field,11.0,13,6,12,HUN,4.0,GARCIA GODOY M,13 - 12,85,ESP,1:25
Extra player shot - Saved,10.0,13,6,12,HUN,4.0,BUJKA B,13 - 12,69,HUN,1:09
20 sec. exclusion in centre,12.0,13,6,12,HUN,4.0,MENCZINGER K,13 - 12,45,HUN,0:45
Time-Out,,13,6,12,HUN,4.0,,13 - 12,45,ESP,0:45
Extra player shot - Missed,4.0,13,6,12,HUN,4.0,TARRAGO R,13 - 12,25,ESP,0:25
20 sec. exclusion in field,12.0,13,6,12,HUN,4.0,LOPEZ L,13 - 12,13,ESP,0:13
20 sec. exclusion in field,3.0,13,6,12,HUN,4.0,ESPAR A,13 - 12,5,ESP,0:05
Extra player shot - Saved,3.0,13,6,12,HUN,4.0,ANTAL D,13 - 12,1,HUN,0:01
Starting goalkeeper,1.0,0,7,0,AUS,1.0,ESTER L,0 - 0,480,ESP,8:00
Starting goalkeeper,13.0,0,7,0,AUS,1.0,WAKEFIELD K,0 - 0,480,AUS,8:00
Sprint won possession,6.0,0,7,0,AUS,1.0,PAREJA J,0 - 0,480,ESP,8:00
Turnover foul,5.0,0,7,0,AUS,1.0,ORTIZ M,0 - 0,452,ESP,7:32
Steal,3.0,0,7,0,AUS,1.0,BUCKLING H,0 - 0,452,AUS,7:32
Action shot - Saved,8.0,0,7,0,AUS,1.0,McGHIE G,0 - 0,422,AUS,7:02
