Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,5.0,4,1,4,NED,2.0,van der SLOOT S,4 - 4,285,NED,4:45
Steal,4.0,4,1,4,NED,2.0,TARRAGO R,4 - 4,285,ESP,4:45
20 sec. exclusion in centre,7.0,4,1,4,NED,2.0,van BELKUM I,4 - 4,267,NED,4:27
Extra player shot - Blocked,3.0,4,1,4,NED,2.0,ESPAR A,4 - 4,250,ESP,4:10
5m shot - Goal,12.0,5,1,4,NED,2.0,LOPEZ L,5 - 4,245,ESP,4:05
Turnover foul,12.0,5,1,4,NED,2.0,van der MOLEN l,5 - 4,218,NED,3:38
Centre shot - Goal,8.0,6,1,4,NED,2.0,PENA P,6 - 4,192,ESP,3:12
Action shot - Saved,9.0,6,1,4,NED,2.0,SLAGTER C,6 - 4,168,NED,2:48
Action shot - Goal,3.0,7,1,4,NED,2.0,ESPAR A,7 - 4,145,ESP,2:25
20 sec. exclusion in centre,7.0,7,1,4,NED,2.0,MIRANDA L,7 - 4,131,ESP,2:11
Extra player shot - Goal,2.0,7,1,5,NED,2.0,SMIT Y,7 - 5,121,NED,2:01
5m shot - Saved,5.0,7,1,5,NED,2.0,ORTIZ M,7 - 5,92,ESP,1:32
Turnover foul,2.0,7,1,5,NED,2.0,SMIT Y,7 - 5,86,NED,1:26
