Action,Cap,Game,Period,Player,Score,Team,Time,Result,Goal
Action shot,7.0,2,2.0,ESPAR LLAQUET C,7 - 3,ESP,0:03,Saved,0
5m shot,1.0,2,2.0,STONE G,7 - 3,USA,0:01,Saved,0
5m shot,8.0,2,3.0,PENA CARRASCO M,7 - 3,ESP,7:31,Saved,0
Centre shot,6.0,2,3.0,STEFFENS M,8 - 3,USA,7:01,Goal,1
Action shot,12.0,2,3.0,WILLIAMS A,9 - 3,USA,6:03,Goal,1
5m shot,3.0,2,3.0,ESPAR LLAQUET A,9 - 3,ESP,5:35,Blocked,0
5m shot,2.0,2,3.0,MUSSELMAN M,9 - 3,USA,5:06,Post,0
Action shot,4.0,2,3.0,FATTAL R,9 - 3,USA,4:17,Saved,0
Action shot,4.0,2,3.0,FATTAL R,9 - 3,USA,3:47,Saved,0
Action shot,6.0,2,3.0,LLORET GOMEZ H,9 - 3,ESP,3:16,Saved,0
Penalty shot,3.0,2,3.0,ESPAR LLAQUET A,9 - 4,ESP,3:16,Goal,1
Extra player shot,5.0,2,3.0,HAUSCHILD P,9 - 4,USA,2:33,Blocked,0
Action shot,11.0,2,3.0,FISCHER M,9 - 4,USA,2:20,Post,0
Action shot,9.0,2,3.0,FORCA ARIZA J,9 - 5,ESP,1:16,Goal,1
Action shot,9.0,2,3.0,FISCHER A,9 - 5,USA,0:01,Saved,0
5m shot,4.0,2,4.0,ORTIZ MUNOZ B,9 - 5,ESP,7:31,Missed,0
Extra player shot,8.0,2,4.0,NEUSHUL K,10 - 5,USA,7:13,Goal,1
Extra player shot,12.0,2,4.0,LEITON ARRONES P,10 - 6,ESP,6:27,Goal,1
Action shot,3.0,2,4.0,ESPAR LLAQUET A,10 - 6,ESP,5:05,Blocked,0
5m shot,4.0,2,4.0,ORTIZ MUNOZ B,10 - 6,ESP,4:40,Saved,0
Extra player shot,2.0,2,4.0,MUSSELMAN M,11 - 6,USA,4:14,Goal,1
Action shot,6.0,2,4.0,LLORET GOMEZ H,11 - 7,ESP,3:25,Goal,1
5m shot,3.0,2,4.0,ESPAR LLAQUET A,11 - 7,ESP,2:31,Saved,0
Centre shot,4.0,2,4.0,FATTAL R,12 - 7,USA,2:16,Goal,1
5m shot,3.0,2,4.0,ESPAR LLAQUET A,12 - 8,ESP,1:45,Goal,1
5m shot,7.0,2,4.0,RANEY J,12 - 8,USA,1:17,Post,0
Extra player shot,7.0,2,4.0,RANEY J,12 - 8,USA,0:17,Saved,0
5m shot,2.0,2,4.0,BACH PASCUAL M,12 - 8,ESP,0:01,Saved,0
Action shot,8.0,3,1.0,NEUSHUL K,0 - 1,USA,7:32,Goal,1
5m shot,8.0,3,1.0,LOPES da SILVA C,0 - 1,NZL,7:03,Missed,0
5m shot,2.0,3,1.0,MUSSELMAN M,0 - 1,USA,6:17,,0
5m shot,2.0,3,1.0,MUSSELMAN M,0 - 1,USA,6:17,Saved,0
Action shot,6.0,3,1.0,STEFFENS M,0 - 2,USA,5:56,Goal,1
5m shot,11.0,3,1.0,FISCHER M,0 - 2,USA,5:15,Saved,0
Action shot,11.0,3,1.0,FISCHER M,0 - 3,USA,4:34,Goal,1
5m shot,12.0,3,1.0,WILLIAMS A,0 - 4,USA,3:54,Goal,1
Action shot,9.0,3,1.0,STONEMAN E,1 - 4,NZL,3:30,Goal,1
Action shot,12.0,3,1.0,WILLIAMS A,1 - 4,USA,3:01,Post,0
5m shot,12.0,3,1.0,WILLIAMS A,1 - 4,USA,2:20,Saved,0
5m shot,6.0,3,1.0,STEFFENS M,1 - 5,USA,2:05,Goal,1
5m shot,3.0,3,1.0,MASON K,1 - 5,NZL,1:26,Blocked,0
5m shot,4.0,3,1.0,FATTAL R,1 - 6,USA,0:35,Goal,1
Extra player shot,8.0,3,1.0,LOPES da SILVA C,2 - 6,NZL,0:03,Goal,1
5m shot,3.0,3,1.0,SEIDEMANN M,2 - 6,USA,0:01,Missed,0
5m shot,6.0,3,2.0,STEFFENS M,2 - 7,USA,6:55,Goal,1
Extra player shot,12.0,3,2.0,PYE B,3 - 7,NZL,6:20,Goal,1
Action shot,2.0,3,2.0,MUSSELMAN M,3 - 8,USA,5:51,Goal,1
Action shot,2.0,3,2.0,MUSSELMAN M,3 - 9,USA,5:03,Goal,1
Action shot,9.0,3,2.0,FISCHER A,3 - 9,USA,4:04,Saved,0
Action shot,2.0,3,2.0,MUSSELMAN M,3 - 10,USA,3:16,Goal,1
5m shot,7.0,3,2.0,RANEY J,3 - 11,USA,2:17,Goal,1
Action shot,5.0,3,2.0,HAUSCHILD P,3 - 12,USA,1:01,Goal,1
Extra player shot,12.0,3,2.0,PYE B,3 - 12,NZL,0:44,Missed,0
Action shot,3.0,3,2.0,SEIDEMANN M,3 - 12,USA,0:05,Post,0
Action shot,5.0,3,3.0,HAUSCHILD P,3 - 12,USA,7:31,Saved,0
Action shot,11.0,3,3.0,FISCHER M,3 - 13,USA,6:32,Goal,1
Extra player shot,12.0,3,3.0,PYE B,4 - 13,NZL,5:49,Goal,1
Action shot,2.0,3,3.0,MUSSELMAN M,4 - 14,USA,5:32,Goal,1
5m shot,9.0,3,3.0,STONEMAN E,5 - 14,NZL,5:10,Goal,1
5m shot,7.0,3,3.0,RANEY J,5 - 14,USA,4:41,Missed,0
Extra player shot,7.0,3,3.0,RANEY J,5 - 15,USA,3:47,Goal,1
Counter attack,9.0,3,3.0,FISCHER A,5 - 16,USA,2:10,Goal,1
Action shot,9.0,3,3.0,FISCHER A,5 - 17,USA,1:19,Goal,1
5m shot,3.0,3,3.0,MASON K,5 - 17,NZL,0:33,Blocked,0
Action shot,8.0,3,3.0,NEUSHUL K,5 - 18,USA,0:19,Goal,1
5m shot,9.0,3,3.0,STONEMAN E,5 - 18,NZL,0:01,Saved,0
Extra player shot,6.0,3,4.0,STEFFENS M,5 - 19,USA,7:25,Goal,1
5m shot,8.0,3,4.0,LOPES da SILVA C,5 - 19,NZL,6:40,Missed,0
Extra player shot,2.0,3,4.0,LEWIS N,5 - 19,NZL,5:28,Missed,0
5m shot,2.0,3,4.0,MUSSELMAN M,5 - 19,USA,4:42,Post,0
5m shot,11.0,3,4.0,HUDSON K,5 - 19,NZL,4:14,Saved,0
Extra player shot,4.0,3,4.0,FATTAL R,5 - 20,USA,3:48,Goal,1
5m shot,7.0,3,4.0,HOUGHTON E,5 - 20,NZL,3:28,Blocked,0
Counter attack,12.0,3,4.0,WILLIAMS A,5 - 20,USA,3:15,Saved,0
Extra player shot,12.0,3,4.0,PYE B,5 - 20,NZL,2:34,Saved,0
5m shot,3.0,3,4.0,MASON K,6 - 20,NZL,2:22,Goal,1
Action shot,11.0,3,4.0,HUDSON K,7 - 20,NZL,1:20,Goal,1
Action shot,10.0,3,4.0,NEUSHUL J,7 - 21,USA,0:47,Goal,1
5m shot,3.0,3,4.0,MASON K,7 - 21,NZL,0:16,Blocked,0
Extra player shot,6.0,3,4.0,STEFFENS M,7 - 22,USA,0:07,Goal,1
5m shot,3.0,3,4.0,MASON K,7 - 22,NZL,0:01,Saved,0
5m shot,6.0,4,1.0,STEFFENS M,0 - 0,USA,6:49,Post,0
5m shot,11.0,4,1.0,FISCHER M,0 - 0,USA,5:49,Post,0
Action shot,7.0,4,1.0,WEBSTER R,0 - 0,AUS,3:39,Blocked,0
Centre shot,2.0,4,1.0,GOFERS K,0 - 0,AUS,3:13,Saved,0
Action shot,2.0,4,1.0,MUSSELMAN M,0 - 0,USA,2:54,Blocked,0
Action shot,2.0,4,1.0,MUSSELMAN M,0 - 0,USA,2:49,Post,0
5m shot,3.0,4,1.0,BUCKLING H,0 - 0,AUS,2:21,Missed,0
5m shot,4.0,4,1.0,FATTAL R,0 - 0,USA,1:54,Post,0
Action shot,3.0,4,1.0,BUCKLING H,0 - 0,AUS,0:56,Blocked,0
Action shot,4.0,4,2.0,HALLIGAN B,0 - 0,AUS,7:05,Missed,0
Centre shot,9.0,4,2.0,FISCHER A,0 - 0,USA,6:39,Post,0
