Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,0,10.0,2,0,AUS,1.0,SOUTHERN A,0 - 0,457,AUS,7:37,Saved,0
Action shot,0,5.0,2,0,AUS,1.0,BISHOP I,0 - 0,411,AUS,6:51,Blocked,0
Action shot,1,3.0,2,0,AUS,1.0,LIU P,0 - 1,388,CHN,6:28,Goal,1
Extra player shot,1,2.0,2,0,AUS,1.0,TENG F,0 - 1,310,CHN,5:10,Saved,0
Action shot,1,2.0,2,0,AUS,1.0,TENG F,0 - 1,305,CHN,5:05,Missed,0
Action shot,1,7.0,2,1,AUS,1.0,WEBSTER R,1 - 1,289,AUS,4:49,Goal,1
Centre shot,1,2.0,2,1,AUS,1.0,APPEL J,1 - 1,218,AUS,3:38,Missed,0
Action shot,2,4.0,2,1,AUS,1.0,SUN Y,1 - 2,201,CHN,3:21,Goal,1
Action shot,2,6.0,2,1,AUS,1.0,KNOX B,1 - 2,178,AUS,2:58,Missed,0
Centre shot,3,3.0,2,1,AUS,1.0,LIU P,1 - 3,136,CHN,2:16,Goal,1
Action shot,3,10.0,2,1,AUS,1.0,SOUTHERN A,1 - 3,107,AUS,1:47,Post,0
Action shot,3,2.0,2,1,AUS,1.0,TENG F,1 - 3,87,CHN,1:27,Saved,0
Centre shot,3,4.0,2,2,AUS,2.0,LINCOLN-SMITH H,2 - 3,433,AUS,7:13,Goal,1
Counter attack,3,8.0,2,3,AUS,2.0,McGHIE G,3 - 3,354,AUS,5:54,Goal,1
5m shot,4,10.0,2,3,AUS,2.0,MA H,3 - 4,310,CHN,5:10,Goal,1
Extra player shot,4,12.0,2,3,AUS,2.0,ZAGAME N,3 - 4,269,AUS,4:29,Post,0
Action shot,4,12.0,2,3,AUS,2.0,XIA Q,3 - 4,239,CHN,3:59,Blocked,0
Action shot,4,8.0,2,4,AUS,2.0,McGHIE G,4 - 4,183,AUS,3:03,Goal,1
Action shot,4,5.0,2,4,AUS,2.0,BISHOP I,4 - 4,131,AUS,2:11,Saved,0
Action shot,4,2.0,2,4,AUS,2.0,TENG F,4 - 4,105,CHN,1:45,Saved,0
Centre shot,4,4.0,2,4,AUS,2.0,LINCOLN-SMITH H,4 - 4,78,AUS,1:18,Saved,0
Extra player shot,5,11.0,2,4,AUS,2.0,ZHANG C,4 - 5,64,CHN,1:04,Goal,1
Action shot,5,10.0,2,4,AUS,2.0,SOUTHERN A,4 - 5,35,AUS,0:35,Saved,0
Action shot,5,9.0,2,4,AUS,2.0,ARANCINI Z,4 - 5,11,AUS,0:11,Post,0
Action shot,5,5.0,2,13,AUS,4.0,BISHOP I,13 - 5,79,AUS,1:19,Goal,1
Action shot,5,3.0,2,13,AUS,4.0,LIU P,13 - 5,51,CHN,0:51,Blocked,0
Action shot,5,10.0,2,13,AUS,3.0,SOUTHERN A,13 - 5,414,AUS,6:54,Saved,0
Extra player shot,5,12.0,2,5,AUS,3.0,ZAGAME N,5 - 5,386,AUS,6:26,Goal,1
Action shot,5,8.0,2,5,AUS,3.0,McGHIE G,5 - 5,331,AUS,5:31,Post,0
5m shot,5,10.0,2,5,AUS,3.0,MA H,5 - 5,312,CHN,5:12,Missed,0
Action shot,5,8.0,2,6,AUS,3.0,McGHIE G,6 - 5,272,AUS,4:32,Goal,1
Centre shot,5,9.0,2,7,AUS,3.0,ARANCINI Z,7 - 5,228,AUS,3:48,Goal,1
Action shot,5,11.0,2,7,AUS,3.0,ZHANG C,7 - 5,203,CHN,3:23,Blocked,0
Action shot,5,6.0,2,8,AUS,3.0,KNOX B,8 - 5,175,AUS,2:55,Goal,1
Action shot,5,11.0,2,8,AUS,3.0,ZHANG C,8 - 5,151,CHN,2:31,Saved,0
Extra player shot,5,12.0,2,9,AUS,3.0,ZAGAME N,9 - 5,30,AUS,0:30,Goal,1
Action shot,5,12.0,2,9,AUS,3.0,XIA Q,9 - 5,13,CHN,0:13,Missed,0
Extra player shot,5,10.0,2,10,AUS,3.0,SOUTHERN A,10 - 5,1,AUS,0:01,Goal,1
5m shot,5,7.0,2,10,AUS,3.0,SONG D,10 - 5,1,CHN,0:01,Blocked,0
Action shot,5,8.0,2,10,AUS,4.0,McGHIE G,10 - 5,452,AUS,7:32,Post,0
5m shot,5,10.0,2,10,AUS,4.0,MA H,10 - 5,430,CHN,7:10,Saved,0
Action shot,5,10.0,2,10,AUS,4.0,SOUTHERN A,10 - 5,349,AUS,5:49,Blocked,0
5m shot,5,10.0,2,10,AUS,4.0,MA H,10 - 5,320,CHN,5:20,Blocked,0
Action shot,5,8.0,2,10,AUS,4.0,McGHIE G,10 - 5,290,AUS,4:50,Post,0
Extra player shot,5,11.0,2,10,AUS,4.0,ZHANG C,10 - 5,251,CHN,4:11,Blocked,0
Counter attack,5,10.0,2,11,AUS,4.0,SOUTHERN A,11 - 5,218,AUS,3:38,Goal,1
Action shot,5,8.0,2,11,AUS,4.0,XU L,11 - 5,193,CHN,3:13,Post,0
Action shot,5,5.0,2,12,AUS,4.0,BISHOP I,12 - 5,172,AUS,2:52,Goal,1
Action shot,5,5.0,2,12,AUS,4.0,BISHOP I,12 - 5,125,AUS,2:05,Saved,0
Centre shot,5,7.0,2,14,AUS,4.0,WEBSTER R,14 - 5,15,AUS,0:15,Goal,1
5m shot,5,11.0,2,14,AUS,4.0,ZHANG C,14 - 5,1,CHN,0:01,Missed,0
Action shot,0,10.0,3,0,NZL,1.0,MA H,0 - 0,431,CHN,7:11,Saved,0
5m shot,1,3.0,3,0,NZL,1.0,LIU P,1 - 0,396,CHN,6:36,Goal,1
5m shot,1,12.0,3,0,NZL,1.0,MYLES A,1 - 0,371,NZL,6:11,Post,0
Action shot,1,3.0,3,0,NZL,1.0,MASON K,1 - 0,325,NZL,5:25,Saved,0
Action shot,1,2.0,3,0,NZL,1.0,TENG F,1 - 0,278,CHN,4:38,Saved,0
5m shot,1,3.0,3,0,NZL,1.0,MASON K,1 - 0,236,NZL,3:56,Saved,0
Action shot,1,9.0,3,0,NZL,1.0,SIEPRATH L,1 - 0,210,NZL,3:30,Post,0
Action shot,2,11.0,3,0,NZL,1.0,ZHANG C,2 - 0,195,CHN,3:15,Goal,1
Action shot,2,7.0,3,0,NZL,1.0,LANDRY S,2 - 0,165,NZL,2:45,Missed,0
Centre shot,2,5.0,3,0,NZL,1.0,HE J,2 - 0,94,CHN,1:34,Blocked,0
Extra player shot,2,3.0,3,0,NZL,1.0,MASON K,2 - 0,66,NZL,1:06,Post,0
Action shot,2,7.0,3,0,NZL,1.0,SONG D,2 - 0,23,CHN,0:23,Post,0
Action shot,2,6.0,3,0,NZL,1.0,SMITH L,2 - 0,1,NZL,0:01,Saved,0
Action shot,2,3.0,3,0,NZL,2.0,LIU P,2 - 0,456,CHN,7:36,Missed,0
Action shot,2,6.0,3,1,NZL,2.0,SMITH L,2 - 1,431,NZL,7:11,Goal,1
Extra player shot,3,2.0,3,1,NZL,2.0,TENG F,3 - 1,396,CHN,6:36,Goal,1
5m shot,3,3.0,3,1,NZL,2.0,MASON K,3 - 1,377,NZL,6:17,Post,0
Counter attack,4,4.0,3,1,NZL,2.0,SUN Y,4 - 1,365,CHN,6:05,Goal,1
Action shot,4,10.0,3,1,NZL,2.0,MA H,4 - 1,324,CHN,5:24,Blocked,0
5m shot,4,11.0,3,1,NZL,2.0,HUDSON K,4 - 1,296,NZL,4:56,Missed,0
Centre shot,5,5.0,3,1,NZL,2.0,HE J,5 - 1,271,CHN,4:31,Goal,1
Action shot,5,3.0,3,1,NZL,2.0,MASON K,5 - 1,251,NZL,4:11,Saved,0
