Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,3,4.0,1,0,RSA,1.0,RAWSTRON C,3 - 0,152,RSA,2:32
Steal,3,4.0,1,0,RSA,1.0,SUN Y,3 - 0,152,CHN,2:32
5m shot - Missed,3,11.0,1,0,RSA,1.0,ZHANG C,3 - 0,135,CHN,2:15
5m shot - Goal,4,8.0,1,0,RSA,1.0,XU L,4 - 0,97,CHN,1:37
Turnover foul,4,10.0,1,0,RSA,1.0,KEET M,4 - 0,70,RSA,1:10
Steal,4,12.0,1,0,RSA,1.0,XIA Q,4 - 0,70,CHN,1:10
5m shot - Saved,4,11.0,1,0,RSA,1.0,ZHANG C,4 - 0,44,CHN,0:44
Action shot - Saved,4,10.0,1,0,RSA,1.0,KEET M,4 - 0,14,RSA,0:14
5m shot - Missed,4,11.0,1,0,RSA,1.0,ZHANG C,4 - 0,4,CHN,0:04
Starting goalkeeper,4,1.0,1,0,RSA,2.0,YANG J,4 - 0,480,CHN,8:00
Starting goalkeeper,4,1.0,1,0,RSA,2.0,JACOBS A,4 - 0,480,RSA,8:00
Sprint won possession,4,12.0,1,0,RSA,2.0,WHITE K,4 - 0,480,RSA,8:00
5m shot - Post,4,10.0,1,0,RSA,2.0,MA H,4 - 0,434,CHN,7:14
20 sec. exclusion in centre,4,7.0,1,0,RSA,2.0,KAY K,4 - 0,430,RSA,7:10
Extra player shot - Goal,5,5.0,1,0,RSA,2.0,HE J,5 - 0,422,CHN,7:02
5m shot - Post,5,12.0,1,0,RSA,2.0,WHITE K,5 - 0,401,RSA,6:41
Turnover foul,5,8.0,1,0,RSA,2.0,KEET L,5 - 0,393,RSA,6:33
Steal,5,4.0,1,0,RSA,2.0,SUN Y,5 - 0,393,CHN,6:33
Counter attack - Goal,6,4.0,1,0,RSA,2.0,SUN Y,6 - 0,378,CHN,6:18
Turnover foul,6,2.0,1,0,RSA,2.0,SCHMIDT K,6 - 0,361,RSA,6:01
Steal,6,11.0,1,0,RSA,2.0,ZHANG C,6 - 0,361,CHN,6:01
20 sec. exclusion in field,6,6.0,1,0,RSA,2.0,SCHOOLING T,6 - 0,354,RSA,5:54
Extra player shot - Goal,7,10.0,1,0,RSA,2.0,MA H,7 - 0,337,CHN,5:37
Time-Out,7,,1,0,RSA,2.0,,7 - 0,337,RSA,5:37
Action shot - Missed,7,2.0,1,0,RSA,2.0,SCHMIDT K,7 - 0,312,RSA,5:12
20 sec. exclusion in centre,7,3.0,1,0,RSA,2.0,PALEY K,7 - 0,288,RSA,4:48
Turnover foul,7,10.0,1,0,RSA,2.0,MA H,7 - 0,269,CHN,4:29
Steal,7,8.0,1,0,RSA,2.0,KEET L,7 - 0,269,RSA,4:29
5m shot - Saved,7,9.0,1,0,RSA,2.0,MEI X,7 - 0,211,CHN,3:31
Centre shot - Missed,7,6.0,1,0,RSA,2.0,SUN Y,7 - 0,189,CHN,3:09
Centre shot - Saved,7,8.0,1,0,RSA,2.0,KEET L,7 - 0,165,RSA,2:45
Turnover foul,7,6.0,1,0,RSA,2.0,SUN Y,7 - 0,145,CHN,2:25
Action shot - Post,7,2.0,1,0,RSA,2.0,SCHMIDT K,7 - 0,118,RSA,1:58
5m shot - Missed,7,9.0,1,0,RSA,2.0,MEI X,7 - 0,97,CHN,1:37
Counter attack - Goal,8,10.0,1,0,RSA,2.0,MA H,8 - 0,61,CHN,1:01
5m shot - Saved,8,11.0,1,0,RSA,2.0,KILLEEN L,8 - 0,47,RSA,0:47
Turnover foul,8,5.0,1,0,RSA,2.0,HE J,8 - 0,25,CHN,0:25
Turnover foul,8,7.0,1,0,RSA,2.0,KAY K,8 - 0,5,RSA,0:05
5m shot - Saved,8,1.0,1,0,RSA,2.0,YANG J,8 - 0,1,CHN,0:01
Starting goalkeeper,8,1.0,1,0,RSA,3.0,JACOBS A,8 - 0,480,RSA,8:00
Starting goalkeeper,8,13.0,1,0,RSA,3.0,WANG Y,8 - 0,480,CHN,8:00
Sprint won possession,8,11.0,1,0,RSA,3.0,KILLEEN L,8 - 0,480,RSA,8:00
Turnover foul,8,4.0,1,0,RSA,3.0,RAWSTRON C,8 - 0,463,RSA,7:43
