Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,5.0,1,5,1,CHN,1.0,NIU G,1 - 1,236,CHN,3:56,Missed,0
5m shot,5.0,1,5,1,CHN,1.0,NIU G,1 - 1,231,CHN,3:51,Saved,0
Action shot,3.0,1,5,2,CHN,1.0,MEI X,2 - 1,204,CHN,3:24,Goal,1
5m shot,7.0,1,5,2,CHN,1.0,VALVERDE C,2 - 1,153,FRA,2:33,Missed,0
5m shot,5.0,1,5,2,CHN,1.0,NIU G,2 - 1,141,CHN,2:21,Saved,0
5m shot,3.0,1,5,2,CHN,1.0,MEI X,2 - 1,93,CHN,1:33,Post,0
Action shot,5.0,2,5,2,CHN,1.0,GUILLET L,2 - 2,63,FRA,1:03,Goal,1
Action shot,10.0,2,5,3,CHN,1.0,ZHANG D,3 - 2,21,CHN,0:21,Goal,1
Penalty shot,2.0,3,5,3,CHN,2.0,MILLOT E,3 - 3,284,FRA,4:44,Goal,1
5m shot,4.0,3,5,3,CHN,2.0,SACRE A,3 - 3,233,FRA,3:53,Saved,0
Action shot,6.0,3,5,4,CHN,2.0,GUO N,4 - 3,219,CHN,3:39,Goal,1
Centre shot,12.0,4,5,4,CHN,2.0,DAULE A,4 - 4,191,FRA,3:11,Goal,1
5m shot,10.0,4,5,4,CHN,2.0,ZHANG D,4 - 4,163,CHN,2:43,Missed,0
Action shot,6.0,4,5,4,CHN,2.0,MAHIEU G,4 - 4,152,FRA,2:32,Saved,0
Action shot,2.0,4,5,5,CHN,2.0,BI Y,5 - 4,129,CHN,2:09,Goal,1
5m shot,5.0,4,5,5,CHN,2.0,GUILLET L,5 - 4,48,FRA,0:48,Blocked,0
Penalty shot,9.0,4,5,6,CHN,2.0,ZHAO Z,6 - 4,22,CHN,0:22,Goal,1
Action shot,3.0,4,5,6,CHN,4.0,BACHELIER L,6 - 4,51,FRA,0:51,Saved,0
5m shot,5.0,4,5,7,CHN,3.0,NIU G,7 - 4,451,CHN,7:31,Goal,1
Action shot,12.0,4,5,7,CHN,3.0,DAULE A,7 - 4,426,FRA,7:06,Blocked,0
Action shot,6.0,4,5,7,CHN,3.0,GUO N,7 - 4,413,CHN,6:53,Saved,0
5m shot,3.0,4,5,7,CHN,3.0,MEI X,7 - 4,357,CHN,5:57,Post,0
Extra player shot,3.0,4,5,8,CHN,3.0,MEI X,8 - 4,336,CHN,5:36,Goal,1
5m shot,4.0,5,5,8,CHN,3.0,SACRE A,8 - 5,269,FRA,4:29,Goal,1
5m shot,9.0,5,5,8,CHN,3.0,ZHAO Z,8 - 5,245,CHN,4:05,Saved,0
5m shot,11.0,5,5,8,CHN,3.0,BARBIEUX M,8 - 5,195,FRA,3:15,Blocked,0
5m shot,5.0,5,5,9,CHN,3.0,NIU G,9 - 5,119,CHN,1:59,Goal,1
Action shot,2.0,5,5,9,CHN,3.0,MILLOT E,9 - 5,61,FRA,1:01,Saved,0
Counter attack,12.0,5,5,10,CHN,3.0,ZHANG J,10 - 5,46,CHN,0:46,Goal,1
5m shot,6.0,5,5,10,CHN,3.0,GUO N,10 - 5,1,CHN,0:01,Post,0
5m shot,2.0,5,5,10,CHN,4.0,BI Y,10 - 5,435,CHN,7:15,Missed,0
5m shot,9.0,5,5,10,CHN,4.0,SACRE A,10 - 5,406,FRA,6:46,Saved,0
Action shot,10.0,5,5,11,CHN,4.0,ZHANG D,11 - 5,359,CHN,5:59,Goal,1
Action shot,5.0,5,5,11,CHN,4.0,GUILLET L,11 - 5,330,FRA,5:30,Saved,0
Action shot,9.0,5,5,11,CHN,4.0,ZHAO Z,11 - 5,321,CHN,5:21,Post,0
5m shot,7.0,5,5,11,CHN,4.0,VALVERDE C,11 - 5,299,FRA,4:59,Missed,0
Action shot,5.0,5,5,11,CHN,4.0,GUILLET L,11 - 5,268,FRA,4:28,Saved,0
Action shot,5.0,5,5,12,CHN,4.0,NIU G,12 - 5,182,CHN,3:02,Goal,1
5m shot,10.0,5,5,12,CHN,4.0,DESCHAMPT Y,12 - 5,162,FRA,2:42,Saved,0
Extra player shot,7.0,5,5,13,CHN,4.0,NONG S,13 - 5,117,CHN,1:57,Goal,1
