Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,0,8.0,1,1,RSA,1.0,BELL R,0 - 1,420,RSA,7:00,Goal,1
Penalty shot,1,9.0,1,1,RSA,1.0,DIGGLE D,1 - 1,409,CAN,6:49,Goal,1
Centre shot,1,3.0,1,2,RSA,1.0,CARD D,1 - 2,385,RSA,6:25,Goal,1
Extra player shot,2,8.0,1,2,RSA,1.0,GRAHAM K,2 - 2,332,CAN,5:32,Goal,1
Extra player shot,2,2.0,1,2,RSA,1.0,le ROUX E,2 - 2,288,RSA,4:48,Blocked,0
Centre shot,3,4.0,1,2,RSA,1.0,CONSTANTIN-BICARI,3 - 2,267,CAN,4:27,Goal,1
Action shot,3,13.0,1,2,RSA,1.0,STEWART D,3 - 2,241,RSA,4:01,Post,0
Centre shot,3,3.0,1,2,RSA,1.0,VIKALO O,3 - 2,214,CAN,3:34,Missed,0
Action shot,3,5.0,1,2,RSA,1.0,BOYD J,3 - 2,166,CAN,2:46,Post,0
Centre shot,4,3.0,1,2,RSA,1.0,VIKALO O,4 - 2,112,CAN,1:52,Goal,1
Action shot,4,13.0,1,2,RSA,1.0,STEWART D,4 - 2,91,RSA,1:31,Blocked,0
Centre shot,4,4.0,1,2,RSA,1.0,BADENHORST I,4 - 2,49,RSA,0:49,Missed,0
Centre shot,4,4.0,1,2,RSA,1.0,CONSTANTIN-BICARI,4 - 2,44,CAN,0:44,Saved,0
5m shot,4,9.0,1,2,RSA,1.0,DIGGLE D,4 - 2,2,CAN,0:02,Blocked,0
5m shot,4,2.0,1,2,RSA,2.0,KUDABA C,4 - 2,463,CAN,7:43,Post,0
5m shot,4,7.0,1,2,RSA,2.0,DOWNES R,4 - 2,430,RSA,7:10,Blocked,0
Extra player shot,4,9.0,1,2,RSA,2.0,DIGGLE D,4 - 2,384,CAN,6:24,Saved,0
Action shot,4,8.0,1,2,RSA,2.0,BELL R,4 - 2,370,RSA,6:10,Blocked,0
Action shot,4,10.0,1,3,RSA,2.0,le ROUX P,4 - 3,352,RSA,5:52,Goal,1
Extra player shot,4,8.0,1,3,RSA,2.0,GRAHAM K,4 - 3,332,CAN,5:32,Missed,0
5m shot,4,8.0,1,3,RSA,2.0,GRAHAM K,4 - 3,290,CAN,4:50,Post,0
Action shot,4,8.0,1,4,RSA,2.0,BELL R,4 - 4,231,RSA,3:51,Goal,1
Extra player shot,5,3.0,1,4,RSA,2.0,VIKALO O,5 - 4,202,CAN,3:22,Goal,1
Extra player shot,5,2.0,1,4,RSA,2.0,le ROUX E,5 - 4,168,RSA,2:48,Saved,0
Penalty shot,5,2.0,1,4,RSA,2.0,le ROUX E,5 - 4,110,RSA,1:50,Saved,0
Extra player shot,6,10.0,1,4,RSA,2.0,CONWAY J,6 - 4,73,CAN,1:13,Goal,1
Action shot,6,2.0,1,5,RSA,2.0,le ROUX E,6 - 5,49,RSA,0:49,Goal,1
Centre shot,15,5.0,1,10,RSA,4.0,BOYD J,15 - 10,227,CAN,3:47,Goal,1
Extra player shot,15,2.0,1,10,RSA,4.0,le ROUX E,15 - 10,197,RSA,3:17,Missed,0
5m shot,15,9.0,1,10,RSA,4.0,DIGGLE D,15 - 10,175,CAN,2:55,Post,0
Action shot,15,2.0,1,10,RSA,4.0,le ROUX E,15 - 10,156,RSA,2:36,Saved,0
5m shot,16,12.0,1,10,RSA,4.0,McELROY J,16 - 10,115,CAN,1:55,Goal,1
Extra player shot,16,3.0,1,10,RSA,2.0,VIKALO O,16 - 10,6,CAN,0:06,Saved,0
Centre shot,7,4.0,1,5,RSA,3.0,CONSTANTIN-BICARI,7 - 5,462,CAN,7:42,Goal,1
Action shot,7,8.0,1,6,RSA,3.0,BELL R,7 - 6,447,RSA,7:27,Goal,1
Action shot,8,4.0,1,6,RSA,3.0,CONSTANTIN-BICARI,8 - 6,426,CAN,7:06,Goal,1
Action shot,8,6.0,1,6,RSA,3.0,KYTE J,8 - 6,399,RSA,6:39,Saved,0
Extra player shot,8,8.0,1,6,RSA,3.0,BELL R,8 - 6,352,RSA,5:52,Saved,0
Extra player shot,9,8.0,1,6,RSA,3.0,GRAHAM K,9 - 6,324,CAN,5:24,Goal,1
Action shot,9,2.0,1,7,RSA,3.0,le ROUX E,9 - 7,312,RSA,5:12,Goal,1
Centre shot,10,4.0,1,7,RSA,3.0,CONSTANTIN-BICARI,10 - 7,298,CAN,4:58,Goal,1
Action shot,10,6.0,1,7,RSA,3.0,KYTE J,10 - 7,259,RSA,4:19,Saved,0
Centre shot,10,4.0,1,7,RSA,3.0,BADENHORST I,10 - 7,212,RSA,3:32,Saved,0
Extra player shot,10,6.0,1,8,RSA,3.0,KYTE J,10 - 8,162,RSA,2:42,Goal,1
5m shot,10,10.0,1,8,RSA,3.0,CONWAY J,10 - 8,140,CAN,2:20,Saved,0
Action shot,10,10.0,1,8,RSA,3.0,le ROUX P,10 - 8,114,RSA,1:54,Post,0
5m shot,11,9.0,1,8,RSA,3.0,DIGGLE D,11 - 8,95,CAN,1:35,Goal,1
Penalty shot,12,5.0,1,8,RSA,3.0,BOYD J,12 - 8,71,CAN,1:11,Goal,1
Centre shot,12,3.0,1,9,RSA,3.0,CARD D,12 - 9,56,RSA,0:56,Goal,1
Counter attack,13,7.0,1,9,RSA,3.0,TASCHERREAU A,13 - 9,7,CAN,0:07,Goal,1
5m shot,13,4.0,1,9,RSA,3.0,BADENHORST I,13 - 9,1,RSA,0:01,Saved,0
Centre shot,13,3.0,1,10,RSA,4.0,CARD D,13 - 10,462,RSA,7:42,Goal,1
Action shot,13,4.0,1,10,RSA,4.0,CONSTANTIN-BICARI,13 - 10,435,CAN,7:15,Post,0
Action shot,13,2.0,1,10,RSA,4.0,le ROUX E,13 - 10,397,RSA,6:37,Saved,0
5m shot,13,2.0,1,10,RSA,4.0,KUDABA C,13 - 10,375,CAN,6:15,Missed,0
Extra player shot,13,10.0,1,10,RSA,4.0,le ROUX P,13 - 10,340,RSA,5:40,Saved,0
Action shot,13,10.0,1,10,RSA,4.0,le ROUX P,13 - 10,314,RSA,5:14,Post,0
Penalty shot,14,8.0,1,10,RSA,4.0,GRAHAM K,14 - 10,291,CAN,4:51,Goal,1
Centre shot,14,3.0,1,10,RSA,4.0,CARD D,14 - 10,273,RSA,4:33,Saved,0
Extra player shot,16,13.0,1,11,RSA,4.0,STEWART D,16 - 11,88,RSA,1:28,Goal,1
Extra player shot,17,3.0,1,11,RSA,4.0,VIKALO O,17 - 11,62,CAN,1:02,Goal,1
Action shot,17,10.0,1,11,RSA,4.0,le ROUX P,17 - 11,38,RSA,0:38,Saved,0
5m shot,17,5.0,1,11,RSA,4.0,BOYD J,17 - 11,15,CAN,0:15,Post,0
Action shot,0,2.0,2,0,CRO,1.0,KUDABA C,0 - 0,452,CAN,7:32,Blocked,0
Centre shot,0,12.0,2,0,CRO,1.0,OBRADOVIC P,0 - 0,383,CRO,6:23,Saved,0
Centre shot,0,10.0,2,0,CRO,1.0,DOBUD N,0 - 0,368,CRO,6:08,Missed,0
Action shot,0,12.0,2,1,CRO,1.0,OBRADOVIC P,1 - 0,255,CRO,4:15,Goal,1
5m shot,0,8.0,2,1,CRO,1.0,GRAHAM K,1 - 0,224,CAN,3:44,Blocked,0
Centre shot,0,4.0,2,2,CRO,1.0,PASKVALIN F,2 - 0,205,CRO,3:25,Goal,1
Centre shot,0,4.0,2,2,CRO,1.0,CONSTANTIN-BICARI,2 - 0,179,CAN,2:59,Saved,0
Counter attack,0,11.0,2,3,CRO,1.0,SETKA A,3 - 0,14,CRO,0:14,Goal,1
Action shot,0,9.0,2,3,CRO,2.0,DIGGLE D,3 - 0,435,CAN,7:15,Blocked,0
Centre shot,1,6.0,2,3,CRO,2.0,ROBINSON S,3 - 1,431,CAN,7:11,Goal,1
Action shot,1,12.0,2,4,CRO,2.0,OBRADOVIC P,4 - 1,410,CRO,6:50,Goal,1
5m shot,1,10.0,2,4,CRO,2.0,CONWAY J,4 - 1,382,CAN,6:22,Missed,0
Action shot,1,5.0,2,4,CRO,2.0,JOKOVIC M,4 - 1,313,CRO,5:13,Post,0
Penalty shot,2,8.0,2,4,CRO,2.0,GRAHAM K,4 - 2,254,CAN,4:14,Goal,1
Extra player shot,2,9.0,2,5,CRO,2.0,SUKNO S,5 - 2,209,CRO,3:29,Goal,1
5m shot,2,12.0,2,5,CRO,2.0,McELROY J,5 - 2,185,CAN,3:05,Saved,0
Action shot,2,5.0,2,5,CRO,2.0,JOKOVIC M,5 - 2,157,CRO,2:37,Post,0
Action shot,2,7.0,2,6,CRO,2.0,MUSLIM P,6 - 2,121,CRO,2:01,Goal,1
Extra player shot,3,9.0,2,6,CRO,2.0,DIGGLE D,6 - 3,30,CAN,0:30,Goal,1
Centre shot,3,10.0,2,6,CRO,2.0,DOBUD N,6 - 3,2,CRO,0:02,Saved,0
Penalty shot,3,5.0,2,7,CRO,3.0,JOKOVIC M,7 - 3,462,CRO,7:42,Goal,1
Centre shot,8,10.0,2,13,CRO,4.0,CONWAY J,13 - 8,12,CAN,0:12,Goal,1
Action shot,8,7.0,2,13,CRO,3.0,MUSLIM P,13 - 8,418,CRO,6:58,Post,0
Extra player shot,3,7.0,2,8,CRO,3.0,MUSLIM P,8 - 3,375,CRO,6:15,Goal,1
Action shot,3,8.0,2,8,CRO,3.0,GRAHAM K,8 - 3,297,CAN,4:57,Blocked,0
Penalty shot,4,4.0,2,8,CRO,3.0,CONSTANTIN-BICARI,8 - 4,296,CAN,4:56,Goal,1
Centre shot,4,4.0,2,8,CRO,3.0,PASKVALIN F,8 - 4,273,CRO,4:33,Saved,0
Counter attack,5,4.0,2,8,CRO,3.0,CONSTANTIN-BICARI,8 - 5,256,CAN,4:16,Goal,1
Centre shot,5,3.0,2,8,CRO,3.0,MILAKOVIC I,8 - 5,216,CRO,3:36,Saved,0
Action shot,5,7.0,2,9,CRO,3.0,MUSLIM P,9 - 5,177,CRO,2:57,Goal,1
Action shot,5,5.0,2,9,CRO,3.0,JOKOVIC M,9 - 5,145,CRO,2:25,Missed,0
Centre shot,6,3.0,2,9,CRO,3.0,VIKALO O,9 - 6,128,CAN,2:08,Goal,1
Action shot,6,8.0,2,9,CRO,3.0,GRAHAM K,9 - 6,88,CAN,1:28,Blocked,0
Centre shot,6,10.0,2,9,CRO,3.0,DOBUD N,9 - 6,64,CRO,1:04,Saved,0
Penalty shot,6,8.0,2,9,CRO,3.0,GRAHAM K,9 - 6,48,CAN,0:48,Saved,0
Centre shot,6,10.0,2,10,CRO,3.0,DOBUD N,10 - 6,22,CRO,0:22,Goal,1
Action shot,6,7.0,2,10,CRO,3.0,MUSLIM P,10 - 6,1,CRO,0:01,Post,0
Action shot,6,8.0,2,10,CRO,4.0,GRAHAM K,10 - 6,451,CAN,7:31,Blocked,0
