Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in field,13,2.0,1,10,RSA,4.0,KUDABA C,13 - 10,360,CAN,6:00
Exclusion with substitution,13,2.0,1,10,RSA,4.0,KUDABA C,13 - 10,360,CAN,6:00
Extra player shot - Saved,13,10.0,1,10,RSA,4.0,le ROUX P,13 - 10,340,RSA,5:40
20 sec. exclusion in centre,13,6.0,1,10,RSA,4.0,ROBINSON S,13 - 10,330,CAN,5:30
Exclusion with substitution,13,6.0,1,10,RSA,4.0,ROBINSON S,13 - 10,330,CAN,5:30
Action shot - Post,13,10.0,1,10,RSA,4.0,le ROUX P,13 - 10,314,RSA,5:14
Penalty foul,13,6.0,1,10,RSA,4.0,KYTE J,13 - 10,291,RSA,4:51
Penalty shot - Goal,14,8.0,1,10,RSA,4.0,GRAHAM K,14 - 10,291,CAN,4:51
Centre shot - Saved,14,3.0,1,10,RSA,4.0,CARD D,14 - 10,273,RSA,4:33
Turnover foul,14,3.0,1,10,RSA,4.0,CARD D,14 - 10,267,RSA,4:27
Steal,14,8.0,1,10,RSA,4.0,GRAHAM K,14 - 10,267,CAN,4:27
Turnover foul,14,12.0,1,10,RSA,4.0,McELROY J,14 - 10,246,CAN,4:06
Steal,14,11.0,1,10,RSA,4.0,MOLYNEUX N,14 - 10,246,RSA,4:06
Turnover foul,14,2.0,1,10,RSA,4.0,le ROUX E,14 - 10,242,RSA,4:02
Steal,14,5.0,1,10,RSA,4.0,BOYD J,14 - 10,242,CAN,4:02
20 sec. exclusion in centre,14,11.0,1,10,RSA,4.0,GASIC L,14 - 10,101,CAN,1:41
Extra player shot - Goal,16,13.0,1,11,RSA,4.0,STEWART D,16 - 11,88,RSA,1:28
20 sec. exclusion in field,16,13.0,1,11,RSA,4.0,STEWART D,16 - 11,77,RSA,1:17
Exclusion with substitution,16,13.0,1,11,RSA,4.0,STEWART D,16 - 11,77,RSA,1:17
Extra player shot - Goal,17,3.0,1,11,RSA,4.0,VIKALO O,17 - 11,62,CAN,1:02
Action shot - Saved,17,10.0,1,11,RSA,4.0,le ROUX P,17 - 11,38,RSA,0:38
5m shot - Post,17,5.0,1,11,RSA,4.0,BOYD J,17 - 11,15,CAN,0:15
Starting goalkeeper,0,1.0,2,0,CRO,1.0,PAVIC J,0 - 0,480,CRO,8:00
Starting goalkeeper,0,1.0,2,0,CRO,1.0,RANDALL R,0 - 0,480,CAN,8:00
Sprint won possession,0,6.0,2,0,CRO,1.0,ROBINSON S,0 - 0,480,CAN,8:00
Action shot - Blocked,0,2.0,2,0,CRO,1.0,KUDABA C,0 - 0,452,CAN,7:32
Turnover foul,0,10.0,2,0,CRO,1.0,DOBUD N,0 - 0,425,CRO,7:05
Steal,0,10.0,2,0,CRO,1.0,CONWAY J,0 - 0,425,CAN,7:05
Turnover foul,0,4.0,2,0,CRO,1.0,CONSTANTIN-BICARI,0 - 0,400,CAN,6:40
Centre shot - Saved,0,12.0,2,0,CRO,1.0,OBRADOVIC P,0 - 0,383,CRO,6:23
Centre shot - Missed,0,10.0,2,0,CRO,1.0,DOBUD N,0 - 0,368,CRO,6:08
Turnover foul,0,2.0,2,0,CRO,1.0,KUDABA C,0 - 0,344,CAN,5:44
Steal,0,1.0,2,0,CRO,1.0,PAVIC J,0 - 0,344,CRO,5:44
Turnover foul,0,10.0,2,0,CRO,1.0,CONWAY J,0 - 0,295,CAN,4:55
20 sec. exclusion in centre,0,2.0,2,0,CRO,1.0,KUDABA C,0 - 0,277,CAN,4:37
Action shot - Goal,0,12.0,2,1,CRO,1.0,OBRADOVIC P,1 - 0,255,CRO,4:15
5m shot - Blocked,0,8.0,2,1,CRO,1.0,GRAHAM K,1 - 0,224,CAN,3:44
Centre shot - Goal,0,4.0,2,2,CRO,1.0,PASKVALIN F,2 - 0,205,CRO,3:25
Centre shot - Saved,0,4.0,2,2,CRO,1.0,CONSTANTIN-BICARI,2 - 0,179,CAN,2:59
Turnover foul,0,4.0,2,2,CRO,1.0,PASKVALIN F,2 - 0,153,CRO,2:33
Steal,0,6.0,2,2,CRO,1.0,ROBINSON S,2 - 0,153,CAN,2:33
Turnover foul,0,4.0,2,2,CRO,1.0,PASKVALIN F,2 - 0,101,CRO,1:41
Steal,0,1.0,2,2,CRO,1.0,RANDALL R,2 - 0,101,CAN,1:41
Turnover foul,0,10.0,2,2,CRO,1.0,CONWAY J,2 - 0,78,CAN,1:18
Steal,0,1.0,2,2,CRO,1.0,PAVIC J,2 - 0,78,CRO,1:18
Turnover foul,0,5.0,2,2,CRO,1.0,JOKOVIC M,2 - 0,55,CRO,0:55
Steal,0,8.0,2,2,CRO,1.0,GRAHAM K,2 - 0,55,CAN,0:55
20 sec. exclusion in field,0,4.0,2,2,CRO,1.0,PASKVALIN F,2 - 0,32,CRO,0:32
Turnover foul,0,8.0,2,2,CRO,1.0,GRAHAM K,2 - 0,22,CAN,0:22
Counter attack - Goal,0,11.0,2,3,CRO,1.0,SETKA A,3 - 0,14,CRO,0:14
Turnover foul,0,9.0,2,3,CRO,1.0,DIGGLE D,3 - 0,9,CAN,0:09
Starting goalkeeper,0,1.0,2,3,CRO,2.0,RANDALL R,3 - 0,480,CAN,8:00
Starting goalkeeper,0,1.0,2,3,CRO,2.0,PAVIC J,3 - 0,480,CRO,8:00
Sprint won possession,0,9.0,2,3,CRO,2.0,DIGGLE D,3 - 0,480,CAN,8:00
20 sec. exclusion in field,0,12.0,2,3,CRO,2.0,OBRADOVIC P,3 - 0,460,CRO,7:40
Action shot - Blocked,0,9.0,2,3,CRO,2.0,DIGGLE D,3 - 0,435,CAN,7:15
Centre shot - Goal,1,6.0,2,3,CRO,2.0,ROBINSON S,3 - 1,431,CAN,7:11
Action shot - Goal,1,12.0,2,4,CRO,2.0,OBRADOVIC P,4 - 1,410,CRO,6:50
5m shot - Missed,1,10.0,2,4,CRO,2.0,CONWAY J,4 - 1,382,CAN,6:22
Turnover foul,1,10.0,2,4,CRO,2.0,DOBUD N,4 - 1,357,CRO,5:57
Turnover foul,1,4.0,2,4,CRO,2.0,CONSTANTIN-BICARI,4 - 1,341,CAN,5:41
