Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
5m shot,11.0,5,8,FRA,2.0,ROELSE A,8 - 9,15,USA,0:15,9,Saved,0
5m shot,9.0,5,8,FRA,2.0,MARZOUKI M,8 - 9,1,FRA,0:01,9,Saved,0
Centre shot,12.0,5,4,FRA,3.0,CAMARASA A,4 - 3,450,FRA,7:30,3,Goal,1
Action shot,9.0,5,4,FRA,3.0,BOWEN A,4 - 4,422,USA,7:02,4,Goal,1
Action shot,7.0,5,4,FRA,3.0,DUNSTAN T,4 - 5,379,USA,6:19,5,Goal,1
Centre shot,4.0,5,4,FRA,3.0,OBERT A,4 - 5,344,USA,5:44,5,Saved,0
5m shot,9.0,5,4,FRA,3.0,MARZOUKI M,4 - 5,318,FRA,5:18,5,Blocked,0
Action shot,6.0,5,5,FRA,3.0,SIMON T,5 - 5,248,FRA,4:08,5,Goal,1
Action shot,7.0,5,6,FRA,3.0,CROUSILLAT U,6 - 5,213,FRA,3:33,5,Goal,1
5m shot,7.0,5,6,FRA,3.0,CROUSILLAT U,6 - 5,162,FRA,2:42,5,Saved,0
5m shot,6.0,5,6,FRA,3.0,CUPIDO L,6 - 6,154,USA,2:34,6,Goal,1
Centre shot,12.0,5,6,FRA,3.0,CAMARASA A,6 - 6,123,FRA,2:03,6,Saved,0
Action shot,8.0,5,6,FRA,3.0,CARNIGLIA N,6 - 7,107,USA,1:47,7,Goal,1
Action shot,9.0,5,6,FRA,3.0,MARZOUKI M,6 - 7,82,FRA,1:22,7,Saved,0
Extra player shot,9.0,5,6,FRA,3.0,BOWEN A,6 - 7,58,USA,0:58,7,Post,0
Extra player shot,6.0,5,6,FRA,3.0,SIMON T,6 - 7,9,FRA,0:09,7,Post,0
5m shot,7.0,5,6,FRA,3.0,DUNSTAN T,6 - 7,1,USA,0:01,7,Saved,0
Penalty shot,6.0,5,6,FRA,4.0,CUPIDO L,6 - 8,453,USA,7:33,8,Goal,1
5m shot,9.0,5,7,FRA,4.0,MARZOUKI M,7 - 8,439,FRA,7:19,8,Goal,1
5m shot,11.0,5,7,FRA,4.0,ROELSE A,7 - 8,347,USA,5:47,8,Post,0
5m shot,6.0,5,7,FRA,4.0,SIMON T,7 - 8,323,FRA,5:23,8,Missed,0
Action shot,11.0,5,7,FRA,4.0,ROELSE A,7 - 8,305,USA,5:05,8,Saved,0
Extra player shot,2.0,5,8,FRA,4.0,SAUDADIER R,8 - 8,262,FRA,4:22,8,Goal,1
5m shot,9.0,5,8,FRA,4.0,BOWEN A,8 - 8,242,USA,4:02,8,Saved,0
Action shot,10.0,5,8,FRA,4.0,RAMIREZ C,8 - 8,226,USA,3:46,8,Saved,0
5m shot,6.0,5,8,FRA,4.0,CUPIDO L,8 - 8,217,USA,3:37,8,Missed,0
5m shot,9.0,5,8,FRA,4.0,MARZOUKI M,8 - 8,64,FRA,1:04,8,Saved,0
5m shot,6.0,5,8,FRA,4.0,CUPIDO L,8 - 10,43,USA,0:43,10,Goal,1
Extra player shot,3.0,5,8,FRA,4.0,KOVACEVIC I,8 - 10,30,FRA,0:30,10,Saved,0
Centre shot,12.0,5,8,FRA,4.0,IRVING M,8 - 11,1,USA,0:01,11,Goal,1
