AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
4,Extra player shot - Blocked,9.0,6,6,ITA,3.0,RENZUTO IODICE V,4 - 6,223,ITA,3:43
4,Centre shot - Saved,4.0,6,6,ITA,3.0,KAYES J,4 - 6,196,AUS,3:16
4,Centre shot - Saved,12.0,6,6,ITA,3.0,BERTOLI Z,4 - 6,169,ITA,2:49
4,Turnover foul,4.0,6,6,ITA,3.0,KAYES J,4 - 6,141,AUS,2:21
4,Steal,1.0,6,6,ITA,3.0,TEMPESTI S,4 - 6,141,ITA,2:21
4,5m shot - Saved,2.0,6,6,ITA,3.0,di FULVIO F,4 - 6,112,ITA,1:52
4,Time-Out,,6,6,ITA,3.0,,4 - 6,112,AUS,1:52
4,20 sec. exclusion in centre,10.0,6,6,ITA,3.0,BODEGAS M,4 - 6,105,ITA,1:45
4,Extra player shot - Saved,9.0,6,6,ITA,3.0,FORD A,4 - 6,98,AUS,1:38
4,Action shot - Saved,10.0,6,6,ITA,3.0,BODEGAS M,4 - 6,75,ITA,1:15
4,Action shot - Blocked,12.0,6,6,ITA,3.0,BERTOLI Z,4 - 6,55,ITA,0:55
4,5m shot - Saved,11.0,6,6,ITA,3.0,HOLLIS L,4 - 6,33,AUS,0:33
4,Turnover foul,7.0,6,6,ITA,3.0,GILCHRIST J,4 - 6,6,AUS,0:06
4,Steal,4.0,6,6,ITA,3.0,FIGLIOLI P,4 - 6,6,ITA,0:06
4,5m shot - Missed,4.0,6,6,ITA,3.0,FIGLIOLI P,4 - 6,2,ITA,0:02
4,Starting goalkeeper,1.0,6,6,ITA,4.0,SLADE E,4 - 6,480,AUS,8:00
4,Starting goalkeeper,1.0,6,6,ITA,4.0,TEMPESTI S,4 - 6,480,ITA,8:00
4,Sprint won possession,2.0,6,6,ITA,4.0,di FULVIO F,4 - 6,480,ITA,8:00
4,Centre shot - Goal,11.0,6,7,ITA,4.0,AICARDI M,4 - 7,450,ITA,7:30
4,20 sec. exclusion in centre,4.0,6,7,ITA,4.0,FIGLIOLI P,4 - 7,427,ITA,7:07
4,20 sec. exclusion in centre,3.0,6,7,ITA,4.0,GITTO N,4 - 7,418,ITA,6:58
