Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
5m shot,6.0,1,0,RUS,1.0,ASHAEV A,0 - 0,450,RUS,7:30,0,Post,0
5m shot,10.0,1,0,RUS,1.0,KHOLOD D,0 - 0,393,RUS,6:33,0,Saved,0
Action shot,7.0,1,0,RUS,1.0,SAMUELS J,0 - 0,373,USA,6:13,0,Saved,0
5m shot,2.0,1,1,RUS,1.0,BUGAYCHUK A,0 - 1,346,RUS,5:46,0,Goal,1
Extra player shot,8.0,1,1,RUS,1.0,AZEVEDO T,1 - 1,328,USA,5:28,1,Goal,1
Centre shot,8.0,1,1,RUS,1.0,AZEVEDO T,2 - 1,287,USA,4:47,2,Goal,1
5m shot,9.0,1,1,RUS,1.0,STEPANIUK K,2 - 1,257,RUS,4:17,2,Saved,0
Extra player shot,7.0,1,1,RUS,1.0,SAMUELS J,2 - 1,235,USA,3:55,2,Missed,0
Action shot,7.0,1,1,RUS,1.0,TIMAKOV V,2 - 1,208,RUS,3:28,2,Saved,0
5m shot,9.0,1,1,RUS,1.0,STEPANIUK K,2 - 1,141,RUS,2:21,2,Blocked,0
Action shot,2.0,1,1,RUS,1.0,BUGAYCHUK A,2 - 1,128,RUS,2:08,2,Missed,0
5m shot,10.0,1,1,RUS,1.0,KHOLOD D,2 - 1,81,RUS,1:21,2,Missed,0
Extra player shot,12.0,1,1,RUS,1.0,MANN J,3 - 1,45,USA,0:45,3,Goal,1
Centre shot,9.0,1,1,RUS,1.0,STEPANIUK K,3 - 1,5,RUS,0:05,3,Missed,0
Extra player shot,9.0,1,1,RUS,2.0,STEPANIUK K,3 - 1,429,RUS,7:09,3,Saved,0
Action shot,4.0,1,1,RUS,2.0,BYCHKOV I,3 - 1,375,RUS,6:15,3,Saved,0
Action shot,6.0,1,1,RUS,2.0,CUPIDO L,3 - 1,355,USA,5:55,3,Post,0
Action shot,4.0,1,1,RUS,2.0,BYCHKOV I,3 - 1,253,RUS,4:13,3,Blocked,0
Action shot,7.0,1,1,RUS,2.0,SAMUELS J,3 - 1,227,USA,3:47,3,Saved,0
5m shot,9.0,1,1,RUS,2.0,STEPANIUK K,3 - 1,205,RUS,3:25,3,Saved,0
5m shot,6.0,1,1,RUS,2.0,CUPIDO L,3 - 1,177,USA,2:57,3,Missed,0
Action shot,2.0,1,2,RUS,2.0,BUGAYCHUK A,3 - 2,88,RUS,1:28,3,Goal,1
Extra player shot,9.0,1,2,RUS,2.0,BOWEN A,3 - 2,53,USA,0:53,3,Post,0
5m shot,2.0,1,3,RUS,2.0,BUGAYCHUK A,3 - 3,29,RUS,0:29,3,Goal,1
Action shot,6.0,1,3,RUS,2.0,CUPIDO L,4 - 3,3,USA,0:03,4,Goal,1
5m shot,4.0,1,3,RUS,2.0,BYCHKOV I,4 - 3,3,RUS,0:03,4,Blocked,0
Action shot,11.0,1,3,RUS,3.0,LISUNOV S,4 - 3,453,RUS,7:33,4,Saved,0
Action shot,12.0,1,3,RUS,3.0,MANN J,4 - 3,424,USA,7:04,4,Saved,0
5m shot,10.0,1,3,RUS,3.0,KHOLOD D,4 - 3,398,RUS,6:38,4,Saved,0
Penalty shot,8.0,1,3,RUS,3.0,AZEVEDO T,5 - 3,353,USA,5:53,5,Goal,1
5m shot,9.0,1,3,RUS,3.0,BOWEN A,5 - 3,306,USA,5:06,5,Post,0
5m shot,9.0,1,3,RUS,3.0,STEPANIUK K,5 - 3,254,RUS,4:14,5,Saved,0
5m shot,8.0,1,4,RUS,3.0,NAGAEV I,5 - 4,209,RUS,3:29,5,Goal,1
5m shot,8.0,1,4,RUS,3.0,NAGAEV I,5 - 4,102,RUS,1:42,5,Saved,0
5m shot,9.0,1,4,RUS,3.0,BOWEN A,5 - 4,74,USA,1:14,5,Saved,0
5m shot,3.0,1,5,RUS,3.0,ODINTSOV A,5 - 5,48,RUS,0:48,5,Goal,1
Extra player shot,10.0,1,5,RUS,3.0,BONANNI B,5 - 5,13,USA,0:13,5,Post,0
5m shot,6.0,1,5,RUS,3.0,CUPIDO L,6 - 5,7,USA,0:07,6,Goal,1
5m shot,2.0,1,5,RUS,3.0,BUGAYCHUK A,6 - 5,1,RUS,0:01,6,Saved,0
Extra player shot,6.0,1,5,RUS,4.0,ASHAEV A,6 - 5,410,RUS,6:50,6,Missed,0
Centre shot,6.0,1,5,RUS,4.0,ASHAEV A,6 - 5,362,RUS,6:02,6,Missed,0
5m shot,9.0,1,5,RUS,4.0,BOWEN A,6 - 5,332,USA,5:32,6,Missed,0
5m shot,4.0,1,5,RUS,4.0,BYCHKOV I,6 - 5,316,RUS,5:16,6,Saved,0
5m shot,2.0,1,5,RUS,4.0,VAVIC N,6 - 5,286,USA,4:46,6,Saved,0
5m shot,8.0,1,5,RUS,4.0,NAGAEV I,6 - 5,258,RUS,4:18,6,Saved,0
Extra player shot,6.0,1,5,RUS,4.0,CUPIDO L,7 - 5,231,USA,3:51,7,Goal,1
5m shot,10.0,1,5,RUS,4.0,KHOLOD D,7 - 5,201,RUS,3:21,7,Blocked,0
Action shot,9.0,1,6,RUS,4.0,STEPANIUK K,7 - 6,146,RUS,2:26,7,Goal,1
Extra player shot,6.0,1,6,RUS,4.0,CUPIDO L,7 - 6,102,USA,1:42,7,Missed,0
5m shot,10.0,1,6,RUS,4.0,KHOLOD D,7 - 6,71,RUS,1:11,7,Saved,0
Action shot,12.0,2,0,GRE,1.0,MANN J,0 - 1,452,USA,7:32,1,Goal,1
