Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Starting goalkeeper,1.0,1,0,RUS,1.0,MOSES M,0 - 0,480,USA,8:00,0
Starting goalkeeper,13.0,1,0,RUS,1.0,IVANOV V,0 - 0,480,RUS,8:00,0
Sprint won possession,10.0,1,0,RUS,1.0,KHOLOD D,0 - 0,480,RUS,8:00,0
5m shot - Post,6.0,1,0,RUS,1.0,ASHAEV A,0 - 0,450,RUS,7:30,0
Turnover foul,2.0,1,0,RUS,1.0,VAVIC N,0 - 0,421,USA,7:01,0
Steal,10.0,1,0,RUS,1.0,KHOLOD D,0 - 0,421,RUS,7:01,0
5m shot - Saved,10.0,1,0,RUS,1.0,KHOLOD D,0 - 0,393,RUS,6:33,0
Action shot - Saved,7.0,1,0,RUS,1.0,SAMUELS J,0 - 0,373,USA,6:13,0
5m shot - Goal,2.0,1,1,RUS,1.0,BUGAYCHUK A,0 - 1,346,RUS,5:46,0
20 sec. exclusion in centre,8.0,1,1,RUS,1.0,NAGAEV I,0 - 1,328,RUS,5:28,0
Extra player shot - Goal,8.0,1,1,RUS,1.0,AZEVEDO T,1 - 1,328,USA,5:28,1
Centre shot - Goal,8.0,1,1,RUS,1.0,AZEVEDO T,2 - 1,287,USA,4:47,2
5m shot - Saved,9.0,1,1,RUS,1.0,STEPANIUK K,2 - 1,257,RUS,4:17,2
20 sec. exclusion in centre,3.0,1,1,RUS,1.0,ODINTSOV A,2 - 1,242,RUS,4:02,2
Extra player shot - Missed,7.0,1,1,RUS,1.0,SAMUELS J,2 - 1,235,USA,3:55,2
Action shot - Saved,7.0,1,1,RUS,1.0,TIMAKOV V,2 - 1,208,RUS,3:28,2
Turnover foul,7.0,1,1,RUS,1.0,SAMUELS J,2 - 1,183,USA,3:03,2
Steal,6.0,1,1,RUS,1.0,ASHAEV A,2 - 1,183,RUS,3:03,2
5m shot - Blocked,9.0,1,1,RUS,1.0,STEPANIUK K,2 - 1,141,RUS,2:21,2
Action shot - Missed,2.0,1,1,RUS,1.0,BUGAYCHUK A,2 - 1,128,RUS,2:08,2
Time-Out,,1,1,RUS,1.0,,2 - 1,128,USA,2:08,2
Turnover foul,9.0,1,1,RUS,1.0,BOWEN A,2 - 1,104,USA,1:44,2
Steal,9.0,1,1,RUS,1.0,STEPANIUK K,2 - 1,104,RUS,1:44,2
5m shot - Missed,10.0,1,1,RUS,1.0,KHOLOD D,2 - 1,81,RUS,1:21,2
20 sec. exclusion in centre,10.0,1,1,RUS,1.0,KHOLOD D,2 - 1,61,RUS,1:01,2
Extra player shot - Goal,12.0,1,1,RUS,1.0,MANN J,3 - 1,45,USA,0:45,3
20 sec. exclusion in centre,9.0,1,1,RUS,1.0,BOWEN A,3 - 1,29,USA,0:29,3
Centre shot - Missed,9.0,1,1,RUS,1.0,STEPANIUK K,3 - 1,5,RUS,0:05,3
Starting goalkeeper,1.0,1,1,RUS,2.0,MOSES M,3 - 1,480,USA,8:00,3
Starting goalkeeper,13.0,1,1,RUS,2.0,IVANOV V,3 - 1,480,RUS,8:00,3
Sprint won possession,8.0,1,1,RUS,2.0,NAGAEV I,3 - 1,480,RUS,8:00,3
20 sec. exclusion in centre,3.0,1,1,RUS,2.0,OBERT A,3 - 1,451,USA,7:31,3
Extra player shot - Saved,9.0,1,1,RUS,2.0,STEPANIUK K,3 - 1,429,RUS,7:09,3
Turnover foul,8.0,1,1,RUS,2.0,AZEVEDO T,3 - 1,405,USA,6:45,3
Action shot - Saved,4.0,1,1,RUS,2.0,BYCHKOV I,3 - 1,375,RUS,6:15,3
