Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name,Result,Goal
4.0,0:35,Extra player shot,10 - 4,ITA,COTTI A,11.0,10,4,35,1,CAN,Goal,1
4.0,0:05,Action shot,10 - 4,CAN,EGGENS M,5.0,10,4,5,1,CAN,Blocked,0
1.0,7:35,5m shot,0 - 0,BRA,DUARTE M,11.0,0,0,455,2,BRA,Saved,0
1.0,7:18,Action shot,1 - 0,ITA,GARIBOTTI A,3.0,1,0,438,2,BRA,Goal,1
1.0,6:56,5m shot,1 - 0,BRA,DIAS M,9.0,1,0,416,2,BRA,Missed,0
1.0,6:36,5m shot,1 - 0,ITA,RADICCHI F,5.0,1,0,396,2,BRA,Post,0
1.0,6:06,Action shot,1 - 0,BRA,ZABLITH M,3.0,1,0,366,2,BRA,Blocked,0
1.0,5:50,Action shot,1 - 0,BRA,DUARTE M,11.0,1,0,350,2,BRA,Saved,0
1.0,4:54,Extra player shot,2 - 0,ITA,AIELLO R,6.0,2,0,294,2,BRA,Goal,1
1.0,4:27,Action shot,2 - 0,BRA,DIAS M,9.0,2,0,267,2,BRA,Post,0
1.0,4:01,5m shot,3 - 0,ITA,RADICCHI F,5.0,3,0,241,2,BRA,Goal,1
1.0,3:23,Action shot,3 - 1,BRA,DUARTE M,11.0,3,1,203,2,BRA,Goal,1
1.0,2:39,5m shot,3 - 1,BRA,DUARTE M,11.0,3,1,159,2,BRA,Missed,0
1.0,2:18,Centre shot,4 - 1,ITA,PALMIERI V,10.0,4,1,138,2,BRA,Goal,1
1.0,1:33,Action shot,5 - 1,ITA,PALMIERI V,10.0,5,1,93,2,BRA,Goal,1
1.0,1:07,Action shot,5 - 1,BRA,DUARTE M,11.0,5,1,67,2,BRA,Missed,0
1.0,0:47,5m shot,5 - 1,ITA,DARIO S,12.0,5,1,47,2,BRA,Saved,0
1.0,0:08,Extra player shot,5 - 1,BRA,BRUZZO M,8.0,5,1,8,2,BRA,Blocked,0
2.0,7:21,Counter attack,6 - 1,ITA,EMMOLO G,9.0,6,1,441,2,BRA,Goal,1
2.0,6:54,5m shot,6 - 2,BRA,ZABLITH M,3.0,6,2,414,2,BRA,Goal,1
2.0,6:41,Extra player shot,7 - 2,ITA,AIELLO R,6.0,7,2,401,2,BRA,Goal,1
2.0,6:20,Action shot,7 - 2,BRA,DUARTE M,11.0,7,2,380,2,BRA,Blocked,0
2.0,6:00,Action shot,7 - 2,ITA,DARIO S,12.0,7,2,360,2,BRA,Missed,0
2.0,5:22,Action shot,7 - 2,ITA,BIANCONI R,8.0,7,2,322,2,BRA,Post,0
2.0,5:20,Action shot,8 - 2,ITA,RADICCHI F,5.0,8,2,320,2,BRA,Goal,1
2.0,4:28,Extra player shot,8 - 2,ITA,EMMOLO G,9.0,8,2,268,2,BRA,Saved,0
2.0,4:20,Action shot,9 - 2,ITA,QUEIROLO E,4.0,9,2,260,2,BRA,Goal,1
2.0,3:56,5m shot,9 - 2,BRA,DIAS M,9.0,9,2,236,2,BRA,Saved,0
2.0,3:30,5m shot,9 - 2,BRA,DIAS M,9.0,9,2,210,2,BRA,Saved,0
2.0,2:14,Extra player shot,9 - 2,ITA,PICOZZI D,7.0,9,2,134,2,BRA,Saved,0
2.0,1:57,Action shot,10 - 2,ITA,PALMIERI V,10.0,10,2,117,2,BRA,Goal,1
2.0,1:34,5m shot,10 - 2,BRA,ZABLITH M,3.0,10,2,94,2,BRA,Saved,0
2.0,1:19,Centre shot,11 - 2,ITA,PALMIERI V,10.0,11,2,79,2,BRA,Goal,1
2.0,0:50,5m shot,11 - 2,BRA,BAHIA V,10.0,11,2,50,2,BRA,Missed,0
2.0,0:02,Extra player shot,11 - 2,BRA,DUARTE M,11.0,11,2,2,2,BRA,Saved,0
3.0,7:47,5m shot,11 - 2,BRA,DUARTE M,11.0,11,2,467,2,BRA,Saved,0
3.0,7:30,Centre shot,12 - 2,ITA,AIELLO R,6.0,12,2,450,2,BRA,Goal,1
3.0,7:03,5m shot,12 - 2,BRA,DUARTE M,11.0,12,2,423,2,BRA,Saved,0
