Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name,Result,Goal
1.0,5:42,Penalty shot,2 - 1,ITA,BIANCONI R,8.0,2,1,342,5,AUS,Goal,1
1.0,5:11,Action shot,2 - 1,AUS,BUCKLING H,3.0,2,1,311,5,AUS,Blocked,0
1.0,4:34,Extra player shot,3 - 1,ITA,AIELLO R,6.0,3,1,274,5,AUS,Goal,1
1.0,3:47,5m shot,4 - 1,ITA,BIANCONI R,8.0,4,1,227,5,AUS,Goal,1
1.0,3:02,5m shot,5 - 1,ITA,BIANCONI R,8.0,5,1,182,5,AUS,Goal,1
1.0,2:51,Centre shot,5 - 2,AUS,BUCKLING H,3.0,5,2,171,5,AUS,Goal,1
1.0,2:31,Centre shot,5 - 2,ITA,AIELLO R,6.0,5,2,151,5,AUS,Missed,0
1.0,2:09,Action shot,5 - 2,AUS,WEBSTER R,7.0,5,2,129,5,AUS,Saved,0
1.0,1:45,5m shot,5 - 2,ITA,COTTI A,11.0,5,2,105,5,AUS,Missed,0
1.0,1:05,Centre shot,5 - 2,ITA,AIELLO R,6.0,5,2,65,5,AUS,Saved,0
1.0,0:46,Action shot,5 - 3,AUS,BAXTER M,11.0,5,3,46,5,AUS,Goal,1
1.0,0:20,5m shot,5 - 3,ITA,EMMOLO G,9.0,5,3,20,5,AUS,Saved,0
2.0,7:31,5m shot,5 - 3,ITA,QUEIROLO E,4.0,5,3,451,5,AUS,Saved,0
2.0,6:49,5m shot,6 - 3,ITA,RADICCHI F,5.0,6,3,409,5,AUS,Goal,1
2.0,6:26,5m shot,6 - 3,AUS,WEBSTER R,7.0,6,3,386,5,AUS,Missed,0
2.0,6:05,5m shot,6 - 3,ITA,GARIBOTTI A,3.0,6,3,365,5,AUS,Blocked,0
2.0,5:36,5m shot,6 - 3,AUS,RIDGE A,6.0,6,3,336,5,AUS,Missed,0
2.0,4:56,5m shot,6 - 3,AUS,GOFERS K,2.0,6,3,296,5,AUS,Blocked,0
2.0,4:09,5m shot,6 - 3,AUS,HALLIGAN B,4.0,6,3,249,5,AUS,Blocked,0
2.0,3:48,Centre shot,6 - 3,AUS,WEBSTER R,7.0,6,3,228,5,AUS,Saved,0
2.0,2:50,Centre shot,6 - 4,AUS,WEBSTER R,7.0,6,4,170,5,AUS,Goal,1
2.0,2:09,Extra player shot,7 - 4,ITA,RADICCHI F,5.0,7,4,129,5,AUS,Goal,1
2.0,1:48,Centre shot,7 - 5,AUS,ARANCINI Z,9.0,7,5,108,5,AUS,Goal,1
2.0,1:26,5m shot,7 - 5,ITA,RADICCHI F,5.0,7,5,86,5,AUS,Post,0
2.0,0:32,Extra player shot,7 - 5,ITA,EMMOLO G,9.0,7,5,32,5,AUS,Missed,0
2.0,0:10,Centre shot,7 - 6,AUS,BISHOP I,5.0,7,6,10,5,AUS,Goal,1
2.0,0:01,5m shot,7 - 6,ITA,EMMOLO G,9.0,7,6,1,5,AUS,Missed,0
3.0,7:32,5m shot,7 - 7,AUS,BISHOP I,5.0,7,7,452,5,AUS,Goal,1
3.0,5:52,Extra player shot,13 - 14,ITA,AIELLO R,6.0,13,14,352,5,AUS,Saved,0
3.0,5:25,5m shot,7 - 8,AUS,WEBSTER R,7.0,7,8,325,5,AUS,Goal,1
3.0,4:55,Extra player shot,7 - 8,ITA,BIANCONI R,8.0,7,8,295,5,AUS,Post,0
3.0,4:13,Centre shot,8 - 8,ITA,AIELLO R,6.0,8,8,253,5,AUS,Goal,1
3.0,3:45,5m shot,8 - 8,AUS,HALLIGAN B,4.0,8,8,225,5,AUS,Saved,0
3.0,3:21,5m shot,8 - 8,ITA,BIANCONI R,8.0,8,8,201,5,AUS,Missed,0
3.0,2:18,5m shot,8 - 8,ITA,DARIO S,12.0,8,8,138,5,AUS,Saved,0
3.0,1:51,Penalty shot,8 - 9,AUS,WEBSTER R,7.0,8,9,111,5,AUS,Goal,1
3.0,1:24,5m shot,8 - 9,ITA,RADICCHI F,5.0,8,9,84,5,AUS,Saved,0
3.0,0:37,Action shot,8 - 9,ITA,GARIBOTTI A,3.0,8,9,37,5,AUS,Saved,0
4.0,7:31,Centre shot,8 - 9,AUS,WEBSTER R,7.0,8,9,451,5,AUS,Post,0
4.0,6:50,Extra player shot,9 - 9,ITA,GARIBOTTI A,3.0,9,9,410,5,AUS,Goal,1
4.0,5:35,Action shot,9 - 9,ITA,QUEIROLO E,4.0,9,9,335,5,AUS,Saved,0
4.0,5:08,Action shot,9 - 9,AUS,BUCKLING H,3.0,9,9,308,5,AUS,Saved,0
4.0,4:15,Action shot,9 - 10,AUS,BUCKLING H,3.0,9,10,255,5,AUS,Goal,1
4.0,3:28,5m shot,9 - 10,ITA,BIANCONI R,8.0,9,10,208,5,AUS,Saved,0
4.0,2:47,Action shot,10 - 10,ITA,BIANCONI R,8.0,10,10,167,5,AUS,Goal,1
4.0,2:11,Action shot,10 - 10,AUS,WEBSTER R,7.0,10,10,131,5,AUS,Post,0
4.0,1:44,5m shot,10 - 10,ITA,BIANCONI R,8.0,10,10,104,5,AUS,Blocked,0
4.0,1:42,Penalty shot,11 - 10,ITA,GARIBOTTI A,3.0,11,10,102,5,AUS,Goal,1
4.0,0:52,Centre shot,11 - 10,AUS,BUCKLING H,3.0,11,10,52,5,AUS,Saved,0
4.0,0:25,5m shot,11 - 10,ITA,AIELLO R,6.0,11,10,25,5,AUS,Missed,0
4.0,0:04,Extra player shot,11 - 11,AUS,HALLIGAN B,4.0,11,11,4,5,AUS,Goal,1
1.0,7:31,5m shot,0 - 0,ITA,RADICCHI F,5.0,0,0,451,6,HUN,Saved,0
1.0,6:35,5m shot,0 - 0,ITA,BIANCONI R,8.0,0,0,395,6,HUN,Post,0
1.0,6:12,Action shot,0 - 1,HUN,BUJKA B,10.0,0,1,372,6,HUN,Goal,1
1.0,5:42,Extra player shot,1 - 1,ITA,BIANCONI R,8.0,1,1,342,6,HUN,Goal,1
1.0,4:54,5m shot,1 - 1,ITA,RADICCHI F,5.0,1,1,294,6,HUN,Saved,0
1.0,4:41,Action shot,1 - 1,HUN,KESZTHELYI R,8.0,1,1,281,6,HUN,Saved,0
1.0,4:10,Extra player shot,1 - 2,HUN,SZILAGYI D,12.0,1,2,250,6,HUN,Goal,1
1.0,3:08,Action shot,1 - 2,HUN,BUJKA B,10.0,1,2,188,6,HUN,Saved,0
1.0,2:26,5m shot,1 - 2,ITA,EMMOLO G,9.0,1,2,146,6,HUN,Blocked,0
1.0,1:57,5m shot,1 - 2,HUN,KESZTHELYI R,8.0,1,2,117,6,HUN,Saved,0
1.0,1:13,Action shot,1 - 3,HUN,ANTAL D,3.0,1,3,73,6,HUN,Goal,1
1.0,0:13,5m shot,2 - 3,ITA,BIANCONI R,8.0,2,3,13,6,HUN,Goal,1
1.0,0:01,5m shot,2 - 3,HUN,BUJKA B,10.0,2,3,1,6,HUN,Post,0
2.0,6:55,Counter attack,2 - 4,HUN,KESZTHELYI R,8.0,2,4,415,6,HUN,Goal,1
2.0,6:33,5m shot,2 - 4,ITA,QUEIROLO E,4.0,2,4,393,6,HUN,Blocked,0
2.0,6:10,5m shot,2 - 4,HUN,CZIGANY D,2.0,2,4,370,6,HUN,Saved,0
2.0,5:21,Action shot,2 - 4,ITA,EMMOLO G,9.0,2,4,321,6,HUN,Saved,0
2.0,5:14,Action shot,3 - 4,ITA,GARIBOTTI A,3.0,3,4,314,6,HUN,Goal,1
2.0,4:09,5m shot,3 - 5,HUN,KESZTHELYI R,8.0,3,5,249,6,HUN,Goal,1
2.0,3:44,5m shot,3 - 5,ITA,COTTI A,11.0,3,5,224,6,HUN,Saved,0
2.0,2:51,5m shot,3 - 5,HUN,ILLES A,7.0,3,5,171,6,HUN,Post,0
4.0,1:55,Action shot,3 - 5,HUN,SZILAGYI D,12.0,3,5,115,6,HUN,Saved,0
2.0,1:47,Extra player shot,4 - 5,ITA,GARIBOTTI A,3.0,4,5,107,6,HUN,Goal,1
2.0,1:19,Action shot,4 - 6,HUN,GURISATTI G,4.0,4,6,79,6,HUN,Goal,1
2.0,0:52,5m shot,4 - 6,ITA,COTTI A,11.0,4,6,52,6,HUN,Saved,0
2.0,0:36,Action shot,4 - 6,HUN,CZIGANY D,2.0,4,6,36,6,HUN,Post,0
2.0,0:07,5m shot,4 - 6,HUN,KESZTHELYI R,8.0,4,6,7,6,HUN,Post,0
2.0,0:01,5m shot,4 - 6,ITA,COTTI A,11.0,4,6,1,6,HUN,Missed,0
3.0,7:21,Extra player shot,4 - 7,HUN,SZILAGYI D,12.0,4,7,441,6,HUN,Goal,1
3.0,6:55,5m shot,4 - 7,ITA,GARIBOTTI A,3.0,4,7,415,6,HUN,Saved,0
3.0,6:32,Action shot,4 - 7,HUN,KESZTHELYI R,8.0,4,7,392,6,HUN,Missed,0
3.0,5:52,Action shot,4 - 7,ITA,GARIBOTTI A,3.0,4,7,352,6,HUN,Saved,0
3.0,5:23,5m shot,4 - 7,HUN,SZILAGYI D,12.0,4,7,323,6,HUN,Post,0
3.0,5:07,Penalty shot,5 - 7,ITA,BIANCONI R,8.0,5,7,307,6,HUN,Goal,1
3.0,4:38,Action shot,5 - 7,HUN,BUJKA B,10.0,5,7,278,6,HUN,Blocked,0
3.0,4:07,5m shot,5 - 7,ITA,TABANI C,2.0,5,7,247,6,HUN,Saved,0
3.0,3:41,5m shot,5 - 7,HUN,CZIGANY D,2.0,5,7,221,6,HUN,Saved,0
3.0,2:37,Action shot,5 - 7,ITA,QUEIROLO E,4.0,5,7,157,6,HUN,Blocked,0
3.0,2:09,Action shot,5 - 7,ITA,TABANI C,2.0,5,7,129,6,HUN,Post,0
3.0,1:20,Extra player shot,6 - 7,ITA,GARIBOTTI A,3.0,6,7,80,6,HUN,Goal,1
3.0,0:44,Action shot,6 - 8,HUN,KESZTHELYI R,8.0,6,8,44,6,HUN,Goal,1
3.0,0:16,Action shot,6 - 8,ITA,AIELLO R,6.0,6,8,16,6,HUN,Saved,0
3.0,0:07,Action shot,6 - 8,HUN,SZUCS G,5.0,6,8,7,6,HUN,Missed,0
4.0,7:40,5m shot,6 - 8,ITA,BIANCONI R,8.0,6,8,460,6,HUN,Post,0
4.0,7:19,Action shot,6 - 8,HUN,SZILAGYI D,12.0,6,8,439,6,HUN,Post,0
4.0,6:49,5m shot,6 - 8,ITA,EMMOLO G,9.0,6,8,409,6,HUN,Blocked,0
4.0,5:36,Extra player shot,6 - 9,HUN,CSABAI D,11.0,6,9,336,6,HUN,Goal,1
4.0,5:13,5m shot,7 - 9,ITA,GARIBOTTI A,3.0,7,9,313,6,HUN,Goal,1
4.0,4:43,Action shot,7 - 10,HUN,CZIGANY D,2.0,7,10,283,6,HUN,Goal,1
4.0,4:02,Extra player shot,7 - 10,ITA,PICOZZI D,7.0,7,10,242,6,HUN,Saved,0
4.0,3:47,5m shot,7 - 10,ITA,BIANCONI R,8.0,7,10,227,6,HUN,Post,0
4.0,3:18,5m shot,7 - 10,HUN,CZIGANY D,2.0,7,10,198,6,HUN,Missed,0
4.0,3:10,Penalty shot,8 - 10,ITA,BIANCONI R,8.0,8,10,190,6,HUN,Goal,1
4.0,2:39,Action shot,8 - 10,HUN,CZIGANY D,2.0,8,10,159,6,HUN,Missed,0
4.0,0:44,5m shot,8 - 10,ITA,BIANCONI R,8.0,8,10,44,6,HUN,Saved,0
