Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,11.0,1,0,1,AUS,1.0,HOWDEN R,0 - 1,390,AUS,6:30,Goal,1
5m shot,9.0,1,0,1,AUS,1.0,TAKEI K,0 - 1,360,JPN,6:00,Saved,0
Action shot,2.0,1,0,1,AUS,1.0,ADACHI S,0 - 1,316,JPN,5:16,Saved,0
Action shot,8.0,1,0,1,AUS,1.0,YOUNGER A,0 - 1,288,AUS,4:48,Blocked,0
Action shot,7.0,1,0,1,AUS,1.0,SHIMIZU Y,0 - 1,276,JPN,4:36,Saved,0
Extra player shot,8.0,1,0,2,AUS,1.0,YOUNGER A,0 - 2,242,AUS,4:02,Goal,1
Extra player shot,8.0,1,0,2,AUS,1.0,KADONO Y,0 - 2,212,JPN,3:32,Post,0
5m shot,6.0,1,0,2,AUS,1.0,GILCHRIST J,0 - 2,144,AUS,2:24,Saved,0
5m shot,8.0,1,0,2,AUS,1.0,KADONO Y,0 - 2,117,JPN,1:57,Saved,0
5m shot,3.0,1,0,2,AUS,1.0,ARAI A,0 - 2,75,JPN,1:15,Saved,0
Action shot,5.0,1,0,2,AUS,1.0,POWER N,0 - 2,57,AUS,0:57,Saved,0
Action shot,10.0,1,0,2,AUS,1.0,EMERY M,0 - 2,21,AUS,0:21,Saved,0
Extra player shot,9.0,1,0,2,AUS,1.0,TAKEI K,0 - 2,0,JPN,0:00,Missed,0
Extra player shot,11.0,1,1,2,AUS,2.0,OKAWA K,1 - 2,423,JPN,7:03,Goal,1
Extra player shot,9.0,1,1,3,AUS,2.0,SWIFT J,1 - 3,389,AUS,6:29,Goal,1
5m shot,4.0,1,1,3,AUS,2.0,SHIGA M,1 - 3,362,JPN,6:02,Post,0
Extra player shot,2.0,1,1,4,AUS,2.0,CAMPBELL R,1 - 4,279,AUS,4:39,Goal,1
Extra player shot,2.0,1,2,4,AUS,2.0,ADACHI S,2 - 4,202,JPN,3:22,Goal,1
Action shot,7.0,1,2,4,AUS,2.0,SHIMIZU Y,2 - 4,149,JPN,2:29,Post,0
Centre shot,7.0,1,2,4,AUS,2.0,SHIMIZU Y,2 - 4,97,JPN,1:37,Saved,0
Action shot,6.0,1,2,4,AUS,2.0,GILCHRIST J,2 - 4,30,AUS,0:30,Post,0
Extra player shot,2.0,1,2,5,AUS,3.0,CAMPBELL R,2 - 5,451,AUS,7:31,Goal,1
Action shot,2.0,1,2,5,AUS,3.0,ADACHI S,2 - 5,406,JPN,6:46,Saved,0
Extra player shot,2.0,1,2,5,AUS,3.0,CAMPBELL R,2 - 5,362,AUS,6:02,Post,0
Counter attack,8.0,1,2,5,AUS,3.0,YOUNGER A,2 - 5,306,AUS,5:06,Saved,0
Centre shot,6.0,1,2,5,AUS,3.0,IIDA A,2 - 5,281,JPN,4:41,Saved,0
Extra player shot,4.0,1,3,5,AUS,3.0,SHIGA M,3 - 5,232,JPN,3:52,Goal,1
Extra player shot,6.0,1,3,5,AUS,3.0,GILCHRIST J,3 - 5,200,AUS,3:20,Saved,0
Action shot,2.0,1,3,6,AUS,3.0,CAMPBELL R,3 - 6,192,AUS,3:12,Goal,1
5m shot,11.0,1,3,6,AUS,3.0,OKAWA K,3 - 6,160,JPN,2:40,Post,0
Action shot,9.0,1,3,6,AUS,3.0,SWIFT J,3 - 6,55,AUS,0:55,Saved,0
Action shot,11.0,1,3,7,AUS,3.0,HOWDEN R,3 - 7,7,AUS,0:07,Goal,1
5m shot,11.0,1,3,7,AUS,3.0,OKAWA K,3 - 7,1,JPN,0:01,Saved,0
5m shot,4.0,1,3,7,AUS,4.0,SHIGA M,3 - 7,429,JPN,7:09,Missed,0
Extra player shot,12.0,1,3,7,AUS,4.0,HAZUI S,3 - 7,380,JPN,6:20,Post,0
Action shot,9.0,1,3,7,AUS,4.0,TAKEI K,3 - 7,356,JPN,5:56,Post,0
Action shot,12.0,1,3,7,AUS,4.0,HAZUI S,3 - 7,353,JPN,5:53,Blocked,0
Action shot,2.0,1,3,7,AUS,4.0,ADACHI S,3 - 7,304,JPN,5:04,Missed,0
Action shot,6.0,1,3,8,AUS,4.0,GILCHRIST J,3 - 8,288,AUS,4:48,Goal,1
Penalty shot,8.0,1,3,9,AUS,4.0,YOUNGER A,3 - 9,236,AUS,3:56,Goal,1
