Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Goal,4,7.0,1,10,CHN,4.0,NONG S,4 - 10,38,CHN,0:38
Action shot - Missed,4,3.0,1,10,CHN,4.0,ZABLITH M,4 - 10,17,BRA,0:17
Extra player shot - Goal,4,9.0,1,11,CHN,4.0,ZHAO Z,4 - 11,1,CHN,0:01
Starting goalkeeper,0,1.0,2,0,ITA,1.0,GORLERO G,0 - 0,480,ITA,8:00
Starting goalkeeper,0,1.0,2,0,ITA,1.0,CHAMORRO V,0 - 0,480,BRA,8:00
Sprint won possession,0,3.0,2,0,ITA,1.0,ZABLITH M,0 - 0,480,BRA,8:00
5m shot - Saved,0,11.0,2,0,ITA,1.0,DUARTE M,0 - 0,455,BRA,7:35
Action shot - Goal,0,3.0,2,1,ITA,1.0,GARIBOTTI A,1 - 0,438,ITA,7:18
5m shot - Missed,0,9.0,2,1,ITA,1.0,DIAS M,1 - 0,416,BRA,6:56
5m shot - Post,0,5.0,2,1,ITA,1.0,RADICCHI F,1 - 0,396,ITA,6:36
Action shot - Blocked,0,3.0,2,1,ITA,1.0,ZABLITH M,1 - 0,366,BRA,6:06
Action shot - Saved,0,11.0,2,1,ITA,1.0,DUARTE M,1 - 0,350,BRA,5:50
20 sec. exclusion in centre,0,3.0,2,1,ITA,1.0,ZABLITH M,1 - 0,312,BRA,5:12
Extra player shot - Goal,0,6.0,2,2,ITA,1.0,AIELLO R,2 - 0,294,ITA,4:54
Action shot - Post,0,9.0,2,2,ITA,1.0,DIAS M,2 - 0,267,BRA,4:27
5m shot - Goal,0,5.0,2,3,ITA,1.0,RADICCHI F,3 - 0,241,ITA,4:01
Yellow card,0,,2,3,ITA,1.0,Team Official,3 - 0,241,BRA,4:01
20 sec. exclusion in centre,0,7.0,2,3,ITA,1.0,PICOZZI D,3 - 0,225,ITA,3:45
Action shot - Goal,1,11.0,2,3,ITA,1.0,DUARTE M,3 - 1,203,BRA,3:23
5m shot - Missed,1,11.0,2,3,ITA,1.0,DUARTE M,3 - 1,159,BRA,2:39
Centre shot - Goal,1,10.0,2,4,ITA,1.0,PALMIERI V,4 - 1,138,ITA,2:18
Turnover foul,1,10.0,2,4,ITA,1.0,BAHIA V,4 - 1,121,BRA,2:01
20 sec. exclusion in centre,1,10.0,2,4,ITA,1.0,BAHIA V,4 - 1,116,BRA,1:56
Action shot - Goal,1,10.0,2,5,ITA,1.0,PALMIERI V,5 - 1,93,ITA,1:33
Action shot - Missed,1,11.0,2,5,ITA,1.0,DUARTE M,5 - 1,67,BRA,1:07
5m shot - Saved,1,12.0,2,5,ITA,1.0,DARIO S,5 - 1,47,ITA,0:47
Turnover foul,1,3.0,2,5,ITA,1.0,GARIBOTTI A,5 - 1,40,ITA,0:40
Steal,1,2.0,2,5,ITA,1.0,ABLA D,5 - 1,40,BRA,0:40
Time-Out,1,,2,5,ITA,1.0,,5 - 1,40,BRA,0:40
20 sec. exclusion in centre,1,3.0,2,5,ITA,1.0,GARIBOTTI A,5 - 1,27,ITA,0:27
Extra player shot - Blocked,1,8.0,2,5,ITA,1.0,BRUZZO M,5 - 1,8,BRA,0:08
Starting goalkeeper,1,1.0,2,5,ITA,2.0,CHAMORRO V,5 - 1,480,BRA,8:00
Sprint won possession,1,3.0,2,5,ITA,2.0,ZABLITH M,5 - 1,480,BRA,8:00
Turnover foul,1,2.0,2,5,ITA,2.0,ABLA D,5 - 1,454,BRA,7:34
Goalkeeper substitution,1,1.0,2,5,ITA,2.0,GORLERO G,5 - 1,452,ITA,7:32
Turnover foul,1,2.0,2,5,ITA,2.0,ABLA D,5 - 1,447,BRA,7:27
Steal,1,4.0,2,5,ITA,2.0,QUEIROLO E,5 - 1,447,ITA,7:27
Counter attack - Goal,1,9.0,2,6,ITA,2.0,EMMOLO G,6 - 1,441,ITA,7:21
5m shot - Goal,2,3.0,2,6,ITA,2.0,ZABLITH M,6 - 2,414,BRA,6:54
20 sec. exclusion in centre,2,2.0,2,6,ITA,2.0,ABLA D,6 - 2,405,BRA,6:45
Extra player shot - Goal,2,6.0,2,7,ITA,2.0,AIELLO R,7 - 2,401,ITA,6:41
Action shot - Blocked,2,11.0,2,7,ITA,2.0,DUARTE M,7 - 2,380,BRA,6:20
Action shot - Missed,2,12.0,2,7,ITA,2.0,DARIO S,7 - 2,360,ITA,6:00
Turnover foul,2,11.0,2,7,ITA,2.0,DUARTE M,7 - 2,338,BRA,5:38
Action shot - Post,2,8.0,2,7,ITA,2.0,BIANCONI R,7 - 2,322,ITA,5:22
Action shot - Goal,2,5.0,2,8,ITA,2.0,RADICCHI F,8 - 2,320,ITA,5:20
20 sec. exclusion in centre,2,10.0,2,8,ITA,2.0,BAHIA V,8 - 2,280,BRA,4:40
Extra player shot - Saved,2,9.0,2,8,ITA,2.0,EMMOLO G,8 - 2,268,ITA,4:28
