Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Blocked,5,10.0,3,12,CAN,3.0,BAHIA V,5 - 12,249,BRA,4:09
Action shot - Blocked,5,9.0,3,12,CAN,3.0,DIAS M,5 - 12,234,BRA,3:54
5m shot - Post,5,3.0,3,12,CAN,3.0,CREVIER A,5 - 12,204,CAN,3:24
Action shot - Saved,5,11.0,3,12,CAN,3.0,DUARTE M,5 - 12,174,BRA,2:54
20 sec. exclusion in centre,5,11.0,3,12,CAN,3.0,DUARTE M,5 - 12,171,BRA,2:51
Extra player shot - Missed,5,12.0,3,12,CAN,3.0,FOURNIER S,5 - 12,154,CAN,2:34
Time-Out,5,,3,12,CAN,3.0,,5 - 12,148,BRA,2:28
5m shot - Blocked,5,3.0,3,12,CAN,3.0,ZABLITH M,5 - 12,121,BRA,2:01
5m shot - Post,5,4.0,3,12,CAN,3.0,WRIGHT E,5 - 12,99,CAN,1:39
Turnover foul,5,7.0,3,12,CAN,3.0,BEKHAZI J,5 - 12,94,CAN,1:34
Steal,5,1.0,3,12,CAN,3.0,CHAMORRO V,5 - 12,94,BRA,1:34
Turnover foul,5,4.0,3,12,CAN,3.0,SOUZA J,5 - 12,66,BRA,1:06
Steal,5,13.0,3,12,CAN,3.0,HAGE Y,5 - 12,66,CAN,1:06
Turnover foul,5,3.0,3,12,CAN,3.0,CREVIER A,5 - 12,47,CAN,0:47
Steal,5,2.0,3,12,CAN,3.0,ABLA D,5 - 12,47,BRA,0:47
Turnover foul,5,10.0,3,12,CAN,3.0,BAHIA V,5 - 12,20,BRA,0:20
20 sec. exclusion in centre,5,12.0,3,12,CAN,3.0,BELORIO L,5 - 12,2,BRA,0:02
Starting goalkeeper,5,1.0,3,12,CAN,4.0,CHAMORRO V,5 - 12,480,BRA,8:00
Starting goalkeeper,5,13.0,3,12,CAN,4.0,HAGE Y,5 - 12,480,CAN,8:00
Sprint won possession,5,9.0,3,12,CAN,4.0,DIAS M,5 - 12,480,BRA,8:00
5m shot - Blocked,5,3.0,3,12,CAN,4.0,ZABLITH M,5 - 12,451,BRA,7:31
Action shot - Goal,5,9.0,3,13,CAN,4.0,McKELVEY H,5 - 13,430,CAN,7:10
Turnover foul,5,10.0,3,13,CAN,4.0,BAHIA V,5 - 13,408,BRA,6:48
Steal,5,4.0,3,13,CAN,4.0,WRIGHT E,5 - 13,408,CAN,6:48
Turnover foul,5,8.0,3,13,CAN,4.0,LEMAY-LAVOIE E,5 - 13,387,CAN,6:27
Steal,5,3.0,3,13,CAN,4.0,ZABLITH M,5 - 13,387,BRA,6:27
5m shot - Blocked,5,3.0,3,13,CAN,4.0,ZABLITH M,5 - 13,360,BRA,6:00
5m shot - Saved,5,9.0,3,13,CAN,4.0,McKELVEY H,5 - 13,334,CAN,5:34
5m shot - Saved,5,9.0,3,13,CAN,4.0,DIAS M,5 - 13,305,BRA,5:05
5m shot - Post,5,9.0,3,13,CAN,4.0,DIAS M,5 - 13,290,BRA,4:50
Turnover foul,5,3.0,3,13,CAN,4.0,ZABLITH M,5 - 13,280,BRA,4:40
Counter attack - Goal,5,6.0,3,14,CAN,4.0,CHRISTMAS K,5 - 14,276,CAN,4:36
5m shot - Missed,5,2.0,3,14,CAN,4.0,ABLA D,5 - 14,252,BRA,4:12
5m shot - Saved,5,3.0,3,14,CAN,4.0,CREVIER A,5 - 14,232,CAN,3:52
5m shot - Saved,5,10.0,3,14,CAN,4.0,BAHIA V,5 - 14,206,BRA,3:26
5m shot - Blocked,5,2.0,3,14,CAN,4.0,ABLA D,5 - 14,184,BRA,3:04
Action shot - Goal,5,8.0,3,15,CAN,4.0,LEMAY-LAVOIE E,5 - 15,154,CAN,2:34
Action shot - Missed,5,3.0,3,15,CAN,4.0,CREVIER A,5 - 15,105,CAN,1:45
Turnover foul,5,5.0,3,15,CAN,4.0,AMARAL A,5 - 15,89,BRA,1:29
Steal,5,4.0,3,15,CAN,4.0,WRIGHT E,5 - 15,48,CAN,0:48
Counter attack - Goal,5,8.0,3,16,CAN,4.0,LEMAY-LAVOIE E,5 - 16,32,CAN,0:32
Action shot - Goal,6,7.0,3,16,CAN,4.0,FERREIRA S,6 - 16,1,BRA,0:01
Starting goalkeeper,0,1.0,4,0,RSA,1.0,CHAMORRO V,0 - 0,480,BRA,8:00
Starting goalkeeper,0,13.0,4,0,RSA,1.0,NIXON L,0 - 0,480,RSA,8:00
Sprint won possession,0,6.0,4,0,RSA,1.0,HALLENDORFF A,0 - 0,480,RSA,8:00
Penalty foul,0,11.0,4,0,RSA,1.0,DUARTE M,0 - 0,461,BRA,7:41
Penalty shot - Goal,0,12.0,4,1,RSA,1.0,WHITE K,0 - 1,461,RSA,7:41
20 sec. exclusion in field,0,3.0,4,1,RSA,1.0,PALEY K,0 - 1,447,RSA,7:27
Turnover foul,0,3.0,4,1,RSA,1.0,ZABLITH M,0 - 1,418,BRA,6:58
Steal,0,5.0,4,1,RSA,1.0,SCHOOLING M,0 - 1,418,RSA,6:58
Centre shot - Saved,0,3.0,4,1,RSA,1.0,PALEY K,0 - 1,389,RSA,6:29
5m shot - Goal,1,3.0,4,1,RSA,1.0,ZABLITH M,1 - 1,362,BRA,6:02
5m shot - Missed,1,12.0,4,1,RSA,1.0,WHITE K,1 - 1,336,RSA,5:36
5m shot - Post,1,2.0,4,1,RSA,1.0,ABLA D,1 - 1,308,BRA,5:08
Turnover foul,1,6.0,4,1,RSA,1.0,HALLENDORFF A,1 - 1,287,RSA,4:47
Steal,1,3.0,4,1,RSA,1.0,ZABLITH M,1 - 1,287,BRA,4:47
20 sec. exclusion in field,1,2.0,4,1,RSA,1.0,PENNEY A,1 - 1,282,RSA,4:42
5m shot - Goal,2,2.0,4,1,RSA,1.0,ABLA D,2 - 1,255,BRA,4:15
Turnover foul,2,9.0,4,1,RSA,1.0,SMIT Z,2 - 1,231,RSA,3:51
Steal,2,1.0,4,1,RSA,1.0,CHAMORRO V,2 - 1,231,BRA,3:51
Turnover foul,2,9.0,4,1,RSA,1.0,DIAS M,2 - 1,207,BRA,3:27
Steal,2,13.0,4,1,RSA,1.0,NIXON L,2 - 1,207,RSA,3:27
Centre shot - Missed,2,9.0,4,1,RSA,1.0,SMIT Z,2 - 1,186,RSA,3:06
5m shot - Missed,2,3.0,4,1,RSA,1.0,ZABLITH M,2 - 1,174,BRA,2:54
Time-Out,2,,4,1,RSA,1.0,,2 - 1,174,RSA,2:54
Turnover foul,2,10.0,4,1,RSA,1.0,MANSON M,2 - 1,151,RSA,2:31
Steal,2,10.0,4,1,RSA,1.0,BAHIA V,2 - 1,151,BRA,2:31
Action shot - Missed,2,2.0,4,1,RSA,1.0,ABLA D,2 - 1,129,BRA,2:09
5m shot - Saved,2,12.0,4,1,RSA,1.0,WHITE K,2 - 1,102,RSA,1:42
5m shot - Saved,2,2.0,4,1,RSA,1.0,ABLA D,2 - 1,73,BRA,1:13
Turnover foul,2,11.0,4,1,RSA,1.0,DUARTE M,2 - 1,59,BRA,0:59
Steal,2,8.0,4,1,RSA,1.0,KEEVY A,2 - 1,59,RSA,0:59
Centre shot - Saved,2,9.0,4,1,RSA,1.0,SMIT Z,2 - 1,42,RSA,0:42
Time-Out,2,,4,1,RSA,1.0,,2 - 1,42,BRA,0:42
20 sec. exclusion in centre,2,10.0,4,1,RSA,1.0,MANSON M,2 - 1,32,RSA,0:32
Extra player shot - Goal,3,2.0,4,1,RSA,1.0,ABLA D,3 - 1,20,BRA,0:20
5m shot - Saved,3,2.0,4,1,RSA,1.0,PENNEY A,3 - 1,1,RSA,0:01
Starting goalkeeper,3,1.0,4,1,RSA,2.0,CHAMORRO V,3 - 1,480,BRA,8:00
Starting goalkeeper,3,13.0,4,1,RSA,2.0,NIXON L,3 - 1,480,RSA,8:00
Sprint won possession,3,3.0,4,1,RSA,2.0,ZABLITH M,3 - 1,480,BRA,8:00
20 sec. exclusion in field,3,3.0,4,1,RSA,2.0,PALEY K,3 - 1,457,RSA,7:37
Extra player shot - Goal,4,2.0,4,1,RSA,2.0,ABLA D,4 - 1,442,BRA,7:22
5m shot - Missed,4,11.0,4,1,RSA,2.0,BARRETT N,4 - 1,418,RSA,6:58
5m shot - Post,4,11.0,4,1,RSA,2.0,DUARTE M,4 - 1,394,BRA,6:34
5m shot - Missed,4,8.0,4,1,RSA,2.0,KEEVY A,4 - 1,367,RSA,6:07
5m shot - Saved,4,3.0,4,1,RSA,2.0,ZABLITH M,4 - 1,342,BRA,5:42
Counter attack - Goal,4,6.0,4,2,RSA,2.0,HALLENDORFF A,4 - 2,329,RSA,5:29
5m shot - Missed,4,11.0,4,2,RSA,2.0,DUARTE M,4 - 2,308,BRA,5:08
Action shot - Missed,4,12.0,4,2,RSA,2.0,WHITE K,4 - 2,294,RSA,4:54
Turnover foul,4,4.0,4,2,RSA,2.0,SOUZA J,4 - 2,273,BRA,4:33
Turnover foul,4,2.0,4,2,RSA,2.0,PENNEY A,4 - 2,244,RSA,4:04
5m shot - Missed,4,11.0,4,2,RSA,2.0,DUARTE M,4 - 2,221,BRA,3:41
Turnover foul,4,11.0,4,2,RSA,2.0,BARRETT N,4 - 2,198,RSA,3:18
5m shot - Goal,5,3.0,4,2,RSA,2.0,ZABLITH M,5 - 2,186,BRA,3:06
Action shot - Blocked,5,2.0,4,2,RSA,2.0,PENNEY A,5 - 2,158,RSA,2:38
20 sec. exclusion in field,5,4.0,4,2,RSA,2.0,FAULMANN S,5 - 2,142,RSA,2:22
Extra player shot - Saved,5,9.0,4,2,RSA,2.0,DIAS M,5 - 2,124,BRA,2:04
Turnover foul,5,2.0,4,2,RSA,2.0,PENNEY A,5 - 2,98,RSA,1:38
Steal,5,3.0,4,2,RSA,2.0,ZABLITH M,5 - 2,98,BRA,1:38
Turnover foul,5,4.0,4,2,RSA,2.0,SOUZA J,5 - 2,68,BRA,1:08
Steal,5,2.0,4,2,RSA,2.0,PENNEY A,5 - 2,68,RSA,1:08
Turnover foul,5,9.0,4,2,RSA,2.0,SMIT Z,5 - 2,47,RSA,0:47
Time-Out,5,,4,2,RSA,2.0,,5 - 2,47,BRA,0:47
Centre shot - Goal,10,2.0,4,5,RSA,4.0,ABLA D,10 - 5,65,BRA,1:05
20 sec. exclusion in field,10,5.0,4,5,RSA,4.0,AMARAL A,10 - 5,38,BRA,0:38
20 sec. exclusion in field,10,12.0,4,5,RSA,2.0,WHITE K,10 - 5,35,RSA,0:35
Extra player shot - Post,10,3.0,4,5,RSA,2.0,ZABLITH M,10 - 5,15,BRA,0:15
Time-Out,10,,4,5,RSA,2.0,,10 - 5,15,RSA,0:15
5m shot - Post,10,12.0,4,5,RSA,2.0,WHITE K,10 - 5,1,RSA,0:01
Starting goalkeeper,10,1.0,4,5,RSA,3.0,CHAMORRO V,10 - 5,480,BRA,8:00
Starting goalkeeper,10,1.0,4,5,RSA,3.0,THOMAS R,10 - 5,480,RSA,8:00
Sprint won possession,10,6.0,4,5,RSA,3.0,HALLENDORFF A,10 - 5,480,RSA,8:00
Action shot - Missed,10,11.0,4,5,RSA,3.0,BARRETT N,10 - 5,456,RSA,7:36
5m shot - Saved,10,11.0,4,5,RSA,3.0,DUARTE M,10 - 5,427,BRA,7:07
Action shot - Missed,10,11.0,4,5,RSA,3.0,BARRETT N,10 - 5,402,RSA,6:42
5m shot - Goal,6,2.0,4,2,RSA,3.0,ABLA D,6 - 2,376,BRA,6:16
Action shot - Missed,6,3.0,4,2,RSA,3.0,PALEY K,6 - 2,361,RSA,6:01
Action shot - Goal,7,3.0,4,2,RSA,3.0,ZABLITH M,7 - 2,341,BRA,5:41
Centre shot - Missed,7,2.0,4,2,RSA,3.0,PENNEY A,7 - 2,317,RSA,5:17
Turnover foul,7,11.0,4,2,RSA,3.0,DUARTE M,7 - 2,297,BRA,4:57
5m shot - Goal,7,6.0,4,3,RSA,3.0,HALLENDORFF A,7 - 3,269,RSA,4:29
Action shot - Saved,7,9.0,4,3,RSA,3.0,SMIT Z,7 - 3,219,RSA,3:39
20 sec. exclusion in field,7,7.0,4,3,RSA,3.0,FERREIRA S,7 - 3,204,BRA,3:24
Time-Out,7,,4,3,RSA,3.0,,7 - 3,204,RSA,3:24
5m shot - Saved,7,8.0,4,3,RSA,3.0,KEEVY A,7 - 3,181,RSA,3:01
Turnover foul,7,5.0,4,3,RSA,3.0,SCHOOLING M,7 - 3,173,RSA,2:53
Steal,7,9.0,4,3,RSA,3.0,DIAS M,7 - 3,173,BRA,2:53
Double exclusion,7,3.0,4,3,RSA,3.0,ZABLITH M,7 - 3,158,BRA,2:38
Double exclusion,7,11.0,4,3,RSA,3.0,BARRETT N,7 - 3,158,RSA,2:38
20 sec. exclusion in field,7,12.0,4,3,RSA,3.0,WHITE K,7 - 3,158,RSA,2:38
Extra player shot - Saved,7,9.0,4,3,RSA,3.0,DIAS M,7 - 3,142,BRA,2:22
5m shot - Post,7,11.0,4,3,RSA,3.0,BARRETT N,7 - 3,117,RSA,1:57
Action shot - Saved,7,8.0,4,3,RSA,3.0,KEEVY A,7 - 3,110,RSA,1:50
20 sec. exclusion in field,7,8.0,4,3,RSA,3.0,KEEVY A,7 - 3,85,RSA,1:25
Extra player shot - Goal,8,9.0,4,3,RSA,3.0,DIAS M,8 - 3,66,BRA,1:06
Turnover foul,8,2.0,4,3,RSA,3.0,PENNEY A,8 - 3,53,RSA,0:53
Steal,8,10.0,4,3,RSA,3.0,BAHIA V,8 - 3,53,BRA,0:53
Time-Out,8,,4,3,RSA,3.0,,8 - 3,49,BRA,0:49
Turnover foul,8,3.0,4,3,RSA,3.0,ZABLITH M,8 - 3,31,BRA,0:31
Turnover foul,8,9.0,4,3,RSA,3.0,SMIT Z,8 - 3,13,RSA,0:13
5m shot - Missed,8,12.0,4,3,RSA,3.0,BELORIO L,8 - 3,1,BRA,0:01
Starting goalkeeper,8,1.0,4,3,RSA,4.0,CHAMORRO V,8 - 3,480,BRA,8:00
Starting goalkeeper,8,1.0,4,3,RSA,4.0,THOMAS R,8 - 3,480,RSA,8:00
Sprint won possession,8,12.0,4,3,RSA,4.0,BELORIO L,8 - 3,480,BRA,8:00
5m shot - Post,8,3.0,4,3,RSA,4.0,ZABLITH M,8 - 3,451,BRA,7:31
20 sec. exclusion in centre,8,12.0,4,3,RSA,4.0,BELORIO L,8 - 3,434,BRA,7:14
Turnover foul,8,7.0,4,3,RSA,4.0,WESSELS C,8 - 3,417,RSA,6:57
Steal,8,8.0,4,3,RSA,4.0,BRUZZO M,8 - 3,417,BRA,6:57
20 sec. exclusion in field,8,7.0,4,3,RSA,4.0,WESSELS C,8 - 3,417,RSA,6:57
Extra player shot - Saved,8,11.0,4,3,RSA,4.0,DUARTE M,8 - 3,403,BRA,6:43
5m shot - Goal,9,3.0,4,3,RSA,4.0,ZABLITH M,9 - 3,386,BRA,6:26
5m shot - Goal,9,7.0,4,4,RSA,4.0,WESSELS C,9 - 4,367,RSA,6:07
20 sec. exclusion in field,9,8.0,4,4,RSA,4.0,BRUZZO M,9 - 4,319,BRA,5:19
Turnover foul,9,8.0,4,4,RSA,4.0,KEEVY A,9 - 4,266,RSA,4:26
5m shot - Saved,9,10.0,4,4,RSA,4.0,BAHIA V,9 - 4,240,BRA,4:00
Time-Out,9,,4,4,RSA,4.0,,9 - 4,240,RSA,4:00
20 sec. exclusion in centre,9,4.0,4,4,RSA,4.0,SOUZA J,9 - 4,226,BRA,3:46
Turnover foul,9,2.0,4,4,RSA,4.0,ABLA D,9 - 4,179,BRA,2:59
Steal,9,6.0,4,4,RSA,4.0,HALLENDORFF A,9 - 4,179,RSA,2:59
Counter attack - Goal,9,3.0,4,5,RSA,4.0,PALEY K,9 - 5,172,RSA,2:52
Action shot - Saved,9,11.0,4,5,RSA,4.0,DUARTE M,9 - 5,149,BRA,2:29
Action shot - Saved,9,12.0,4,5,RSA,4.0,WHITE K,9 - 5,128,RSA,2:08
Turnover foul,9,2.0,4,5,RSA,4.0,ABLA D,9 - 5,108,BRA,1:48
Steal,9,1.0,4,5,RSA,4.0,THOMAS R,9 - 5,108,RSA,1:48
Turnover foul,9,5.0,4,5,RSA,4.0,SCHOOLING M,9 - 5,78,RSA,1:18
Steal,9,1.0,4,5,RSA,4.0,CHAMORRO V,9 - 5,78,BRA,1:18
Extra player shot - Missed,9,10.0,4,5,RSA,4.0,MANSON M,9 - 5,24,RSA,0:24
Time-Out,9,,4,5,RSA,4.0,,9 - 5,24,BRA,0:24
