Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,7,9.0,4,3,RSA,3.0,SMIT Z,7 - 3,219,RSA,3:39,Saved,0
5m shot,7,8.0,4,3,RSA,3.0,KEEVY A,7 - 3,181,RSA,3:01,Saved,0
Extra player shot,7,9.0,4,3,RSA,3.0,DIAS M,7 - 3,142,BRA,2:22,Saved,0
5m shot,7,11.0,4,3,RSA,3.0,BARRETT N,7 - 3,117,RSA,1:57,Post,0
Action shot,7,8.0,4,3,RSA,3.0,KEEVY A,7 - 3,110,RSA,1:50,Saved,0
Extra player shot,8,9.0,4,3,RSA,3.0,DIAS M,8 - 3,66,BRA,1:06,Goal,1
5m shot,8,12.0,4,3,RSA,3.0,BELORIO L,8 - 3,1,BRA,0:01,Missed,0
5m shot,8,3.0,4,3,RSA,4.0,ZABLITH M,8 - 3,451,BRA,7:31,Post,0
Extra player shot,8,11.0,4,3,RSA,4.0,DUARTE M,8 - 3,403,BRA,6:43,Saved,0
5m shot,9,3.0,4,3,RSA,4.0,ZABLITH M,9 - 3,386,BRA,6:26,Goal,1
5m shot,9,7.0,4,4,RSA,4.0,WESSELS C,9 - 4,367,RSA,6:07,Goal,1
5m shot,9,10.0,4,4,RSA,4.0,BAHIA V,9 - 4,240,BRA,4:00,Saved,0
Counter attack,9,3.0,4,5,RSA,4.0,PALEY K,9 - 5,172,RSA,2:52,Goal,1
Action shot,9,11.0,4,5,RSA,4.0,DUARTE M,9 - 5,149,BRA,2:29,Saved,0
Action shot,9,12.0,4,5,RSA,4.0,WHITE K,9 - 5,128,RSA,2:08,Saved,0
Extra player shot,9,10.0,4,5,RSA,4.0,MANSON M,9 - 5,24,RSA,0:24,Missed,0
