Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,BRA,1.0,SORO S,0 - 0,480,BRA,8:00
Starting goalkeeper,13.0,1,0,0,BRA,1.0,SHLEMOV V,0 - 0,480,KAZ,8:00
Sprint won possession,2.0,1,0,0,BRA,1.0,MEDVEDEV Y,0 - 0,480,KAZ,8:00
Turnover foul,6.0,1,0,0,BRA,1.0,SHMIDER A,0 - 0,451,KAZ,7:31
20 sec. exclusion in centre,2.0,1,0,0,BRA,1.0,CRUZ A,0 - 0,438,BRA,7:18
Turnover foul,2.0,1,0,0,BRA,1.0,CRUZ A,0 - 0,420,BRA,7:00
Action shot - Saved,7.0,1,0,0,BRA,1.0,SHAKENOV M,0 - 0,392,KAZ,6:32
20 sec. exclusion in centre,11.0,1,0,0,BRA,1.0,MANAFOV R,0 - 0,364,KAZ,6:04
Action shot - Saved,9.0,1,0,0,BRA,1.0,ROCHA B,0 - 0,341,BRA,5:41
5m shot - Missed,9.0,1,0,0,BRA,1.0,UKUMANOV R,0 - 0,313,KAZ,5:13
5m shot - Saved,12.0,1,0,0,BRA,1.0,FREITAS R,0 - 0,285,BRA,4:45
Action shot - Saved,6.0,1,0,0,BRA,1.0,SHMIDER A,0 - 0,258,KAZ,4:18
5m shot - Saved,4.0,1,0,0,BRA,1.0,COUTINHO G,0 - 0,232,BRA,3:52
20 sec. exclusion in field,11.0,1,0,0,BRA,1.0,GUIMARAES G,0 - 0,218,BRA,3:38
Time-Out,,1,0,0,BRA,1.0,,0 - 0,218,KAZ,3:38
Action shot - Saved,4.0,1,0,0,BRA,1.0,PILIPENKO R,0 - 0,192,KAZ,3:12
20 sec. exclusion in field,10.0,1,0,0,BRA,1.0,RUDAY M,0 - 0,174,KAZ,2:54
Extra player shot - Goal,11.0,1,0,1,BRA,1.0,GUIMARAES G,1 - 0,161,BRA,2:41
Turnover foul,2.0,1,0,1,BRA,1.0,MEDVEDEV Y,1 - 0,137,KAZ,2:17
Steal,2.0,1,0,1,BRA,1.0,CRUZ A,1 - 0,137,BRA,2:17
Turnover foul,4.0,1,0,1,BRA,1.0,COUTINHO G,1 - 0,118,BRA,1:58
Turnover foul,9.0,1,0,1,BRA,1.0,UKUMANOV R,1 - 0,98,KAZ,1:38
Steal,11.0,1,0,1,BRA,1.0,GUIMARAES G,1 - 0,98,BRA,1:38
20 sec. exclusion in field,4.0,1,0,1,BRA,1.0,PILIPENKO R,1 - 0,98,KAZ,1:38
Time-Out,,1,0,1,BRA,1.0,,1 - 0,98,BRA,1:38
Action shot - Saved,2.0,1,0,1,BRA,1.0,CRUZ A,1 - 0,68,BRA,1:08
Action shot - Saved,2.0,1,0,1,BRA,1.0,CRUZ A,1 - 0,59,BRA,0:59
Steal,11.0,1,0,1,BRA,1.0,GUIMARAES G,1 - 0,46,BRA,0:46
Turnover foul,1.0,1,0,1,BRA,1.0,SORO S,1 - 0,41,BRA,0:41
Action shot - Saved,12.0,1,0,1,BRA,1.0,TURLYKHANOV B,1 - 0,37,KAZ,0:37
Action shot - Goal,12.0,1,1,1,BRA,1.0,TURLYKHANOV B,1 - 1,37,KAZ,0:37
20 sec. exclusion in field,8.0,1,1,1,BRA,1.0,VERDESH Y,1 - 1,21,KAZ,0:21
Starting goalkeeper,1.0,1,1,1,BRA,2.0,SORO S,1 - 1,480,BRA,8:00
Starting goalkeeper,13.0,1,1,1,BRA,2.0,SHLEMOV V,1 - 1,480,KAZ,8:00
Sprint won possession,3.0,1,1,1,BRA,2.0,SHVEDOV S,1 - 1,480,KAZ,8:00
Centre shot - Missed,7.0,1,1,1,BRA,2.0,SHAKENOV M,1 - 1,456,KAZ,7:36
Turnover foul,7.0,1,1,1,BRA,2.0,STELLET P,1 - 1,431,BRA,7:11
Steal,7.0,1,1,1,BRA,2.0,SHAKENOV M,1 - 1,431,KAZ,7:11
5m shot - Missed,6.0,1,1,1,BRA,2.0,SHMIDER A,1 - 1,400,KAZ,6:40
Centre shot - Saved,4.0,1,1,1,BRA,2.0,COUTINHO G,1 - 1,349,BRA,5:49
Action shot - Saved,7.0,1,1,1,BRA,2.0,SHAKENOV M,1 - 1,330,KAZ,5:30
