Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Counter attack,8.0,3,0,3,MNE,1.0,JANOVIC N,3 - 0,314,MNE,5:14,Goal,1
Centre shot,7.0,3,0,4,MNE,1.0,JANOVIC M,4 - 0,278,MNE,4:38,Goal,1
Action shot,12.0,3,0,4,MNE,1.0,PYE A,4 - 0,248,NZL,4:08,Saved,0
5m shot,9.0,3,0,4,MNE,1.0,IVOVIC A,4 - 0,223,MNE,3:43,Saved,0
Counter attack,9.0,3,0,5,MNE,1.0,IVOVIC A,5 - 0,180,MNE,3:00,Goal,1
5m shot,5.0,3,0,5,MNE,1.0,ROSS J,5 - 0,156,NZL,2:36,Saved,0
Action shot,5.0,3,0,5,MNE,1.0,BRGULJAN D,5 - 0,128,MNE,2:08,Post,0
Centre shot,10.0,3,0,5,MNE,1.0,MISIC S,5 - 0,100,MNE,1:40,Missed,0
Action shot,5.0,3,0,5,MNE,1.0,ROSS J,5 - 0,44,NZL,0:44,Saved,0
Counter attack,4.0,3,0,5,MNE,1.0,PETROVIC A,5 - 0,33,MNE,0:33,Saved,0
5m shot,2.0,3,0,5,MNE,1.0,LEWIS M,5 - 0,4,NZL,0:04,Saved,0
Centre shot,9.0,3,0,6,MNE,2.0,IVOVIC A,6 - 0,454,MNE,7:34,Goal,1
Action shot,9.0,3,0,6,MNE,2.0,LUI-FAKAOTIMANAVA,6 - 0,436,NZL,7:16,Blocked,0
Centre shot,5.0,3,0,7,MNE,2.0,BRGULJAN D,7 - 0,410,MNE,6:50,Goal,1
Centre shot,10.0,3,0,7,MNE,2.0,MISIC S,7 - 0,360,MNE,6:00,Post,0
5m shot,12.0,3,0,7,MNE,2.0,PYE A,7 - 0,331,NZL,5:31,Saved,0
Action shot,6.0,3,0,8,MNE,2.0,CROUSILLAT U,8 - 0,313,MNE,5:13,Goal,1
5m shot,12.0,3,1,8,MNE,2.0,PYE A,8 - 1,287,NZL,4:47,Goal,1
Penalty shot,8.0,3,1,9,MNE,2.0,JANOVIC N,9 - 1,259,MNE,4:19,Goal,1
Counter attack,2.0,3,1,10,MNE,2.0,BRGULJAN D,10 - 1,202,MNE,3:22,Goal,1
5m shot,2.0,3,1,11,MNE,2.0,BRGULJAN D,11 - 1,163,MNE,2:43,Goal,1
5m shot,2.0,3,1,11,MNE,2.0,LEWIS M,11 - 1,135,NZL,2:15,Missed,0
Extra player shot,9.0,3,1,11,MNE,2.0,IVOVIC A,11 - 1,112,MNE,1:52,Post,0
Centre shot,11.0,3,1,12,MNE,2.0,KLIKOVAK F,12 - 1,110,MNE,1:50,Goal,1
Extra player shot,8.0,3,1,13,MNE,2.0,JANOVIC N,13 - 1,62,MNE,1:02,Goal,1
Extra player shot,9.0,3,1,13,MNE,2.0,LUI-FAKAOTIMANAVA,13 - 1,27,NZL,0:27,Saved,0
Extra player shot,4.0,3,1,13,MNE,4.0,LOWERY F,13 - 1,118,NZL,1:58,Saved,0
Counter attack,9.0,3,1,21,MNE,4.0,IVOVIC A,21 - 1,101,MNE,1:41,Goal,1
Action shot,9.0,3,1,22,MNE,4.0,IVOVIC A,22 - 1,60,MNE,1:00,Goal,1
Extra player shot,10.0,3,1,14,MNE,3.0,MISIC S,14 - 1,457,MNE,7:37,Goal,1
Centre shot,7.0,3,1,14,MNE,3.0,JACKSON D,14 - 1,390,NZL,6:30,Saved,0
Action shot,6.0,3,1,15,MNE,3.0,CROUSILLAT U,15 - 1,324,MNE,5:24,Goal,1
Extra player shot,5.0,3,1,16,MNE,3.0,BRGULJAN D,16 - 1,288,MNE,4:48,Goal,1
Action shot,5.0,3,1,16,MNE,3.0,BRGULJAN D,16 - 1,239,MNE,3:59,Saved,0
Counter attack,3.0,3,1,17,MNE,3.0,PASKOVIC V,17 - 1,187,MNE,3:07,Goal,1
Action shot,7.0,3,1,17,MNE,3.0,JANOVIC M,17 - 1,141,MNE,2:21,Post,0
Counter attack,9.0,3,1,18,MNE,3.0,IVOVIC A,18 - 1,99,MNE,1:39,Goal,1
Counter attack,3.0,3,1,19,MNE,3.0,PASKOVIC V,19 - 1,61,MNE,1:01,Goal,1
Action shot,3.0,3,1,19,MNE,3.0,CURRY S,19 - 1,31,NZL,0:31,Missed,0
Counter attack,12.0,3,1,19,MNE,3.0,JOKIC P,19 - 1,16,MNE,0:16,Post,0
Extra player shot,8.0,3,1,19,MNE,4.0,JANOVIC N,19 - 1,443,MNE,7:23,Missed,0
Centre shot,10.0,3,1,19,MNE,4.0,MISIC S,19 - 1,397,MNE,6:37,Saved,0
Extra player shot,9.0,3,1,20,MNE,4.0,IVOVIC A,20 - 1,355,MNE,5:55,Goal,1
Centre shot,9.0,3,1,20,MNE,4.0,LUI-FAKAOTIMANAVA,20 - 1,339,NZL,5:39,Missed,0
Action shot,7.0,3,1,20,MNE,4.0,JANOVIC M,20 - 1,329,MNE,5:29,Saved,0
Action shot,6.0,3,1,20,MNE,4.0,CROUSILLAT U,20 - 1,315,MNE,5:15,Saved,0
Action shot,5.0,3,1,20,MNE,4.0,ROSS J,20 - 1,251,NZL,4:11,Saved,0
Centre shot,11.0,3,1,20,MNE,4.0,TIJSEN L,20 - 1,216,NZL,3:36,Saved,0
5m shot,12.0,3,1,20,MNE,4.0,PYE A,20 - 1,176,NZL,2:56,Saved,0
Extra player shot,12.0,3,1,20,MNE,4.0,PYE A,20 - 1,120,NZL,2:00,Blocked,0
Extra player shot,6.0,3,1,23,MNE,4.0,CROUSILLAT U,23 - 1,2,MNE,0:02,Goal,1
5m shot,2.0,3,1,23,MNE,4.0,LEWIS M,23 - 1,1,NZL,0:01,Blocked,0
Extra player shot,9.0,4,0,1,CRO,1.0,SUKNO S,1 - 0,401,CRO,6:41,Goal,1
Action shot,5.0,4,0,1,CRO,1.0,ROSS J,1 - 0,372,NZL,6:12,Saved,0
Penalty shot,9.0,4,0,1,CRO,1.0,SUKNO S,1 - 0,353,CRO,5:53,Post,0
Action shot,9.0,4,0,2,CRO,1.0,SUKNO S,2 - 0,313,CRO,5:13,Goal,1
5m shot,12.0,4,0,2,CRO,1.0,PYE A,2 - 0,288,NZL,4:48,Saved,0
Extra player shot,12.0,4,0,3,CRO,1.0,OBRADOVIC P,3 - 0,260,CRO,4:20,Goal,1
Counter attack,5.0,4,0,4,CRO,1.0,JOKOVIC M,4 - 0,233,CRO,3:53,Goal,1
Action shot,8.0,4,0,4,CRO,1.0,BUSLJE A,4 - 0,129,CRO,2:09,Saved,0
Action shot,12.0,4,0,4,CRO,1.0,PYE A,4 - 0,100,NZL,1:40,Saved,0
Penalty shot,7.0,4,0,5,CRO,1.0,MUSLIM P,5 - 0,83,CRO,1:23,Goal,1
Action shot,9.0,4,0,6,CRO,1.0,SUKNO S,6 - 0,54,CRO,0:54,Goal,1
Extra player shot,7.0,4,0,6,CRO,1.0,JACKSON D,6 - 0,26,NZL,0:26,Blocked,0
Extra player shot,11.0,4,0,6,CRO,1.0,TIJSEN L,6 - 0,21,NZL,0:21,Saved,0
Counter attack,5.0,4,1,6,CRO,1.0,ROSS J,6 - 1,14,NZL,0:14,Goal,1
Extra player shot,4.0,4,1,7,CRO,2.0,PASKVALIN F,7 - 1,453,CRO,7:33,Goal,1
Extra player shot,2.0,4,2,7,CRO,2.0,LEWIS M,7 - 2,385,NZL,6:25,Goal,1
Extra player shot,5.0,4,2,7,CRO,2.0,JOKOVIC M,7 - 2,349,CRO,5:49,Post,0
Action shot,11.0,4,2,7,CRO,2.0,SETKA A,7 - 2,342,CRO,5:42,Saved,0
Action shot,6.0,4,2,7,CRO,2.0,SIEPRATH A,7 - 2,311,NZL,5:11,Blocked,0
Action shot,11.0,4,2,7,CRO,2.0,SETKA A,7 - 2,286,CRO,4:46,Saved,0
Extra player shot,10.0,4,2,7,CRO,2.0,DOBUD N,7 - 2,243,CRO,4:03,Saved,0
Centre shot,11.0,4,2,7,CRO,4.0,SETKA A,7 - 2,299,CRO,4:59,Missed,0
Action shot,7.0,4,2,7,CRO,4.0,MUSLIM P,7 - 2,255,CRO,4:15,Saved,0
Extra player shot,11.0,4,4,20,CRO,4.0,TIJSEN L,20 - 4,210,NZL,3:30,Goal,1
Penalty shot,7.0,4,4,21,CRO,4.0,MUSLIM P,21 - 4,184,CRO,3:04,Goal,1
5m shot,12.0,4,4,21,CRO,4.0,PYE A,21 - 4,159,NZL,2:39,Missed,0
Centre shot,10.0,4,2,8,CRO,2.0,DOBUD N,8 - 2,119,CRO,1:59,Goal,1
Counter attack,11.0,4,2,9,CRO,2.0,SETKA A,9 - 2,91,CRO,1:31,Goal,1
Penalty shot,10.0,4,3,9,CRO,2.0,BRYANT M,9 - 3,72,NZL,1:12,Goal,1
5m shot,9.0,4,3,9,CRO,2.0,SUKNO S,9 - 3,51,CRO,0:51,Post,0
Action shot,9.0,4,3,10,CRO,2.0,SUKNO S,10 - 3,35,CRO,0:35,Goal,1
Extra player shot,7.0,4,3,11,CRO,3.0,MUSLIM P,11 - 3,445,CRO,7:25,Goal,1
Counter attack,11.0,4,3,11,CRO,3.0,SETKA A,11 - 3,429,CRO,7:09,Post,0
Centre shot,9.0,4,3,12,CRO,3.0,SUKNO S,12 - 3,427,CRO,7:07,Goal,1
5m shot,5.0,4,3,12,CRO,3.0,ROSS J,12 - 3,399,NZL,6:39,Post,0
5m shot,12.0,4,3,13,CRO,3.0,OBRADOVIC P,13 - 3,374,CRO,6:14,Goal,1
Action shot,5.0,4,3,13,CRO,3.0,JOKOVIC M,13 - 3,326,CRO,5:26,Saved,0
Centre shot,7.0,4,3,14,CRO,3.0,MUSLIM P,14 - 3,291,CRO,4:51,Goal,1
Action shot,5.0,4,3,14,CRO,3.0,JOKOVIC M,14 - 3,268,CRO,4:28,Saved,0
Centre shot,10.0,4,3,15,CRO,3.0,DOBUD N,15 - 3,255,CRO,4:15,Goal,1
Centre shot,10.0,4,3,15,CRO,3.0,BRYANT M,15 - 3,233,NZL,3:53,Saved,0
Action shot,5.0,4,3,16,CRO,3.0,JOKOVIC M,16 - 3,216,CRO,3:36,Goal,1
Extra player shot,10.0,4,3,16,CRO,3.0,DOBUD N,16 - 3,153,CRO,2:33,Blocked,0
Action shot,2.0,4,3,16,CRO,3.0,LEWIS M,16 - 3,127,NZL,2:07,Saved,0
Action shot,6.0,4,3,17,CRO,3.0,BUKIC L,17 - 3,111,CRO,1:51,Goal,1
5m shot,11.0,4,3,17,CRO,3.0,TIJSEN L,17 - 3,90,NZL,1:30,Blocked,0
5m shot,5.0,4,3,17,CRO,3.0,ROSS J,17 - 3,52,NZL,0:52,Saved,0
Extra player shot,12.0,4,3,18,CRO,3.0,OBRADOVIC P,18 - 3,17,CRO,0:17,Goal,1
Action shot,5.0,4,3,18,CRO,3.0,ROSS J,18 - 3,2,NZL,0:02,Missed,0
5m shot,12.0,4,3,18,CRO,3.0,OBRADOVIC P,18 - 3,1,CRO,0:01,Missed,0
Action shot,11.0,4,3,18,CRO,4.0,SETKA A,18 - 3,452,CRO,7:32,Post,0
Penalty shot,7.0,4,3,19,CRO,4.0,MUSLIM P,19 - 3,432,CRO,7:12,Goal,1
Action shot,9.0,4,3,19,CRO,4.0,LUI-FAKAOTIMANAVA,19 - 3,405,NZL,6:45,Saved,0
Action shot,4.0,4,3,20,CRO,4.0,PASKVALIN F,20 - 3,362,CRO,6:02,Goal,1
Centre shot,10.0,4,3,20,CRO,4.0,DOBUD N,20 - 3,99,CRO,1:39,Saved,0
5m shot,5.0,4,3,20,CRO,4.0,ROSS J,20 - 3,58,NZL,0:58,Saved,0
5m shot,9.0,4,3,20,CRO,4.0,LUI-FAKAOTIMANAVA,20 - 3,22,NZL,0:22,Saved,0
Action shot,7.0,4,3,20,CRO,4.0,MUSLIM P,20 - 3,2,CRO,0:02,Post,0
