Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Counter attack - Goal,5.0,4,0,4,CRO,1.0,JOKOVIC M,4 - 0,233,CRO,3:53
Turnover foul,7.0,4,0,4,CRO,1.0,JACKSON D,4 - 0,204,NZL,3:24
Steal,7.0,4,0,4,CRO,1.0,MUSLIM P,4 - 0,204,CRO,3:24
Action shot - Saved,8.0,4,0,4,CRO,1.0,BUSLJE A,4 - 0,129,CRO,2:09
Action shot - Saved,12.0,4,0,4,CRO,1.0,PYE A,4 - 0,100,NZL,1:40
Penalty foul,9.0,4,0,4,CRO,1.0,LUI-FAKAOTIMANAVA,4 - 0,83,NZL,1:23
Penalty shot - Goal,7.0,4,0,5,CRO,1.0,MUSLIM P,5 - 0,83,CRO,1:23
Turnover foul,11.0,4,0,5,CRO,1.0,TIJSEN L,5 - 0,68,NZL,1:08
Steal,11.0,4,0,5,CRO,1.0,SETKA A,5 - 0,68,CRO,1:08
Action shot - Goal,9.0,4,0,6,CRO,1.0,SUKNO S,6 - 0,54,CRO,0:54
20 sec. exclusion in centre,6.0,4,0,6,CRO,1.0,BUKIC L,6 - 0,40,CRO,0:40
Extra player shot - Blocked,7.0,4,0,6,CRO,1.0,JACKSON D,6 - 0,26,NZL,0:26
Extra player shot - Saved,11.0,4,0,6,CRO,1.0,TIJSEN L,6 - 0,21,NZL,0:21
Turnover foul,4.0,4,0,6,CRO,1.0,PASKVALIN F,6 - 0,18,CRO,0:18
Steal,3.0,4,0,6,CRO,1.0,CURRY S,6 - 0,18,NZL,0:18
Counter attack - Goal,5.0,4,1,6,CRO,1.0,ROSS J,6 - 1,14,NZL,0:14
Starting goalkeeper,1.0,4,1,6,CRO,2.0,PAVIC J,6 - 1,480,CRO,8:00
Starting goalkeeper,1.0,4,1,6,CRO,2.0,KINGSMILL T,6 - 1,480,NZL,8:00
Sprint won possession,11.0,4,1,6,CRO,2.0,SETKA A,6 - 1,480,CRO,8:00
20 sec. exclusion in centre,3.0,4,1,6,CRO,2.0,CURRY S,6 - 1,454,NZL,7:34
Extra player shot - Goal,4.0,4,1,7,CRO,2.0,PASKVALIN F,7 - 1,453,CRO,7:33
Turnover foul,5.0,4,1,7,CRO,2.0,ROSS J,7 - 1,428,NZL,7:08
Steal,7.0,4,1,7,CRO,2.0,MUSLIM P,7 - 1,428,CRO,7:08
Turnover foul,4.0,4,1,7,CRO,2.0,PASKVALIN F,7 - 1,411,CRO,6:51
20 sec. exclusion in centre,6.0,4,1,7,CRO,2.0,BUKIC L,7 - 1,389,CRO,6:29
Extra player shot - Goal,2.0,4,2,7,CRO,2.0,LEWIS M,7 - 2,385,NZL,6:25
20 sec. exclusion in field,4.0,4,2,7,CRO,2.0,LOWERY F,7 - 2,368,NZL,6:08
Extra player shot - Post,5.0,4,2,7,CRO,2.0,JOKOVIC M,7 - 2,349,CRO,5:49
Action shot - Saved,11.0,4,2,7,CRO,2.0,SETKA A,7 - 2,342,CRO,5:42
Action shot - Blocked,6.0,4,2,7,CRO,2.0,SIEPRATH A,7 - 2,311,NZL,5:11
Action shot - Saved,11.0,4,2,7,CRO,2.0,SETKA A,7 - 2,286,CRO,4:46
Turnover foul,11.0,4,2,7,CRO,2.0,SETKA A,7 - 2,285,CRO,4:45
Steal,3.0,4,2,7,CRO,2.0,CURRY S,7 - 2,285,NZL,4:45
Turnover foul,9.0,4,2,7,CRO,2.0,LUI-FAKAOTIMANAVA,7 - 2,267,NZL,4:27
Steal,7.0,4,2,7,CRO,2.0,MUSLIM P,7 - 2,267,CRO,4:27
Time-Out,,4,2,7,CRO,2.0,,7 - 2,266,CRO,4:26
20 sec. exclusion in centre,10.0,4,2,7,CRO,2.0,BRYANT M,7 - 2,256,NZL,4:16
Extra player shot - Saved,10.0,4,2,7,CRO,2.0,DOBUD N,7 - 2,243,CRO,4:03
Turnover foul,6.0,4,2,7,CRO,2.0,SIEPRATH A,7 - 2,226,NZL,3:46
Steal,12.0,4,2,7,CRO,2.0,OBRADOVIC P,7 - 2,226,CRO,3:46
Turnover foul,6.0,4,2,7,CRO,2.0,BUKIC L,7 - 2,213,CRO,3:33
Turnover foul,11.0,4,2,7,CRO,2.0,TIJSEN L,7 - 2,186,NZL,3:06
Steal,7.0,4,2,7,CRO,2.0,MUSLIM P,7 - 2,186,CRO,3:06
20 sec. exclusion in centre,3.0,4,2,7,CRO,2.0,CURRY S,7 - 2,170,NZL,2:50
Turnover foul,10.0,4,2,7,CRO,2.0,DOBUD N,7 - 2,164,CRO,2:44
Centre shot - Missed,11.0,4,2,7,CRO,4.0,SETKA A,7 - 2,299,CRO,4:59
Turnover foul,11.0,4,2,7,CRO,4.0,TIJSEN L,7 - 2,277,NZL,4:37
Steal,4.0,4,2,7,CRO,4.0,PASKVALIN F,7 - 2,277,CRO,4:37
Action shot - Saved,7.0,4,2,7,CRO,4.0,MUSLIM P,7 - 2,255,CRO,4:15
20 sec. exclusion in centre,6.0,4,2,7,CRO,4.0,BUKIC L,7 - 2,228,CRO,3:48
