Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,2.0,0,1,0,ITA,1.0,DI FULVIO F,0 - 0,455,ITA,7:35,Saved,0
Action shot,11.0,0,1,1,ITA,1.0,AICARDI M,0 - 1,438,ITA,7:18,Goal,1
Centre shot,10.0,1,1,1,ITA,1.0,KOLOMVOS C,1 - 1,366,GRE,6:06,Goal,1
Extra player shot,5.0,1,1,1,ITA,1.0,GIORGETTI A,1 - 1,274,ITA,4:34,Missed,0
Extra player shot,12.0,2,1,1,ITA,1.0,VLACHOPOULOS A,2 - 1,221,GRE,3:41,Goal,1
Action shot,2.0,2,1,1,ITA,1.0,DI FULVIO F,2 - 1,193,ITA,3:13,Post,0
5m shot,7.0,3,1,1,ITA,1.0,AFROUDAKIS C,3 - 1,163,GRE,2:43,Goal,1
Extra player shot,10.0,3,1,2,ITA,1.0,LUONGO S,3 - 2,118,ITA,1:58,Goal,1
Action shot,6.0,3,1,2,ITA,1.0,PONTIKEAS K,3 - 2,84,GRE,1:24,Saved,0
Extra player shot,5.0,3,1,3,ITA,1.0,GIORGETTI A,3 - 3,55,ITA,0:55,Goal,1
Extra player shot,9.0,4,1,3,ITA,1.0,MOURIKIS K,4 - 3,27,GRE,0:27,Goal,1
Penalty shot,5.0,4,1,4,ITA,1.0,GIORGETTI A,4 - 4,8,ITA,0:08,Goal,1
5m shot,12.0,4,1,4,ITA,1.0,VLACHOPOULOS A,4 - 4,0,GRE,0:00,Saved,0
Action shot,4.0,4,1,4,ITA,2.0,FIGLIOLI P,4 - 4,434,ITA,7:14,Saved,0
5m shot,4.0,4,1,4,ITA,2.0,GENIDOUNIAS K,4 - 4,405,GRE,6:45,Blocked,0
Action shot,10.0,4,1,4,ITA,2.0,LUONGO S,4 - 4,371,ITA,6:11,Post,0
5m shot,12.0,4,1,4,ITA,2.0,VLACHOPOULOS A,4 - 4,327,GRE,5:27,Saved,0
5m shot,5.0,4,1,4,ITA,2.0,GIORGETTI A,4 - 4,319,ITA,5:19,Saved,0
5m shot,12.0,4,1,4,ITA,2.0,VLACHOPOULOS A,4 - 4,273,GRE,4:33,Saved,0
5m shot,7.0,5,1,4,ITA,2.0,AFROUDAKIS C,5 - 4,256,GRE,4:16,Goal,1
