Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,ITA,1.0,FLEGKAS K,0 - 0,480,GRE,8:00
Starting goalkeeper,1.0,0,1,0,ITA,1.0,TEMPESTI S,0 - 0,480,ITA,8:00
Sprint won possession,4.0,0,1,0,ITA,1.0,FIGLIOLI P,0 - 0,480,ITA,8:00
5m shot - Saved,2.0,0,1,0,ITA,1.0,DI FULVIO F,0 - 0,455,ITA,7:35
Action shot - Goal,11.0,0,1,1,ITA,1.0,AICARDI M,0 - 1,438,ITA,7:18
Turnover foul,12.0,0,1,1,ITA,1.0,VLACHOPOULOS A,0 - 1,408,GRE,6:48
Steal,4.0,0,1,1,ITA,1.0,FIGLIOLI P,0 - 1,408,ITA,6:48
Turnover foul,4.0,0,1,1,ITA,1.0,FIGLIOLI P,0 - 1,381,ITA,6:21
Steal,12.0,0,1,1,ITA,1.0,VLACHOPOULOS A,0 - 1,381,GRE,6:21
Centre shot - Goal,10.0,1,1,1,ITA,1.0,KOLOMVOS C,1 - 1,366,GRE,6:06
Turnover foul,5.0,1,1,1,ITA,1.0,GIORGETTI A,1 - 1,334,ITA,5:34
Steal,7.0,1,1,1,ITA,1.0,AFROUDAKIS C,1 - 1,334,GRE,5:34
Turnover foul,7.0,1,1,1,ITA,1.0,AFROUDAKIS C,1 - 1,302,GRE,5:02
20 sec. exclusion in centre,8.0,1,1,1,ITA,1.0,DELAKAS E,1 - 1,279,GRE,4:39
Extra player shot - Missed,5.0,1,1,1,ITA,1.0,GIORGETTI A,1 - 1,274,ITA,4:34
20 sec. exclusion in centre,9.0,1,1,1,ITA,1.0,GITTO N,1 - 1,239,ITA,3:59
Extra player shot - Goal,12.0,2,1,1,ITA,1.0,VLACHOPOULOS A,2 - 1,221,GRE,3:41
Action shot - Post,2.0,2,1,1,ITA,1.0,DI FULVIO F,2 - 1,193,ITA,3:13
5m shot - Goal,7.0,3,1,1,ITA,1.0,AFROUDAKIS C,3 - 1,163,GRE,2:43
20 sec. exclusion in centre,3.0,3,1,1,ITA,1.0,DERVISIS G,3 - 1,138,GRE,2:18
Extra player shot - Goal,10.0,3,1,2,ITA,1.0,LUONGO S,3 - 2,118,ITA,1:58
Action shot - Saved,6.0,3,1,2,ITA,1.0,PONTIKEAS K,3 - 2,84,GRE,1:24
20 sec. exclusion in centre,6.0,3,1,2,ITA,1.0,PONTIKEAS K,3 - 2,68,GRE,1:08
Extra player shot - Goal,5.0,3,1,3,ITA,1.0,GIORGETTI A,3 - 3,55,ITA,0:55
Time-Out,,3,1,3,ITA,1.0,,3 - 3,55,GRE,0:55
20 sec. exclusion in centre,8.0,3,1,3,ITA,1.0,PRESCIUTTI N,3 - 3,39,ITA,0:39
Extra player shot - Goal,9.0,4,1,3,ITA,1.0,MOURIKIS K,4 - 3,27,GRE,0:27
Time-Out,,4,1,3,ITA,1.0,,4 - 3,27,ITA,0:27
Penalty foul,2.0,4,1,3,ITA,1.0,MYLONAKIS E,4 - 3,8,GRE,0:08
Penalty shot - Goal,5.0,4,1,4,ITA,1.0,GIORGETTI A,4 - 4,8,ITA,0:08
5m shot - Saved,12.0,4,1,4,ITA,1.0,VLACHOPOULOS A,4 - 4,0,GRE,0:00
Starting goalkeeper,1.0,4,1,4,ITA,2.0,FLEGKAS K,4 - 4,480,GRE,8:00
Starting goalkeeper,1.0,4,1,4,ITA,2.0,TEMPESTI S,4 - 4,480,ITA,8:00
Sprint won possession,4.0,4,1,4,ITA,2.0,FIGLIOLI P,4 - 4,480,ITA,8:00
20 sec. exclusion in centre,3.0,4,1,4,ITA,2.0,DERVISIS G,4 - 4,459,GRE,7:39
Action shot - Saved,4.0,4,1,4,ITA,2.0,FIGLIOLI P,4 - 4,434,ITA,7:14
20 sec. exclusion in field,4.0,4,1,4,ITA,2.0,FIGLIOLI P,4 - 4,431,ITA,7:11
5m shot - Blocked,4.0,4,1,4,ITA,2.0,GENIDOUNIAS K,4 - 4,405,GRE,6:45
20 sec. exclusion in field,2.0,4,1,4,ITA,2.0,MYLONAKIS E,4 - 4,394,GRE,6:34
Action shot - Post,10.0,4,1,4,ITA,2.0,LUONGO S,4 - 4,371,ITA,6:11
5m shot - Saved,12.0,4,1,4,ITA,2.0,VLACHOPOULOS A,4 - 4,327,GRE,5:27
5m shot - Saved,5.0,4,1,4,ITA,2.0,GIORGETTI A,4 - 4,319,ITA,5:19
20 sec. exclusion in centre,7.0,4,1,4,ITA,2.0,GIACOPPO M,4 - 4,299,ITA,4:59
5m shot - Saved,12.0,4,1,4,ITA,2.0,VLACHOPOULOS A,4 - 4,273,GRE,4:33
5m shot - Goal,7.0,5,1,4,ITA,2.0,AFROUDAKIS C,5 - 4,256,GRE,4:16
5m shot - Blocked,10.0,5,1,4,ITA,2.0,LUONGO S,5 - 4,226,ITA,3:46
Turnover foul,9.0,5,1,4,ITA,2.0,MOURIKIS K,5 - 4,202,GRE,3:22
Turnover foul,10.0,5,1,4,ITA,2.0,LUONGO S,5 - 4,185,ITA,3:05
Steal,12.0,5,1,4,ITA,2.0,VLACHOPOULOS A,5 - 4,185,GRE,3:05
5m shot - Blocked,12.0,5,1,4,ITA,2.0,VLACHOPOULOS A,5 - 4,159,GRE,2:39
Turnover foul,2.0,5,1,4,ITA,2.0,DI FULVIO F,5 - 4,131,ITA,2:11
Steal,7.0,5,1,4,ITA,2.0,AFROUDAKIS C,5 - 4,131,GRE,2:11
Penalty foul,2.0,5,1,4,ITA,2.0,DI FULVIO F,5 - 4,107,ITA,1:47
Penalty shot - Saved,5.0,5,1,4,ITA,2.0,FOUNTOULIS I,5 - 4,107,GRE,1:47
Action shot - Goal,4.0,6,1,4,ITA,2.0,GENIDOUNIAS K,6 - 4,83,GRE,1:23
20 sec. exclusion in centre,3.0,6,1,4,ITA,2.0,DERVISIS G,6 - 4,68,GRE,1:08
Exclusion with substitution,3.0,6,1,4,ITA,2.0,DERVISIS G,6 - 4,68,GRE,1:08
Extra player shot - Goal,11.0,6,1,5,ITA,2.0,AICARDI M,6 - 5,49,ITA,0:49
Time-Out,,6,1,5,ITA,2.0,,6 - 5,49,GRE,0:49
Turnover foul,5.0,6,1,5,ITA,2.0,FOUNTOULIS I,6 - 5,22,GRE,0:22
Steal,3.0,6,1,5,ITA,2.0,VELOTTO A,6 - 5,22,ITA,0:22
Time-Out,,6,1,5,ITA,2.0,,6 - 5,22,ITA,0:22
Turnover foul,3.0,6,1,5,ITA,2.0,VELOTTO A,6 - 5,1,ITA,0:01
Steal,1.0,6,1,5,ITA,2.0,FLEGKAS K,6 - 5,1,GRE,0:01
Starting goalkeeper,1.0,6,1,5,ITA,3.0,FLEGKAS K,6 - 5,480,GRE,8:00
Starting goalkeeper,1.0,6,1,5,ITA,3.0,TEMPESTI S,6 - 5,480,ITA,8:00
Sprint won possession,4.0,6,1,5,ITA,3.0,FIGLIOLI P,6 - 5,480,ITA,8:00
Turnover foul,11.0,6,1,5,ITA,3.0,AICARDI M,6 - 5,460,ITA,7:40
Turnover foul,10.0,6,1,5,ITA,3.0,KOLOMVOS C,6 - 5,433,GRE,7:13
20 sec. exclusion in centre,12.0,6,1,5,ITA,3.0,VLACHOPOULOS A,6 - 5,407,GRE,6:47
20 sec. exclusion in centre,8.0,6,1,5,ITA,3.0,PRESCIUTTI N,6 - 5,365,ITA,6:05
Action shot - Goal,11.0,7,1,5,ITA,3.0,GOUNAS A,7 - 5,338,GRE,5:38
20 sec. exclusion in centre,6.0,7,1,5,ITA,3.0,PONTIKEAS K,7 - 5,312,GRE,5:12
Extra player shot - Saved,11.0,7,1,5,ITA,3.0,AICARDI M,7 - 5,289,ITA,4:49
Action shot - Saved,9.0,7,1,5,ITA,3.0,MOURIKIS K,7 - 5,262,GRE,4:22
5m shot - Saved,10.0,7,1,5,ITA,3.0,LUONGO S,7 - 5,231,ITA,3:51
20 sec. exclusion in centre,9.0,7,1,5,ITA,3.0,GITTO N,7 - 5,206,ITA,3:26
Time-Out,,7,1,5,ITA,3.0,,7 - 5,206,GRE,3:26
Extra player shot - Goal,5.0,8,1,5,ITA,3.0,FOUNTOULIS I,8 - 5,187,GRE,3:07
20 sec. exclusion in centre,7.0,8,1,5,ITA,3.0,AFROUDAKIS C,8 - 5,164,GRE,2:44
Extra player shot - Goal,4.0,8,1,6,ITA,3.0,FIGLIOLI P,8 - 6,143,ITA,2:23
Turnover foul,12.0,8,1,6,ITA,3.0,VLACHOPOULOS A,8 - 6,126,GRE,2:06
Steal,3.0,8,1,6,ITA,3.0,VELOTTO A,8 - 6,126,ITA,2:06
Action shot - Post,4.0,8,1,6,ITA,3.0,FIGLIOLI P,8 - 6,113,ITA,1:53
Centre shot - Goal,7.0,8,1,7,ITA,3.0,GIACOPPO M,8 - 7,113,ITA,1:53
20 sec. exclusion in centre,7.0,8,1,7,ITA,3.0,GIACOPPO M,8 - 7,90,ITA,1:30
Extra player shot - Goal,5.0,9,1,7,ITA,3.0,FOUNTOULIS I,9 - 7,73,GRE,1:13
Turnover foul,3.0,9,1,7,ITA,3.0,VELOTTO A,9 - 7,53,ITA,0:53
Steal,5.0,9,1,7,ITA,3.0,FOUNTOULIS I,9 - 7,53,GRE,0:53
Turnover foul,9.0,9,1,7,ITA,3.0,MOURIKIS K,9 - 7,31,GRE,0:31
Turnover foul,4.0,9,1,7,ITA,3.0,FIGLIOLI P,9 - 7,9,ITA,0:09
