Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,1,0,0,GER,1.0,UKUMANOV R,0 - 0,426,KAZ,7:06,Post,0
5m shot,4.0,1,0,0,GER,1.0,REAL J,0 - 0,399,GER,6:39,Blocked,0
Action shot,7.0,1,1,0,GER,1.0,USHAKOV V,0 - 1,349,KAZ,5:49,Goal,1
Extra player shot,2.0,1,1,1,GER,1.0,BUKOWSKI E,1 - 1,316,GER,5:16,Goal,1
Centre shot,11.0,1,1,1,GER,1.0,MANAFOV R,1 - 1,263,KAZ,4:23,Saved,0
Action shot,7.0,1,2,1,GER,1.0,USHAKOV V,1 - 2,226,KAZ,3:46,Goal,1
5m shot,7.0,1,2,2,GER,1.0,NOSSEK H,2 - 2,199,GER,3:19,Goal,1
5m shot,7.0,1,2,2,GER,1.0,NOSSEK H,2 - 2,155,GER,2:35,Post,0
Action shot,9.0,1,2,2,GER,1.0,UKUMANOV R,2 - 2,108,KAZ,1:48,Missed,0
5m shot,7.0,1,2,2,GER,1.0,NOSSEK H,2 - 2,79,GER,1:19,Saved,0
Centre shot,5.0,1,2,2,GER,1.0,SHAKENOV M,2 - 2,56,KAZ,0:56,Saved,0
Action shot,3.0,1,2,3,GER,1.0,MIERS E,3 - 2,43,GER,0:43,Goal,1
Centre shot,12.0,1,3,3,GER,1.0,PEKOVICH B,3 - 3,14,KAZ,0:14,Goal,1
Extra player shot,3.0,1,3,3,GER,1.0,MIERS E,3 - 3,1,GER,0:01,Missed,0
Extra player shot,4.0,1,3,3,GER,2.0,PILIPENKO R,3 - 3,445,KAZ,7:25,Missed,0
5m shot,2.0,1,3,4,GER,2.0,BUKOWSKI E,4 - 3,403,GER,6:43,Goal,1
5m shot,7.0,1,3,4,GER,2.0,NOSSEK H,4 - 3,357,GER,5:57,Post,0
Centre shot,12.0,1,3,4,GER,2.0,EIDNER D,4 - 3,307,GER,5:07,Saved,0
Action shot,12.0,1,3,4,GER,2.0,PEKOVICH B,4 - 3,280,KAZ,4:40,Blocked,0
5m shot,7.0,1,3,5,GER,2.0,NOSSEK H,5 - 3,257,GER,4:17,Goal,1
Extra player shot,5.0,1,3,5,GER,2.0,SHAKENOV M,5 - 3,202,KAZ,3:22,Post,0
Extra player shot,3.0,1,3,5,GER,2.0,MIERS E,5 - 3,163,GER,2:43,Post,0
Centre shot,11.0,1,3,5,GER,2.0,MANAFOV R,5 - 3,141,KAZ,2:21,Saved,0
5m shot,8.0,1,3,6,GER,2.0,SCHUELER P,6 - 3,118,GER,1:58,Goal,1
Extra player shot,9.0,1,3,6,GER,2.0,UKUMANOV R,6 - 3,73,KAZ,1:13,Saved,0
5m shot,7.0,1,3,6,GER,2.0,NOSSEK H,6 - 3,13,GER,0:13,Saved,0
5m shot,2.0,1,3,6,GER,3.0,BUKOWSKI E,6 - 3,450,GER,7:30,Missed,0
Extra player shot,2.0,1,4,6,GER,3.0,GUBAREV S,6 - 4,414,KAZ,6:54,Goal,1
