Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Extra player shot,7.0,1,6,GRE,4.0,ASIMAKI A,10 - 6,209,GRE,3:29,10,,0
Action shot,6.0,1,6,GRE,4.0,STEFFENS M,11 - 6,147,USA,2:27,11,Goal,1
Action shot,2.0,1,7,GRE,4.0,TSOUKALA C,11 - 7,122,GRE,2:02,11,Goal,1
Action shot,6.0,1,7,GRE,4.0,STEFFENS M,11 - 7,95,USA,1:35,11,Post,0
5m shot,2.0,1,7,GRE,4.0,TSOUKALA C,11 - 7,77,GRE,1:17,11,Blocked,0
Action shot,6.0,1,7,GRE,4.0,STEFFENS M,12 - 7,53,USA,0:53,12,Goal,1
5m shot,2.0,1,8,GRE,4.0,TSOUKALA C,12 - 8,33,GRE,0:33,12,Goal,1
5m shot,6.0,1,8,GRE,4.0,STEFFENS M,12 - 8,7,USA,0:07,12,Missed,0
5m shot,2.0,1,8,GRE,4.0,TSOUKALA C,12 - 8,1,GRE,0:01,12,Saved,0
Action shot,10.0,2,0,CAN,1.0,ROBINSON C,0 - 0,432,CAN,7:12,0,Post,0
Action shot,2.0,2,0,CAN,1.0,SILVER L,1 - 0,409,USA,6:49,1,Goal,1
Action shot,10.0,2,0,CAN,1.0,ROBINSON C,1 - 0,388,CAN,6:28,1,Missed,0
Action shot,6.0,2,0,CAN,1.0,STEFFENS M,1 - 0,364,USA,6:04,1,Post,0
Action shot,6.0,2,0,CAN,1.0,STEFFENS M,1 - 0,315,USA,5:15,1,Post,0
Action shot,8.0,2,0,CAN,1.0,PERREAULT D,1 - 0,285,CAN,4:45,1,Saved,0
Centre shot,12.0,2,0,CAN,1.0,CRAIG K,2 - 0,269,USA,4:29,2,Goal,1
Action shot,12.0,2,0,CAN,1.0,RADU M,2 - 0,247,CAN,4:07,2,Blocked,0
5m shot,4.0,2,0,CAN,1.0,FATTAL R,2 - 0,217,USA,3:37,2,Missed,0
Action shot,9.0,2,0,CAN,1.0,KRAUS J,2 - 0,178,USA,2:58,2,Missed,0
Extra player shot,3.0,2,0,CAN,1.0,SEIDEMANN M,3 - 0,119,USA,1:59,3,Goal,1
Action shot,3.0,2,0,CAN,1.0,SEIDEMANN M,4 - 0,81,USA,1:21,4,Goal,1
Action shot,5.0,2,0,CAN,1.0,EGGENS M,4 - 0,60,CAN,1:00,4,Missed,0
Extra player shot,8.0,2,1,CAN,1.0,PERREAULT D,4 - 1,4,CAN,0:04,4,Goal,1
5m shot,3.0,2,1,CAN,1.0,SEIDEMANN M,4 - 1,1,USA,0:01,4,Saved,0
Extra player shot,8.0,2,2,CAN,2.0,PERREAULT D,4 - 2,446,CAN,7:26,4,Goal,1
Action shot,4.0,2,2,CAN,2.0,WRIGHT E,4 - 2,398,CAN,6:38,4,Post,0
Action shot,7.0,2,2,CAN,2.0,MATHEWSON C,5 - 2,359,USA,5:59,5,Goal,1
Action shot,7.0,2,2,CAN,2.0,BEKHAZI J,5 - 2,342,CAN,5:42,5,Saved,0
Extra player shot,8.0,2,2,CAN,2.0,PERREAULT D,5 - 2,302,CAN,5:02,5,Blocked,0
Extra player shot,2.0,2,3,CAN,2.0,ALOGBO K,5 - 3,301,CAN,5:01,5,Goal,1
Action shot,7.0,2,3,CAN,2.0,MATHEWSON C,5 - 3,278,USA,4:38,5,Post,0
Action shot,9.0,2,3,CAN,2.0,EGGENS C,5 - 3,249,CAN,4:09,5,Missed,0
Centre shot,11.0,2,3,CAN,2.0,DRIES A,6 - 3,236,USA,3:56,6,Goal,1
Action shot,7.0,2,3,CAN,2.0,MATHEWSON C,6 - 3,125,USA,2:05,6,Post,0
Action shot,5.0,2,3,CAN,2.0,EGGENS M,6 - 3,97,CAN,1:37,6,Blocked,0
Centre shot,9.0,2,3,CAN,2.0,EGGENS C,6 - 3,54,CAN,0:54,6,Saved,0
Extra player shot,7.0,2,3,CAN,2.0,MATHEWSON C,6 - 3,12,USA,0:12,6,Blocked,0
5m shot,2.0,2,3,CAN,2.0,ALOGBO K,6 - 3,1,CAN,0:01,6,Saved,0
Action shot,10.0,2,3,CAN,3.0,ROBINSON C,6 - 3,457,CAN,7:37,6,Saved,0
Extra player shot,6.0,2,3,CAN,3.0,STEFFENS M,7 - 3,414,USA,6:54,7,Goal,1
5m shot,2.0,2,3,CAN,3.0,SILVER L,7 - 3,355,USA,5:55,7,Saved,0
Action shot,4.0,2,3,CAN,3.0,WRIGHT E,7 - 3,335,CAN,5:35,7,Post,0
Counter attack,2.0,2,3,CAN,3.0,SILVER L,8 - 3,322,USA,5:22,8,Goal,1
