Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,10.0,1,2,9,ESP,3.0,TARRAGO R,2 - 9,458,ESP,7:38,Saved,0
Centre shot,11.0,1,2,10,ESP,3.0,GARCIA M,2 - 10,355,ESP,5:55,Goal,1
Action shot,6.0,1,2,10,ESP,3.0,PAREJA J,2 - 10,311,ESP,5:11,Saved,0
Extra player shot,11.0,1,2,10,ESP,3.0,MIRSHINA A,2 - 10,272,KAZ,4:32,Post,0
Action shot,12.0,1,2,10,ESP,3.0,MUSSAROVA A,2 - 10,165,KAZ,2:45,Saved,0
Centre shot,11.0,1,2,10,ESP,3.0,GARCIA M,2 - 10,80,ESP,1:20,Saved,0
Action shot,9.0,1,2,10,ESP,3.0,FORCA J,2 - 10,18,ESP,0:18,Saved,0
5m shot,11.0,1,3,10,ESP,3.0,MIRSHINA A,3 - 10,1,KAZ,0:01,Goal,1
5m shot,8.0,1,3,10,ESP,4.0,PENA P,3 - 10,432,ESP,7:12,Missed,0
Action shot,3.0,1,3,11,ESP,4.0,ESPAR A,3 - 11,417,ESP,6:57,Goal,1
Centre shot,10.0,1,3,12,ESP,4.0,TARRAGO R,3 - 12,342,ESP,5:42,Goal,1
Action shot,3.0,1,4,12,ESP,4.0,AKILBAYEVA A,4 - 12,314,KAZ,5:14,Goal,1
Action shot,6.0,1,4,13,ESP,4.0,PAREJA J,4 - 13,293,ESP,4:53,Goal,1
Centre shot,7.0,1,5,13,ESP,4.0,MYRZABEKOVA Z,5 - 13,281,KAZ,4:41,Goal,1
Action shot,10.0,1,5,13,ESP,4.0,TARRAGO R,5 - 13,255,ESP,4:15,Post,0
Extra player shot,11.0,1,6,13,ESP,4.0,MIRSHINA A,6 - 13,174,KAZ,2:54,Goal,1
Extra player shot,7.0,1,6,13,ESP,4.0,ESPAR C,6 - 13,130,ESP,2:10,Saved,0
5m shot,10.0,1,6,13,ESP,4.0,ROGA D,6 - 13,102,KAZ,1:42,Saved,0
Extra player shot,10.0,1,6,13,ESP,4.0,TARRAGO R,6 - 13,55,ESP,0:55,Saved,0
Extra player shot,10.0,1,6,14,ESP,4.0,TARRAGO R,6 - 14,23,ESP,0:23,Goal,1
Extra player shot,5.0,1,7,14,ESP,4.0,ZAKIROVA K,7 - 14,2,KAZ,0:02,Goal,1
Action shot,7.0,2,0,1,CAN,1.0,BEKHAZI J,1 - 0,384,CAN,6:24,Goal,1
Extra player shot,8.0,2,0,1,CAN,1.0,SAICHUK O,1 - 0,344,KAZ,5:44,Post,0
Extra player shot,5.0,2,0,1,CAN,1.0,ZAKIROVA K,1 - 0,330,KAZ,5:30,Saved,0
Action shot,2.0,2,0,2,CAN,1.0,ALOGBO K,2 - 0,311,CAN,5:11,Goal,1
Action shot,4.0,2,0,2,CAN,1.0,TUROVA A,2 - 0,293,KAZ,4:53,Post,0
5m shot,5.0,2,0,2,CAN,1.0,EGGENS M,2 - 0,267,CAN,4:27,Post,0
Action shot,7.0,2,0,2,CAN,1.0,MYRZABEKOVA Z,2 - 0,250,KAZ,4:10,Saved,0
Action shot,11.0,2,0,2,CAN,1.0,VALIN S,2 - 0,222,CAN,3:42,Missed,0
Penalty shot,11.0,2,1,2,CAN,1.0,MIRSHINA A,2 - 1,196,KAZ,3:16,Goal,1
Action shot,5.0,2,1,3,CAN,1.0,EGGENS M,3 - 1,171,CAN,2:51,Goal,1
5m shot,12.0,2,1,3,CAN,1.0,MUSSAROVA A,3 - 1,147,KAZ,2:27,Missed,0
5m shot,9.0,2,1,4,CAN,1.0,EGGENS C,4 - 1,125,CAN,2:05,Goal,1
Action shot,9.0,2,1,4,CAN,1.0,EGGENS C,4 - 1,76,CAN,1:16,Missed,0
Extra player shot,8.0,2,1,5,CAN,2.0,FOURNIER S,5 - 1,395,CAN,6:35,Goal,1
Action shot,6.0,2,1,6,CAN,2.0,MCKEE K,6 - 1,359,CAN,5:59,Goal,1
Action shot,3.0,2,1,6,CAN,2.0,AKILBAYEVA A,6 - 1,340,KAZ,5:40,Saved,0
Counter attack,11.0,2,2,6,CAN,2.0,MIRSHINA A,6 - 2,325,KAZ,5:25,Goal,1
Action shot,4.0,2,2,6,CAN,2.0,WRIGHT E,6 - 2,298,CAN,4:58,Saved,0
Action shot,6.0,2,2,6,CAN,2.0,MCKEE K,6 - 2,225,CAN,3:45,Missed,0
5m shot,5.0,2,2,6,CAN,2.0,ZAKIROVA K,6 - 2,202,KAZ,3:22,Blocked,0
Counter attack,11.0,2,2,6,CAN,2.0,VALIN S,6 - 2,168,CAN,2:48,Post,0
Action shot,5.0,2,2,6,CAN,2.0,EGGENS M,6 - 2,127,CAN,2:07,Saved,0
Action shot,3.0,2,2,6,CAN,2.0,AKILBAYEVA A,6 - 2,101,KAZ,1:41,Saved,0
Centre shot,11.0,2,2,6,CAN,2.0,MIRSHINA A,6 - 2,32,KAZ,0:32,Saved,0
5m shot,8.0,2,2,6,CAN,3.0,SAICHUK O,6 - 2,455,KAZ,7:35,Blocked,0
5m shot,5.0,2,2,6,CAN,3.0,EGGENS M,6 - 2,386,CAN,6:26,Saved,0
Action shot,7.0,2,2,7,CAN,3.0,BEKHAZI J,7 - 2,223,CAN,3:43,Goal,1
5m shot,2.0,2,2,7,CAN,3.0,ALOGBO K,7 - 2,199,CAN,3:19,Saved,0
Action shot,2.0,2,2,7,CAN,3.0,ALOGBO K,7 - 2,181,CAN,3:01,Saved,0
Counter attack,10.0,2,3,7,CAN,3.0,ROGA D,7 - 3,164,KAZ,2:44,Goal,1
Penalty shot,7.0,2,3,8,CAN,3.0,BEKHAZI J,8 - 3,145,CAN,2:25,Goal,1
Counter attack,2.0,2,3,9,CAN,3.0,ALOGBO K,9 - 3,119,CAN,1:59,Goal,1
Counter attack,7.0,2,3,9,CAN,3.0,MYRZABEKOVA Z,9 - 3,76,KAZ,1:16,Saved,0
Action shot,7.0,2,3,9,CAN,3.0,BEKHAZI J,9 - 3,60,CAN,1:00,Saved,0
Action shot,11.0,2,3,9,CAN,3.0,MIRSHINA A,9 - 3,46,KAZ,0:46,Post,0
Action shot,3.0,2,3,9,CAN,3.0,MONTON K,9 - 3,19,CAN,0:19,Saved,0
5m shot,5.0,2,4,9,CAN,3.0,ZAKIROVA K,9 - 4,1,KAZ,0:01,Goal,1
Action shot,10.0,2,4,10,CAN,4.0,ROBINSON C,10 - 4,417,CAN,6:57,Goal,1
Extra player shot,5.0,2,4,10,CAN,4.0,ZAKIROVA K,10 - 4,372,KAZ,6:12,Blocked,0
5m shot,2.0,2,4,11,CAN,4.0,ALOGBO K,11 - 4,362,CAN,6:02,Goal,1
Counter attack,5.0,2,4,12,CAN,4.0,EGGENS M,12 - 4,330,CAN,5:30,Goal,1
5m shot,5.0,2,4,13,CAN,4.0,EGGENS M,13 - 4,282,CAN,4:42,Goal,1
5m shot,10.0,2,4,13,CAN,4.0,ROGA D,13 - 4,264,KAZ,4:24,Saved,0
Action shot,5.0,2,4,14,CAN,4.0,EGGENS M,14 - 4,197,CAN,3:17,Goal,1
Action shot,5.0,2,4,15,CAN,4.0,EGGENS M,15 - 4,150,CAN,2:30,Goal,1
5m shot,10.0,2,4,15,CAN,4.0,ROGA D,15 - 4,106,KAZ,1:46,Saved,0
5m shot,6.0,2,4,16,CAN,4.0,MCKEE K,16 - 4,81,CAN,1:21,Goal,1
5m shot,4.0,2,4,16,CAN,4.0,TUROVA A,16 - 4,14,KAZ,0:14,Missed,0
Action shot,10.0,2,4,17,CAN,4.0,ROBINSON C,17 - 4,3,CAN,0:03,Goal,1
Action shot,4.0,3,0,0,NZL,1.0,LEWIS D,0 - 0,452,NZL,7:32,Saved,0
5m shot,4.0,3,1,0,NZL,1.0,TUROVA A,1 - 0,429,KAZ,7:09,Goal,1
Penalty shot,11.0,3,2,0,NZL,1.0,MIRSHINA A,2 - 0,392,KAZ,6:32,Goal,1
Action shot,6.0,3,2,0,NZL,1.0,LANDRY S,2 - 0,376,NZL,6:16,Saved,0
5m shot,5.0,3,2,0,NZL,1.0,ZAKIROVA K,2 - 0,347,KAZ,5:47,Post,0
5m shot,8.0,3,2,0,NZL,1.0,SAICHUK O,2 - 0,296,KAZ,4:56,Missed,0
5m shot,12.0,3,2,0,NZL,1.0,MYLES J,2 - 0,280,NZL,4:40,Saved,0
Centre shot,8.0,3,2,0,NZL,1.0,LOPES DA SILVA C,2 - 0,278,NZL,4:38,Saved,0
Action shot,7.0,3,3,0,NZL,1.0,MYRZABEKOVA Z,3 - 0,256,KAZ,4:16,Goal,1
5m shot,4.0,3,3,0,NZL,1.0,LEWIS D,3 - 0,233,NZL,3:53,Missed,0
Action shot,10.0,3,3,0,NZL,1.0,DANCE L,3 - 0,188,NZL,3:08,Saved,0
Penalty shot,11.0,3,3,0,NZL,1.0,HUDSON K,3 - 0,133,NZL,2:13,Saved,0
Extra player shot,8.0,3,3,0,NZL,1.0,SAICHUK O,3 - 0,99,KAZ,1:39,Missed,0
Extra player shot,8.0,3,3,0,NZL,1.0,SAICHUK O,3 - 0,58,KAZ,0:58,Saved,0
Extra player shot,4.0,3,3,0,NZL,1.0,LEWIS D,3 - 0,8,NZL,0:08,Missed,0
Extra player shot,6.0,3,3,0,NZL,2.0,LANDRY S,3 - 0,422,NZL,7:02,Post,0
Extra player shot,3.0,3,4,0,NZL,2.0,AKILBAYEVA A,4 - 0,389,KAZ,6:29,Goal,1
Action shot,3.0,3,5,0,NZL,2.0,AKILBAYEVA A,5 - 0,348,KAZ,5:48,Goal,1
5m shot,12.0,3,5,0,NZL,2.0,MYLES J,5 - 0,335,NZL,5:35,Saved,0
Extra player shot,11.0,3,5,0,NZL,2.0,MIRSHINA A,5 - 0,287,KAZ,4:47,Missed,0
Action shot,8.0,3,5,0,NZL,2.0,LOPES DA SILVA C,5 - 0,264,NZL,4:24,Blocked,0
Action shot,3.0,3,6,0,NZL,2.0,AKILBAYEVA A,6 - 0,240,KAZ,4:00,Goal,1
Action shot,11.0,3,6,0,NZL,2.0,HUDSON K,6 - 0,67,NZL,1:07,Saved,0
Counter attack,12.0,3,7,0,NZL,2.0,MUSSAROVA A,7 - 0,60,KAZ,1:00,Goal,1
Action shot,6.0,3,7,0,NZL,2.0,LANDRY S,7 - 0,25,NZL,0:25,Saved,0
5m shot,11.0,3,7,0,NZL,2.0,MIRSHINA A,7 - 0,1,KAZ,0:01,Saved,0
Centre shot,8.0,3,14,4,NZL,4.0,SAICHUK O,14 - 4,53,KAZ,0:53,Goal,1
Extra player shot,4.0,3,14,4,NZL,3.0,LEWIS D,14 - 4,456,NZL,7:36,Saved,0
Extra player shot,4.0,3,7,1,NZL,3.0,LEWIS D,7 - 1,441,NZL,7:21,Goal,1
5m shot,2.0,3,8,1,NZL,3.0,YEGEMBERDIYEVA A,8 - 1,425,KAZ,7:05,Goal,1
Action shot,3.0,3,8,1,NZL,3.0,AKILBAYEVA A,8 - 1,390,KAZ,6:30,Saved,0
Extra player shot,2.0,3,8,1,NZL,3.0,YEGEMBERDIYEVA A,8 - 1,328,KAZ,5:28,Saved,0
Action shot,3.0,3,9,1,NZL,3.0,AKILBAYEVA A,9 - 1,248,KAZ,4:08,Goal,1
Action shot,2.0,3,9,1,NZL,3.0,LEWIS N,9 - 1,228,NZL,3:48,Blocked,0
Action shot,7.0,3,9,1,NZL,3.0,MYRZABEKOVA Z,9 - 1,212,KAZ,3:32,Saved,0
5m shot,11.0,3,10,1,NZL,3.0,MIRSHINA A,10 - 1,165,KAZ,2:45,Goal,1
5m shot,12.0,3,10,1,NZL,3.0,MYLES J,10 - 1,155,NZL,2:35,Saved,0
Action shot,2.0,3,10,1,NZL,3.0,LEWIS N,10 - 1,143,NZL,2:23,Saved,0
Action shot,8.0,3,10,1,NZL,3.0,SAICHUK O,10 - 1,93,KAZ,1:33,Blocked,0
Action shot,8.0,3,10,1,NZL,3.0,LOPES DA SILVA C,10 - 1,48,NZL,0:48,Saved,0
Action shot,5.0,3,11,1,NZL,3.0,ZAKIROVA K,11 - 1,22,KAZ,0:22,Goal,1
Centre shot,2.0,3,11,1,NZL,3.0,LEWIS N,11 - 1,2,NZL,0:02,Missed,0
Action shot,10.0,3,11,1,NZL,4.0,ROGA D,11 - 1,455,KAZ,7:35,Saved,0
Counter attack,4.0,3,11,2,NZL,4.0,LEWIS D,11 - 2,445,NZL,7:25,Goal,1
5m shot,2.0,3,11,2,NZL,4.0,YEGEMBERDIYEVA A,11 - 2,415,KAZ,6:55,Missed,0
Centre shot,4.0,3,11,3,NZL,4.0,LEWIS D,11 - 3,404,NZL,6:44,Goal,1
Action shot,11.0,3,11,3,NZL,4.0,MIRSHINA A,11 - 3,388,KAZ,6:28,Saved,0
Counter attack,11.0,3,11,3,NZL,4.0,MIRSHINA A,11 - 3,356,KAZ,5:56,Post,0
Action shot,8.0,3,11,3,NZL,4.0,LOPES DA SILVA C,11 - 3,328,NZL,5:28,Post,0
Centre shot,7.0,3,11,3,NZL,4.0,MYRZABEKOVA Z,11 - 3,306,KAZ,5:06,Saved,0
Action shot,8.0,3,11,4,NZL,4.0,LOPES DA SILVA C,11 - 4,294,NZL,4:54,Goal,1
Action shot,3.0,3,12,4,NZL,4.0,AKILBAYEVA A,12 - 4,282,KAZ,4:42,Goal,1
Action shot,6.0,3,12,4,NZL,4.0,LANDRY S,12 - 4,255,NZL,4:15,Saved,0
Extra player shot,3.0,3,13,4,NZL,4.0,AKILBAYEVA A,13 - 4,239,KAZ,3:59,Goal,1
5m shot,9.0,3,13,4,NZL,4.0,STONEMAN E,13 - 4,210,NZL,3:30,Saved,0
Action shot,11.0,3,13,4,NZL,4.0,MIRSHINA A,13 - 4,184,KAZ,3:04,Blocked,0
5m shot,7.0,3,13,4,NZL,4.0,CHASE M,13 - 4,160,NZL,2:40,Saved,0
Extra player shot,5.0,3,13,4,NZL,4.0,ZAKIROVA K,13 - 4,90,KAZ,1:30,Post,0
Action shot,2.0,3,13,4,NZL,4.0,LEWIS N,13 - 4,31,NZL,0:31,Post,0
Penalty shot,2.0,4,0,1,NED,1.0,SMIT M,0 - 1,418,NED,6:58,Goal,1
Extra player shot,11.0,4,0,1,NED,1.0,MIRSHINA A,0 - 1,389,KAZ,6:29,Saved,0
Extra player shot,9.0,4,0,1,NED,1.0,MEGENS M,0 - 1,368,NED,6:08,Post,0
5m shot,11.0,4,0,1,NED,1.0,KLAASSEN L,0 - 1,346,NED,5:46,Saved,0
5m shot,5.0,4,0,1,NED,1.0,ZAKIROVA K,0 - 1,306,KAZ,5:06,Blocked,0
Counter attack,3.0,4,0,2,NED,1.0,GENEE D,0 - 2,294,NED,4:54,Goal,1
Extra player shot,3.0,4,0,2,NED,1.0,AKILBAYEVA A,0 - 2,268,KAZ,4:28,Saved,0
Centre shot,5.0,4,0,2,NED,1.0,GENEE A,0 - 2,237,NED,3:57,Saved,0
Action shot,11.0,4,0,2,NED,1.0,KLAASSEN L,0 - 2,229,NED,3:49,Post,0
5m shot,7.0,4,0,2,NED,1.0,NIJHUIS M,0 - 2,178,NED,2:58,Saved,0
Counter attack,5.0,4,0,3,NED,1.0,GENEE A,0 - 3,158,NED,2:38,Goal,1
5m shot,7.0,4,0,3,NED,1.0,MYRZABEKOVA Z,0 - 3,117,KAZ,1:57,Blocked,0
Extra player shot,8.0,4,0,4,NED,1.0,SEVENICH V,0 - 4,100,NED,1:40,Goal,1
Action shot,12.0,4,0,4,NED,1.0,VAN DER MOLEN L,0 - 4,55,NED,0:55,Saved,0
Action shot,2.0,4,0,4,NED,1.0,SMIT M,0 - 4,13,NED,0:13,Post,0
5m shot,8.0,4,0,4,NED,1.0,SAICHUK O,0 - 4,1,KAZ,0:01,Saved,0
Counter attack,6.0,4,0,4,NED,2.0,STOMPHORST N,0 - 4,423,NED,7:03,Saved,0
Extra player shot,12.0,4,0,4,NED,2.0,VAN DER MOLEN L,0 - 4,392,NED,6:32,Saved,0
Centre shot,7.0,4,0,4,NED,2.0,MYRZABEKOVA Z,0 - 4,360,KAZ,6:00,Missed,0
Extra player shot,10.0,4,0,5,NED,2.0,VAN TOORN I,0 - 5,347,NED,5:47,Goal,1
Action shot,12.0,4,0,5,NED,2.0,MUSSAROVA A,0 - 5,330,KAZ,5:30,Saved,0
Counter attack,4.0,4,0,6,NED,2.0,VAN DER SLOOT C,0 - 6,318,NED,5:18,Goal,1
Extra player shot,12.0,4,0,6,NED,2.0,MUSSAROVA A,0 - 6,294,KAZ,4:54,Missed,0
Centre shot,2.0,4,0,7,NED,2.0,SMIT M,0 - 7,276,NED,4:36,Goal,1
5m shot,5.0,4,0,7,NED,2.0,ZAKIROVA K,0 - 7,249,KAZ,4:09,Saved,0
5m shot,8.0,4,0,7,NED,2.0,SAICHUK O,0 - 7,209,KAZ,3:29,Missed,0
Action shot,8.0,4,0,8,NED,2.0,SEVENICH V,0 - 8,196,NED,3:16,Goal,1
Extra player shot,7.0,4,0,8,NED,2.0,MYRZABEKOVA Z,0 - 8,165,KAZ,2:45,Missed,0
5m shot,10.0,4,0,8,NED,4.0,ROGA D,0 - 8,209,KAZ,3:29,Saved,0
Action shot,11.0,4,0,8,NED,4.0,KLAASSEN L,0 - 8,188,NED,3:08,Saved,0
Extra player shot,11.0,4,0,8,NED,4.0,MIRSHINA A,0 - 8,163,KAZ,2:43,Saved,0
Counter attack,2.0,4,0,21,NED,4.0,SMIT M,0 - 21,150,NED,2:30,Goal,1
Extra player shot,11.0,4,1,21,NED,4.0,MIRSHINA A,1 - 21,120,KAZ,2:00,Goal,1
Counter attack,7.0,4,0,9,NED,2.0,NIJHUIS M,0 - 9,99,NED,1:39,Goal,1
5m shot,4.0,4,0,9,NED,2.0,TUROVA A,0 - 9,77,KAZ,1:17,Blocked,0
Action shot,2.0,4,0,10,NED,2.0,SMIT M,0 - 10,59,NED,0:59,Goal,1
5m shot,5.0,4,0,10,NED,2.0,ZAKIROVA K,0 - 10,30,KAZ,0:30,Saved,0
Counter attack,2.0,4,0,11,NED,2.0,SMIT M,0 - 11,21,NED,0:21,Goal,1
5m shot,10.0,4,0,11,NED,3.0,VAN TOORN I,0 - 11,462,NED,7:42,Saved,0
Centre shot,10.0,4,0,12,NED,3.0,VAN TOORN I,0 - 12,429,NED,7:09,Goal,1
Counter attack,12.0,4,0,12,NED,3.0,VAN DER MOLEN L,0 - 12,408,NED,6:48,Post,0
5m shot,11.0,4,0,12,NED,3.0,MIRSHINA A,0 - 12,357,KAZ,5:57,Blocked,0
Counter attack,7.0,4,0,13,NED,3.0,NIJHUIS M,0 - 13,349,NED,5:49,Goal,1
5m shot,3.0,4,0,13,NED,3.0,AKILBAYEVA A,0 - 13,324,KAZ,5:24,Saved,0
Counter attack,9.0,4,0,14,NED,3.0,MEGENS M,0 - 14,313,NED,5:13,Goal,1
5m shot,2.0,4,0,14,NED,3.0,SMIT M,0 - 14,277,NED,4:37,Missed,0
Counter attack,10.0,4,0,15,NED,3.0,VAN TOORN I,0 - 15,258,NED,4:18,Goal,1
Action shot,4.0,4,0,15,NED,3.0,VAN DER SLOOT C,0 - 15,220,NED,3:40,Post,0
Counter attack,8.0,4,0,15,NED,3.0,SEVENICH V,0 - 15,185,NED,3:05,Saved,0
5m shot,4.0,4,0,15,NED,3.0,TUROVA A,0 - 15,166,KAZ,2:46,Missed,0
Counter attack,3.0,4,0,16,NED,3.0,GENEE D,0 - 16,156,NED,2:36,Goal,1
5m shot,4.0,4,0,16,NED,3.0,TUROVA A,0 - 16,115,KAZ,1:55,Blocked,0
Action shot,4.0,4,0,16,NED,3.0,VAN DER SLOOT C,0 - 16,100,NED,1:40,Saved,0
Action shot,5.0,4,0,16,NED,3.0,ZAKIROVA K,0 - 16,67,KAZ,1:07,Blocked,0
Extra player shot,11.0,4,0,17,NED,3.0,KLAASSEN L,0 - 17,41,NED,0:41,Goal,1
Extra player shot,2.0,4,0,17,NED,3.0,YEGEMBERDIYEVA A,0 - 17,10,KAZ,0:10,Blocked,0
5m shot,4.0,4,0,17,NED,3.0,VAN DER SLOOT C,0 - 17,1,NED,0:01,Missed,0
Centre shot,7.0,4,0,17,NED,4.0,MYRZABEKOVA Z,0 - 17,461,KAZ,7:41,Saved,0
Counter attack,10.0,4,0,18,NED,4.0,VAN TOORN I,0 - 18,452,NED,7:32,Goal,1
Action shot,5.0,4,0,18,NED,4.0,ZAKIROVA K,0 - 18,422,KAZ,7:02,Missed,0
Extra player shot,9.0,4,0,19,NED,4.0,MEGENS M,0 - 19,407,NED,6:47,Goal,1
Counter attack,2.0,4,0,19,NED,4.0,SMIT M,0 - 19,381,NED,6:21,Saved,0
5m shot,9.0,4,0,19,NED,4.0,MEGENS M,0 - 19,341,NED,5:41,Missed,0
Extra player shot,4.0,4,0,19,NED,4.0,TUROVA A,0 - 19,274,KAZ,4:34,Saved,0
Counter attack,9.0,4,0,20,NED,4.0,MEGENS M,0 - 20,262,NED,4:22,Goal,1
Action shot,11.0,4,0,20,NED,4.0,KLAASSEN L,0 - 20,71,NED,1:11,Missed,0
Counter attack,7.0,4,0,20,NED,4.0,MYRZABEKOVA Z,0 - 20,59,KAZ,0:59,Saved,0
Action shot,7.0,4,0,20,NED,4.0,NIJHUIS M,0 - 20,46,NED,0:46,Post,0
Extra player shot,11.0,4,0,20,NED,4.0,MIRSHINA A,0 - 20,1,KAZ,0:01,Missed,0
Action shot,5.0,5,0,0,BRA,1.0,ZAKIROVA K,0 - 0,423,KAZ,7:03,Post,0
5m shot,3.0,5,0,0,BRA,1.0,ZABLITH M,0 - 0,401,BRA,6:41,Saved,0
Action shot,6.0,5,0,0,BRA,1.0,CHIAPPINI I,0 - 0,311,BRA,5:11,Blocked,0
5m shot,7.0,5,0,1,BRA,1.0,OLIVEIRA A,0 - 1,305,BRA,5:05,Goal,1
Action shot,9.0,5,0,1,BRA,1.0,DIAS M,0 - 1,270,BRA,4:30,Post,0
Extra player shot,8.0,5,0,1,BRA,1.0,SAICHUK O,0 - 1,224,KAZ,3:44,Saved,0
Action shot,10.0,5,0,2,BRA,1.0,BAHIA V,0 - 2,192,BRA,3:12,Goal,1
Action shot,8.0,5,1,2,BRA,1.0,SAICHUK O,1 - 2,168,KAZ,2:48,Goal,1
Action shot,9.0,5,1,2,BRA,1.0,DIAS M,1 - 2,90,BRA,1:30,Saved,0
5m shot,3.0,5,1,2,BRA,1.0,AKILBAYEVA A,1 - 2,0,KAZ,0:00,Saved,0
Action shot,7.0,5,1,2,BRA,2.0,OLIVEIRA A,1 - 2,459,BRA,7:39,Saved,0
Extra player shot,7.0,5,1,2,BRA,2.0,MYRZABEKOVA Z,1 - 2,399,KAZ,6:39,Missed,0
Penalty shot,6.0,5,1,3,BRA,2.0,CHIAPPINI I,1 - 3,380,BRA,6:20,Goal,1
5m shot,4.0,5,1,3,BRA,2.0,TUROVA A,1 - 3,354,KAZ,5:54,Saved,0
Action shot,3.0,5,1,3,BRA,2.0,ZABLITH M,1 - 3,337,BRA,5:37,Missed,0
Action shot,5.0,5,1,3,BRA,2.0,ZAKIROVA K,1 - 3,307,KAZ,5:07,Saved,0
5m shot,11.0,5,1,3,BRA,2.0,MIRSHINA A,1 - 3,259,KAZ,4:19,Post,0
Action shot,4.0,5,1,3,BRA,2.0,TUROVA A,1 - 3,246,KAZ,4:06,Blocked,0
5m shot,8.0,5,1,3,BRA,2.0,SAICHUK O,1 - 3,234,KAZ,3:54,Missed,0
5m shot,3.0,5,1,4,BRA,2.0,ZABLITH M,1 - 4,204,BRA,3:24,Goal,1
Extra player shot,6.0,5,1,5,BRA,2.0,CHIAPPINI I,1 - 5,175,BRA,2:55,Goal,1
5m shot,3.0,5,1,5,BRA,2.0,AKILBAYEVA A,1 - 5,136,KAZ,2:16,Post,0
Counter attack,9.0,5,1,6,BRA,2.0,DIAS M,1 - 6,120,BRA,2:00,Goal,1
Action shot,10.0,5,1,6,BRA,2.0,ROGA D,1 - 6,69,KAZ,1:09,Saved,0
5m shot,3.0,5,1,6,BRA,2.0,AKILBAYEVA A,1 - 6,24,KAZ,0:24,Post,0
5m shot,7.0,5,1,6,BRA,2.0,OLIVEIRA A,1 - 6,7,BRA,0:07,Blocked,0
5m shot,3.0,5,1,6,BRA,2.0,AKILBAYEVA A,1 - 6,0,KAZ,0:00,Missed,0
Action shot,12.0,5,1,6,BRA,3.0,MUSSAROVA A,1 - 6,440,KAZ,7:20,Missed,0
5m shot,4.0,5,1,7,BRA,3.0,DUARTE M,1 - 7,416,BRA,6:56,Goal,1
Action shot,12.0,5,1,7,BRA,3.0,MUSSAROVA A,1 - 7,378,KAZ,6:18,Saved,0
Extra player shot,9.0,5,1,8,BRA,3.0,DIAS M,1 - 8,336,BRA,5:36,Goal,1
5m shot,11.0,5,2,8,BRA,3.0,MIRSHINA A,2 - 8,318,KAZ,5:18,Goal,1
5m shot,4.0,5,2,8,BRA,3.0,DUARTE M,2 - 8,299,BRA,4:59,Missed,0
Extra player shot,11.0,5,2,8,BRA,3.0,MIRSHINA A,2 - 8,279,KAZ,4:39,Blocked,0
Action shot,3.0,5,2,8,BRA,3.0,AKILBAYEVA A,2 - 8,269,KAZ,4:29,Saved,0
