Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in field,8.0,1,6,2,FRA,2.0,FONDELLI A,2 - 6,402,ITA,6:42
Extra player shot - Goal,9.0,1,6,3,FRA,2.0,MARZOUKI M,3 - 6,384,FRA,6:24
20 sec. exclusion in field,4.0,1,6,3,FRA,2.0,PIOT L,3 - 6,370,FRA,6:10
Extra player shot - Goal,3.0,1,7,3,FRA,2.0,GITTO N,3 - 7,354,ITA,5:54
5m shot - Missed,9.0,1,7,3,FRA,2.0,MARZOUKI M,3 - 7,327,FRA,5:27
Turnover foul,11.0,1,7,3,FRA,2.0,AICARDI M,3 - 7,311,ITA,5:11
20 sec. exclusion in centre,2.0,1,7,3,FRA,2.0,di FULVIO F,3 - 7,287,ITA,4:47
Time-Out,,1,7,3,FRA,2.0,,3 - 7,287,FRA,4:47
Yellow card,,1,7,3,FRA,2.0,Team Official,3 - 7,287,FRA,4:47
Action shot - Goal,9.0,1,7,4,FRA,2.0,MARZOUKI M,4 - 7,265,FRA,4:25
20 sec. exclusion in centre,9.0,1,7,4,FRA,2.0,MARZOUKI M,4 - 7,246,FRA,4:06
Extra player shot - Goal,12.0,1,8,4,FRA,2.0,BERTOLI Z,4 - 8,238,ITA,3:58
Turnover foul,8.0,1,8,4,FRA,2.0,IZDINSKY M,4 - 8,219,FRA,3:39
Turnover foul,9.0,1,8,4,FRA,2.0,RENZUTO IODICE V,4 - 8,198,ITA,3:18
Steal,3.0,1,8,4,FRA,2.0,KOVACEVIC I,4 - 8,198,FRA,3:18
20 sec. exclusion in field,10.0,1,8,4,FRA,2.0,BODEGAS M,4 - 8,197,ITA,3:17
20 sec. exclusion in field,6.0,1,8,4,FRA,2.0,MIRARCHI C,4 - 8,177,ITA,2:57
Extra player shot - Goal,3.0,1,8,5,FRA,2.0,KOVACEVIC I,5 - 8,167,FRA,2:47
20 sec. exclusion in centre,5.0,1,8,5,FRA,2.0,GUILLAUME D,5 - 8,145,FRA,2:25
20 sec. exclusion in field,5.0,1,8,5,FRA,2.0,PRESCIUTTI N,5 - 8,125,ITA,2:05
Extra player shot - Saved,6.0,1,8,5,FRA,2.0,MIRARCHI C,5 - 8,125,ITA,2:05
Action shot - Saved,8.0,1,8,5,FRA,2.0,IZDINSKY M,5 - 8,99,FRA,1:39
Exclusion with substitution,5.0,1,8,5,FRA,4.0,GUILLAUME D,5 - 8,39,FRA,0:39
Time-Out,,1,8,5,FRA,4.0,,5 - 8,39,ITA,0:39
Time-Out,,1,8,5,FRA,2.0,,5 - 8,98,ITA,1:38
20 sec. exclusion in field,11.0,1,8,5,FRA,2.0,PEISSON M,5 - 8,87,FRA,1:27
Action shot - Saved,5.0,1,8,5,FRA,2.0,PRESCIUTTI N,5 - 8,64,ITA,1:04
Action shot - Saved,9.0,1,8,5,FRA,2.0,MARZOUKI M,5 - 8,39,FRA,0:39
20 sec. exclusion in centre,5.0,1,8,5,FRA,2.0,PRESCIUTTI N,5 - 8,21,ITA,0:21
Extra player shot - Goal,6.0,1,8,6,FRA,2.0,SIMON T,6 - 8,2,FRA,0:02
5m shot - Saved,4.0,1,8,6,FRA,2.0,FIGLIOLI P,6 - 8,1,ITA,0:01
Starting goalkeeper,1.0,1,8,6,FRA,3.0,GARSAU R,6 - 8,480,FRA,8:00
Starting goalkeeper,13.0,1,8,6,FRA,3.0,VOLAREVIC G,6 - 8,480,ITA,8:00
Sprint won possession,4.0,1,8,6,FRA,3.0,FIGLIOLI P,6 - 8,480,ITA,8:00
Action shot - Goal,8.0,1,9,6,FRA,3.0,FONDELLI A,6 - 9,453,ITA,7:33
5m shot - Saved,7.0,1,9,6,FRA,3.0,CROUSILLAT U,6 - 9,425,FRA,7:05
Turnover foul,2.0,1,9,6,FRA,3.0,SAUDADIER R,6 - 9,402,FRA,6:42
5m shot - Saved,8.0,1,9,6,FRA,3.0,FONDELLI A,6 - 9,374,ITA,6:14
5m shot - Saved,9.0,1,9,6,FRA,3.0,MARZOUKI M,6 - 9,343,FRA,5:43
Centre shot - Goal,2.0,1,10,6,FRA,3.0,di FULVIO F,6 - 10,325,ITA,5:25
5m shot - Goal,7.0,1,10,7,FRA,3.0,CROUSILLAT U,7 - 10,325,FRA,5:25
20 sec. exclusion in field,10.0,1,10,7,FRA,3.0,LAVERSANNE M,7 - 10,289,FRA,4:49
Extra player shot - Goal,11.0,1,11,7,FRA,3.0,AICARDI M,7 - 11,275,ITA,4:35
Turnover foul,12.0,1,11,7,FRA,3.0,CAMARASA A,7 - 11,250,FRA,4:10
5m shot - Saved,2.0,1,11,7,FRA,3.0,di FULVIO F,7 - 11,230,ITA,3:50
Time-Out,,1,11,7,FRA,3.0,,7 - 11,225,FRA,3:45
Action shot - Post,8.0,1,11,7,FRA,3.0,IZDINSKY M,7 - 11,197,FRA,3:17
Counter attack - Goal,2.0,1,12,7,FRA,3.0,di FULVIO F,7 - 12,188,ITA,3:08
Action shot - Saved,7.0,1,12,7,FRA,3.0,CROUSILLAT U,7 - 12,157,FRA,2:37
20 sec. exclusion in centre,7.0,1,12,7,FRA,3.0,CROUSILLAT U,7 - 12,141,FRA,2:21
Time-Out,,1,12,7,FRA,3.0,,7 - 12,141,ITA,2:21
Extra player shot - Goal,5.0,1,13,7,FRA,3.0,PRESCIUTTI N,7 - 13,122,ITA,2:02
Turnover foul,12.0,1,13,7,FRA,3.0,CAMARASA A,7 - 13,94,FRA,1:34
Steal,6.0,1,13,7,FRA,3.0,MIRARCHI C,7 - 13,94,ITA,1:34
Action shot - Goal,11.0,1,14,7,FRA,3.0,AICARDI M,7 - 14,75,ITA,1:15
Action shot - Missed,6.0,1,14,7,FRA,3.0,SIMON T,7 - 14,44,FRA,0:44
20 sec. exclusion in centre,6.0,1,14,7,FRA,3.0,SIMON T,7 - 14,28,FRA,0:28
Extra player shot - Goal,7.0,1,15,7,FRA,3.0,NORA A,7 - 15,11,ITA,0:11
5m shot - Saved,7.0,1,15,7,FRA,3.0,CROUSILLAT U,7 - 15,1,FRA,0:01
Starting goalkeeper,13.0,1,15,7,FRA,4.0,FONTANI H,7 - 15,480,FRA,8:00
Starting goalkeeper,13.0,1,15,7,FRA,4.0,VOLAREVIC G,7 - 15,480,ITA,8:00
Sprint won possession,2.0,1,15,7,FRA,4.0,di FULVIO F,7 - 15,480,ITA,8:00
5m shot - Saved,2.0,1,15,7,FRA,4.0,di FULVIO F,7 - 15,452,ITA,7:32
Centre shot - Saved,12.0,1,15,7,FRA,4.0,CAMARASA A,7 - 15,426,FRA,7:06
20 sec. exclusion in centre,3.0,1,15,7,FRA,4.0,KOVACEVIC I,7 - 15,398,FRA,6:38
Extra player shot - Saved,10.0,1,15,7,FRA,4.0,BODEGAS M,7 - 15,377,ITA,6:17
20 sec. exclusion in centre,5.0,1,15,7,FRA,4.0,GUILLAUME D,7 - 15,349,FRA,5:49
Extra player shot - Goal,10.0,1,16,7,FRA,4.0,BODEGAS M,7 - 16,347,ITA,5:47
Centre shot - Saved,2.0,1,16,7,FRA,4.0,di FULVIO F,7 - 16,303,ITA,5:03
Action shot - Saved,7.0,1,16,7,FRA,4.0,CROUSILLAT U,7 - 16,277,FRA,4:37
Counter attack - Goal,4.0,1,17,7,FRA,4.0,FIGLIOLI P,7 - 17,262,ITA,4:22
Goalkeeper substitution,1.0,1,17,7,FRA,4.0,TEMPESTI S,7 - 17,262,ITA,4:22
20 sec. exclusion in centre,3.0,1,17,7,FRA,4.0,GITTO N,7 - 17,246,ITA,4:06
Turnover foul,2.0,1,17,7,FRA,4.0,SAUDADIER R,7 - 17,216,FRA,3:36
Steal,9.0,1,17,7,FRA,4.0,RENZUTO IODICE V,7 - 17,216,ITA,3:36
Steal,13.0,1,17,7,FRA,4.0,FONTANI H,7 - 17,181,FRA,3:01
Turnover foul,11.0,1,17,7,FRA,4.0,PEISSON M,7 - 17,168,FRA,2:48
5m shot - Saved,11.0,1,17,7,FRA,4.0,AICARDI M,7 - 17,152,ITA,2:32
20 sec. exclusion in field,12.0,1,17,7,FRA,4.0,BERTOLI Z,7 - 17,137,ITA,2:17
Time-Out,,1,17,7,FRA,4.0,,7 - 17,136,FRA,2:16
Extra player shot - Goal,7.0,1,17,8,FRA,4.0,CROUSILLAT U,8 - 17,115,FRA,1:55
Action shot - Post,11.0,1,17,8,FRA,4.0,AICARDI M,8 - 17,92,ITA,1:32
20 sec. exclusion in field,8.0,1,17,8,FRA,4.0,FONDELLI A,8 - 17,74,ITA,1:14
Extra player shot - Goal,5.0,1,17,9,FRA,4.0,GUILLAUME D,9 - 17,52,FRA,0:52
20 sec. exclusion in field,5.0,1,17,9,FRA,4.0,GUILLAUME D,9 - 17,39,FRA,0:39
Extra player shot - Goal,10.0,1,18,9,FRA,4.0,BODEGAS M,9 - 18,20,ITA,0:20
Centre shot - Missed,2.0,1,18,9,FRA,4.0,SAUDADIER R,9 - 18,2,FRA,0:02
Starting goalkeeper,1.0,2,0,0,HUN,1.0,NAGY V,0 - 0,480,HUN,8:00
Starting goalkeeper,13.0,2,0,0,HUN,1.0,VOLAREVIC G,0 - 0,480,ITA,8:00
Sprint won possession,2.0,2,0,0,HUN,1.0,di FULVIO F,0 - 0,480,ITA,8:00
20 sec. exclusion in field,6.0,2,0,0,HUN,1.0,HOSNYANSZKY N,0 - 0,460,HUN,7:40
Extra player shot - Goal,7.0,2,1,0,HUN,1.0,NORA A,0 - 1,446,ITA,7:26
20 sec. exclusion in centre,3.0,2,1,0,HUN,1.0,GITTO N,0 - 1,429,ITA,7:09
Extra player shot - Saved,12.0,2,1,0,HUN,1.0,HARAI B,0 - 1,416,HUN,6:56
20 sec. exclusion in centre,8.0,2,1,0,HUN,1.0,GOR-NAGY M,0 - 1,398,HUN,6:38
Action shot - Goal,9.0,2,2,0,HUN,1.0,RENZUTO IODICE V,0 - 2,376,ITA,6:16
5m shot - Blocked,5.0,2,2,0,HUN,1.0,VAMOS M,0 - 2,357,HUN,5:57
20 sec. exclusion in centre,12.0,2,2,0,HUN,1.0,BERTOLI Z,0 - 2,348,ITA,5:48
20 sec. exclusion in centre,11.0,2,2,0,HUN,1.0,AICARDI M,0 - 2,332,ITA,5:32
Extra player shot - Goal,10.0,2,2,1,HUN,1.0,VARGA D,1 - 2,325,HUN,5:25
Action shot - Missed,7.0,2,2,1,HUN,1.0,NORA A,1 - 2,296,ITA,4:56
5m shot - Missed,10.0,2,2,1,HUN,1.0,VARGA D,1 - 2,285,HUN,4:45
Action shot - Missed,4.0,2,2,1,HUN,1.0,FIGLIOLI P,1 - 2,272,ITA,4:32
Action shot - Goal,5.0,2,2,2,HUN,1.0,VAMOS M,2 - 2,258,HUN,4:18
20 sec. exclusion in centre,2.0,2,2,2,HUN,1.0,TOROK B,2 - 2,238,HUN,3:58
Extra player shot - Goal,10.0,2,3,2,HUN,1.0,BODEGAS M,2 - 3,225,ITA,3:45
Centre shot - Goal,12.0,2,3,3,HUN,1.0,HARAI B,3 - 3,199,HUN,3:19
5m shot - Post,8.0,2,3,3,HUN,1.0,FONDELLI A,3 - 3,174,ITA,2:54
20 sec. exclusion in field,12.0,2,3,3,HUN,1.0,HARAI B,3 - 3,162,HUN,2:42
Extra player shot - Post,9.0,2,3,3,HUN,1.0,RENZUTO IODICE V,3 - 3,149,ITA,2:29
5m shot - Missed,3.0,2,3,3,HUN,1.0,MANHERCZ K,3 - 3,120,HUN,2:00
Action shot - Goal,2.0,2,4,3,HUN,1.0,di FULVIO F,3 - 4,104,ITA,1:44
5m shot - Saved,10.0,2,4,3,HUN,1.0,VARGA D,3 - 4,73,HUN,1:13
20 sec. exclusion in centre,7.0,2,4,3,HUN,1.0,DECKER A,3 - 4,46,HUN,0:46
Time-Out,,2,4,3,HUN,1.0,,3 - 4,45,ITA,0:45
Action shot - Missed,7.0,2,4,3,HUN,1.0,NORA A,3 - 4,24,ITA,0:24
Time-Out,,2,4,3,HUN,1.0,,3 - 4,24,HUN,0:24
20 sec. exclusion in centre,3.0,2,4,3,HUN,1.0,GITTO N,3 - 4,13,ITA,0:13
Extra player shot - Goal,4.0,2,4,4,HUN,1.0,ZALANKI G,4 - 4,7,HUN,0:07
5m shot - Missed,10.0,2,4,4,HUN,1.0,BODEGAS M,4 - 4,1,ITA,0:01
Starting goalkeeper,1.0,2,4,4,HUN,2.0,NAGY V,4 - 4,480,HUN,8:00
Starting goalkeeper,13.0,2,4,4,HUN,2.0,VOLAREVIC G,4 - 4,480,ITA,8:00
Sprint won possession,4.0,2,4,4,HUN,2.0,FIGLIOLI P,4 - 4,480,ITA,8:00
20 sec. exclusion in centre,8.0,2,4,4,HUN,2.0,GOR-NAGY M,4 - 4,453,HUN,7:33
Action shot - Goal,9.0,2,5,4,HUN,2.0,RENZUTO IODICE V,4 - 5,431,ITA,7:11
5m shot - Saved,9.0,2,5,4,HUN,2.0,ERDELYI B,4 - 5,405,HUN,6:45
Penalty foul,6.0,2,5,4,HUN,2.0,MIRARCHI C,4 - 5,404,ITA,6:44
Penalty shot - Goal,10.0,2,5,5,HUN,2.0,VARGA D,5 - 5,404,HUN,6:44
Action shot - Blocked,2.0,2,5,5,HUN,2.0,di FULVIO F,5 - 5,375,ITA,6:15
Turnover foul,5.0,2,5,5,HUN,2.0,VAMOS M,5 - 5,356,HUN,5:56
Steal,2.0,2,5,5,HUN,2.0,di FULVIO F,5 - 5,356,ITA,5:56
20 sec. exclusion in centre,11.0,2,5,5,HUN,2.0,MEZEI T,5 - 5,338,HUN,5:38
Action shot - Saved,5.0,2,5,5,HUN,2.0,PRESCIUTTI N,5 - 5,317,ITA,5:17
Turnover foul,6.0,2,5,5,HUN,2.0,MIRARCHI C,5 - 5,295,ITA,4:55
20 sec. exclusion in centre,5.0,2,5,5,HUN,2.0,PRESCIUTTI N,5 - 5,274,ITA,4:34
Time-Out,,2,5,5,HUN,2.0,,5 - 5,273,HUN,4:33
Extra player shot - Goal,10.0,2,5,6,HUN,2.0,VARGA D,6 - 5,255,HUN,4:15
5m shot - Saved,4.0,2,5,6,HUN,2.0,FIGLIOLI P,6 - 5,226,ITA,3:46
Turnover foul,10.0,2,5,6,HUN,2.0,VARGA D,6 - 5,195,HUN,3:15
Steal,8.0,2,5,6,HUN,2.0,FONDELLI A,6 - 5,195,ITA,3:15
Turnover foul,11.0,2,5,6,HUN,2.0,AICARDI M,6 - 5,176,ITA,2:56
Steal,1.0,2,5,6,HUN,2.0,NAGY V,6 - 5,176,HUN,2:56
Turnover foul,2.0,2,5,6,HUN,2.0,TOROK B,6 - 5,151,HUN,2:31
5m shot - Missed,8.0,2,5,6,HUN,2.0,FONDELLI A,6 - 5,127,ITA,2:07
Turnover foul,10.0,2,5,6,HUN,2.0,VARGA D,6 - 5,113,HUN,1:53
Turnover foul,2.0,2,5,6,HUN,2.0,di FULVIO F,6 - 5,92,ITA,1:32
Steal,6.0,2,5,6,HUN,2.0,HOSNYANSZKY N,6 - 5,92,HUN,1:32
Exclusion with substitution,8.0,2,5,6,HUN,2.0,FONDELLI A,6 - 5,80,ITA,1:20
Extra player shot - Goal,6.0,2,9,7,HUN,4.0,MIRARCHI C,7 - 9,245,ITA,4:05
20 sec. exclusion in centre,12.0,2,9,7,HUN,4.0,BERTOLI Z,7 - 9,234,ITA,3:54
Exclusion with substitution,12.0,2,9,7,HUN,4.0,BERTOLI Z,7 - 9,234,ITA,3:54
20 sec. exclusion in centre,5.0,2,9,7,HUN,4.0,PRESCIUTTI N,7 - 9,231,ITA,3:51
Extra player shot - Goal,5.0,2,9,8,HUN,4.0,VAMOS M,8 - 9,216,HUN,3:36
Turnover foul,11.0,2,9,8,HUN,4.0,AICARDI M,8 - 9,204,ITA,3:24
Steal,1.0,2,9,8,HUN,4.0,NAGY V,8 - 9,204,HUN,3:24
Counter attack - Saved,4.0,2,9,8,HUN,4.0,ZALANKI G,8 - 9,192,HUN,3:12
Double exclusion,6.0,2,9,8,HUN,4.0,MIRARCHI C,8 - 9,155,ITA,2:35
Double exclusion,5.0,2,9,8,HUN,4.0,VAMOS M,8 - 9,155,HUN,2:35
20 sec. exclusion in centre,10.0,2,9,8,HUN,4.0,BODEGAS M,8 - 9,145,ITA,2:25
Exclusion with substitution,12.0,2,9,8,HUN,2.0,HARAI B,8 - 9,80,HUN,1:20
20 sec. exclusion in centre,11.0,2,9,8,HUN,2.0,AICARDI M,8 - 9,68,ITA,1:08
Extra player shot - Blocked,5.0,2,9,8,HUN,2.0,VAMOS M,8 - 9,59,HUN,0:59
20 sec. exclusion in field,10.0,2,9,8,HUN,2.0,VARGA D,8 - 9,47,HUN,0:47
Time-Out,,2,9,8,HUN,2.0,,8 - 9,47,ITA,0:47
5m shot - Saved,2.0,2,9,8,HUN,2.0,di FULVIO F,8 - 9,22,ITA,0:22
5m shot - Post,2.0,2,9,8,HUN,2.0,di FULVIO F,8 - 9,8,ITA,0:08
Starting goalkeeper,1.0,2,9,8,HUN,3.0,NAGY V,8 - 9,480,HUN,8:00
Starting goalkeeper,1.0,2,9,8,HUN,3.0,TEMPESTI S,8 - 9,480,ITA,8:00
Sprint won possession,4.0,2,9,8,HUN,3.0,FIGLIOLI P,8 - 9,480,ITA,8:00
Turnover foul,7.0,2,9,8,HUN,3.0,NORA A,8 - 9,454,ITA,7:34
Steal,11.0,2,9,8,HUN,3.0,MEZEI T,8 - 9,454,HUN,7:34
Action shot - Saved,3.0,2,9,8,HUN,3.0,MANHERCZ K,8 - 9,441,HUN,7:21
20 sec. exclusion in centre,12.0,2,9,8,HUN,3.0,BERTOLI Z,8 - 9,424,ITA,7:04
Action shot - Goal,3.0,2,5,7,HUN,3.0,MANHERCZ K,7 - 5,403,HUN,6:43
20 sec. exclusion in centre,2.0,2,5,7,HUN,3.0,TOROK B,7 - 5,389,HUN,6:29
Yellow card,,2,5,7,HUN,3.0,Team Official,7 - 5,389,HUN,6:29
Turnover foul,2.0,2,5,7,HUN,3.0,di FULVIO F,7 - 5,366,ITA,6:06
Steal,4.0,2,5,7,HUN,3.0,ZALANKI G,7 - 5,366,HUN,6:06
5m shot - Missed,4.0,2,5,7,HUN,3.0,ZALANKI G,7 - 5,347,HUN,5:47
20 sec. exclusion in field,5.0,2,5,7,HUN,3.0,VAMOS M,7 - 5,336,HUN,5:36
Extra player shot - Goal,9.0,2,6,7,HUN,3.0,RENZUTO IODICE V,7 - 6,321,ITA,5:21
5m shot - Blocked,10.0,2,6,7,HUN,3.0,VARGA D,7 - 6,292,HUN,4:52
20 sec. exclusion in field,4.0,2,6,7,HUN,3.0,ZALANKI G,7 - 6,292,HUN,4:52
Time-Out,,2,6,7,HUN,3.0,,7 - 6,292,ITA,4:52
Extra player shot - Missed,10.0,2,6,7,HUN,3.0,BODEGAS M,7 - 6,276,ITA,4:36
20 sec. exclusion in centre,9.0,2,6,7,HUN,3.0,RENZUTO IODICE V,7 - 6,254,ITA,4:14
Extra player shot - Post,5.0,2,6,7,HUN,3.0,VAMOS M,7 - 6,234,HUN,3:54
Action shot - Goal,2.0,2,7,7,HUN,3.0,di FULVIO F,7 - 7,205,ITA,3:25
20 sec. exclusion in field,9.0,2,7,7,HUN,3.0,RENZUTO IODICE V,7 - 7,192,ITA,3:12
Time-Out,,2,7,7,HUN,3.0,,7 - 7,192,HUN,3:12
Turnover foul,4.0,2,7,7,HUN,3.0,ZALANKI G,7 - 7,166,HUN,2:46
Steal,11.0,2,7,7,HUN,3.0,AICARDI M,7 - 7,166,ITA,2:46
5m shot - Missed,2.0,2,7,7,HUN,3.0,di FULVIO F,7 - 7,141,ITA,2:21
5m shot - Blocked,2.0,2,7,7,HUN,3.0,TOROK B,7 - 7,127,HUN,2:07
5m shot - Saved,2.0,2,7,7,HUN,3.0,TOROK B,7 - 7,103,HUN,1:43
20 sec. exclusion in field,9.0,2,7,7,HUN,3.0,RENZUTO IODICE V,7 - 7,83,ITA,1:23
Exclusion with substitution,9.0,2,7,7,HUN,3.0,RENZUTO IODICE V,7 - 7,83,ITA,1:23
Extra player shot - Saved,10.0,2,7,7,HUN,3.0,VARGA D,7 - 7,77,HUN,1:17
Extra player shot - Blocked,5.0,2,7,7,HUN,3.0,VAMOS M,7 - 7,62,HUN,1:02
Turnover foul,11.0,2,7,7,HUN,3.0,MEZEI T,7 - 7,53,HUN,0:53
Turnover foul,11.0,2,7,7,HUN,3.0,AICARDI M,7 - 7,43,ITA,0:43
Steal,9.0,2,7,7,HUN,3.0,ERDELYI B,7 - 7,43,HUN,0:43
Counter attack - Missed,9.0,2,7,7,HUN,3.0,ERDELYI B,7 - 7,33,HUN,0:33
20 sec. exclusion in field,4.0,2,7,7,HUN,3.0,ZALANKI G,7 - 7,11,HUN,0:11
Extra player shot - Goal,5.0,2,8,7,HUN,3.0,PRESCIUTTI N,7 - 8,3,ITA,0:03
5m shot - Saved,5.0,2,8,7,HUN,3.0,VAMOS M,7 - 8,1,HUN,0:01
Starting goalkeeper,1.0,2,8,7,HUN,4.0,NAGY V,7 - 8,480,HUN,8:00
Starting goalkeeper,1.0,2,8,7,HUN,4.0,TEMPESTI S,7 - 8,480,ITA,8:00
Sprint won possession,4.0,2,8,7,HUN,4.0,FIGLIOLI P,7 - 8,480,ITA,8:00
5m shot - Missed,2.0,2,8,7,HUN,4.0,di FULVIO F,7 - 8,454,ITA,7:34
Turnover foul,8.0,2,8,7,HUN,4.0,GOR-NAGY M,7 - 8,428,HUN,7:08
5m shot - Saved,10.0,2,8,7,HUN,4.0,BODEGAS M,7 - 8,401,ITA,6:41
Turnover foul,5.0,2,8,7,HUN,4.0,VAMOS M,7 - 8,372,HUN,6:12
Turnover foul,3.0,2,8,7,HUN,4.0,GITTO N,7 - 8,345,ITA,5:45
Steal,8.0,2,8,7,HUN,4.0,GOR-NAGY M,7 - 8,345,HUN,5:45
Turnover foul,5.0,2,8,7,HUN,4.0,VAMOS M,7 - 8,325,HUN,5:25
5m shot - Saved,5.0,2,8,7,HUN,4.0,PRESCIUTTI N,7 - 8,300,ITA,5:00
20 sec. exclusion in centre,8.0,2,8,7,HUN,4.0,GOR-NAGY M,7 - 8,272,HUN,4:32
Exclusion with substitution,8.0,2,8,7,HUN,4.0,GOR-NAGY M,7 - 8,272,HUN,4:32
20 sec. exclusion in field,11.0,2,8,7,HUN,4.0,MEZEI T,7 - 8,258,HUN,4:18
Time-Out,,2,8,7,HUN,4.0,,7 - 8,139,HUN,2:19
Extra player shot - Goal,5.0,2,9,9,HUN,4.0,VAMOS M,9 - 9,135,HUN,2:15
20 sec. exclusion in centre,2.0,2,9,9,HUN,4.0,TOROK B,9 - 9,119,HUN,1:59
Exclusion with substitution,2.0,2,9,9,HUN,4.0,TOROK B,9 - 9,119,HUN,1:59
Time-Out,,2,9,9,HUN,4.0,,9 - 9,119,ITA,1:59
Action shot - Saved,7.0,2,9,9,HUN,4.0,NORA A,9 - 9,93,ITA,1:33
5m shot - Blocked,3.0,2,9,9,HUN,4.0,GITTO N,9 - 9,40,ITA,0:40
Turnover foul,4.0,2,9,9,HUN,4.0,ZALANKI G,9 - 9,20,HUN,0:20
Steal,4.0,2,9,9,HUN,4.0,FIGLIOLI P,9 - 9,20,ITA,0:20
Double exclusion,10.0,2,9,9,HUN,4.0,VARGA D,9 - 9,3,HUN,0:03
Double exclusion,2.0,2,9,9,HUN,4.0,di FULVIO F,9 - 9,3,ITA,0:03
Starting goalkeeper,1.0,3,0,0,AUS,1.0,SLADE E,0 - 0,480,AUS,8:00
Starting goalkeeper,13.0,3,0,0,AUS,1.0,VOLAREVIC G,0 - 0,480,ITA,8:00
Sprint won possession,2.0,3,0,0,AUS,1.0,di FULVIO F,0 - 0,480,ITA,8:00
