Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,9.0,1,1,0,FRA,1.0,RENZUTO IODICE V,0 - 1,422,ITA,7:02,Goal,1
Action shot,9.0,1,2,0,FRA,1.0,RENZUTO IODICE V,0 - 2,351,ITA,5:51,Goal,1
5m shot,7.0,1,2,0,FRA,1.0,CROUSILLAT U,0 - 2,326,FRA,5:26,Post,0
5m shot,2.0,1,3,0,FRA,1.0,di FULVIO F,0 - 3,269,ITA,4:29,Goal,1
Extra player shot,5.0,1,3,1,FRA,1.0,GUILLAUME D,1 - 3,230,FRA,3:50,Goal,1
Extra player shot,6.0,1,3,1,FRA,1.0,SIMON T,1 - 3,190,FRA,3:10,Saved,0
Counter attack,4.0,1,4,1,FRA,1.0,FIGLIOLI P,1 - 4,157,ITA,2:37,Goal,1
Action shot,9.0,1,4,1,FRA,1.0,MARZOUKI M,1 - 4,79,FRA,1:19,Saved,0
Counter attack,2.0,1,5,1,FRA,1.0,di FULVIO F,1 - 5,67,ITA,1:07,Goal,1
5m shot,7.0,1,5,1,FRA,1.0,CROUSILLAT U,1 - 5,36,FRA,0:36,Post,0
Penalty shot,7.0,1,5,2,FRA,1.0,CROUSILLAT U,2 - 5,28,FRA,0:28,Goal,1
5m shot,7.0,1,5,2,FRA,2.0,CROUSILLAT U,2 - 5,436,FRA,7:16,Saved,0
5m shot,2.0,1,6,2,FRA,2.0,di FULVIO F,2 - 6,412,ITA,6:52,Goal,1
Extra player shot,9.0,1,6,3,FRA,2.0,MARZOUKI M,3 - 6,384,FRA,6:24,Goal,1
Extra player shot,3.0,1,7,3,FRA,2.0,GITTO N,3 - 7,354,ITA,5:54,Goal,1
5m shot,9.0,1,7,3,FRA,2.0,MARZOUKI M,3 - 7,327,FRA,5:27,Missed,0
Action shot,9.0,1,7,4,FRA,2.0,MARZOUKI M,4 - 7,265,FRA,4:25,Goal,1
Extra player shot,12.0,1,8,4,FRA,2.0,BERTOLI Z,4 - 8,238,ITA,3:58,Goal,1
Extra player shot,3.0,1,8,5,FRA,2.0,KOVACEVIC I,5 - 8,167,FRA,2:47,Goal,1
Extra player shot,6.0,1,8,5,FRA,2.0,MIRARCHI C,5 - 8,125,ITA,2:05,Saved,0
Action shot,8.0,1,8,5,FRA,2.0,IZDINSKY M,5 - 8,99,FRA,1:39,Saved,0
Action shot,5.0,1,8,5,FRA,2.0,PRESCIUTTI N,5 - 8,64,ITA,1:04,Saved,0
Action shot,9.0,1,8,5,FRA,2.0,MARZOUKI M,5 - 8,39,FRA,0:39,Saved,0
Extra player shot,6.0,1,8,6,FRA,2.0,SIMON T,6 - 8,2,FRA,0:02,Goal,1
5m shot,4.0,1,8,6,FRA,2.0,FIGLIOLI P,6 - 8,1,ITA,0:01,Saved,0
Action shot,8.0,1,9,6,FRA,3.0,FONDELLI A,6 - 9,453,ITA,7:33,Goal,1
5m shot,7.0,1,9,6,FRA,3.0,CROUSILLAT U,6 - 9,425,FRA,7:05,Saved,0
5m shot,8.0,1,9,6,FRA,3.0,FONDELLI A,6 - 9,374,ITA,6:14,Saved,0
5m shot,9.0,1,9,6,FRA,3.0,MARZOUKI M,6 - 9,343,FRA,5:43,Saved,0
Centre shot,2.0,1,10,6,FRA,3.0,di FULVIO F,6 - 10,325,ITA,5:25,Goal,1
5m shot,7.0,1,10,7,FRA,3.0,CROUSILLAT U,7 - 10,325,FRA,5:25,Goal,1
Extra player shot,11.0,1,11,7,FRA,3.0,AICARDI M,7 - 11,275,ITA,4:35,Goal,1
5m shot,2.0,1,11,7,FRA,3.0,di FULVIO F,7 - 11,230,ITA,3:50,Saved,0
Action shot,8.0,1,11,7,FRA,3.0,IZDINSKY M,7 - 11,197,FRA,3:17,Post,0
Counter attack,2.0,1,12,7,FRA,3.0,di FULVIO F,7 - 12,188,ITA,3:08,Goal,1
Action shot,7.0,1,12,7,FRA,3.0,CROUSILLAT U,7 - 12,157,FRA,2:37,Saved,0
Extra player shot,5.0,1,13,7,FRA,3.0,PRESCIUTTI N,7 - 13,122,ITA,2:02,Goal,1
Action shot,11.0,1,14,7,FRA,3.0,AICARDI M,7 - 14,75,ITA,1:15,Goal,1
Action shot,6.0,1,14,7,FRA,3.0,SIMON T,7 - 14,44,FRA,0:44,Missed,0
Extra player shot,7.0,1,15,7,FRA,3.0,NORA A,7 - 15,11,ITA,0:11,Goal,1
