Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,2.0,0,1,12,NED,4.0,MILLOT E,12 - 0,123,FRA,2:03
Steal,5.0,0,1,12,NED,4.0,GENEE A,12 - 0,123,NED,2:03
20 sec. exclusion in centre,3.0,0,1,12,NED,2.0,BACHELIER L,12 - 0,11,FRA,0:11
Extra player shot - Saved,3.0,0,1,12,NED,2.0,GENEE D,12 - 0,1,NED,0:01
Starting goalkeeper,13.0,0,1,12,NED,3.0,WILLEMSZ D,12 - 0,480,NED,8:00
Starting goalkeeper,1.0,0,1,12,NED,3.0,COUNIL L,12 - 0,480,FRA,8:00
Sprint won possession,4.0,0,1,12,NED,3.0,van der SLOOT S,12 - 0,480,NED,8:00
Turnover foul,11.0,0,1,12,NED,3.0,KLAASSEN L,12 - 0,451,NED,7:31
Steal,9.0,0,1,12,NED,3.0,SACRE A,12 - 0,451,FRA,7:31
Action shot - Goal,11.0,0,1,13,NED,3.0,KLAASSEN L,13 - 0,406,NED,6:46
Turnover foul,6.0,0,1,13,NED,3.0,MAHIEU G,13 - 0,384,FRA,6:24
20 sec. exclusion in field,6.0,0,1,13,NED,3.0,STOMPHORST N,13 - 0,355,NED,5:55
Action shot - Goal,2.0,1,1,13,NED,3.0,MILLOT E,13 - 1,334,FRA,5:34
Action shot - Goal,5.0,1,1,14,NED,3.0,GENEE A,14 - 1,317,NED,5:17
20 sec. exclusion in centre,11.0,1,1,14,NED,3.0,KLAASSEN L,14 - 1,298,NED,4:58
Extra player shot - Saved,7.0,1,1,14,NED,3.0,VALVERDE C,14 - 1,283,FRA,4:43
20 sec. exclusion in centre,2.0,1,1,14,NED,3.0,SMIT Y,14 - 1,265,NED,4:25
5m shot - Missed,3.0,1,1,14,NED,3.0,BACHELIER L,14 - 1,262,FRA,4:22
20 sec. exclusion in centre,10.0,1,1,14,NED,3.0,DESCHAMPT Y,14 - 1,243,FRA,4:03
5m shot - Saved,9.0,1,1,14,NED,3.0,MEGENS M,14 - 1,228,NED,3:48
Turnover foul,10.0,1,1,14,NED,3.0,KOOLHAAS I,14 - 1,176,NED,2:56
Steal,3.0,1,1,14,NED,3.0,BACHELIER L,14 - 1,176,FRA,2:56
5m shot - Saved,7.0,1,1,14,NED,3.0,VALVERDE C,14 - 1,148,FRA,2:28
Turnover foul,9.0,1,1,14,NED,3.0,MEGENS M,14 - 1,131,NED,2:11
5m shot - Saved,4.0,1,1,14,NED,3.0,SACRE A,14 - 1,104,FRA,1:44
Turnover foul,10.0,1,1,14,NED,3.0,KOOLHAAS I,14 - 1,84,NED,1:24
Steal,4.0,1,1,14,NED,3.0,SACRE A,14 - 1,84,FRA,1:24
20 sec. exclusion in centre,7.0,1,1,14,NED,3.0,NIJHUIS M,14 - 1,58,NED,0:58
Time-Out,,1,1,14,NED,3.0,,14 - 1,58,FRA,0:58
Turnover foul,2.0,1,1,14,NED,3.0,MILLOT E,14 - 1,47,FRA,0:47
Steal,4.0,1,1,14,NED,3.0,van der SLOOT S,14 - 1,47,NED,0:47
5m shot - Post,7.0,1,1,14,NED,3.0,NIJHUIS M,14 - 1,23,NED,0:23
Action shot - Missed,12.0,1,1,14,NED,3.0,DAULE A,14 - 1,4,FRA,0:04
Time-Out,,1,1,14,NED,3.0,,14 - 1,4,NED,0:04
20 sec. exclusion in centre,3.0,1,1,14,NED,3.0,BACHELIER L,14 - 1,1,FRA,0:01
Exclusion with substitution,3.0,1,1,14,NED,3.0,BACHELIER L,14 - 1,1,FRA,0:01
Penalty shot - Goal,4.0,1,1,15,NED,3.0,van der SLOOT S,15 - 1,1,NED,0:01
Starting goalkeeper,1.0,1,1,15,NED,4.0,AARTS L,15 - 1,480,NED,8:00
Starting goalkeeper,1.0,1,1,15,NED,4.0,COUNIL L,15 - 1,480,FRA,8:00
Sprint won possession,4.0,1,1,15,NED,4.0,van der SLOOT S,15 - 1,480,NED,8:00
Turnover foul,2.0,1,1,15,NED,4.0,SMIT Y,15 - 1,464,NED,7:44
Steal,8.0,1,1,15,NED,4.0,BATTU A,15 - 1,464,FRA,7:44
5m shot - Blocked,12.0,1,1,15,NED,4.0,DAULE A,15 - 1,434,FRA,7:14
5m shot - Post,3.0,1,1,15,NED,4.0,GENEE D,15 - 1,419,NED,6:59
5m shot - Saved,2.0,1,1,15,NED,4.0,MILLOT E,15 - 1,389,FRA,6:29
20 sec. exclusion in field,6.0,1,1,15,NED,4.0,MAHIEU G,15 - 1,382,FRA,6:22
Action shot - Goal,9.0,1,1,16,NED,4.0,MEGENS M,16 - 1,361,NED,6:01
5m shot - Blocked,9.0,1,1,16,NED,4.0,SACRE A,16 - 1,331,FRA,5:31
5m shot - Post,7.0,1,1,16,NED,4.0,VALVERDE C,16 - 1,305,FRA,5:05
Turnover foul,8.0,1,1,16,NED,4.0,SEVENICH V,16 - 1,297,NED,4:57
Steal,9.0,1,1,16,NED,4.0,MEGENS M,16 - 1,297,NED,4:57
20 sec. exclusion in field,10.0,1,1,16,NED,4.0,DESCHAMPT Y,16 - 1,290,FRA,4:50
Turnover foul,4.0,1,1,16,NED,4.0,van der SLOOT S,16 - 1,281,NED,4:41
Steal,11.0,1,1,16,NED,4.0,BARBIEUX M,16 - 1,281,FRA,4:41
Turnover foul,9.0,1,1,16,NED,4.0,SACRE A,16 - 1,254,FRA,4:14
Steal,6.0,1,1,16,NED,4.0,STOMPHORST N,16 - 1,254,NED,4:14
