Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Centre shot - Post,6.0,1,3,2,JPN,1.0,YAMAMOTO M,2 - 1,344,JPN,5:44
20 sec. exclusion in centre,11.0,1,3,2,JPN,1.0,TOKUMOTO M,2 - 1,325,JPN,5:25
Extra player shot - Goal,11.0,2,3,2,JPN,1.0,BARBIEUX M,2 - 2,318,FRA,5:18
5m shot - Post,2.0,2,3,2,JPN,1.0,ARIMA Y,2 - 2,301,JPN,5:01
Turnover foul,12.0,2,3,2,JPN,1.0,DAULE A,2 - 2,284,FRA,4:44
Steal,5.0,2,3,2,JPN,1.0,SAKANOUE C,2 - 2,284,JPN,4:44
Turnover foul,7.0,2,3,2,JPN,1.0,INABA A,2 - 2,270,JPN,4:30
Steal,1.0,2,3,2,JPN,1.0,COUNIL L,2 - 2,270,FRA,4:30
Turnover foul,7.0,2,3,2,JPN,1.0,VALVERDE C,2 - 2,246,FRA,4:06
Steal,5.0,2,3,2,JPN,1.0,SAKANOUE C,2 - 2,246,JPN,4:06
20 sec. exclusion in field,11.0,2,3,2,JPN,1.0,BARBIEUX M,2 - 2,237,FRA,3:57
Extra player shot - Post,10.0,2,3,2,JPN,1.0,NORO M,2 - 2,225,JPN,3:45
Turnover foul,6.0,2,3,2,JPN,1.0,MAHIEU G,2 - 2,193,FRA,3:13
Steal,7.0,2,3,2,JPN,1.0,INABA A,2 - 2,193,JPN,3:13
Turnover foul,5.0,2,3,2,JPN,1.0,SAKANOUE C,2 - 2,192,JPN,3:12
Turnover foul,7.0,2,3,2,JPN,1.0,VALVERDE C,2 - 2,163,FRA,2:43
Action shot - Missed,12.0,2,3,2,JPN,1.0,SUZUKI K,2 - 2,149,JPN,2:29
Action shot - Saved,7.0,2,3,2,JPN,1.0,VALVERDE C,2 - 2,130,FRA,2:10
Counter attack - Goal,7.0,2,3,3,JPN,1.0,INABA A,3 - 2,117,JPN,1:57
Turnover foul,2.0,2,3,3,JPN,1.0,MILLOT E,3 - 2,98,FRA,1:38
Steal,4.0,2,3,3,JPN,1.0,MAGARIYAMA S,3 - 2,98,JPN,1:38
5m shot - Post,2.0,2,3,3,JPN,1.0,ARIMA Y,3 - 2,84,JPN,1:24
Turnover foul,2.0,2,3,3,JPN,1.0,MILLOT E,3 - 2,56,FRA,0:56
Steal,12.0,2,3,3,JPN,1.0,SUZUKI K,3 - 2,56,JPN,0:56
Action shot - Saved,3.0,2,3,3,JPN,1.0,KAZAMA Y,3 - 2,36,JPN,0:36
20 sec. exclusion in centre,2.0,2,3,3,JPN,1.0,ARIMA Y,3 - 2,14,JPN,0:14
Time-Out,,2,3,3,JPN,1.0,,3 - 2,14,FRA,0:14
Extra player shot - Goal,5.0,3,3,3,JPN,1.0,GUILLET L,3 - 3,1,FRA,0:01
Starting goalkeeper,13.0,3,3,3,JPN,2.0,SHIOYA M,3 - 3,480,JPN,8:00
Starting goalkeeper,1.0,3,3,3,JPN,2.0,COUNIL L,3 - 3,480,FRA,8:00
Sprint won possession,12.0,3,3,3,JPN,2.0,DAULE A,3 - 3,480,FRA,8:00
Action shot - Saved,7.0,3,3,3,JPN,2.0,INABA A,3 - 3,451,JPN,7:31
5m shot - Saved,7.0,3,3,3,JPN,2.0,VALVERDE C,3 - 3,425,FRA,7:05
5m shot - Missed,10.0,3,3,3,JPN,2.0,NORO M,3 - 3,401,JPN,6:41
20 sec. exclusion in centre,11.0,3,3,3,JPN,2.0,TOKUMOTO M,3 - 3,374,JPN,6:14
Extra player shot - Goal,12.0,4,3,3,JPN,2.0,DAULE A,3 - 4,368,FRA,6:08
Turnover foul,8.0,4,3,3,JPN,2.0,NIIZAWA Y,3 - 4,350,JPN,5:50
Steal,9.0,4,3,3,JPN,2.0,SACRE A,3 - 4,350,FRA,5:50
20 sec. exclusion in centre,6.0,4,3,3,JPN,2.0,YAMAMOTO M,3 - 4,333,JPN,5:33
Extra player shot - Goal,2.0,5,3,3,JPN,2.0,MILLOT E,3 - 5,313,FRA,5:13
Turnover foul,12.0,5,3,3,JPN,2.0,SUZUKI K,3 - 5,297,JPN,4:57
Steal,3.0,5,3,3,JPN,2.0,BACHELIER L,3 - 5,297,FRA,4:57
Goalkeeper substitution,1.0,5,3,3,JPN,2.0,COUNIL L,3 - 5,285,FRA,4:45
Centre shot - Missed,6.0,5,3,3,JPN,2.0,MAHIEU G,3 - 5,269,FRA,4:29
20 sec. exclusion in field,6.0,5,3,3,JPN,2.0,MAHIEU G,3 - 5,266,FRA,4:26
5m shot - Post,7.0,5,3,3,JPN,2.0,INABA A,3 - 5,240,JPN,4:00
Action shot - Saved,5.0,5,3,3,JPN,2.0,GUILLET L,3 - 5,209,FRA,3:29
Action shot - Saved,5.0,5,3,3,JPN,2.0,SAKANOUE C,3 - 5,195,JPN,3:15
Turnover foul,4.0,5,3,3,JPN,2.0,SACRE A,3 - 5,161,FRA,2:41
Steal,7.0,5,3,3,JPN,2.0,INABA A,3 - 5,161,JPN,2:41
Turnover foul,4.0,5,3,3,JPN,2.0,MAGARIYAMA S,3 - 5,147,JPN,2:27
Turnover foul,7.0,5,3,3,JPN,2.0,INABA A,3 - 5,103,JPN,1:43
Counter attack - Post,7.0,5,3,3,JPN,4.0,INABA A,3 - 5,311,JPN,5:11
Turnover foul,5.0,5,3,3,JPN,4.0,GUILLET L,3 - 5,294,FRA,4:54
Steal,5.0,5,3,3,JPN,4.0,SAKANOUE C,3 - 5,294,JPN,4:54
Penalty foul,12.0,5,3,3,JPN,4.0,DAULE A,3 - 5,284,FRA,4:44
Yellow card,,5,3,3,JPN,4.0,Team Official,3 - 5,284,JPN,4:44
Penalty shot - Saved,2.0,5,3,3,JPN,4.0,ARIMA Y,3 - 5,284,JPN,4:44
5m shot - Post,2.0,5,3,3,JPN,4.0,MILLOT E,3 - 5,259,FRA,4:19
Counter attack - Goal,6.0,8,3,8,JPN,4.0,YAMAMOTO M,8 - 8,242,JPN,4:02
Action shot - Blocked,12.0,8,3,8,JPN,4.0,SUZUKI K,8 - 8,203,JPN,3:23
Steal,5.0,8,3,8,JPN,2.0,GUILLET L,8 - 8,103,FRA,1:43
Penalty foul,5.0,8,3,8,JPN,2.0,SAKANOUE C,8 - 8,85,JPN,1:25
Penalty shot - Goal,2.0,6,3,3,JPN,2.0,MILLOT E,3 - 6,85,FRA,1:25
Time-Out,,6,3,3,JPN,2.0,,3 - 6,85,JPN,1:25
5m shot - Saved,2.0,6,3,3,JPN,2.0,ARIMA Y,3 - 6,61,JPN,1:01
Turnover foul,12.0,6,3,3,JPN,2.0,DAULE A,3 - 6,37,FRA,0:37
Steal,13.0,6,3,3,JPN,2.0,SHIOYA M,3 - 6,37,JPN,0:37
20 sec. exclusion in field,7.0,6,3,3,JPN,2.0,VALVERDE C,3 - 6,35,FRA,0:35
Extra player shot - Saved,7.0,6,3,3,JPN,2.0,INABA A,3 - 6,20,JPN,0:20
Time-Out,,6,3,3,JPN,2.0,,3 - 6,16,FRA,0:16
Turnover foul,3.0,6,3,3,JPN,2.0,BACHELIER L,3 - 6,8,FRA,0:08
Starting goalkeeper,13.0,6,3,3,JPN,3.0,SHIOYA M,3 - 6,480,JPN,8:00
Starting goalkeeper,1.0,6,3,3,JPN,3.0,COUNIL L,3 - 6,480,FRA,8:00
Sprint won possession,12.0,6,3,3,JPN,3.0,DAULE A,3 - 6,480,FRA,8:00
Turnover foul,2.0,6,3,3,JPN,3.0,MILLOT E,3 - 6,451,FRA,7:31
Turnover foul,10.0,6,3,3,JPN,3.0,NORO M,3 - 6,438,JPN,7:18
Steal,5.0,6,3,3,JPN,3.0,GUILLET L,3 - 6,438,FRA,7:18
Turnover foul,1.0,6,3,3,JPN,3.0,COUNIL L,3 - 6,426,FRA,7:06
Steal,12.0,6,3,3,JPN,3.0,SUZUKI K,3 - 6,426,JPN,7:06
Turnover foul,10.0,6,3,3,JPN,3.0,NORO M,3 - 6,412,JPN,6:52
5m shot - Missed,5.0,6,3,3,JPN,3.0,GUILLET L,3 - 6,395,FRA,6:35
20 sec. exclusion in field,2.0,6,3,3,JPN,3.0,MILLOT E,3 - 6,373,FRA,6:13
Extra player shot - Saved,6.0,6,3,3,JPN,3.0,YAMAMOTO M,3 - 6,355,JPN,5:55
Turnover foul,7.0,6,3,3,JPN,3.0,VALVERDE C,3 - 6,325,FRA,5:25
Steal,5.0,6,3,3,JPN,3.0,SAKANOUE C,3 - 6,325,JPN,5:25
Action shot - Goal,12.0,6,3,4,JPN,3.0,SUZUKI K,4 - 6,313,JPN,5:13
5m shot - Saved,2.0,6,3,4,JPN,3.0,MILLOT E,4 - 6,286,FRA,4:46
Centre shot - Post,8.0,6,3,4,JPN,3.0,NIIZAWA Y,4 - 6,279,JPN,4:39
5m shot - Blocked,2.0,6,3,4,JPN,3.0,ARIMA Y,4 - 6,219,JPN,3:39
Turnover foul,12.0,6,3,4,JPN,3.0,DAULE A,4 - 6,186,FRA,3:06
Steal,13.0,6,3,4,JPN,3.0,SHIOYA M,4 - 6,186,JPN,3:06
Action shot - Post,5.0,6,3,4,JPN,3.0,SAKANOUE C,4 - 6,184,JPN,3:04
20 sec. exclusion in field,6.0,6,3,4,JPN,3.0,MAHIEU G,4 - 6,135,FRA,2:15
Time-Out,,6,3,4,JPN,3.0,,4 - 6,135,JPN,2:15
Action shot - Goal,7.0,6,3,5,JPN,3.0,INABA A,5 - 6,113,JPN,1:53
Turnover foul,4.0,6,3,5,JPN,3.0,SACRE A,5 - 6,94,FRA,1:34
Action shot - Saved,7.0,6,3,5,JPN,3.0,INABA A,5 - 6,71,JPN,1:11
Turnover foul,4.0,6,3,5,JPN,3.0,SACRE A,5 - 6,42,FRA,0:42
Steal,13.0,6,3,5,JPN,3.0,SHIOYA M,5 - 6,42,JPN,0:42
Action shot - Goal,5.0,6,3,6,JPN,3.0,SAKANOUE C,6 - 6,32,JPN,0:32
Turnover foul,3.0,6,3,6,JPN,3.0,BACHELIER L,6 - 6,17,FRA,0:17
Steal,4.0,6,3,6,JPN,3.0,MAGARIYAMA S,6 - 6,17,JPN,0:17
Turnover foul,5.0,6,3,6,JPN,3.0,SAKANOUE C,6 - 6,9,JPN,0:09
Steal,1.0,6,3,6,JPN,3.0,COUNIL L,6 - 6,9,FRA,0:09
Time-Out,,6,3,6,JPN,3.0,,6 - 6,9,FRA,0:09
5m shot - Goal,2.0,7,3,6,JPN,3.0,MILLOT E,6 - 7,3,FRA,0:03
5m shot - Missed,2.0,7,3,6,JPN,3.0,ARIMA Y,6 - 7,1,JPN,0:01
Starting goalkeeper,13.0,7,3,6,JPN,4.0,SHIOYA M,6 - 7,480,JPN,8:00
Starting goalkeeper,1.0,7,3,6,JPN,4.0,COUNIL L,6 - 7,480,FRA,8:00
Sprint won possession,12.0,7,3,6,JPN,4.0,DAULE A,6 - 7,480,FRA,8:00
Turnover foul,6.0,7,3,6,JPN,4.0,MAHIEU G,6 - 7,455,FRA,7:35
Turnover foul,6.0,7,3,6,JPN,4.0,YAMAMOTO M,6 - 7,439,JPN,7:19
Steal,6.0,7,3,6,JPN,4.0,MAHIEU G,6 - 7,439,FRA,7:19
Turnover foul,5.0,7,3,6,JPN,4.0,GUILLET L,6 - 7,415,FRA,6:55
Steal,13.0,7,3,6,JPN,4.0,SHIOYA M,6 - 7,415,JPN,6:55
Turnover foul,10.0,7,3,6,JPN,4.0,NORO M,6 - 7,408,JPN,6:48
Action shot - Post,7.0,7,3,6,JPN,4.0,VALVERDE C,6 - 7,396,FRA,6:36
Centre shot - Goal,7.0,7,3,7,JPN,4.0,INABA A,7 - 7,377,JPN,6:17
Centre shot - Goal,6.0,8,3,7,JPN,4.0,MAHIEU G,7 - 8,355,FRA,5:55
Action shot - Saved,12.0,8,3,7,JPN,4.0,SUZUKI K,7 - 8,339,JPN,5:39
Turnover foul,2.0,8,3,7,JPN,4.0,MILLOT E,7 - 8,324,FRA,5:24
5m shot - Saved,4.0,8,3,7,JPN,4.0,SACRE A,7 - 8,176,FRA,2:56
Turnover foul,4.0,8,3,7,JPN,4.0,MAGARIYAMA S,7 - 8,152,JPN,2:32
Steal,1.0,8,3,7,JPN,4.0,COUNIL L,7 - 8,152,FRA,2:32
5m shot - Missed,2.0,8,3,7,JPN,4.0,ARIMA Y,7 - 8,111,JPN,1:51
20 sec. exclusion in centre,12.0,8,3,7,JPN,4.0,SUZUKI K,7 - 8,97,JPN,1:37
Time-Out,,8,3,7,JPN,4.0,,7 - 8,97,FRA,1:37
Action shot - Goal,2.0,9,3,8,JPN,4.0,MILLOT E,8 - 9,74,FRA,1:14
5m shot - Post,7.0,9,3,8,JPN,4.0,INABA A,8 - 9,55,JPN,0:55
5m shot - Blocked,5.0,9,3,8,JPN,4.0,SAKANOUE C,8 - 9,16,JPN,0:16
Starting goalkeeper,1.0,0,4,0,AUS,1.0,COUNIL L,0 - 0,480,FRA,8:00
Starting goalkeeper,1.0,0,4,0,AUS,1.0,YANITSAS L,0 - 0,480,AUS,8:00
Sprint won possession,12.0,0,4,0,AUS,1.0,DAULE A,0 - 0,480,FRA,8:00
Turnover foul,7.0,0,4,0,AUS,1.0,VALVERDE C,0 - 0,452,FRA,7:32
Steal,2.0,0,4,0,AUS,1.0,GOFERS K,0 - 0,452,AUS,7:32
5m shot - Goal,7.0,0,4,1,AUS,1.0,WEBSTER R,0 - 1,428,AUS,7:08
5m shot - Post,5.0,0,4,1,AUS,1.0,GUILLET L,0 - 1,398,FRA,6:38
5m shot - Post,3.0,0,4,1,AUS,1.0,BUCKLING H,0 - 1,382,AUS,6:22
Penalty foul,7.0,0,4,1,AUS,1.0,VALVERDE C,0 - 1,341,FRA,5:41
Penalty shot - Goal,7.0,0,4,2,AUS,1.0,WEBSTER R,0 - 2,341,AUS,5:41
5m shot - Blocked,3.0,0,4,2,AUS,1.0,BACHELIER L,0 - 2,310,FRA,5:10
Centre shot - Goal,9.0,0,4,3,AUS,1.0,ARANCINI Z,0 - 3,287,AUS,4:47
5m shot - Saved,10.0,0,4,3,AUS,1.0,DESCHAMPT Y,0 - 3,257,FRA,4:17
Action shot - Missed,7.0,0,4,3,AUS,1.0,WEBSTER R,0 - 3,230,AUS,3:50
Action shot - Saved,5.0,0,4,3,AUS,1.0,GUILLET L,0 - 3,212,FRA,3:32
Turnover foul,2.0,0,4,3,AUS,1.0,GOFERS K,0 - 3,187,AUS,3:07
Steal,2.0,0,4,3,AUS,1.0,MILLOT E,0 - 3,187,FRA,3:07
5m shot - Saved,2.0,0,4,3,AUS,1.0,MILLOT E,0 - 3,161,FRA,2:41
Counter attack - Goal,2.0,0,4,4,AUS,1.0,GOFERS K,0 - 4,145,AUS,2:25
5m shot - Saved,7.0,0,4,4,AUS,1.0,VALVERDE C,0 - 4,116,FRA,1:56
Turnover foul,6.0,0,4,4,AUS,1.0,MAHIEU G,0 - 4,91,FRA,1:31
Steal,7.0,0,4,4,AUS,1.0,WEBSTER R,0 - 4,91,AUS,1:31
20 sec. exclusion in centre,12.0,0,4,4,AUS,1.0,DAULE A,0 - 4,71,FRA,1:11
Time-Out,,0,4,4,AUS,1.0,,0 - 4,71,AUS,1:11
Extra player shot - Goal,3.0,0,4,5,AUS,1.0,BUCKLING H,0 - 5,47,AUS,0:47
20 sec. exclusion in centre,3.0,0,4,5,AUS,1.0,BUCKLING H,0 - 5,38,AUS,0:38
Time-Out,,0,4,5,AUS,1.0,,0 - 5,38,FRA,0:38
Extra player shot - Missed,6.0,0,4,5,AUS,1.0,MAHIEU G,0 - 5,13,FRA,0:13
5m shot - Saved,5.0,0,4,5,AUS,1.0,BISHOP I,0 - 5,0,AUS,0:00
Starting goalkeeper,1.0,0,4,5,AUS,2.0,COUNIL L,0 - 5,480,FRA,8:00
Starting goalkeeper,1.0,0,4,5,AUS,2.0,YANITSAS L,0 - 5,480,AUS,8:00
Sprint won possession,4.0,0,4,5,AUS,2.0,HALLIGAN B,0 - 5,476,AUS,7:56
Turnover foul,6.0,0,4,5,AUS,2.0,RIDGE A,0 - 5,446,AUS,7:26
Steal,8.0,0,4,5,AUS,2.0,BATTU A,0 - 5,446,FRA,7:26
Action shot - Goal,7.0,0,4,6,AUS,2.0,WEBSTER R,0 - 6,400,AUS,6:40
20 sec. exclusion in centre,12.0,0,4,6,AUS,2.0,STEERE M,0 - 6,385,AUS,6:25
Turnover foul,11.0,0,4,6,AUS,2.0,BARBIEUX M,0 - 6,353,FRA,5:53
Steal,1.0,0,4,6,AUS,2.0,YANITSAS L,0 - 6,353,AUS,5:53
Action shot - Goal,4.0,0,4,7,AUS,2.0,HALLIGAN B,0 - 7,333,AUS,5:33
5m shot - Missed,9.0,0,4,7,AUS,2.0,SACRE A,0 - 7,309,FRA,5:09
Counter attack - Goal,2.0,0,4,8,AUS,2.0,GOFERS K,0 - 8,296,AUS,4:56
20 sec. exclusion in centre,6.0,0,4,8,AUS,2.0,RIDGE A,0 - 8,282,AUS,4:42
Extra player shot - Saved,4.0,0,4,8,AUS,2.0,SACRE A,0 - 8,279,FRA,4:39
Extra player shot - Saved,5.0,0,4,8,AUS,2.0,GUILLET L,0 - 8,264,FRA,4:24
Turnover foul,3.0,0,4,8,AUS,2.0,BACHELIER L,0 - 8,203,FRA,3:23
Steal,11.0,0,4,8,AUS,2.0,BAXTER M,0 - 8,203,AUS,3:23
5m shot - Saved,11.0,0,4,8,AUS,2.0,BAXTER M,0 - 8,178,AUS,2:58
Action shot - Saved,3.0,0,4,8,AUS,2.0,BACHELIER L,0 - 8,153,FRA,2:33
5m shot - Saved,12.0,0,4,8,AUS,2.0,STEERE M,0 - 8,124,AUS,2:04
20 sec. exclusion in centre,4.0,0,4,8,AUS,2.0,HALLIGAN B,0 - 8,103,AUS,1:43
Time-Out,,0,4,8,AUS,2.0,,0 - 8,103,FRA,1:43
Turnover foul,7.0,0,4,8,AUS,2.0,VALVERDE C,0 - 8,75,FRA,1:15
Steal,4.0,0,4,8,AUS,2.0,HALLIGAN B,0 - 8,75,AUS,1:15
5m shot - Post,6.0,0,4,8,AUS,2.0,RIDGE A,0 - 8,47,AUS,0:47
5m shot - Saved,7.0,0,4,8,AUS,2.0,VALVERDE C,0 - 8,25,FRA,0:25
Turnover foul,8.0,0,4,8,AUS,2.0,BATTU A,0 - 8,17,FRA,0:17
Steal,7.0,0,4,8,AUS,2.0,WEBSTER R,0 - 8,17,AUS,0:17
5m shot - Goal,4.0,0,4,9,AUS,2.0,HALLIGAN B,0 - 9,1,AUS,0:01
Starting goalkeeper,1.0,0,4,9,AUS,3.0,COUNIL L,0 - 9,480,FRA,8:00
Starting goalkeeper,1.0,0,4,9,AUS,3.0,YANITSAS L,0 - 9,480,AUS,8:00
Sprint won possession,2.0,0,4,9,AUS,3.0,GOFERS K,0 - 9,480,AUS,8:00
Action shot - Saved,7.0,0,4,9,AUS,3.0,WEBSTER R,0 - 9,438,AUS,7:18
Action shot - Missed,7.0,0,4,9,AUS,3.0,VALVERDE C,0 - 9,414,FRA,6:54
Turnover foul,2.0,0,4,9,AUS,3.0,GOFERS K,0 - 9,389,AUS,6:29
Steal,2.0,0,4,9,AUS,3.0,MILLOT E,0 - 9,389,FRA,6:29
Action shot - Saved,2.0,0,4,9,AUS,3.0,MILLOT E,0 - 9,364,FRA,6:04
Action shot - Missed,5.0,0,4,9,AUS,3.0,BISHOP I,0 - 9,345,AUS,5:45
20 sec. exclusion in centre,6.0,0,4,9,AUS,3.0,RIDGE A,0 - 9,318,AUS,5:18
Extra player shot - Goal,2.0,1,4,9,AUS,3.0,MILLOT E,1 - 9,299,FRA,4:59
Turnover foul,7.0,1,4,9,AUS,3.0,WEBSTER R,1 - 9,269,AUS,4:29
Steal,5.0,1,4,9,AUS,3.0,GUILLET L,1 - 9,269,FRA,4:29
20 sec. exclusion in field,7.0,1,4,9,AUS,3.0,WEBSTER R,1 - 9,267,AUS,4:27
20 sec. exclusion in field,9.0,1,4,9,AUS,3.0,SACRE A,1 - 9,232,FRA,3:52
Extra player shot - Blocked,7.0,1,4,9,AUS,3.0,WEBSTER R,1 - 9,202,AUS,3:22
5m shot - Post,12.0,1,4,9,AUS,3.0,STEERE M,1 - 9,171,AUS,2:51
20 sec. exclusion in centre,3.0,1,4,9,AUS,3.0,BUCKLING H,1 - 9,142,AUS,2:22
Time-Out,,1,4,9,AUS,3.0,,1 - 9,141,FRA,2:21
Turnover foul,7.0,1,4,9,AUS,3.0,VALVERDE C,1 - 9,128,FRA,2:08
Steal,2.0,1,4,9,AUS,3.0,GOFERS K,1 - 9,128,AUS,2:08
20 sec. exclusion in centre,6.0,1,4,9,AUS,3.0,RIDGE A,1 - 9,68,AUS,1:08
Exclusion with substitution,6.0,1,4,9,AUS,3.0,RIDGE A,1 - 9,68,AUS,1:08
Extra player shot - Missed,4.0,1,4,9,AUS,3.0,SACRE A,1 - 9,44,FRA,0:44
20 sec. exclusion in centre,8.0,1,4,9,AUS,3.0,BATTU A,1 - 9,24,FRA,0:24
Extra player shot - Goal,9.0,1,4,10,AUS,3.0,ARANCINI Z,1 - 10,13,AUS,0:13
Starting goalkeeper,1.0,1,4,10,AUS,4.0,COUNIL L,1 - 10,480,FRA,8:00
Starting goalkeeper,1.0,1,4,10,AUS,4.0,YANITSAS L,1 - 10,480,AUS,8:00
Sprint won possession,2.0,1,4,10,AUS,4.0,MILLOT E,1 - 10,480,FRA,8:00
Turnover foul,3.0,1,4,10,AUS,4.0,BACHELIER L,1 - 10,451,FRA,7:31
Steal,10.0,1,4,10,AUS,4.0,MIHAILOVIC L,1 - 10,451,AUS,7:31
Action shot - Goal,3.0,1,4,11,AUS,4.0,BUCKLING H,1 - 11,436,AUS,7:16
5m shot - Blocked,2.0,1,4,11,AUS,4.0,MILLOT E,1 - 11,407,FRA,6:47
Goalkeeper substitution,13.0,1,4,11,AUS,4.0,HEDGES L,1 - 11,391,AUS,6:31
Counter attack - Goal,10.0,1,4,12,AUS,4.0,MIHAILOVIC L,1 - 12,391,AUS,6:31
Turnover foul,4.0,1,4,12,AUS,4.0,SACRE A,1 - 12,367,FRA,6:07
Steal,4.0,1,4,12,AUS,4.0,HALLIGAN B,1 - 12,367,AUS,6:07
Centre shot - Goal,4.0,1,4,13,AUS,4.0,HALLIGAN B,1 - 13,346,AUS,5:46
5m shot - Goal,8.0,2,4,13,AUS,4.0,BATTU A,2 - 13,317,FRA,5:17
Action shot - Goal,9.0,2,4,14,AUS,4.0,ARANCINI Z,2 - 14,290,AUS,4:50
Turnover foul,7.0,2,4,14,AUS,4.0,VALVERDE C,2 - 14,262,FRA,4:22
Steal,11.0,2,4,14,AUS,4.0,BAXTER M,2 - 14,262,AUS,4:22
Centre shot - Saved,8.0,2,4,14,AUS,4.0,ZIMMERMAN J,2 - 14,240,AUS,4:00
5m shot - Missed,7.0,2,4,14,AUS,4.0,VALVERDE C,2 - 14,219,FRA,3:39
20 sec. exclusion in centre,9.0,2,4,14,AUS,4.0,SACRE A,2 - 14,194,FRA,3:14
Extra player shot - Goal,9.0,2,4,15,AUS,4.0,ARANCINI Z,2 - 15,175,AUS,2:55
20 sec. exclusion in centre,9.0,2,4,15,AUS,4.0,ARANCINI Z,2 - 15,162,AUS,2:42
5m shot - Post,5.0,2,4,15,AUS,4.0,GUILLET L,2 - 15,131,FRA,2:11
5m shot - Goal,11.0,2,4,16,AUS,4.0,BAXTER M,2 - 16,105,AUS,1:45
20 sec. exclusion in centre,9.0,2,4,16,AUS,4.0,ARANCINI Z,2 - 16,78,AUS,1:18
Extra player shot - Post,3.0,2,4,16,AUS,4.0,BACHELIER L,2 - 16,58,FRA,0:58
5m shot - Missed,10.0,2,4,16,AUS,4.0,MIHAILOVIC L,2 - 16,33,AUS,0:33
5m shot - Saved,3.0,2,4,16,AUS,4.0,BACHELIER L,2 - 16,3,FRA,0:03
Starting goalkeeper,13.0,0,5,0,CHN,1.0,SHEN Y,0 - 0,480,CHN,8:00
Starting goalkeeper,1.0,0,5,0,CHN,1.0,COUNIL L,0 - 0,480,FRA,8:00
Sprint won possession,5.0,0,5,0,CHN,1.0,NIU G,0 - 0,480,CHN,8:00
Turnover foul,5.0,0,5,0,CHN,1.0,NIU G,0 - 0,452,CHN,7:32
Turnover foul,2.0,0,5,0,CHN,1.0,MILLOT E,0 - 0,423,FRA,7:03
Steal,13.0,0,5,0,CHN,1.0,SHEN Y,0 - 0,423,CHN,7:03
5m shot - Saved,8.0,0,5,0,CHN,1.0,ZHANG C,0 - 0,398,CHN,6:38
Action shot - Goal,6.0,0,5,1,CHN,1.0,GUO N,1 - 0,357,CHN,5:57
5m shot - Post,5.0,0,5,1,CHN,1.0,GUILLET L,1 - 0,326,FRA,5:26
5m shot - Saved,5.0,0,5,1,CHN,1.0,GUILLET L,1 - 0,299,FRA,4:59
Penalty foul,4.0,0,5,1,CHN,1.0,SACRE A,1 - 0,296,FRA,4:56
20 sec. exclusion in centre,8.0,0,5,1,CHN,1.0,ZHANG C,1 - 0,266,CHN,4:26
Centre shot - Goal,4.0,1,5,1,CHN,1.0,SACRE A,1 - 1,250,FRA,4:10
5m shot - Missed,5.0,1,5,1,CHN,1.0,NIU G,1 - 1,236,CHN,3:56
5m shot - Saved,5.0,1,5,1,CHN,1.0,NIU G,1 - 1,231,CHN,3:51
20 sec. exclusion in centre,3.0,1,5,1,CHN,1.0,BACHELIER L,1 - 1,227,FRA,3:47
Action shot - Goal,3.0,1,5,2,CHN,1.0,MEI X,2 - 1,204,CHN,3:24
20 sec. exclusion in centre,4.0,1,5,2,CHN,1.0,XIONG D,2 - 1,182,CHN,3:02
Time-Out,,1,5,2,CHN,1.0,,2 - 1,182,FRA,3:02
5m shot - Missed,7.0,1,5,2,CHN,1.0,VALVERDE C,2 - 1,153,FRA,2:33
5m shot - Saved,5.0,1,5,2,CHN,1.0,NIU G,2 - 1,141,CHN,2:21
Turnover foul,2.0,1,5,2,CHN,1.0,MILLOT E,2 - 1,116,FRA,1:56
Steal,13.0,1,5,2,CHN,1.0,SHEN Y,2 - 1,116,CHN,1:56
5m shot - Post,3.0,1,5,2,CHN,1.0,MEI X,2 - 1,93,CHN,1:33
Action shot - Goal,5.0,2,5,2,CHN,1.0,GUILLET L,2 - 2,63,FRA,1:03
20 sec. exclusion in field,8.0,2,5,2,CHN,1.0,BATTU A,2 - 2,42,FRA,0:42
Time-Out,,2,5,2,CHN,1.0,,2 - 2,42,CHN,0:42
Action shot - Goal,10.0,2,5,3,CHN,1.0,ZHANG D,3 - 2,21,CHN,0:21
Starting goalkeeper,13.0,2,5,3,CHN,2.0,SHEN Y,3 - 2,480,CHN,8:00
Starting goalkeeper,1.0,2,5,3,CHN,2.0,COUNIL L,3 - 2,480,FRA,8:00
Sprint won possession,5.0,2,5,3,CHN,2.0,NIU G,3 - 2,480,CHN,8:00
Turnover foul,5.0,2,5,3,CHN,2.0,NIU G,3 - 2,452,CHN,7:32
Turnover foul,7.0,2,5,3,CHN,2.0,VALVERDE C,3 - 2,432,FRA,7:12
Steal,8.0,2,5,3,CHN,2.0,ZHANG C,3 - 2,432,CHN,7:12
Turnover foul,4.0,2,5,3,CHN,2.0,XIONG D,3 - 2,405,CHN,6:45
Steal,1.0,2,5,3,CHN,2.0,COUNIL L,3 - 2,405,FRA,6:45
Turnover foul,8.0,2,5,3,CHN,2.0,BATTU A,3 - 2,374,FRA,6:14
Steal,13.0,2,5,3,CHN,2.0,SHEN Y,3 - 2,374,CHN,6:14
Turnover foul,5.0,2,5,3,CHN,2.0,NIU G,3 - 2,373,CHN,6:13
Steal,5.0,2,5,3,CHN,2.0,GUILLET L,3 - 2,373,FRA,6:13
Turnover foul,5.0,2,5,3,CHN,2.0,GUILLET L,3 - 2,344,FRA,5:44
