Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,8.0,8,3,7,ESP,4.0,ESPANOL A,7 - 8,39,ESP,0:39,Saved,0
Action shot,12.0,1,4,0,RSA,1.0,VLACHOPOULOS A,1 - 0,410,GRE,6:50,Goal,1
Centre shot,3.0,1,4,1,RSA,1.0,CARD D,1 - 1,389,RSA,6:29,Goal,1
Action shot,8.0,1,4,1,RSA,1.0,DELAKAS E,1 - 1,364,GRE,6:04,Missed,0
Extra player shot,8.0,1,4,1,RSA,1.0,DELAKAS E,1 - 1,266,GRE,4:26,Saved,0
Centre shot,9.0,1,4,1,RSA,1.0,MOURIKIS K,1 - 1,210,GRE,3:30,Saved,0
5m shot,12.0,1,4,1,RSA,1.0,VLACHOPOULOS A,1 - 1,163,GRE,2:43,Post,0
Centre shot,9.0,2,4,1,RSA,1.0,MOURIKIS K,2 - 1,144,GRE,2:24,Goal,1
Counter attack,7.0,3,4,1,RSA,1.0,AFROUDAKIS C,3 - 1,119,GRE,1:59,Goal,1
Action shot,5.0,3,4,1,RSA,1.0,FOUNTOULIS I,3 - 1,72,GRE,1:12,Saved,0
5m shot,2.0,3,4,1,RSA,1.0,le ROUX E,3 - 1,42,RSA,0:42,Saved,0
5m shot,11.0,3,4,2,RSA,1.0,MOLYNEUX N,3 - 2,29,RSA,0:29,Goal,1
5m shot,8.0,3,4,2,RSA,1.0,BELL R,3 - 2,1,RSA,0:01,Missed,0
Action shot,5.0,3,4,2,RSA,2.0,FOUNTOULIS I,3 - 2,426,GRE,7:06,Blocked,0
Extra player shot,7.0,3,4,2,RSA,2.0,AFROUDAKIS C,3 - 2,373,GRE,6:13,Post,0
Centre shot,4.0,3,4,3,RSA,2.0,BADENHORST I,3 - 3,302,RSA,5:02,Goal,1
Action shot,12.0,4,4,3,RSA,2.0,VLACHOPOULOS A,4 - 3,261,GRE,4:21,Goal,1
Action shot,5.0,4,4,3,RSA,2.0,RODDA N,4 - 3,133,RSA,2:13,Post,0
Centre shot,7.0,4,4,4,RSA,2.0,DOWNES R,4 - 4,131,RSA,2:11,Goal,1
Extra player shot,2.0,4,4,4,RSA,2.0,le ROUX E,4 - 4,73,RSA,1:13,Post,0
Action shot,2.0,4,4,4,RSA,4.0,le ROUX E,4 - 4,169,RSA,2:49,Missed,0
Centre shot,5.0,13,4,5,RSA,4.0,FOUNTOULIS I,13 - 5,157,GRE,2:37,Goal,1
Extra player shot,2.0,13,4,5,RSA,4.0,le ROUX E,13 - 5,121,RSA,2:01,Saved,0
Action shot,11.0,5,4,4,RSA,2.0,GOUNAS A,5 - 4,25,GRE,0:25,Goal,1
Extra player shot,11.0,6,4,4,RSA,2.0,GOUNAS A,6 - 4,1,GRE,0:01,Goal,1
Action shot,11.0,7,4,4,RSA,3.0,GOUNAS A,7 - 4,430,GRE,7:10,Goal,1
Extra player shot,10.0,8,4,4,RSA,3.0,KOLOMVOS C,8 - 4,381,GRE,6:21,Goal,1
Action shot,2.0,8,4,4,RSA,3.0,le ROUX E,8 - 4,258,RSA,4:18,Saved,0
Extra player shot,10.0,9,4,4,RSA,3.0,KOLOMVOS C,9 - 4,240,GRE,4:00,Goal,1
Action shot,12.0,9,4,4,RSA,3.0,KAJEE A,9 - 4,221,RSA,3:41,Saved,0
Centre shot,6.0,9,4,4,RSA,3.0,PONTIKEAS K,9 - 4,193,GRE,3:13,Saved,0
Extra player shot,5.0,10,4,4,RSA,3.0,FOUNTOULIS I,10 - 4,161,GRE,2:41,Goal,1
5m shot,11.0,10,4,4,RSA,3.0,MOLYNEUX N,10 - 4,133,RSA,2:13,Saved,0
Action shot,5.0,10,4,4,RSA,3.0,RODDA N,10 - 4,112,RSA,1:52,Saved,0
Centre shot,10.0,10,4,4,RSA,4.0,KOLOMVOS C,10 - 4,444,GRE,7:24,Post,0
Action shot,8.0,10,4,4,RSA,4.0,DELAKAS E,10 - 4,400,GRE,6:40,Saved,0
5m shot,6.0,10,4,4,RSA,4.0,KYTE J,10 - 4,371,RSA,6:11,Missed,0
Extra player shot,7.0,11,4,4,RSA,4.0,AFROUDAKIS C,11 - 4,346,GRE,5:46,Goal,1
Counter attack,2.0,12,4,4,RSA,4.0,MYLONAKIS E,12 - 4,322,GRE,5:22,Goal,1
Action shot,2.0,12,4,5,RSA,4.0,le ROUX E,12 - 5,243,RSA,4:03,Goal,1
5m shot,7.0,12,4,5,RSA,4.0,DOWNES R,12 - 5,1,RSA,0:01,Missed,0
Extra player shot,2.0,0,5,0,HUN,1.0,GOR-NAGY M,0 - 0,456,HUN,7:36,Saved,0
Action shot,3.0,0,5,0,HUN,1.0,MADARAS N,0 - 0,439,HUN,7:19,Saved,0
Action shot,12.0,0,5,0,HUN,1.0,VLACHOPOULOS A,0 - 0,391,GRE,6:31,Blocked,0
Action shot,5.0,0,5,0,HUN,1.0,FOUNTOULIS I,0 - 0,350,GRE,5:50,Saved,0
Action shot,10.0,0,5,0,HUN,1.0,VARGA D,0 - 0,267,HUN,4:27,Blocked,0
Action shot,3.0,0,5,0,HUN,1.0,MADARAS N,0 - 0,226,HUN,3:46,Saved,0
Extra player shot,7.0,0,5,0,HUN,1.0,AFROUDAKIS C,0 - 0,198,GRE,3:18,Saved,0
Action shot,5.0,0,5,0,HUN,1.0,FOUNTOULIS I,0 - 0,178,GRE,2:58,Saved,0
5m shot,8.0,0,5,0,HUN,1.0,DELAKAS E,0 - 0,152,GRE,2:32,Blocked,0
Extra player shot,6.0,0,5,1,HUN,1.0,HOSNYANSZKY N,0 - 1,95,HUN,1:35,Goal,1
Action shot,2.0,1,5,1,HUN,1.0,MYLONAKIS E,1 - 1,51,GRE,0:51,Goal,1
Extra player shot,11.0,1,5,2,HUN,1.0,BEDO K,1 - 2,21,HUN,0:21,Goal,1
Action shot,2.0,1,5,2,HUN,1.0,MYLONAKIS E,1 - 2,1,GRE,0:01,Saved,0
Action shot,5.0,1,5,2,HUN,2.0,FOUNTOULIS I,1 - 2,450,GRE,7:30,Post,0
Extra player shot,9.0,1,5,2,HUN,2.0,VARGA D,1 - 2,401,HUN,6:41,Post,0
Extra player shot,5.0,2,5,2,HUN,2.0,FOUNTOULIS I,2 - 2,359,GRE,5:59,Goal,1
Centre shot,10.0,2,5,2,HUN,2.0,VARGA D,2 - 2,332,HUN,5:32,Saved,0
5m shot,6.0,2,5,2,HUN,2.0,PONTIKEAS K,2 - 2,302,GRE,5:02,Saved,0
Extra player shot,2.0,2,5,2,HUN,2.0,GOR-NAGY M,2 - 2,217,HUN,3:37,Saved,0
Action shot,7.0,2,5,2,HUN,2.0,AFROUDAKIS C,2 - 2,187,GRE,3:07,Blocked,0
Action shot,3.0,2,5,2,HUN,2.0,MADARAS N,2 - 2,163,HUN,2:43,Saved,0
Centre shot,7.0,2,5,3,HUN,2.0,DECKER A,2 - 3,88,HUN,1:28,Goal,1
Extra player shot,9.0,2,5,3,HUN,2.0,MOURIKIS K,2 - 3,52,GRE,0:52,Saved,0
Extra player shot,5.0,2,5,3,HUN,2.0,FOUNTOULIS I,2 - 3,45,GRE,0:45,Post,0
Extra player shot,5.0,2,5,3,HUN,2.0,FOUNTOULIS I,2 - 3,3,GRE,0:03,Blocked,0
5m shot,6.0,2,5,3,HUN,2.0,HOSNYANSZKY N,2 - 3,1,HUN,0:01,Saved,0
Centre shot,12.0,2,5,3,HUN,3.0,VLACHOPOULOS A,2 - 3,431,GRE,7:11,Saved,0
Action shot,5.0,2,5,3,HUN,3.0,VAMOS M,2 - 3,405,HUN,6:45,Missed,0
Extra player shot,11.0,2,5,3,HUN,3.0,GOUNAS A,2 - 3,338,GRE,5:38,Saved,0
Extra player shot,6.0,2,5,4,HUN,3.0,HOSNYANSZKY N,2 - 4,291,HUN,4:51,Goal,1
5m shot,3.0,2,5,4,HUN,3.0,MADARAS N,2 - 4,245,HUN,4:05,Post,0
Action shot,7.0,2,5,4,HUN,3.0,AFROUDAKIS C,2 - 4,217,GRE,3:37,Post,0
Extra player shot,8.0,2,5,4,HUN,3.0,SZIVOS M,2 - 4,180,HUN,3:00,Saved,0
Action shot,11.0,2,5,4,HUN,3.0,GOUNAS A,2 - 4,152,GRE,2:32,Saved,0
Extra player shot,5.0,2,5,5,HUN,3.0,VAMOS M,2 - 5,84,HUN,1:24,Goal,1
Extra player shot,12.0,3,5,5,HUN,3.0,VLACHOPOULOS A,3 - 5,52,GRE,0:52,Goal,1
5m shot,3.0,3,5,5,HUN,3.0,MADARAS N,3 - 5,22,HUN,0:22,Saved,0
Action shot,12.0,3,5,5,HUN,4.0,VLACHOPOULOS A,3 - 5,398,GRE,6:38,Missed,0
5m shot,10.0,3,5,6,HUN,4.0,VARGA D,3 - 6,367,HUN,6:07,Goal,1
Extra player shot,5.0,3,5,6,HUN,4.0,FOUNTOULIS I,3 - 6,333,GRE,5:33,Saved,0
Extra player shot,5.0,3,5,6,HUN,4.0,FOUNTOULIS I,3 - 6,325,GRE,5:25,Saved,0
Extra player shot,9.0,3,5,6,HUN,4.0,MOURIKIS K,3 - 6,299,GRE,4:59,Missed,0
Extra player shot,3.0,3,5,7,HUN,4.0,MADARAS N,3 - 7,275,HUN,4:35,Goal,1
Counter attack,11.0,3,5,8,HUN,4.0,BEDO K,3 - 8,222,HUN,3:42,Goal,1
Action shot,2.0,3,5,8,HUN,4.0,MYLONAKIS E,3 - 8,195,GRE,3:15,Blocked,0
Action shot,3.0,3,5,8,HUN,4.0,MADARAS N,3 - 8,147,HUN,2:27,Saved,0
Action shot,11.0,3,5,8,HUN,4.0,GOUNAS A,3 - 8,119,GRE,1:59,Missed,0
Penalty shot,10.0,3,5,9,HUN,4.0,VARGA D,3 - 9,94,HUN,1:34,Goal,1
Action shot,11.0,3,5,9,HUN,4.0,GOUNAS A,3 - 9,64,GRE,1:04,Missed,0
Extra player shot,10.0,3,5,9,HUN,4.0,KOLOMVOS C,3 - 9,1,GRE,0:01,Saved,0
Centre shot,9.0,0,6,0,AUS,1.0,SWIFT J,0 - 0,453,AUS,7:33,Missed,0
Extra player shot,5.0,1,6,0,AUS,1.0,FOUNTOULIS I,1 - 0,411,GRE,6:51,Goal,1
Action shot,12.0,1,6,0,AUS,1.0,MILLER W,1 - 0,381,AUS,6:21,Blocked,0
Action shot,5.0,1,6,0,AUS,1.0,FOUNTOULIS I,1 - 0,356,GRE,5:56,Saved,0
Action shot,8.0,1,6,1,AUS,1.0,YOUNGER A,1 - 1,338,AUS,5:38,Goal,1
Extra player shot,8.0,2,6,1,AUS,1.0,DELAKAS E,2 - 1,304,GRE,5:04,Goal,1
Action shot,2.0,2,6,1,AUS,1.0,CAMPBELL R,2 - 1,276,AUS,4:36,Saved,0
Extra player shot,2.0,3,6,1,AUS,1.0,MYLONAKIS E,3 - 1,233,GRE,3:53,Goal,1
Action shot,11.0,3,6,1,AUS,1.0,HOWDEN R,3 - 1,203,AUS,3:23,Saved,0
Extra player shot,10.0,3,6,1,AUS,1.0,KOLOMVOS C,3 - 1,68,GRE,1:08,Saved,0
Action shot,6.0,3,6,1,AUS,1.0,GILCHRIST J,3 - 1,42,AUS,0:42,Missed,0
Action shot,12.0,3,6,1,AUS,1.0,VLACHOPOULOS A,3 - 1,14,GRE,0:14,Saved,0
Action shot,2.0,3,6,2,AUS,2.0,CAMPBELL R,3 - 2,457,AUS,7:37,Goal,1
Penalty shot,5.0,4,6,2,AUS,2.0,FOUNTOULIS I,4 - 2,434,GRE,7:14,Goal,1
Extra player shot,7.0,4,6,3,AUS,2.0,ROACH A,4 - 3,391,AUS,6:31,Goal,1
5m shot,8.0,5,6,3,AUS,2.0,DELAKAS E,5 - 3,325,GRE,5:25,Goal,1
Extra player shot,12.0,6,6,3,AUS,2.0,VLACHOPOULOS A,6 - 3,253,GRE,4:13,Goal,1
Action shot,6.0,7,6,3,AUS,2.0,PONTIKEAS K,7 - 3,200,GRE,3:20,Goal,1
5m shot,8.0,7,6,3,AUS,2.0,YOUNGER A,7 - 3,172,AUS,2:52,Saved,0
Extra player shot,2.0,7,6,4,AUS,2.0,CAMPBELL R,7 - 4,120,AUS,2:00,Goal,1
Action shot,2.0,7,6,4,AUS,2.0,CAMPBELL R,7 - 4,83,AUS,1:23,Saved,0
