Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Saved,12.0,10,2,2,NZL,2.0,PYE A,2 - 10,123,NZL,2:03
20 sec. exclusion in centre,12.0,10,2,2,NZL,2.0,PYE A,2 - 10,108,NZL,1:48
Extra player shot - Goal,12.0,11,2,2,NZL,2.0,VLACHOPOULOS A,2 - 11,89,GRE,1:29
Action shot - Saved,2.0,11,2,2,NZL,2.0,LEWIS M,2 - 11,67,NZL,1:07
20 sec. exclusion in centre,11.0,11,2,2,NZL,2.0,TIJSEN L,2 - 11,47,NZL,0:47
Extra player shot - Goal,9.0,12,2,2,NZL,2.0,MOURIKIS K,2 - 12,46,GRE,0:46
Action shot - Missed,5.0,12,2,2,NZL,2.0,ROSS J,2 - 12,21,NZL,0:21
Action shot - Goal,11.0,13,2,2,NZL,2.0,GOUNAS A,2 - 13,8,GRE,0:08
5m shot - Goal,2.0,13,2,3,NZL,2.0,LEWIS M,3 - 13,1,NZL,0:01
Starting goalkeeper,13.0,13,2,3,NZL,3.0,GALANIDIS K,3 - 13,480,GRE,8:00
Centre shot - Goal,9.0,24,2,4,NZL,4.0,MOURIKIS K,4 - 24,57,GRE,0:57
20 sec. exclusion in field,6.0,24,2,4,NZL,4.0,PONTIKEAS K,4 - 24,38,GRE,0:38
Time-Out,,24,2,4,NZL,4.0,,4 - 24,38,NZL,0:38
Starting goalkeeper,1.0,24,2,4,NZL,3.0,KINGSMILL T,4 - 24,480,NZL,8:00
Sprint won possession,12.0,24,2,4,NZL,3.0,VLACHOPOULOS A,4 - 24,480,GRE,8:00
Centre shot - Goal,9.0,14,2,3,NZL,3.0,MOURIKIS K,3 - 14,453,GRE,7:33
20 sec. exclusion in centre,8.0,14,2,3,NZL,3.0,DELAKAS E,3 - 14,430,GRE,7:10
Extra player shot - Post,3.0,14,2,3,NZL,3.0,CURRY S,3 - 14,410,NZL,6:50
Centre shot - Goal,9.0,15,2,3,NZL,3.0,MOURIKIS K,3 - 15,383,GRE,6:23
