Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,7.0,2,1,0,RUS,1.0,LISUNOVA E,1 - 0,241,RUS,4:01,Saved,0
Extra player shot,10.0,2,2,0,RUS,1.0,BUJKA B,2 - 0,227,HUN,3:47,Goal,1
Extra player shot,11.0,2,2,0,RUS,1.0,IVANOVA E,2 - 0,195,RUS,3:15,Missed,0
Centre shot,7.0,2,2,0,RUS,1.0,LISUNOVA E,2 - 0,152,RUS,2:32,Post,0
Action shot,8.0,2,2,0,RUS,1.0,ABDRIZIAKOVA E,2 - 0,109,RUS,1:49,Blocked,0
Action shot,4.0,2,2,0,RUS,1.0,KISTELEKI D,2 - 0,47,HUN,0:47,Blocked,0
Centre shot,4.0,2,3,0,RUS,1.0,KISTELEKI D,3 - 0,46,HUN,0:46,Goal,1
Extra player shot,12.0,2,3,1,RUS,1.0,IARONDAIKINA N,3 - 1,13,RUS,0:13,Goal,1
Action shot,11.0,2,3,1,RUS,2.0,IVANOVA E,3 - 1,457,RUS,7:37,Saved,0
Counter attack,8.0,2,4,1,RUS,2.0,KESZTHELYI R,4 - 1,443,HUN,7:23,Goal,1
Action shot,9.0,2,4,1,RUS,2.0,TIMOFEEVA A,4 - 1,407,RUS,6:47,Saved,0
5m shot,3.0,2,4,1,RUS,2.0,ANTAL D,4 - 1,377,HUN,6:17,Blocked,0
5m shot,2.0,2,4,1,RUS,2.0,CZIGANY D,4 - 1,348,HUN,5:48,Post,0
Centre shot,7.0,2,4,2,RUS,2.0,LISUNOVA E,4 - 2,308,RUS,5:08,Goal,1
Extra player shot,8.0,2,5,2,RUS,2.0,KESZTHELYI R,5 - 2,280,HUN,4:40,Goal,1
Action shot,6.0,2,5,3,RUS,2.0,SIMANOVICH A,5 - 3,265,RUS,4:25,Goal,1
Action shot,8.0,2,5,4,RUS,2.0,ABDRIZIAKOVA E,5 - 4,214,RUS,3:34,Goal,1
Action shot,2.0,2,6,4,RUS,2.0,CZIGANY D,6 - 4,183,HUN,3:03,Goal,1
Action shot,7.0,2,6,4,RUS,2.0,LISUNOVA E,6 - 4,158,RUS,2:38,Saved,0
Extra player shot,10.0,2,6,4,RUS,2.0,BUJKA B,6 - 4,106,HUN,1:46,Saved,0
Extra player shot,8.0,2,6,5,RUS,2.0,ABDRIZIAKOVA E,6 - 5,68,RUS,1:08,Goal,1
Extra player shot,6.0,2,6,5,RUS,2.0,TAKACS O,6 - 5,36,HUN,0:36,Saved,0
Extra player shot,7.0,2,11,13,RUS,4.0,LISUNOVA E,11 - 13,63,RUS,1:03,Goal,1
Penalty shot,3.0,2,6,6,RUS,3.0,PROKOFYEVA E,6 - 6,466,RUS,7:46,Goal,1
Action shot,3.0,2,6,6,RUS,3.0,ANTAL D,6 - 6,435,HUN,7:15,Saved,0
Centre shot,11.0,2,6,6,RUS,3.0,IVANOVA E,6 - 6,386,RUS,6:26,Post,0
Action shot,7.0,2,6,6,RUS,3.0,LISUNOVA E,6 - 6,383,RUS,6:23,Missed,0
Extra player shot,8.0,2,6,6,RUS,3.0,KESZTHELYI R,6 - 6,349,HUN,5:49,Saved,0
Action shot,3.0,2,7,6,RUS,3.0,ANTAL D,7 - 6,338,HUN,5:38,Goal,1
Centre shot,10.0,2,7,6,RUS,3.0,TANKEEVA E,7 - 6,321,RUS,5:21,Saved,0
Action shot,6.0,2,8,6,RUS,3.0,TAKACS O,8 - 6,279,HUN,4:39,Goal,1
Action shot,8.0,2,9,6,RUS,3.0,KESZTHELYI R,9 - 6,235,HUN,3:55,Goal,1
Extra player shot,11.0,2,9,7,RUS,3.0,IVANOVA E,9 - 7,212,RUS,3:32,Goal,1
Action shot,9.0,2,9,7,RUS,3.0,TOTH I,9 - 7,198,HUN,3:18,Saved,0
5m shot,3.0,2,9,7,RUS,3.0,PROKOFYEVA E,9 - 7,174,RUS,2:54,Missed,0
Action shot,2.0,2,10,7,RUS,3.0,CZIGANY D,10 - 7,148,HUN,2:28,Goal,1
Extra player shot,4.0,2,10,8,RUS,3.0,KARIMOVA E,10 - 8,110,RUS,1:50,Goal,1
Action shot,8.0,2,10,8,RUS,3.0,KESZTHELYI R,10 - 8,57,HUN,0:57,Saved,0
Action shot,11.0,2,10,8,RUS,3.0,IVANOVA E,10 - 8,33,RUS,0:33,Saved,0
Action shot,3.0,2,10,8,RUS,3.0,ANTAL D,10 - 8,1,HUN,0:01,Missed,0
Action shot,11.0,2,10,8,RUS,4.0,GARDA K,10 - 8,450,HUN,7:30,Post,0
Action shot,7.0,2,10,8,RUS,4.0,LISUNOVA E,10 - 8,429,RUS,7:09,Post,0
Action shot,9.0,2,10,9,RUS,4.0,TIMOFEEVA A,10 - 9,427,RUS,7:07,Goal,1
Action shot,9.0,2,11,9,RUS,4.0,TOTH I,11 - 9,395,HUN,6:35,Goal,1
5m shot,4.0,2,11,9,RUS,4.0,KISTELEKI D,11 - 9,351,HUN,5:51,Blocked,0
Action shot,11.0,2,11,9,RUS,4.0,GARDA K,11 - 9,343,HUN,5:43,Saved,0
Counter attack,4.0,2,11,10,RUS,4.0,KARIMOVA E,11 - 10,334,RUS,5:34,Goal,1
Action shot,10.0,2,11,10,RUS,4.0,BUJKA B,11 - 10,289,HUN,4:49,Saved,0
Extra player shot,11.0,2,11,11,RUS,4.0,IVANOVA E,11 - 11,250,RUS,4:10,Goal,1
Action shot,10.0,2,11,11,RUS,4.0,TANKEEVA E,11 - 11,197,RUS,3:17,Saved,0
Extra player shot,3.0,2,11,11,RUS,4.0,ANTAL D,11 - 11,159,HUN,2:39,Saved,0
5m shot,7.0,2,11,12,RUS,4.0,LISUNOVA E,11 - 12,137,RUS,2:17,Goal,1
Action shot,6.0,2,11,12,RUS,4.0,TAKACS O,11 - 12,121,HUN,2:01,Saved,0
Extra player shot,3.0,2,11,12,RUS,4.0,ANTAL D,11 - 12,26,HUN,0:26,Post,0
Extra player shot,8.0,3,1,0,FRA,1.0,KESZTHELYI R,1 - 0,405,HUN,6:45,Goal,1
5m shot,4.0,3,1,0,FRA,1.0,SACRE A,1 - 0,377,FRA,6:17,Post,0
Extra player shot,8.0,3,2,0,FRA,1.0,KESZTHELYI R,2 - 0,363,HUN,6:03,Goal,1
Action shot,2.0,3,2,0,FRA,1.0,MILLOT E,2 - 0,287,FRA,4:47,Blocked,0
5m shot,12.0,3,2,0,FRA,1.0,JASKOVA M,2 - 0,266,FRA,4:26,Saved,0
Action shot,10.0,3,3,0,FRA,1.0,BUJKA B,3 - 0,239,HUN,3:59,Goal,1
5m shot,12.0,3,3,0,FRA,1.0,MENCZINGER K,3 - 0,194,HUN,3:14,Saved,0
5m shot,2.0,3,3,0,FRA,1.0,CZIGANY D,3 - 0,143,HUN,2:23,Post,0
Centre shot,9.0,3,4,0,FRA,1.0,TOTH I,4 - 0,133,HUN,2:13,Goal,1
Extra player shot,12.0,3,4,1,FRA,1.0,JASKOVA M,4 - 1,96,FRA,1:36,Goal,1
5m shot,8.0,3,5,1,FRA,1.0,KESZTHELYI R,5 - 1,68,HUN,1:08,Goal,1
Centre shot,10.0,3,6,1,FRA,2.0,BUJKA B,6 - 1,461,HUN,7:41,Goal,1
Action shot,5.0,3,6,1,FRA,2.0,GUILLET L,6 - 1,431,FRA,7:11,Post,0
Action shot,4.0,3,6,1,FRA,2.0,KISTELEKI D,6 - 1,415,HUN,6:55,Post,0
5m shot,3.0,3,6,1,FRA,2.0,BACHELIER L,6 - 1,387,FRA,6:27,Post,0
Action shot,10.0,3,6,1,FRA,2.0,BUJKA B,6 - 1,366,HUN,6:06,Saved,0
5m shot,7.0,3,6,1,FRA,2.0,BARBIEUX M,6 - 1,339,FRA,5:39,Missed,0
