Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,CHN,1.0,BOLONYAI F,0 - 0,480,HUN,8:00
Starting goalkeeper,1.0,1,0,0,CHN,1.0,YANG J,0 - 0,480,CHN,8:00
Sprint won possession,5.0,1,0,0,CHN,1.0,NIU G,0 - 0,480,CHN,8:00
20 sec. exclusion in centre,11.0,1,0,0,CHN,1.0,GARDA K,0 - 0,462,HUN,7:42
Extra player shot - Goal,11.0,1,0,1,CHN,1.0,WANG X,0 - 1,443,CHN,7:23
Turnover foul,8.0,1,0,1,CHN,1.0,KESZTHELYI R,0 - 1,420,HUN,7:00
20 sec. exclusion in centre,4.0,1,0,1,CHN,1.0,KISTELEKI D,0 - 1,407,HUN,6:47
Extra player shot - Goal,7.0,1,0,2,CHN,1.0,SONG D,0 - 2,394,CHN,6:34
Turnover foul,5.0,1,0,2,CHN,1.0,SZUCS G,0 - 2,378,HUN,6:18
Turnover foul,5.0,1,0,2,CHN,1.0,NIU G,0 - 2,347,CHN,5:47
Turnover foul,12.0,1,0,2,CHN,1.0,MENCZINGER K,0 - 2,321,HUN,5:21
Steal,11.0,1,0,2,CHN,1.0,WANG X,0 - 2,321,CHN,5:21
Turnover foul,6.0,1,0,2,CHN,1.0,SUN Y,0 - 2,300,CHN,5:00
Steal,8.0,1,0,2,CHN,1.0,KESZTHELYI R,0 - 2,300,HUN,5:00
20 sec. exclusion in field,8.0,1,0,2,CHN,1.0,ZHANG C,0 - 2,295,CHN,4:55
Action shot - Blocked,8.0,1,0,2,CHN,1.0,KESZTHELYI R,0 - 2,268,HUN,4:28
5m shot - Blocked,5.0,1,0,2,CHN,1.0,NIU G,0 - 2,238,CHN,3:58
Action shot - Missed,7.0,1,0,2,CHN,1.0,SONG D,0 - 2,218,CHN,3:38
Turnover foul,5.0,1,0,2,CHN,1.0,SZUCS G,0 - 2,195,HUN,3:15
Turnover foul,7.0,1,0,2,CHN,1.0,SONG D,0 - 2,181,CHN,3:01
Penalty foul,7.0,1,0,2,CHN,1.0,ILLES A,0 - 2,160,HUN,2:40
Penalty shot - Goal,9.0,1,0,3,CHN,1.0,ZHAO Z,0 - 3,160,CHN,2:40
Penalty foul,5.0,1,0,3,CHN,1.0,NIU G,0 - 3,141,CHN,2:21
Penalty shot - Goal,8.0,1,1,3,CHN,1.0,KESZTHELYI R,1 - 3,141,HUN,2:21
20 sec. exclusion in centre,7.0,1,1,3,CHN,1.0,ILLES A,1 - 3,130,HUN,2:10
Time-Out,,1,1,3,CHN,1.0,,1 - 3,125,CHN,2:05
Extra player shot - Goal,11.0,1,1,4,CHN,1.0,WANG X,1 - 4,113,CHN,1:53
Turnover foul,8.0,1,1,4,CHN,1.0,KESZTHELYI R,1 - 4,90,HUN,1:30
Steal,9.0,1,1,4,CHN,1.0,ZHAO Z,1 - 4,90,CHN,1:30
Action shot - Post,9.0,1,1,4,CHN,1.0,ZHAO Z,1 - 4,82,CHN,1:22
Penalty foul,5.0,1,1,4,CHN,1.0,SZUCS G,1 - 4,82,HUN,1:22
Penalty shot - Post,12.0,1,1,4,CHN,1.0,ZHANG J,1 - 4,78,CHN,1:18
Turnover foul,11.0,1,1,4,CHN,1.0,WANG X,1 - 4,42,CHN,0:42
Time-Out,,1,1,4,CHN,1.0,,1 - 4,36,HUN,0:36
5m shot - Post,8.0,1,1,4,CHN,1.0,KESZTHELYI R,1 - 4,13,HUN,0:13
Starting goalkeeper,1.0,1,1,4,CHN,2.0,BOLONYAI F,1 - 4,480,HUN,8:00
Starting goalkeeper,1.0,1,1,4,CHN,2.0,YANG J,1 - 4,480,CHN,8:00
Sprint won possession,8.0,1,1,4,CHN,2.0,KESZTHELYI R,1 - 4,480,HUN,8:00
5m shot - Post,4.0,1,1,4,CHN,2.0,KISTELEKI D,1 - 4,453,HUN,7:33
5m shot - Missed,5.0,1,1,4,CHN,2.0,SZUCS G,1 - 4,432,HUN,7:12
Turnover foul,3.0,1,1,4,CHN,2.0,ANTAL D,1 - 4,392,HUN,6:32
20 sec. exclusion in centre,8.0,1,1,4,CHN,2.0,KESZTHELYI R,1 - 4,368,HUN,6:08
Action shot - Saved,5.0,1,1,4,CHN,2.0,SZUCS G,1 - 4,336,HUN,5:36
5m shot - Goal,4.0,1,2,4,CHN,2.0,KISTELEKI D,2 - 4,327,HUN,5:27
Action shot - Missed,6.0,1,2,4,CHN,2.0,SUN Y,2 - 4,309,CHN,5:09
Action shot - Saved,11.0,1,2,4,CHN,2.0,GARDA K,2 - 4,288,HUN,4:48
Turnover foul,8.0,1,2,4,CHN,2.0,ZHANG C,2 - 4,284,CHN,4:44
Centre shot - Goal,9.0,1,3,4,CHN,2.0,TOTH I,3 - 4,271,HUN,4:31
5m shot - Blocked,5.0,1,3,4,CHN,2.0,NIU G,3 - 4,245,CHN,4:05
5m shot - Missed,6.0,1,3,4,CHN,2.0,TAKACS O,3 - 4,222,HUN,3:42
20 sec. exclusion in centre,2.0,1,3,4,CHN,2.0,CZIGANY D,3 - 4,211,HUN,3:31
Time-Out,,1,3,4,CHN,2.0,,3 - 4,211,CHN,3:31
Action shot - Saved,5.0,1,3,4,CHN,2.0,NIU G,3 - 4,188,CHN,3:08
Action shot - Goal,6.0,1,4,4,CHN,2.0,TAKACS O,4 - 4,160,HUN,2:40
Action shot - Blocked,5.0,1,4,4,CHN,2.0,NIU G,4 - 4,138,CHN,2:18
Turnover foul,4.0,1,4,4,CHN,2.0,KISTELEKI D,4 - 4,108,HUN,1:48
Action shot - Saved,5.0,1,4,4,CHN,2.0,NIU G,4 - 4,79,CHN,1:19
Turnover foul,10.0,1,4,4,CHN,2.0,BUJKA B,4 - 4,61,HUN,1:01
Time-Out,,1,4,4,CHN,2.0,,4 - 4,56,HUN,0:56
Turnover foul,5.0,1,4,4,CHN,2.0,SZUCS G,4 - 4,41,HUN,0:41
Action shot - Goal,12.0,1,4,5,CHN,2.0,ZHANG J,4 - 5,21,CHN,0:21
Turnover foul,4.0,1,4,5,CHN,2.0,KISTELEKI D,4 - 5,0,HUN,0:00
Penalty foul,11.0,1,4,5,CHN,2.0,WANG X,4 - 5,0,CHN,0:00
Penalty shot - Goal,3.0,1,5,5,CHN,2.0,ANTAL D,5 - 5,0,HUN,0:00
Starting goalkeeper,1.0,1,5,5,CHN,3.0,BOLONYAI F,5 - 5,480,HUN,8:00
Starting goalkeeper,1.0,1,5,5,CHN,3.0,YANG J,5 - 5,480,CHN,8:00
Sprint won possession,5.0,1,5,5,CHN,3.0,NIU G,5 - 5,480,CHN,8:00
20 sec. exclusion in centre,11.0,1,5,5,CHN,3.0,GARDA K,5 - 5,461,HUN,7:41
Extra player shot - Saved,5.0,1,5,5,CHN,3.0,NIU G,5 - 5,436,CHN,7:16
Action shot - Goal,5.0,1,6,5,CHN,3.0,SZUCS G,6 - 5,419,HUN,6:59
Turnover foul,9.0,1,6,5,CHN,3.0,ZHAO Z,6 - 5,405,CHN,6:45
Action shot - Post,5.0,1,6,5,CHN,3.0,SZUCS G,6 - 5,368,HUN,6:08
Turnover foul,5.0,1,6,5,CHN,3.0,SZUCS G,6 - 5,333,HUN,5:33
Action shot - Goal,9.0,1,6,6,CHN,3.0,ZHAO Z,6 - 6,314,CHN,5:14
Turnover foul,5.0,1,6,6,CHN,3.0,SZUCS G,6 - 6,292,HUN,4:52
20 sec. exclusion in centre,5.0,1,6,6,CHN,3.0,SZUCS G,6 - 6,285,HUN,4:45
Time-Out,,1,6,6,CHN,3.0,,6 - 6,285,CHN,4:45
5m shot - Saved,9.0,1,6,6,CHN,3.0,ZHAO Z,6 - 6,259,CHN,4:19
5m shot - Saved,8.0,1,6,6,CHN,3.0,ZHANG C,6 - 6,228,CHN,3:48
Action shot - Blocked,7.0,1,6,6,CHN,3.0,ILLES A,6 - 6,210,HUN,3:30
Turnover foul,8.0,1,6,6,CHN,3.0,ZHANG C,6 - 6,182,CHN,3:02
Time-Out,,1,6,6,CHN,3.0,,6 - 6,176,HUN,2:56
5m shot - Saved,4.0,1,6,6,CHN,3.0,KISTELEKI D,6 - 6,155,HUN,2:35
Turnover foul,8.0,1,6,6,CHN,3.0,KESZTHELYI R,6 - 6,150,HUN,2:30
Action shot - Saved,8.0,1,6,6,CHN,3.0,ZHANG C,6 - 6,121,CHN,2:01
Action shot - Saved,4.0,1,6,6,CHN,3.0,KISTELEKI D,6 - 6,100,HUN,1:40
20 sec. exclusion in centre,5.0,1,6,6,CHN,3.0,SZUCS G,6 - 6,77,HUN,1:17
Exclusion with substitution,5.0,1,6,6,CHN,3.0,SZUCS G,6 - 6,77,HUN,1:17
Extra player shot - Saved,9.0,1,6,6,CHN,3.0,ZHAO Z,6 - 6,67,CHN,1:07
Action shot - Saved,3.0,1,6,6,CHN,3.0,ANTAL D,6 - 6,37,HUN,0:37
5m shot - Post,3.0,1,6,6,CHN,3.0,MEI X,6 - 6,18,CHN,0:18
5m shot - Goal,2.0,1,7,6,CHN,3.0,CZIGANY D,7 - 6,0,HUN,0:00
Starting goalkeeper,1.0,1,7,6,CHN,4.0,BOLONYAI F,7 - 6,480,HUN,8:00
Starting goalkeeper,1.0,1,7,6,CHN,4.0,YANG J,7 - 6,480,CHN,8:00
Sprint won possession,8.0,1,7,6,CHN,4.0,KESZTHELYI R,7 - 6,480,HUN,8:00
Action shot - Saved,12.0,1,7,6,CHN,4.0,MENCZINGER K,7 - 6,451,HUN,7:31
20 sec. exclusion in centre,11.0,1,7,6,CHN,4.0,GARDA K,7 - 6,434,HUN,7:14
Exclusion with substitution,11.0,1,7,6,CHN,4.0,GARDA K,7 - 6,434,HUN,7:14
Action shot - Saved,9.0,1,7,6,CHN,4.0,ZHAO Z,7 - 6,406,CHN,6:46
Action shot - Post,8.0,1,7,6,CHN,4.0,KESZTHELYI R,7 - 6,392,HUN,6:32
Turnover foul,9.0,1,7,6,CHN,4.0,ZHAO Z,7 - 6,376,CHN,6:16
Steal,3.0,1,7,6,CHN,4.0,ANTAL D,7 - 6,376,HUN,6:16
Action shot - Missed,4.0,1,7,6,CHN,4.0,KISTELEKI D,7 - 6,358,HUN,5:58
20 sec. exclusion in centre,5.0,1,7,6,CHN,4.0,NIU G,7 - 6,305,CHN,5:05
Time-Out,,1,7,6,CHN,4.0,,7 - 6,305,HUN,5:05
Action shot - Goal,3.0,1,8,6,CHN,4.0,ANTAL D,8 - 6,299,HUN,4:59
Turnover foul,9.0,1,8,6,CHN,4.0,ZHAO Z,8 - 6,283,CHN,4:43
Steal,6.0,1,8,6,CHN,4.0,TAKACS O,8 - 6,283,HUN,4:43
Turnover foul,12.0,1,8,6,CHN,4.0,MENCZINGER K,8 - 6,255,HUN,4:15
5m shot - Saved,7.0,1,8,6,CHN,4.0,SONG D,8 - 6,232,CHN,3:52
5m shot - Goal,7.0,1,8,7,CHN,4.0,SONG D,8 - 7,206,CHN,3:26
Turnover foul,3.0,1,8,7,CHN,4.0,ANTAL D,8 - 7,186,HUN,3:06
5m shot - Goal,9.0,1,8,8,CHN,4.0,ZHAO Z,8 - 8,164,CHN,2:44
Action shot - Blocked,3.0,1,8,8,CHN,4.0,ANTAL D,8 - 8,139,HUN,2:19
Turnover foul,10.0,1,8,8,CHN,4.0,ZHANG W,8 - 8,139,CHN,2:19
20 sec. exclusion in field,9.0,1,8,8,CHN,4.0,TOTH I,8 - 8,119,HUN,1:59
20 sec. exclusion in centre,6.0,1,8,8,CHN,4.0,SUN Y,8 - 8,78,CHN,1:18
Extra player shot - Missed,9.0,1,8,8,CHN,4.0,TOTH I,8 - 8,61,HUN,1:01
5m shot - Goal,9.0,1,8,9,CHN,4.0,ZHAO Z,8 - 9,39,CHN,0:39
Turnover foul,8.0,1,8,9,CHN,4.0,KESZTHELYI R,8 - 9,12,HUN,0:12
Time-Out,,1,8,9,CHN,4.0,,8 - 9,11,CHN,0:11
5m shot - Post,1.0,1,8,9,CHN,4.0,BOLONYAI F,8 - 9,0,HUN,0:00
Starting goalkeeper,1.0,2,0,0,RUS,1.0,BOLONYAI F,0 - 0,480,HUN,8:00
Starting goalkeeper,13.0,2,0,0,RUS,1.0,KARNAUKH A,0 - 0,480,RUS,8:00
Sprint won possession,7.0,2,0,0,RUS,1.0,LISUNOVA E,0 - 0,480,RUS,8:00
Turnover foul,11.0,2,0,0,RUS,1.0,IVANOVA E,0 - 0,463,RUS,7:43
Action shot - Saved,10.0,2,0,0,RUS,1.0,BUJKA B,0 - 0,434,HUN,7:14
5m shot - Post,7.0,2,0,0,RUS,1.0,LISUNOVA E,0 - 0,414,RUS,6:54
Action shot - Saved,3.0,2,0,0,RUS,1.0,ANTAL D,0 - 0,396,HUN,6:36
5m shot - Post,7.0,2,0,0,RUS,1.0,LISUNOVA E,0 - 0,369,RUS,6:09
Turnover foul,10.0,2,0,0,RUS,1.0,BUJKA B,0 - 0,348,HUN,5:48
Action shot - Post,12.0,2,0,0,RUS,1.0,IARONDAIKINA N,0 - 0,338,RUS,5:38
Centre shot - Goal,10.0,2,1,0,RUS,1.0,BUJKA B,1 - 0,318,HUN,5:18
20 sec. exclusion in centre,5.0,2,1,0,RUS,1.0,SZUCS G,1 - 0,309,HUN,5:09
Extra player shot - Saved,4.0,2,1,0,RUS,1.0,KARIMOVA E,1 - 0,284,RUS,4:44
Turnover foul,10.0,2,1,0,RUS,1.0,BUJKA B,1 - 0,255,HUN,4:15
Steal,7.0,2,1,0,RUS,1.0,LISUNOVA E,1 - 0,255,RUS,4:15
Action shot - Saved,7.0,2,1,0,RUS,1.0,LISUNOVA E,1 - 0,241,RUS,4:01
20 sec. exclusion in centre,10.0,2,1,0,RUS,1.0,TANKEEVA E,1 - 0,230,RUS,3:50
Extra player shot - Goal,10.0,2,2,0,RUS,1.0,BUJKA B,2 - 0,227,HUN,3:47
20 sec. exclusion in centre,6.0,2,2,0,RUS,1.0,TAKACS O,2 - 0,219,HUN,3:39
