Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name
1.0,4:07,20 sec. exclusion in centre,0 - 0,ROU,GOANTA D,9.0,0,0,247,2,KAZ
1.0,3:50,Extra player shot - Goal,1 - 0,KAZ,SHMIDER A,6.0,1,0,230,2,KAZ
1.0,3:24,20 sec. exclusion in field,1 - 0,KAZ,PILIPENKO R,4.0,1,0,204,2,KAZ
1.0,3:04,Extra player shot - Post,1 - 0,ROU,GEORGESCU R,10.0,1,0,184,2,KAZ
1.0,2:48,Turnover foul,1 - 0,KAZ,GUBAREV S,2.0,1,0,168,2,KAZ
1.0,2:48,Steal,1 - 0,ROU,STOENESCU D,1.0,1,0,168,2,KAZ
1.0,2:21,5m shot - Saved,1 - 0,ROU,MATEI A,7.0,1,0,141,2,KAZ
1.0,2:00,20 sec. exclusion in centre,1 - 0,ROU,MATEI A,7.0,1,0,120,2,KAZ
1.0,1:52,Turnover foul,1 - 0,KAZ,PEKOVICH B,12.0,1,0,112,2,KAZ
1.0,1:30,Centre shot - Missed,1 - 0,ROU,IANC P,2.0,1,0,90,2,KAZ
1.0,1:05,5m shot - Blocked,1 - 0,KAZ,USHAKOV V,7.0,1,0,65,2,KAZ
1.0,0:38,5m shot - Blocked,1 - 0,ROU,GEORGESCU R,10.0,1,0,38,2,KAZ
1.0,0:29,20 sec. exclusion in field,1 - 0,KAZ,USHAKOV V,7.0,1,0,29,2,KAZ
1.0,0:09,Extra player shot - Saved,1 - 0,ROU,GOANTA D,9.0,1,0,9,2,KAZ
2.0,8:00,Starting goalkeeper,1 - 0,KAZ,MAXIMOV N,1.0,1,0,480,2,KAZ
2.0,8:00,Starting goalkeeper,1 - 0,ROU,STOENESCU D,1.0,1,0,480,2,KAZ
2.0,8:00,Sprint won possession,1 - 0,KAZ,SHAKENOV M,5.0,1,0,480,2,KAZ
2.0,7:07,20 sec. exclusion in field,1 - 0,KAZ,PILIPENKO R,4.0,1,0,427,2,KAZ
2.0,6:47,Extra player shot - Post,1 - 0,ROU,TEOHARI D,5.0,1,0,407,2,KAZ
2.0,6:22,20 sec. exclusion in centre,1 - 0,ROU,BUSILA A,6.0,1,0,382,2,KAZ
2.0,5:59,Action shot - Goal,2 - 0,KAZ,SHMIDER A,6.0,2,0,359,2,KAZ
2.0,5:44,Turnover foul,2 - 0,ROU,CHIOVEANU M,8.0,2,0,344,2,KAZ
2.0,5:17,5m shot - Missed,2 - 0,KAZ,UKUMANOV R,9.0,2,0,317,2,KAZ
2.0,4:49,5m shot - Blocked,2 - 0,ROU,CRETU A,12.0,2,0,289,2,KAZ
2.0,4:22,Turnover foul,2 - 0,KAZ,RUDAY M,10.0,2,0,262,2,KAZ
2.0,4:22,Steal,2 - 0,ROU,CRETU A,12.0,2,0,262,2,KAZ
2.0,3:53,5m shot - Goal,2 - 1,ROU,CRETU A,12.0,2,1,233,2,KAZ
2.0,3:32,20 sec. exclusion in centre,2 - 1,ROU,CRETU A,12.0,2,1,212,2,KAZ
2.0,3:13,Extra player shot - Blocked,2 - 1,KAZ,GUBAREV S,2.0,2,1,193,2,KAZ
2.0,3:10,Action shot - Goal,3 - 1,KAZ,MEDVEDEV Y,3.0,3,1,190,2,KAZ
2.0,2:53,20 sec. exclusion in field,3 - 1,KAZ,MEDVEDEV Y,3.0,3,1,173,2,KAZ
2.0,2:36,Extra player shot - Goal,3 - 2,ROU,IANC P,2.0,3,2,156,2,KAZ
2.0,2:10,20 sec. exclusion in field,3 - 2,ROU,CHIOVEANU M,8.0,3,2,130,2,KAZ
2.0,1:46,Action shot - Blocked,3 - 2,KAZ,USHAKOV V,7.0,3,2,106,2,KAZ
2.0,1:26,Action shot - Saved,3 - 2,ROU,NEGREAN T,3.0,3,2,86,2,KAZ
2.0,0:59,5m shot - Blocked,3 - 2,ROU,TEOHARI D,5.0,3,2,59,2,KAZ
2.0,0:40,20 sec. exclusion in centre,3 - 2,ROU,GHIBAN A,11.0,3,2,40,2,KAZ
2.0,0:01,5m shot - Saved,3 - 2,ROU,NEGREAN T,3.0,3,2,1,2,KAZ
3.0,8:00,Starting goalkeeper,3 - 2,KAZ,MAXIMOV N,1.0,3,2,480,2,KAZ
3.0,8:00,Starting goalkeeper,3 - 2,ROU,STOENESCU D,1.0,3,2,480,2,KAZ
3.0,8:00,Sprint won possession,3 - 2,KAZ,MEDVEDEV Y,3.0,3,2,480,2,KAZ
3.0,7:35,Turnover foul,3 - 2,KAZ,USHAKOV V,7.0,3,2,455,2,KAZ
3.0,7:35,Steal,3 - 2,ROU,DIACONU N,4.0,3,2,455,2,KAZ
3.0,7:12,20 sec. exclusion in centre,3 - 2,KAZ,SHMIDER A,6.0,3,2,432,2,KAZ
3.0,6:53,Extra player shot - Goal,3 - 3,ROU,NEGREAN T,3.0,3,3,413,2,KAZ
3.0,6:30,5m shot - Goal,4 - 3,KAZ,MEDVEDEV Y,3.0,4,3,390,2,KAZ
3.0,6:11,Turnover foul,4 - 3,ROU,CHIOVEANU M,8.0,4,3,371,2,KAZ
3.0,5:47,Action shot - Saved,4 - 3,KAZ,UKUMANOV R,9.0,4,3,347,2,KAZ
3.0,5:20,Turnover foul,4 - 3,ROU,DIACONU N,4.0,4,3,320,2,KAZ
3.0,5:20,Steal,4 - 3,KAZ,KOLIADENKO A,8.0,4,3,320,2,KAZ
3.0,4:52,Action shot - Goal,5 - 3,KAZ,KOLIADENKO A,8.0,5,3,292,2,KAZ
3.0,4:29,Turnover foul,5 - 3,ROU,IANC P,2.0,5,3,269,2,KAZ
3.0,4:29,Steal,5 - 3,KAZ,UKUMANOV R,9.0,5,3,269,2,KAZ
3.0,4:01,5m shot - Saved,5 - 3,KAZ,GUBAREV S,2.0,5,3,241,2,KAZ
3.0,3:46,20 sec. exclusion in field,5 - 3,KAZ,PILIPENKO R,4.0,5,3,226,2,KAZ
3.0,3:46,Exclusion with substitution,5 - 3,KAZ,PILIPENKO R,4.0,5,3,226,2,KAZ
3.0,3:46,Time-Out,5 - 3,ROU,,,5,3,226,2,KAZ
3.0,3:25,Turnover foul,5 - 3,ROU,CHIOVEANU M,8.0,5,3,205,2,KAZ
3.0,3:25,Steal,5 - 3,KAZ,UKUMANOV R,9.0,5,3,205,2,KAZ
