Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Penalty shot,12.0,5,4,2,BRA,2.0,SUZUKI K,2 - 4,343,JPN,5:43,Goal,1
Action shot,2.0,5,5,2,BRA,2.0,ARIMA Y,2 - 5,303,JPN,5:03,Goal,1
Counter attack,5.0,5,6,2,BRA,2.0,SAKANOUE C,2 - 6,274,JPN,4:34,Goal,1
Action shot,2.0,5,6,3,BRA,2.0,ABLA D,3 - 6,254,BRA,4:14,Goal,1
Action shot,2.0,5,6,3,BRA,2.0,ARIMA Y,3 - 6,243,JPN,4:03,Saved,0
5m shot,2.0,5,6,3,BRA,4.0,ARIMA Y,3 - 6,410,JPN,6:50,Post,0
5m shot,3.0,5,6,3,BRA,4.0,ZABLITH M,3 - 6,382,BRA,6:22,Post,0
Action shot,3.0,5,6,3,BRA,4.0,KAZAMA Y,3 - 6,365,JPN,6:05,Missed,0
Counter attack,11.0,5,9,8,BRA,4.0,DUARTE M,8 - 9,352,BRA,5:52,Goal,1
Extra player shot,2.0,5,10,8,BRA,4.0,ARIMA Y,8 - 10,325,JPN,5:25,Goal,1
Action shot,10.0,5,10,8,BRA,4.0,BAHIA V,8 - 10,306,BRA,5:06,Saved,0
Centre shot,8.0,5,10,9,BRA,4.0,BRUZZO M,9 - 10,306,BRA,5:06,Goal,1
5m shot,2.0,5,10,9,BRA,4.0,ARIMA Y,9 - 10,284,JPN,4:44,Blocked,0
Action shot,3.0,5,10,9,BRA,4.0,ZABLITH M,9 - 10,255,BRA,4:15,Saved,0
Action shot,4.0,5,11,9,BRA,4.0,MAGARIYAMA S,9 - 11,243,JPN,4:03,Goal,1
Action shot,5.0,5,11,9,BRA,4.0,SAKANOUE C,9 - 11,202,JPN,3:22,Post,0
Action shot,7.0,5,11,9,BRA,2.0,INABA A,9 - 11,164,JPN,2:44,Post,0
Counter attack,3.0,5,7,3,BRA,2.0,KAZAMA Y,3 - 7,127,JPN,2:07,Goal,1
Centre shot,7.0,5,7,4,BRA,2.0,FERREIRA S,4 - 7,92,BRA,1:32,Goal,1
Action shot,9.0,5,7,4,BRA,2.0,HOSOYA K,4 - 7,32,JPN,0:32,Post,0
Action shot,3.0,5,7,4,BRA,2.0,ZABLITH M,4 - 7,15,BRA,0:15,Missed,0
Counter attack,7.0,5,8,4,BRA,2.0,INABA A,4 - 8,2,JPN,0:02,Goal,1
5m shot,3.0,5,8,4,BRA,2.0,ZABLITH M,4 - 8,1,BRA,0:01,Blocked,0
Centre shot,6.0,5,8,4,BRA,3.0,YAMAMOTO M,4 - 8,447,JPN,7:27,Saved,0
5m shot,3.0,5,8,4,BRA,3.0,ZABLITH M,4 - 8,414,BRA,6:54,Post,0
5m shot,12.0,5,8,4,BRA,3.0,SUZUKI K,4 - 8,401,JPN,6:41,Saved,0
Centre shot,10.0,5,8,4,BRA,3.0,BAHIA V,4 - 8,386,BRA,6:26,Saved,0
Extra player shot,12.0,5,8,4,BRA,3.0,SUZUKI K,4 - 8,345,JPN,5:45,Blocked,0
Action shot,12.0,5,8,4,BRA,3.0,BELORIO L,4 - 8,319,BRA,5:19,Saved,0
Action shot,2.0,5,8,5,BRA,3.0,ABLA D,5 - 8,281,BRA,4:41,Goal,1
5m shot,3.0,5,8,5,BRA,3.0,KAZAMA Y,5 - 8,222,JPN,3:42,Post,0
5m shot,9.0,5,8,5,BRA,3.0,DIAS M,5 - 8,193,BRA,3:13,Post,0
5m shot,4.0,5,8,5,BRA,3.0,MAGARIYAMA S,5 - 8,153,JPN,2:33,Saved,0
Centre shot,12.0,5,8,5,BRA,3.0,BELORIO L,5 - 8,138,BRA,2:18,Post,0
Action shot,4.0,5,8,5,BRA,3.0,MAGARIYAMA S,5 - 8,111,JPN,1:51,Post,0
Penalty shot,2.0,5,8,6,BRA,3.0,ABLA D,6 - 8,89,BRA,1:29,Goal,1
5m shot,2.0,5,8,6,BRA,3.0,ABLA D,6 - 8,42,BRA,0:42,Saved,0
Action shot,8.0,5,8,6,BRA,3.0,BRUZZO M,6 - 8,15,BRA,0:15,Saved,0
5m shot,2.0,5,9,6,BRA,3.0,ARIMA Y,6 - 9,3,JPN,0:03,Goal,1
5m shot,13.0,5,9,6,BRA,3.0,SHIOYA M,6 - 9,1,JPN,0:01,Blocked,0
Action shot,11.0,5,9,7,BRA,4.0,DUARTE M,7 - 9,440,BRA,7:20,Goal,1
Action shot,10.0,5,9,7,BRA,4.0,BAHIA V,7 - 9,120,BRA,2:00,Missed,0
5m shot,5.0,5,9,7,BRA,4.0,SAKANOUE C,7 - 9,104,JPN,1:44,Saved,0
5m shot,12.0,5,9,7,BRA,4.0,SUZUKI K,7 - 9,46,JPN,0:46,Blocked,0
