Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,5.0,2,6,12,NED,3.0,SAKANOUE C,6 - 12,161,JPN,2:41,Saved,0
Centre shot,4.0,2,6,12,NED,3.0,MAGARIYAMA S,6 - 12,118,JPN,1:58,Saved,0
Centre shot,4.0,2,6,13,NED,3.0,van der SLOOT S,6 - 13,103,NED,1:43,Goal,1
Centre shot,3.0,2,7,13,NED,3.0,KAZAMA Y,7 - 13,60,JPN,1:00,Goal,1
Action shot,7.0,2,7,14,NED,3.0,NIJHUIS M,7 - 14,44,NED,0:44,Goal,1
Centre shot,2.0,2,7,14,NED,3.0,ARIMA Y,7 - 14,21,JPN,0:21,Saved,0
Action shot,8.0,2,7,15,NED,3.0,SEVENICH V,7 - 15,6,NED,0:06,Goal,1
Extra player shot,6.0,2,7,15,NED,4.0,YAMAMOTO M,7 - 15,235,JPN,3:55,Blocked,0
5m shot,11.0,2,8,18,NED,4.0,KLAASSEN L,8 - 18,208,NED,3:28,Goal,1
5m shot,7.0,2,8,18,NED,4.0,INABA A,8 - 18,149,JPN,2:29,Post,0
5m shot,7.0,2,8,19,NED,4.0,NIJHUIS M,8 - 19,135,NED,2:15,Goal,1
5m shot,2.0,2,8,19,NED,4.0,ARIMA Y,8 - 19,113,JPN,1:53,Missed,0
Extra player shot,7.0,2,8,19,NED,4.0,NIJHUIS M,8 - 19,65,NED,1:05,Saved,0
Penalty shot,3.0,2,8,19,NED,4.0,KAZAMA Y,8 - 19,65,JPN,1:05,Saved,0
Action shot,11.0,2,8,19,NED,4.0,KLAASSEN L,8 - 19,46,NED,0:46,Missed,0
Centre shot,2.0,2,8,19,NED,4.0,ARIMA Y,8 - 19,31,JPN,0:31,Saved,0
5m shot,11.0,2,8,20,NED,4.0,KLAASSEN L,8 - 20,4,NED,0:04,Goal,1
5m shot,2.0,2,8,20,NED,4.0,ARIMA Y,8 - 20,1,JPN,0:01,Saved,0
Action shot,12.0,3,1,0,FRA,1.0,SUZUKI K,1 - 0,442,JPN,7:22,Goal,1
Centre shot,6.0,3,1,1,FRA,1.0,MAHIEU G,1 - 1,416,FRA,6:56,Goal,1
5m shot,5.0,3,2,1,FRA,1.0,SAKANOUE C,2 - 1,393,JPN,6:33,Goal,1
Centre shot,6.0,3,2,1,FRA,1.0,MAHIEU G,2 - 1,362,FRA,6:02,Post,0
Centre shot,6.0,3,2,1,FRA,1.0,YAMAMOTO M,2 - 1,344,JPN,5:44,Post,0
Extra player shot,11.0,3,2,2,FRA,1.0,BARBIEUX M,2 - 2,318,FRA,5:18,Goal,1
5m shot,2.0,3,2,2,FRA,1.0,ARIMA Y,2 - 2,301,JPN,5:01,Post,0
Extra player shot,10.0,3,2,2,FRA,1.0,NORO M,2 - 2,225,JPN,3:45,Post,0
Action shot,12.0,3,2,2,FRA,1.0,SUZUKI K,2 - 2,149,JPN,2:29,Missed,0
Action shot,7.0,3,2,2,FRA,1.0,VALVERDE C,2 - 2,130,FRA,2:10,Saved,0
Counter attack,7.0,3,3,2,FRA,1.0,INABA A,3 - 2,117,JPN,1:57,Goal,1
5m shot,2.0,3,3,2,FRA,1.0,ARIMA Y,3 - 2,84,JPN,1:24,Post,0
Action shot,3.0,3,3,2,FRA,1.0,KAZAMA Y,3 - 2,36,JPN,0:36,Saved,0
Extra player shot,5.0,3,3,3,FRA,1.0,GUILLET L,3 - 3,1,FRA,0:01,Goal,1
Action shot,7.0,3,3,3,FRA,2.0,INABA A,3 - 3,451,JPN,7:31,Saved,0
5m shot,7.0,3,3,3,FRA,2.0,VALVERDE C,3 - 3,425,FRA,7:05,Saved,0
5m shot,10.0,3,3,3,FRA,2.0,NORO M,3 - 3,401,JPN,6:41,Missed,0
Extra player shot,12.0,3,3,4,FRA,2.0,DAULE A,3 - 4,368,FRA,6:08,Goal,1
Extra player shot,2.0,3,3,5,FRA,2.0,MILLOT E,3 - 5,313,FRA,5:13,Goal,1
Centre shot,6.0,3,3,5,FRA,2.0,MAHIEU G,3 - 5,269,FRA,4:29,Missed,0
5m shot,7.0,3,3,5,FRA,2.0,INABA A,3 - 5,240,JPN,4:00,Post,0
Action shot,5.0,3,3,5,FRA,2.0,GUILLET L,3 - 5,209,FRA,3:29,Saved,0
Action shot,5.0,3,3,5,FRA,2.0,SAKANOUE C,3 - 5,195,JPN,3:15,Saved,0
Counter attack,7.0,3,3,5,FRA,4.0,INABA A,3 - 5,311,JPN,5:11,Post,0
Penalty shot,2.0,3,3,5,FRA,4.0,ARIMA Y,3 - 5,284,JPN,4:44,Saved,0
5m shot,2.0,3,3,5,FRA,4.0,MILLOT E,3 - 5,259,FRA,4:19,Post,0
