Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,7.0,5,0,2,CRO,2.0,MUSLIM P,2 - 0,344,CRO,5:44,Post,0
5m shot,5.0,5,0,2,CRO,2.0,JOKOVIC M,2 - 0,286,CRO,4:46,Saved,0
5m shot,2.0,5,0,2,CRO,2.0,BRGULJAN D,2 - 0,204,MNE,3:24,Saved,0
Extra player shot,6.0,5,0,3,CRO,2.0,BUKIC L,3 - 0,163,CRO,2:43,Goal,1
5m shot,7.0,5,0,3,CRO,2.0,JANOVIC M,3 - 0,121,MNE,2:01,Missed,0
Action shot,7.0,5,0,3,CRO,2.0,JANOVIC M,3 - 0,111,MNE,1:51,Saved,0
Action shot,10.0,5,0,4,CRO,2.0,PASKVALIN F,4 - 0,80,CRO,1:20,Goal,1
5m shot,6.0,5,0,4,CRO,2.0,RADOVIC A,4 - 0,10,MNE,0:10,Saved,0
Extra player shot,7.0,5,0,4,CRO,2.0,JANOVIC M,4 - 0,1,MNE,0:01,Saved,0
Action shot,7.0,5,0,5,CRO,3.0,MUSLIM P,5 - 0,459,CRO,7:39,Goal,1
Action shot,5.0,5,1,5,CRO,3.0,BRGULJAN D,5 - 1,441,MNE,7:21,Goal,1
Action shot,11.0,5,2,5,CRO,3.0,KLIKOVAC F,5 - 2,352,MNE,5:52,Goal,1
5m shot,12.0,5,2,5,CRO,3.0,OBRADOVIC P,5 - 2,317,CRO,5:17,Post,0
5m shot,12.0,5,2,5,CRO,3.0,OBRADOVIC P,5 - 2,290,CRO,4:50,Missed,0
Extra player shot,6.0,5,2,6,CRO,3.0,BUKIC L,6 - 2,217,CRO,3:37,Goal,1
5m shot,6.0,5,2,6,CRO,3.0,BUKIC L,6 - 2,191,CRO,3:11,Blocked,0
Action shot,10.0,5,2,6,CRO,3.0,PASKVALIN F,6 - 2,136,CRO,2:16,Missed,0
Action shot,9.0,5,2,6,CRO,3.0,SUKNO S,6 - 2,105,CRO,1:45,Saved,0
Action shot,11.0,5,3,6,CRO,3.0,KLIKOVAC F,6 - 3,59,MNE,0:59,Goal,1
5m shot,12.0,5,3,7,CRO,3.0,OBRADOVIC P,7 - 3,37,CRO,0:37,Goal,1
5m shot,9.0,5,3,7,CRO,3.0,IVOVIC A,7 - 3,0,MNE,0:00,Saved,0
Penalty shot,7.0,5,3,7,CRO,4.0,JANOVIC M,7 - 3,450,MNE,7:30,Saved,0
5m shot,7.0,5,3,8,CRO,4.0,MUSLIM P,8 - 3,420,CRO,7:00,Goal,1
Action shot,6.0,5,3,8,CRO,4.0,RADOVIC A,8 - 3,380,MNE,6:20,Saved,0
Counter attack,11.0,5,3,9,CRO,4.0,SETKA A,9 - 3,361,CRO,6:01,Goal,1
Action shot,7.0,5,3,9,CRO,4.0,JANOVIC M,9 - 3,342,MNE,5:42,Saved,0
5m shot,5.0,5,3,9,CRO,4.0,BRGULJAN D,9 - 3,315,MNE,5:15,Missed,0
5m shot,9.0,5,3,9,CRO,4.0,IVOVIC A,9 - 3,269,MNE,4:29,Post,0
5m shot,8.0,5,3,9,CRO,4.0,UKROPINA A,9 - 3,257,MNE,4:17,Saved,0
Extra player shot,12.0,5,3,9,CRO,4.0,OBRADOVIC P,9 - 3,195,CRO,3:15,Post,0
5m shot,12.0,5,3,9,CRO,4.0,JOKIC P,9 - 3,169,MNE,2:49,Post,0
