Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Centre shot,9.0,1,0,UZB,1.0,TIMOFEEVA A,0,0 - 0,436,RUS,7:16,Saved,0
Action shot,3.0,1,0,UZB,1.0,PROKOFYEVA E,1,1 - 0,412,RUS,6:52,Goal,1
Action shot,10.0,1,0,UZB,1.0,ZINUROVA A,1,1 - 0,390,UZB,6:30,Missed,0
Action shot,10.0,1,0,UZB,1.0,BELIAEVA O,2,2 - 0,375,RUS,6:15,Goal,1
Action shot,7.0,1,0,UZB,1.0,PLYUSOVA N,2,2 - 0,331,UZB,5:31,Saved,0
Centre shot,3.0,1,1,UZB,1.0,SARANCHA A,2,2 - 1,316,UZB,5:16,Goal,1
Extra player shot,5.0,1,1,UZB,1.0,ANTONOVA A,2,2 - 1,251,RUS,4:11,Saved,0
Action shot,5.0,1,1,UZB,1.0,ANTONOVA A,2,2 - 1,244,RUS,4:04,Post,0
Counter attack,6.0,1,1,UZB,1.0,BELOVA O,3,3 - 1,214,RUS,3:34,Goal,1
Extra player shot,8.0,1,1,UZB,1.0,GRINEVA A,3,3 - 1,146,RUS,2:26,Post,0
Extra player shot,5.0,1,1,UZB,1.0,ANTONOVA A,4,4 - 1,144,RUS,2:24,Goal,1
Extra player shot,3.0,1,1,UZB,1.0,SARANCHA A,4,4 - 1,112,UZB,1:52,Saved,0
5m shot,8.0,1,1,UZB,1.0,GRINEVA A,4,4 - 1,84,RUS,1:24,,0
5m shot,5.0,1,1,UZB,1.0,ANTONOVA A,5,5 - 1,54,RUS,0:54,Goal,1
Extra player shot,3.0,1,1,UZB,1.0,SARANCHA A,5,5 - 1,1,UZB,0:01,Blocked,0
Action shot,11.0,1,1,UZB,2.0,IVANOVA E,6,6 - 1,460,RUS,7:40,Goal,1
Counter attack,11.0,1,1,UZB,2.0,IVANOVA E,7,7 - 1,430,RUS,7:10,Goal,1
Action shot,11.0,1,1,UZB,2.0,IVANOVA E,7,7 - 1,349,RUS,5:49,Saved,0
Counter attack,4.0,1,1,UZB,2.0,KARIMOVA E,8,8 - 1,287,RUS,4:47,Goal,1
Action shot,12.0,1,1,UZB,2.0,ZELENTSOVA E,9,9 - 1,265,RUS,4:25,Goal,1
Action shot,10.0,1,1,UZB,2.0,BELIAEVA O,10,10 - 1,191,RUS,3:11,Goal,1
5m shot,5.0,1,1,UZB,2.0,ANTONOVA A,11,11 - 1,141,RUS,2:21,Goal,1
Penalty shot,7.0,1,1,UZB,2.0,PLYUSOVA N,11,11 - 1,128,UZB,2:08,Saved,0
5m shot,2.0,1,1,UZB,2.0,ANTONOVA D,11,11 - 1,107,RUS,1:47,Blocked,0
Action shot,6.0,1,1,UZB,2.0,BELOVA O,11,11 - 1,28,RUS,0:28,Blocked,0
Centre shot,3.0,1,2,UZB,2.0,SARANCHA A,11,11 - 2,16,UZB,0:16,Goal,1
Action shot,5.0,1,2,UZB,3.0,ANTONOVA A,11,11 - 2,464,RUS,7:44,Missed,0
Extra player shot,3.0,1,2,UZB,3.0,PROKOFYEVA E,12,12 - 2,413,RUS,6:53,Goal,1
5m shot,10.0,1,2,UZB,3.0,ZINUROVA A,12,12 - 2,388,UZB,6:28,Saved,0
5m shot,12.0,1,2,UZB,3.0,ZELENTSOVA E,12,12 - 2,368,RUS,6:08,Saved,0
Counter attack,7.0,1,2,UZB,3.0,PLYUSOVA N,12,12 - 2,356,UZB,5:56,Post,0
Counter attack,3.0,1,2,UZB,3.0,PROKOFYEVA E,13,13 - 2,339,RUS,5:39,Goal,1
Action shot,10.0,1,2,UZB,3.0,BELIAEVA O,14,14 - 2,302,RUS,5:02,Goal,1
Centre shot,3.0,1,2,UZB,3.0,SARANCHA A,14,14 - 2,272,UZB,4:32,Saved,0
5m shot,4.0,1,2,UZB,3.0,KARIMOVA E,14,14 - 2,248,RUS,4:08,Post,0
Counter attack,3.0,1,2,UZB,3.0,PROKOFYEVA E,15,15 - 2,211,RUS,3:31,Goal,1
