Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time
Steal,5.0,4,2,RSA,2.0,SCHOOLING M,10,10 - 2,142,RSA,2:22
Action shot - Goal,8.0,4,2,RSA,2.0,GRINEVA A,11,11 - 2,101,RUS,1:41
5m shot - Saved,12.0,4,2,RSA,2.0,WHITE K,11,11 - 2,80,RSA,1:20
Counter attack - Saved,11.0,4,2,RSA,2.0,IVANOVA E,11,11 - 2,66,RUS,1:06
5m shot - Missed,8.0,4,2,RSA,2.0,KEET L,11,11 - 2,41,RSA,0:41
Goalkeeper substitution,13.0,4,2,RSA,4.0,KARNAUKH A,11,11 - 2,39,RUS,0:39
Action shot - Post,4.0,4,2,RSA,4.0,KARIMOVA E,11,11 - 2,22,RUS,0:22
Counter attack - Goal,3.0,4,2,RSA,2.0,PROKOFYEVA E,12,12 - 2,31,RUS,0:31
Action shot - Saved,10.0,4,2,RSA,2.0,KEET M,12,12 - 2,3,RSA,0:03
Starting goalkeeper,1.0,4,2,RSA,3.0,JACOBS A,12,12 - 2,480,RSA,8:00
Starting goalkeeper,1.0,4,2,RSA,3.0,USTYUKHINA A,12,12 - 2,480,RUS,8:00
Sprint won possession,2.0,4,2,RSA,3.0,ANTONOVA D,12,12 - 2,480,RUS,8:00
Action shot - Missed,6.0,4,2,RSA,3.0,BELOVA O,12,12 - 2,459,RUS,7:39
Turnover foul,7.0,4,2,RSA,3.0,KAY K,12,12 - 2,455,RSA,7:35
20 sec. exclusion in field,7.0,4,2,RSA,3.0,KAY K,12,12 - 2,452,RSA,7:32
Time-Out,,4,2,RSA,3.0,,12,12 - 2,452,RUS,7:32
Extra player shot - Goal,3.0,4,2,RSA,3.0,PROKOFYEVA E,13,13 - 2,441,RUS,7:21
Turnover foul,2.0,4,2,RSA,3.0,SCHMIDT K,13,13 - 2,426,RSA,7:06
Steal,6.0,4,2,RSA,3.0,BELOVA O,13,13 - 2,426,RUS,7:06
Action shot - Post,12.0,4,2,RSA,3.0,ZELENTSOVA E,13,13 - 2,413,RUS,6:53
Centre shot - Saved,10.0,4,2,RSA,3.0,BELIAEVA O,13,13 - 2,404,RUS,6:44
20 sec. exclusion in centre,12.0,4,2,RSA,3.0,WHITE K,13,13 - 2,366,RSA,6:06
Extra player shot - Goal,10.0,4,2,RSA,3.0,BELIAEVA O,14,14 - 2,355,RUS,5:55
Action shot - Saved,7.0,4,2,RSA,3.0,KAY K,14,14 - 2,338,RSA,5:38
Centre shot - Saved,12.0,4,2,RSA,3.0,ZELENTSOVA E,14,14 - 2,320,RUS,5:20
Turnover foul,7.0,4,2,RSA,3.0,KAY K,14,14 - 2,294,RSA,4:54
20 sec. exclusion in centre,10.0,4,2,RSA,3.0,KEET M,14,14 - 2,275,RSA,4:35
