Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time,Result,Goal
Extra player shot,7.0,1,6,MNE,3.0,JANOVIC M,8,8 - 6,153,MNE,2:33,Saved,0
Extra player shot,11.0,1,6,MNE,3.0,PRLAINOVIC A,9,9 - 6,137,SRB,2:17,Goal,1
Extra player shot,12.0,1,6,MNE,3.0,MITORVIC S,9,9 - 6,68,SRB,1:08,Saved,0
Action shot,7.0,1,7,MNE,3.0,JANOVIC M,9,9 - 7,4,MNE,0:04,Goal,1
5m shot,9.0,1,7,MNE,4.0,IVOVIC A,9,9 - 7,454,MNE,7:34,Saved,0
Penalty shot,10.0,1,7,MNE,4.0,FILIPOVIC F,10,10 - 7,444,SRB,7:24,Goal,1
Extra player shot,9.0,1,7,MNE,4.0,JAKSIC N,11,11 - 7,358,SRB,5:58,Goal,1
Extra player shot,2.0,1,7,MNE,4.0,BRGULJAN D,11,11 - 7,319,MNE,5:19,Post,0
Extra player shot,5.0,1,8,MNE,4.0,BRGULJAN D,11,11 - 8,257,MNE,4:17,Goal,1
Action shot,4.0,1,8,MNE,4.0,CUCKOVIC U,11,11 - 8,134,MNE,2:14,Saved,0
Action shot,9.0,1,8,MNE,4.0,JAKSIC N,11,11 - 8,114,SRB,1:54,Saved,0
Action shot,5.0,1,8,MNE,4.0,CUK M,11,11 - 8,83,SRB,1:23,Saved,0
Centre shot,6.0,1,8,MNE,4.0,PIJETLOVIC D,11,11 - 8,34,SRB,0:34,Post,0
Action shot,9.0,1,8,MNE,4.0,IVOVIC A,11,11 - 8,16,MNE,0:16,Saved,0
Extra player shot,9.0,2,1,JPN,1.0,TAKEI K,0,0 - 1,427,JPN,7:07,Goal,1
Centre shot,7.0,2,1,JPN,1.0,NIKIC S,1,1 - 1,405,SRB,6:45,Goal,1
Extra player shot,9.0,2,1,JPN,1.0,TAKEI K,1,1 - 1,369,JPN,6:09,Saved,0
Extra player shot,4.0,2,1,JPN,1.0,RANDELOVIC S,1,1 - 1,328,SRB,5:28,Missed,0
Action shot,7.0,2,1,JPN,1.0,NIKIC S,1,1 - 1,284,SRB,4:44,Saved,0
Action shot,11.0,2,1,JPN,1.0,OKAWA K,1,1 - 1,272,JPN,4:32,Saved,0
Extra player shot,12.0,2,1,JPN,1.0,MITROVIC S,1,1 - 1,235,SRB,3:55,Post,0
Extra player shot,9.0,2,1,JPN,1.0,JAKSIC N,1,1 - 1,173,SRB,2:53,Saved,0
Extra player shot,8.0,2,1,JPN,1.0,ALEKSIC M,1,1 - 1,117,SRB,1:57,Saved,0
Action shot,11.0,2,1,JPN,1.0,PRLAINOVIC A,2,2 - 1,67,SRB,1:07,Goal,1
5m shot,2.0,2,1,JPN,1.0,MANDIC D,2,2 - 1,0,SRB,0:00,Saved,0
Extra player shot,6.0,2,1,JPN,2.0,PIJETLOVIC D,3,3 - 1,451,SRB,7:31,Goal,1
Action shot,2.0,2,1,JPN,2.0,MANDIC D,3,3 - 1,405,SRB,6:45,Saved,0
5m shot,6.0,2,1,JPN,2.0,PIJETLOVIC D,3,3 - 1,385,SRB,6:25,Saved,0
Centre shot,9.0,2,1,JPN,2.0,JAKSIC N,4,4 - 1,384,SRB,6:24,Goal,1
Action shot,7.0,2,1,JPN,2.0,SHIMIZU Y,4,4 - 1,336,JPN,5:36,Saved,0
Action shot,7.0,2,1,JPN,2.0,NIKIC S,5,5 - 1,315,SRB,5:15,Goal,1
Centre shot,7.0,2,1,JPN,2.0,NIKIC S,6,6 - 1,273,SRB,4:33,Goal,1
Action shot,3.0,2,2,JPN,2.0,ARAI A,6,6 - 2,253,JPN,4:13,Goal,1
Action shot,12.0,2,2,JPN,2.0,MITROVIC S,7,7 - 2,238,SRB,3:58,Goal,1
Action shot,8.0,2,2,JPN,2.0,KADONO Y,7,7 - 2,175,JPN,2:55,Blocked,0
Centre shot,11.0,2,2,JPN,2.0,PRLAINOVIC A,8,8 - 2,151,SRB,2:31,Goal,1
Centre shot,7.0,2,2,JPN,2.0,SHIMIZU Y,8,8 - 2,134,JPN,2:14,Blocked,0
5m shot,4.0,2,2,JPN,2.0,SHIGA M,8,8 - 2,92,JPN,1:32,Missed,0
5m shot,3.0,2,2,JPN,2.0,GOCIC Z,8,8 - 2,73,SRB,1:13,Saved,0
Penalty shot,2.0,2,3,JPN,2.0,ADACHI S,8,8 - 3,56,JPN,0:56,Goal,1
Action shot,3.0,2,3,JPN,2.0,ARAI A,8,8 - 3,10,JPN,0:10,Post,0
Action shot,8.0,2,3,JPN,4.0,KADONO Y,8,8 - 3,125,JPN,2:05,Saved,0
5m shot,2.0,2,3,JPN,4.0,MANDIC D,8,8 - 3,106,SRB,1:46,Saved,0
Action shot,11.0,2,3,JPN,4.0,PRLAINOVIC A,8,8 - 3,98,SRB,1:38,Saved,0
Extra player shot,8.0,2,9,JPN,4.0,KADONO Y,17,17 - 9,71,JPN,1:11,Goal,1
Centre shot,4.0,2,3,JPN,3.0,RANDELOVIC S,9,9 - 3,428,SRB,7:08,Goal,1
Extra player shot,6.0,2,3,JPN,3.0,PIJETLOVIC D,10,10 - 3,372,SRB,6:12,Goal,1
5m shot,9.0,2,3,JPN,3.0,TAKEI K,10,10 - 3,346,JPN,5:46,Blocked,0
5m shot,12.0,2,3,JPN,3.0,HAZUI S,10,10 - 3,320,JPN,5:20,Saved,0
Action shot,5.0,2,3,JPN,3.0,CUK M,10,10 - 3,297,SRB,4:57,Saved,0
Action shot,12.0,2,3,JPN,3.0,MITROVIC S,11,11 - 3,276,SRB,4:36,Goal,1
Penalty shot,9.0,2,4,JPN,3.0,TAKEI K,11,11 - 4,258,JPN,4:18,Goal,1
Extra player shot,7.0,2,4,JPN,3.0,NIKIC S,12,12 - 4,223,SRB,3:43,Goal,1
Extra player shot,11.0,2,4,JPN,3.0,OKAWA K,12,12 - 4,195,JPN,3:15,Post,0
Extra player shot,11.0,2,5,JPN,3.0,OKAWA K,12,12 - 5,192,JPN,3:12,Goal,1
Extra player shot,4.0,2,5,JPN,3.0,SHIGA M,12,12 - 5,144,JPN,2:24,Post,0
5m shot,10.0,2,5,JPN,3.0,FILIPOVIC F,12,12 - 5,120,SRB,2:00,Post,0
Action shot,12.0,2,5,JPN,3.0,HAZUI S,12,12 - 5,61,JPN,1:01,Saved,0
Counter attack,11.0,2,6,JPN,3.0,OKAWA K,12,12 - 6,48,JPN,0:48,Goal,1
Extra player shot,11.0,2,6,JPN,3.0,PRLAINOVIC A,13,13 - 6,18,SRB,0:18,Goal,1
Action shot,7.0,2,6,JPN,3.0,SHIMIZU Y,13,13 - 6,1,JPN,0:01,Missed,0
Extra player shot,2.0,2,6,JPN,4.0,ADACHI S,13,13 - 6,460,JPN,7:40,Saved,0
Centre shot,6.0,2,6,JPN,4.0,PIJETLOVIC D,13,13 - 6,427,SRB,7:07,Blocked,0
Extra player shot,9.0,2,7,JPN,4.0,TAKEI K,13,13 - 7,394,JPN,6:34,Goal,1
Extra player shot,6.0,2,7,JPN,4.0,PIJETLOVIC D,14,14 - 7,381,SRB,6:21,Goal,1
5m shot,11.0,2,8,JPN,4.0,OKAWA K,14,14 - 8,337,JPN,5:37,Goal,1
