Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,MNE,1.0,PIJETLOVIC G,0,0 - 0,480,SRB,8:00
Starting goalkeeper,13.0,1,0,MNE,1.0,SCEPANOVIC M,0,0 - 0,480,MNE,8:00
Sprint won possession,12.0,1,0,MNE,1.0,MITORVIC S,0,0 - 0,480,SRB,8:00
Turnover foul,10.0,1,0,MNE,1.0,FILIPOVIC F,0,0 - 0,451,SRB,7:31
Steal,9.0,1,0,MNE,1.0,IVOVIC A,0,0 - 0,451,MNE,7:31
20 sec. exclusion in centre,4.0,1,0,MNE,1.0,RANDELOVIC S,0,0 - 0,436,SRB,7:16
Extra player shot - Saved,7.0,1,0,MNE,1.0,JANOVIC M,0,0 - 0,423,MNE,7:03
Action shot - Saved,6.0,1,0,MNE,1.0,PIJETLOVIC D,0,0 - 0,412,SRB,6:52
5m shot - Saved,9.0,1,0,MNE,1.0,IVOVIC A,0,0 - 0,392,MNE,6:32
Turnover foul,7.0,1,0,MNE,1.0,JANOVIC M,0,0 - 0,373,MNE,6:13
5m shot - Missed,8.0,1,0,MNE,1.0,ALEKSIC M,0,0 - 0,350,SRB,5:50
Turnover foul,9.0,1,0,MNE,1.0,IVOVIC A,0,0 - 0,331,MNE,5:31
Action shot - Post,12.0,1,0,MNE,1.0,MITORVIC S,0,0 - 0,318,SRB,5:18
5m shot - Blocked,9.0,1,0,MNE,1.0,IVOVIC A,0,0 - 0,295,MNE,4:55
20 sec. exclusion in centre,6.0,1,0,MNE,1.0,RADOVIC A,0,0 - 0,281,MNE,4:41
Extra player shot - Saved,2.0,1,0,MNE,1.0,MANDIC D,0,0 - 0,259,SRB,4:19
Action shot - Post,3.0,1,0,MNE,1.0,PASKOVIC V,0,0 - 0,239,MNE,3:59
20 sec. exclusion in centre,11.0,1,0,MNE,1.0,KLIKOVAC F,0,0 - 0,230,MNE,3:50
Time-Out,,1,0,MNE,1.0,,0,0 - 0,230,SRB,3:50
Extra player shot - Goal,10.0,1,0,MNE,1.0,FILIPOVIC F,1,1 - 0,211,SRB,3:31
Turnover foul,7.0,1,0,MNE,1.0,JANOVIC M,1,1 - 0,185,MNE,3:05
20 sec. exclusion in centre,10.0,1,0,MNE,1.0,MURISIC N,1,1 - 0,163,MNE,2:43
Extra player shot - Saved,9.0,1,0,MNE,1.0,JAKSIC N,1,1 - 0,142,SRB,2:22
Time-Out,,1,0,MNE,1.0,,1,1 - 0,142,MNE,2:22
5m shot - Saved,6.0,1,0,MNE,1.0,RADOVIC A,1,1 - 0,119,MNE,1:59
20 sec. exclusion in centre,2.0,1,0,MNE,1.0,MANDIC D,1,1 - 0,105,SRB,1:45
