Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,12.0,4,2,7,CAN,2.0,PYE B,7 - 2,296,NZL,4:56,Goal,1
Action shot,12.0,4,2,7,CAN,2.0,PYE B,7 - 2,239,NZL,3:59,Blocked,0
Action shot,6.0,4,2,8,CAN,2.0,CHRISTMAS K,8 - 2,221,CAN,3:41,Goal,1
5m shot,3.0,4,2,8,CAN,2.0,MASON K,8 - 2,193,NZL,3:13,Post,0
Action shot,10.0,4,2,9,CAN,2.0,ROBINSON C,9 - 2,37,CAN,0:37,Goal,1
Action shot,4.0,4,2,9,CAN,3.0,FERIGO R,9 - 2,412,NZL,6:52,Saved,0
5m shot,9.0,4,2,9,CAN,3.0,STONEMAN E,9 - 2,393,NZL,6:33,Post,0
Action shot,4.0,4,2,10,CAN,3.0,WRIGHT E,10 - 2,380,CAN,6:20,Goal,1
5m shot,11.0,4,2,10,CAN,3.0,HUDSON K,10 - 2,316,NZL,5:16,Saved,0
Penalty shot,6.0,4,2,11,CAN,3.0,CHRISTMAS K,11 - 2,295,CAN,4:55,Goal,1
5m shot,3.0,4,2,11,CAN,3.0,MASON K,11 - 2,263,NZL,4:23,Blocked,0
Extra player shot,3.0,4,2,11,CAN,3.0,CREVIER A,11 - 2,232,CAN,3:52,Post,0
5m shot,12.0,4,2,11,CAN,3.0,PYE B,11 - 2,204,NZL,3:24,Post,0
Action shot,5.0,4,2,12,CAN,3.0,EGGENS M,12 - 2,188,CAN,3:08,Goal,1
Centre shot,8.0,4,2,12,CAN,3.0,LEMAY-LAVOIE E,12 - 2,138,CAN,2:18,Saved,0
Action shot,7.0,4,2,12,CAN,3.0,BEKHAZI J,12 - 2,82,CAN,1:22,Saved,0
5m shot,9.0,4,2,12,CAN,3.0,McKELVEY H,12 - 2,62,CAN,1:02,Saved,0
Extra player shot,7.0,4,2,13,CAN,4.0,BEKHAZI J,13 - 2,447,CAN,7:27,Goal,1
5m shot,4.0,4,2,13,CAN,4.0,FERIGO R,13 - 2,419,NZL,6:59,Saved,0
5m shot,5.0,4,2,13,CAN,4.0,BOYD A,13 - 2,403,NZL,6:43,Post,0
Action shot,7.0,4,2,14,CAN,4.0,BEKHAZI J,14 - 2,386,CAN,6:26,Goal,1
5m shot,5.0,4,2,14,CAN,4.0,BOYD A,14 - 2,361,NZL,6:01,Saved,0
Action shot,9.0,4,2,14,CAN,4.0,McKELVEY H,14 - 2,344,CAN,5:44,Missed,0
Extra player shot,4.0,4,3,14,CAN,4.0,FERIGO R,14 - 3,304,NZL,5:04,Goal,1
5m shot,4.0,4,3,15,CAN,4.0,WRIGHT E,15 - 3,290,CAN,4:50,Goal,1
5m shot,3.0,4,3,15,CAN,4.0,MASON K,15 - 3,269,NZL,4:29,Saved,0
5m shot,3.0,4,3,15,CAN,4.0,MASON K,15 - 3,217,NZL,3:37,Blocked,0
Action shot,8.0,4,3,15,CAN,4.0,LOPES da SILVA C,15 - 3,138,NZL,2:18,Saved,0
5m shot,3.0,4,3,16,CAN,4.0,CREVIER A,16 - 3,111,CAN,1:51,Goal,1
5m shot,6.0,4,3,16,CAN,4.0,DOYLE B,16 - 3,89,NZL,1:29,Saved,0
Action shot,11.0,4,3,16,CAN,4.0,McKEE K,16 - 3,50,CAN,0:50,Post,0
Extra player shot,6.0,4,3,16,CAN,4.0,CHRISTMAS K,16 - 3,32,CAN,0:32,Post,0
Penalty shot,9.0,5,0,1,NED,1.0,MEGENS M,0 - 1,457,NED,7:37,Goal,1
Action shot,9.0,5,0,1,NED,1.0,STONEMAN E,0 - 1,427,NZL,7:07,Missed,0
Centre shot,7.0,5,0,2,NED,1.0,NIJHUIS M,0 - 2,361,NED,6:01,Goal,1
Action shot,11.0,5,0,2,NED,1.0,HUDSON K,0 - 2,340,NZL,5:40,Saved,0
Action shot,9.0,5,0,2,NED,1.0,STONEMAN E,0 - 2,327,NZL,5:27,Post,0
5m shot,9.0,5,0,3,NED,1.0,MEGENS M,0 - 3,317,NED,5:17,Goal,1
Action shot,11.0,5,0,3,NED,1.0,HUDSON K,0 - 3,289,NZL,4:49,Saved,0
Action shot,11.0,5,0,4,NED,1.0,KLAASSEN L,0 - 4,273,NED,4:33,Goal,1
Action shot,8.0,5,0,4,NED,1.0,LOPES da SILVA C,0 - 4,232,NZL,3:52,Saved,0
Extra player shot,6.0,5,0,5,NED,1.0,STOMPHORST N,0 - 5,200,NED,3:20,Goal,1
Extra player shot,7.0,5,1,5,NED,1.0,HOUGHTON E,1 - 5,175,NZL,2:55,Goal,1
5m shot,10.0,5,1,5,NED,1.0,KOOLHAAS I,1 - 5,145,NED,2:25,Post,0
Extra player shot,8.0,5,1,5,NED,1.0,LOPES da SILVA C,1 - 5,120,NZL,2:00,Saved,0
5m shot,11.0,5,1,5,NED,1.0,KLAASSEN L,1 - 5,106,NED,1:46,Post,0
5m shot,4.0,5,1,5,NED,1.0,FERIGO R,1 - 5,18,NZL,0:18,Saved,0
