Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,8.0,1,8,0,FRA,2.0,BATTU A,8 - 0,436,FRA,7:16,Missed,0
5m shot,10.0,1,8,0,FRA,2.0,KOOLHAAS I,8 - 0,406,NED,6:46,Blocked,0
Action shot,2.0,1,8,0,FRA,2.0,MILLOT E,8 - 0,380,FRA,6:20,Saved,0
Action shot,4.0,1,9,0,FRA,2.0,van der SLOOT S,9 - 0,366,NED,6:06,Goal,1
5m shot,9.0,1,9,0,FRA,2.0,SACRE A,9 - 0,337,FRA,5:37,Saved,0
Action shot,3.0,1,10,0,FRA,2.0,GENEE D,10 - 0,313,NED,5:13,Goal,1
5m shot,2.0,1,10,0,FRA,2.0,MILLOT E,10 - 0,210,FRA,3:30,Saved,0
5m shot,3.0,1,11,0,FRA,2.0,GENEE D,11 - 0,184,NED,3:04,Goal,1
5m shot,2.0,1,11,0,FRA,2.0,SMIT Y,11 - 0,131,NED,2:11,Saved,0
Action shot,2.0,1,11,0,FRA,2.0,MILLOT E,11 - 0,73,FRA,1:13,Saved,0
Centre shot,3.0,1,12,0,FRA,2.0,GENEE D,12 - 0,62,NED,1:02,Goal,1
5m shot,2.0,1,12,0,FRA,2.0,MILLOT E,12 - 0,34,FRA,0:34,Post,0
Action shot,7.0,1,12,0,FRA,4.0,NIJHUIS M,12 - 0,142,NED,2:22,Saved,0
Extra player shot,3.0,1,12,0,FRA,2.0,GENEE D,12 - 0,1,NED,0:01,Saved,0
Action shot,11.0,1,13,0,FRA,3.0,KLAASSEN L,13 - 0,406,NED,6:46,Goal,1
Action shot,2.0,1,13,1,FRA,3.0,MILLOT E,13 - 1,334,FRA,5:34,Goal,1
Action shot,5.0,1,14,1,FRA,3.0,GENEE A,14 - 1,317,NED,5:17,Goal,1
Extra player shot,7.0,1,14,1,FRA,3.0,VALVERDE C,14 - 1,283,FRA,4:43,Saved,0
5m shot,3.0,1,14,1,FRA,3.0,BACHELIER L,14 - 1,262,FRA,4:22,Missed,0
5m shot,9.0,1,14,1,FRA,3.0,MEGENS M,14 - 1,228,NED,3:48,Saved,0
5m shot,7.0,1,14,1,FRA,3.0,VALVERDE C,14 - 1,148,FRA,2:28,Saved,0
5m shot,4.0,1,14,1,FRA,3.0,SACRE A,14 - 1,104,FRA,1:44,Saved,0
5m shot,7.0,1,14,1,FRA,3.0,NIJHUIS M,14 - 1,23,NED,0:23,Post,0
Action shot,12.0,1,14,1,FRA,3.0,DAULE A,14 - 1,4,FRA,0:04,Missed,0
Penalty shot,4.0,1,15,1,FRA,3.0,van der SLOOT S,15 - 1,1,NED,0:01,Goal,1
5m shot,12.0,1,15,1,FRA,4.0,DAULE A,15 - 1,434,FRA,7:14,Blocked,0
5m shot,3.0,1,15,1,FRA,4.0,GENEE D,15 - 1,419,NED,6:59,Post,0
5m shot,2.0,1,15,1,FRA,4.0,MILLOT E,15 - 1,389,FRA,6:29,Saved,0
Action shot,9.0,1,16,1,FRA,4.0,MEGENS M,16 - 1,361,NED,6:01,Goal,1
5m shot,9.0,1,16,1,FRA,4.0,SACRE A,16 - 1,331,FRA,5:31,Blocked,0
5m shot,7.0,1,16,1,FRA,4.0,VALVERDE C,16 - 1,305,FRA,5:05,Post,0
Action shot,3.0,1,16,1,FRA,4.0,GENEE D,16 - 1,235,NED,3:55,Missed,0
5m shot,12.0,1,16,1,FRA,4.0,DAULE A,16 - 1,205,FRA,3:25,Saved,0
Penalty shot,8.0,1,17,1,FRA,4.0,SEVENICH V,17 - 1,177,NED,2:57,Goal,1
Action shot,11.0,1,17,1,FRA,4.0,KLAASSEN L,17 - 1,96,NED,1:36,Post,0
Centre shot,6.0,1,17,2,FRA,4.0,MAHIEU G,17 - 2,62,FRA,1:02,Goal,1
5m shot,11.0,1,17,2,FRA,4.0,KLAASSEN L,17 - 2,36,NED,0:36,Post,0
Centre shot,12.0,1,17,2,FRA,4.0,JOUSTRA K,17 - 2,1,NED,0:01,Saved,0
Action shot,7.0,2,0,0,JPN,1.0,INABA A,0 - 0,421,JPN,7:01,Post,0
Centre shot,4.0,2,1,0,JPN,1.0,van der SLOOT S,0 - 1,409,NED,6:49,Goal,1
Centre shot,8.0,2,2,0,JPN,1.0,SEVENICH V,0 - 2,383,NED,6:23,Goal,1
Counter attack,2.0,2,3,0,JPN,1.0,SMIT Y,0 - 3,356,NED,5:56,Goal,1
